[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/index.html                    | ✓ | ⏱: 15.47s 
[SCRAPE].. ◆ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/index.html                    | ✓ | ⏱: 0.14s 
[EXTRACT]. ■ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/index.html                    | ✓ | ⏱: 0.06s 
[COMPLETE] ● https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/index.html                    | ✓ | ⏱: 15.73s 
[FETCH]... ↓ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/index.html                    | ✓ | ⏱: 4.52s 
[SCRAPE].. ◆ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/index.html                    | ✓ | ⏱: 0.14s 
[EXTRACT]. ■ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/index.html                    | ✓ | ⏱: 0.07s 
[COMPLETE] ● https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/index.html                    | ✓ | ⏱: 4.78s 
[FETCH]... ↓ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject438.html      | ✓ | ⏱: 7.83s 
[SCRAPE].. ◆ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject438.html      | ✓ | ⏱: 0.13s 
[EXTRACT]. ■ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject438.html      | ✓ | ⏱: 0.10s 
[COMPLETE] ● https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject438.html      | ✓ | ⏱: 8.12s 
[FETCH]... ↓ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject437.html      | ✓ | ⏱: 8.14s 
[SCRAPE].. ◆ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject437.html      | ✓ | ⏱: 0.11s 
[EXTRACT]. ■ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject437.html      | ✓ | ⏱: 0.08s 
[COMPLETE] ● https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject437.html      | ✓ | ⏱: 8.38s 
[FETCH]... ↓ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject443.html      | ✓ | ⏱: 8.43s 
[SCRAPE].. ◆ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject443.html      | ✓ | ⏱: 0.13s 
[EXTRACT]. ■ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject443.html      | ✓ | ⏱: 0.16s 
[COMPLETE] ● https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject443.html      | ✓ | ⏱: 8.79s 
[FETCH]... ↓ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject436.html      | ✓ | ⏱: 8.95s 
[SCRAPE].. ◆ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject436.html      | ✓ | ⏱: 0.13s 
