[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://www.epd.gov.hk/epd/english/news_events/notices/notices.html                                  | ✓ | ⏱: 11.38s 
[SCRAPE].. ◆ https://www.epd.gov.hk/epd/english/news_events/notices/notices.html                                  | ✓ | ⏱: 0.06s 
[EXTRACT]. ■ https://www.epd.gov.hk/epd/english/news_events/notices/notices.html                                  | ✓ | ⏱: 0.09s 
[COMPLETE] ● https://www.epd.gov.hk/epd/english/news_events/notices/notices.html                                  | ✓ | ⏱: 11.57s 
[FETCH]... ↓ https://www.epd.gov.hk/epd/english/news_events/notices/notices_260116.html                           | ✓ | ⏱: 9.25s 
[SCRAPE].. ◆ https://www.epd.gov.hk/epd/english/news_events/notices/notices_260116.html                           | ✓ | ⏱: 0.09s 
[EXTRACT]. ■ https://www.epd.gov.hk/epd/english/news_events/notices/notices_260116.html                           | ✓ | ⏱: 0.06s 
[COMPLETE] ● https://www.epd.gov.hk/epd/english/news_events/notices/notices_260116.html                           | ✓ | ⏱: 9.46s 
[FETCH]... ↓ https://www.epd.gov.hk/epd/english/news_events/notices/notices_260422.html                           | ✓ | ⏱: 9.85s 
[SCRAPE].. ◆ https://www.epd.gov.hk/epd/english/news_events/notices/notices_260422.html                           | ✓ | ⏱: 0.12s 
[FETCH]... ↓ https://www.epd.gov.hk/epd/english/news_events/notices/notices_260327.html                           | ✓ | ⏱: 9.92s 
[SCRAPE].. ◆ https://www.epd.gov.hk/epd/english/news_events/notices/notices_260327.html                           | ✓ | ⏱: 0.19s 
[EXTRACT]. ■ https://www.epd.gov.hk/epd/english/news_events/notices/notices_260422.html                           | ✓ | ⏱: 0.30s 
[COMPLETE] ● https://www.epd.gov.hk/epd/english/news_events/notices/notices_260422.html                           | ✓ | ⏱: 10.35s 
[EXTRACT]. ■ https://www.epd.gov.hk/epd/english/news_events/notices/notices_260327.html                           | ✓ | ⏱: 0.62s 
[COMPLETE] ● https://www.epd.gov.hk/epd/english/news_events/notices/notices_260327.html                           | ✓ | ⏱: 10.85s 
[FETCH]... ↓ https://www.epd.gov.hk/epd/english/news_events/notices/notices_260306.html                           | ✓ | ⏱: 10.90s 
[SCRAPE].. ◆ https://www.epd.gov.hk/epd/english/news_events/notices/notices_260306.html                           | ✓ | ⏱: 0.13s 
[FETCH]... ↓ https://www.epd.gov.hk/epd/english/news_events/notices/notices_260123.html                           | ✓ | ⏱: 10.84s 
[SCRAPE].. ◆ https://www.epd.gov.hk/epd/english/news_events/notices/notices_260123.html                           | ✓ | ⏱: 0.19s 
[EXTRACT]. ■ https://www.epd.gov.hk/epd/english/news_events/notices/notices_260306.html                           | ✓ | ⏱: 0.24s 
[COMPLETE] ● https://www.epd.gov.hk/epd/english/news_events/notices/notices_260306.html                           | ✓ | ⏱: 11.33s 
[EXTRACT]. ■ https://www.epd.gov.hk/epd/english/news_events/notices/notices_260123.html                           | ✓ | ⏱: 0.34s 
[COMPLETE] ● https://www.epd.gov.hk/epd/english/news_events/notices/notices_260123.html                           | ✓ | ⏱: 11.44s 
[FETCH]... ↓ https://www.epd.gov.hk/epd/english/news_events/notices/notices_260529.html                           | ✓ | ⏱: 6.70s 
[SCRAPE].. ◆ https://www.epd.gov.hk/epd/english/news_events/notices/notices_260529.html                           | ✓ | ⏱: 0.08s 
[EXTRACT]. ■ https://www.epd.gov.hk/epd/english/news_events/notices/notices_260529.html                           | ✓ | ⏱: 0.05s 
[COMPLETE] ● https://www.epd.gov.hk/epd/english/news_events/notices/notices_260529.html                           | ✓ | ⏱: 6.89s 
[FETCH]... ↓ https://www.epd.gov.hk/epd/english/news_events/notices/notices_260615.html                           | ✓ | ⏱: 8.42s 
[SCRAPE].. ◆ https://www.epd.gov.hk/epd/english/news_events/notices/notices_260615.html                           | ✓ | ⏱: 0.07s 
[FETCH]... ↓ https://www.epd.gov.hk/epd/english/news_events/notices/notices_260618.html                           | ✓ | ⏱: 7.91s 
[SCRAPE].. ◆ https://www.epd.gov.hk/epd/english/news_events/notices/notices_260618.html                           | ✓ | ⏱: 0.23s 
[EXTRACT]. ■ https://www.epd.gov.hk/epd/english/news_events/notices/notices_260615.html                           | ✓ | ⏱: 0.29s 
[COMPLETE] ● https://www.epd.gov.hk/epd/english/news_events/notices/notices_260615.html                           | ✓ | ⏱: 8.84s 
[FETCH]... ↓ https://www.epd.gov.hk/epd/english/news_events/notices/notices_260812a.html                          | ✓ | ⏱: 7.58s 
[SCRAPE].. ◆ https://www.epd.gov.hk/epd/english/news_events/notices/notices_260812a.html                          | ✓ | ⏱: 0.08s 
[EXTRACT]. ■ https://www.epd.gov.hk/epd/english/news_events/notices/notices_260618.html                           | ✓ | ⏱: 0.19s 
[COMPLETE] ● https://www.epd.gov.hk/epd/english/news_events/notices/notices_260618.html                           | ✓ | ⏱: 8.40s 
[EXTRACT]. ■ https://www.epd.gov.hk/epd/english/news_events/notices/notices_260812a.html                          | ✓ | ⏱: 0.11s 
[COMPLETE] ● https://www.epd.gov.hk/epd/english/news_events/notices/notices_260812a.html                          | ✓ | ⏱: 7.82s 
