[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://www.hongkongairport.com/en/airport-authority/tender-notices/notice-of-contract-award.page    | ✓ | ⏱: 7.77s 
[SCRAPE].. ◆ https://www.hongkongairport.com/en/airport-authority/tender-notices/notice-of-contract-award.page    | ✓ | ⏱: 0.11s 
[EXTRACT]. ■ https://www.hongkongairport.com/en/airport-authority/tender-notices/notice-of-contract-award.page    | ✓ | ⏱: 0.05s 
[COMPLETE] ● https://www.hongkongairport.com/en/airport-authority/tender-notices/notice-of-contract-award.page    | ✓ | ⏱: 7.99s 
[FETCH]... ↓ https://www.hongkongairport.com/en/airport-authority/tender-notices/PRO_T058_26_HC_award#nca         | ✓ | ⏱: 7.96s 
[SCRAPE].. ◆ https://www.hongkongairport.com/en/airport-authority/tender-notices/PRO_T058_26_HC_award#nca         | ✓ | ⏱: 0.13s 
[EXTRACT]. ■ https://www.hongkongairport.com/en/airport-authority/tender-notices/PRO_T058_26_HC_award#nca         | ✓ | ⏱: 0.03s 
[COMPLETE] ● https://www.hongkongairport.com/en/airport-authority/tender-notices/PRO_T058_26_HC_award#nca         | ✓ | ⏱: 8.20s 
[FETCH]... ↓ https://www.hongkongairport.com/en/airport-authority/tender-notices/E3003_NOA#nca                    | ✓ | ⏱: 9.19s 
[SCRAPE].. ◆ https://www.hongkongairport.com/en/airport-authority/tender-notices/E3003_NOA#nca                    | ✓ | ⏱: 0.09s 
[EXTRACT]. ■ https://www.hongkongairport.com/en/airport-authority/tender-notices/E3003_NOA#nca                    | ✓ | ⏱: 0.04s 
[COMPLETE] ● https://www.hongkongairport.com/en/airport-authority/tender-notices/E3003_NOA#nca                    | ✓ | ⏱: 9.36s 
[FETCH]... ↓ https://www.hongkongairport.com/en/airport-authority/tender-notices/PRO_T050_26_TT_award#nca         | ✓ | ⏱: 10.13s 
[SCRAPE].. ◆ https://www.hongkongairport.com/en/airport-authority/tender-notices/PRO_T050_26_TT_award#nca         | ✓ | ⏱: 0.15s 
[FETCH]... ↓ https://www.hongkongairport.com/en/airport-authority/tender-notices/PRO_T112_26_SC_Award#nca         | ✓ | ⏱: 10.29s 
[SCRAPE].. ◆ https://www.hongkongairport.com/en/airport-authority/tender-notices/PRO_T112_26_SC_Award#nca         | ✓ | ⏱: 0.16s 
[EXTRACT]. ■ https://www.hongkongairport.com/en/airport-authority/tender-notices/PRO_T050_26_TT_award#nca         | ✓ | ⏱: 0.18s 
[COMPLETE] ● https://www.hongkongairport.com/en/airport-authority/tender-notices/PRO_T050_26_TT_award#nca         | ✓ | ⏱: 10.62s 
[EXTRACT]. ■ https://www.hongkongairport.com/en/airport-authority/tender-notices/PRO_T112_26_SC_Award#nca         | ✓ | ⏱: 0.19s 
[COMPLETE] ● https://www.hongkongairport.com/en/airport-authority/tender-notices/PRO_T112_26_SC_Award#nca         | ✓ | ⏱: 10.78s 
[FETCH]... ↓ https://www.hongkongairport.com/en/airport-authority/tender-notices/E3002_NOA#nca                    | ✓ | ⏱: 11.10s 
[SCRAPE].. ◆ https://www.hongkongairport.com/en/airport-authority/tender-notices/E3002_NOA#nca                    | ✓ | ⏱: 0.12s 
[EXTRACT]. ■ https://www.hongkongairport.com/en/airport-authority/tender-notices/E3002_NOA#nca                    | ✓ | ⏱: 0.05s 
[COMPLETE] ● https://www.hongkongairport.com/en/airport-authority/tender-notices/E3002_NOA#nca                    | ✓ | ⏱: 11.33s 
[FETCH]... ↓ https://www.hongkongairport.com/en/airport-authority/tender-notices/PRO_T189_26_MP_award#nca         | ✓ | ⏱: 5.78s 
[SCRAPE].. ◆ https://www.hongkongairport.com/en/airport-authority/tender-notices/PRO_T189_26_MP_award#nca         | ✓ | ⏱: 0.09s 
[EXTRACT]. ■ https://www.hongkongairport.com/en/airport-authority/tender-notices/PRO_T189_26_MP_award#nca         | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://www.hongkongairport.com/en/airport-authority/tender-notices/PRO_T189_26_MP_award#nca         | ✓ | ⏱: 5.94s 
[FETCH]... ↓ https://www.hongkongairport.com/en/airport-authority/tender-notices/PRO_T196_26_MP_award#nca         | ✓ | ⏱: 5.79s 
[SCRAPE].. ◆ https://www.hongkongairport.com/en/airport-authority/tender-notices/PRO_T196_26_MP_award#nca         | ✓ | ⏱: 0.09s 
[EXTRACT]. ■ https://www.hongkongairport.com/en/airport-authority/tender-notices/PRO_T196_26_MP_award#nca         | ✓ | ⏱: 0.04s 
[COMPLETE] ● https://www.hongkongairport.com/en/airport-authority/tender-notices/PRO_T196_26_MP_award#nca         | ✓ | ⏱: 5.96s 
