[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ts/active-wsd-capital-works-contracts/index.html  | ✓ | ⏱: 11.00s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ts/active-wsd-capital-works-contracts/index.html  | ✓ | ⏱: 0.38s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ts/active-wsd-capital-works-contracts/index.html  | ✓ | ⏱: 0.36s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ts/active-wsd-capital-works-contracts/index.html  | ✓ | ⏱: 11.78s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...tive-wsd-capital-works-contracts/index.html?id=1  | ✓ | ⏱: 5.69s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...tive-wsd-capital-works-contracts/index.html?id=1  | ✓ | ⏱: 0.42s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...tive-wsd-capital-works-contracts/index.html?id=1  | ✓ | ⏱: 0.14s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...tive-wsd-capital-works-contracts/index.html?id=1  | ✓ | ⏱: 6.32s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=13  | ✓ | ⏱: 6.11s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=13  | ✓ | ⏱: 0.26s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=13  | ✓ | ⏱: 0.27s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=13  | ✓ | ⏱: 6.71s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=12  | ✓ | ⏱: 6.70s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=12  | ✓ | ⏱: 0.36s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=11  | ✓ | ⏱: 7.05s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=11  | ✓ | ⏱: 0.57s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=12  | ✓ | ⏱: 0.58s 
