Name of Contract,Tendering Procedure,Contractor(s) & Address(es),Amount(HK$)/ Contract Award Date,Contractor(s),Address(es)
Construction of Public Housing Development at Sheung Shui Areas 4 and 30 Site 1 Phase 2 (Contract No. 20240597),Selective,"Shui On Building Contractors Limited 34/F., Shui On Centre, 6-8 Harbour Road, Wan Chai, Hong Kong","1,448,000,000.00 7 January 2026",Shui On Building Contractors Limited," 34/F., Shui On Centre, 6-8 Harbour Road, Wan Chai, Hong Kong"
"Construction of Public Housing Development at Wang Chau Site A, Yuen Long (Contract No. 20250015)",Selective,"Woon Lee Construction Company Limited 8/F, Enterprise Square Three, 39 Wang Chiu Road, Kowloon Bay, Kowloon, Hong Kong","2,365,042,000.00 2 January 2026",Woon Lee Construction Company Limited," 8/F, Enterprise Square Three, 39 Wang Chiu Road, Kowloon Bay, Kowloon, Hong Kong"
Construction of Public Housing Development at Tung Chung Area 119 (Contract No. 20250053),Selective,"Shui On Building Contractors Limited 34/F., Shui On Centre, 6-8 Harbour Road, Wan Chai, Hong Kong","1,636,000,000.00 20 January 2026",Shui On Building Contractors Limited," 34/F., Shui On Centre, 6-8 Harbour Road, Wan Chai, Hong Kong"
"Construction of Public Housing Development at Kwai On Factory Estate, Kwai Tsing (Contract No. 20250111)",Selective,"Unistress Building Construction Limited 10/F, Sui Ying Industrial Building, 1 Yuk Yat Street, To Kwa Wan, Kowloon, Hong Kong","1,125,000,000.00 29 January 2026",Unistress Building Construction Limited," 10/F, Sui Ying Industrial Building, 1 Yuk Yat Street, To Kwa Wan, Kowloon, Hong Kong"
Soft Landscape Works for Public Housing Development at Tuen Mun Area 29 West (Contract No. 20240014),Selective,"Asia Landscaping Limited Flat A & C, 4/F, International Industrial Centre, 2-8 Kwei Tei Street, Fo Tan, Sha Tin, New Territories, Hong Kong","2,000,000.00 9 January 2026",Asia Landscaping Limited," Flat A & C, 4/F, International Industrial Centre, 2-8 Kwei Tei Street, Fo Tan, Sha Tin, New Territories, Hong Kong"
"Soft Landscape Works for Public Housing Development at Hang Tai Road, Ma On Shan Area 86B Phase 2 (Contract No. 20250194)",Selective,"Tsui Yuen Garden Flat B, 8/F, Block 3, Sheung Shui Centre, Sheung Shui, New Territories, Hong Kong","1,304,615.40 26 January 2026",Funing Property Management Limited," Flat D, 11/F, Block 3, Kwun Tong Industrial Centre, 448-458 Kwun Tong Road, Kwun Tong, Kowloon, Hong Kong"
Soft Landscape Works for Public Housing Development at Long Bin Phase 1 (Contract No. 20250227),Selective,"Tsui Yuen Garden Flat B, 8/F, Block 3, Sheung Shui Centre, Sheung Shui, New Territories, Hong Kong","3,323,444.20 29 January 2026",Funing Property Management Limited," Flat D, 11/F, Block 3, Kwun Tong Industrial Centre, 448-458 Kwun Tong Road, Kwun Tong, Kowloon, Hong Kong"
Provision of Hospitalisation and Maternity Insurance Scheme for Contract Staff of the Hong Kong Housing Authority (Tender Ref. HAQ20250524) (Contract No. DC20250524),Open,"Assicurazioni Generali Societa Per Azioni 21/F, Cityplaza One, 1111 King's Road, Taikoo Shing, Hong Kong","183,656.00 19 January 2026",Funing Property Management Limited," Flat D, 11/F, Block 3, Kwun Tong Industrial Centre, 448-458 Kwun Tong Road, Kwun Tong, Kowloon, Hong Kong"
"Design, Supply, Delivery, Installation, Commissioning, Maintenance and Other Related Services of the Housing Authority Cloud Computing Infrastructure (HA-Cloud) Upgrade for the Hong Kong Housing Authority (Tender Ref. HAQ20250157) (Contract No. DC20250157)",Open,"ELM Computer Technologies Limited Unit 1201-07, 12/F, Topsail Plaza, 11 On Sum Street, Sha Tin, New Territories, Hong Kong","8,100,000.00 26 January 2026",ELM Computer Technologies Limited," Unit 1201-07, 12/F, Topsail Plaza, 11 On Sum Street, Sha Tin, New Territories, Hong Kong"
"District Term Contract for the Maintenance, Improvement and Vacant Flat Refurbishment for Tuen Mun and Yuen Long (3) 2026-2029 (Contract No. 20259089)",Selective,"Cheung Hing Construction Company Limited Unit 6, 4/F, Liven House, 61-63 King Yip Street, Kwun Tong, Kowloon, Hong Kong","391,477,840.00 28 January 2026",Cheung Hing Construction Company Limited," Unit 6, 4/F, Liven House, 61-63 King Yip Street, Kwun Tong, Kowloon, Hong Kong"
"District Term Contract for the Maintenance, Improvement and Vacant Flat Refurbishment for Kowloon East (2) 2026-2029 (Contract No. 20259091)",Selective,"Hop Lee Builders Company Limited 12/F, Comweb Plaza, 12 Cheung Yue Street, Cheung Sha Wan, Kowloon, Hong Kong","714,280,980.00 20 January 2026",Hop Lee Builders Company Limited," 12/F, Comweb Plaza, 12 Cheung Yue Street, Cheung Sha Wan, Kowloon, Hong Kong"
Redecoration of Choi Yuen Estate and Tai Yuen Estate (Contract No. 20259067),Selective,"K-Peak Company Limited Unit 1, 12/F, Lee Sum Factory Building, 23 Sze Mei Street, San Po Kong, Kowloon, Hong Kong","52,339,535.00 12 January 2026",K-Peak Company Limited," Unit 1, 12/F, Lee Sum Factory Building, 23 Sze Mei Street, San Po Kong, Kowloon, Hong Kong"
Redecoration of Yau Oi Estate and Sam Shing Estate and Theme-Based Improvement Works in Shui Pin Wai Estate (Contract No. 20259078),Selective,"Sun On Engineering Company Limited 13/F, Woon Lee Commercial Building, 7-9 Austin Avenue, Tsim Sha Tsui, Kowloon, Hong Kong","68,311,945.00 29 January 2026",Sun On Engineering Company Limited," 13/F, Woon Lee Commercial Building, 7-9 Austin Avenue, Tsim Sha Tsui, Kowloon, Hong Kong"
"Operation and Maintenance of Automated Refuse Collection System for Kwai Chung Estate Phase 3, 4, 5 and 7, Kwai Chung, New Territories (Contract No. 20259053)",Open,"Envac Far East Limited Unit 508, 5/F, Building 12W, Phase 3, Hong Kong Science Park, Pak Shek Kok, Sha Tin, New Territories, Hong Kong","9,900,000.00 27 January 2026",Envac Far East Limited," Unit 508, 5/F, Building 12W, Phase 3, Hong Kong Science Park, Pak Shek Kok, Sha Tin, New Territories, Hong Kong"
Property Management Agency Contract for Kai Ying Court,Selective,"Creative Property Services Consultants Limited Units E & F, 25/F, Block 2, Vigor Industrial Building, 49-53 Ta Chuen Ping Street, Kwai Chung, New Territories, Hong Kong","27,724,737.04 9 January 2026",Creative Property Services Consultants Limited," Units E & F, 25/F, Block 2, Vigor Industrial Building, 49-53 Ta Chuen Ping Street, Kwai Chung, New Territories, Hong Kong"
