event_title,event_url,event_date,event_format,event_location,event_start_date,event_end_date,last_process_date
"MOBILE WORLD CONGRESS, BARCELONA, SPAIN 2026",https://home.hktdc.com/en/factsheet/FS-4H8ew1Rh_MWC_2026,2 - 5 Mar 2026,Hong Kong Pavilion,Spain,3/2/26 0:00,3/5/26 0:00,2/21/26 0:00
" International Hardware Fair, Cologne, Germany",https://home.hktdc.com/en/factsheet/FS-6GHib0zc_IHF_Germany_2025,3 - 6 Mar 2026,Hong Kong Pavilion,Germany,3/3/26 0:00,3/6/26 0:00,2/21/26 0:00
GoGBA Mission to Huizhou,https://info.hktdc.com/edm/2026Q1/202454/index_tc_b.html,6-Mar-26,Outbound Mission,Chinese Mainland,3/6/26 0:00,3/6/26 0:00,
"Light + Building, Frankfurt, Germany 2026",https://home.hktdc.com/en/factsheet/FS-Hr4EJEyg_LB_2026,8 - 13 Mar 2026,"Hong Kong Pavilion, Exhibition",Germany,3/8/26 0:00,3/13/26 0:00,
"Hong Kong Logistics Services Mission to Budapest, Hungary",https://home.hktdc.com/en/factsheet/FS-w24BJ0PE_hklsm_bp_hgy,8 - 13 Mar 2026,Commercial Delegation,Hungary,3/8/26 0:00,3/13/26 0:00,
Hong Kong Beauty Mission to Guangzhou,https://home.hktdc.com/en/factsheet/FS-yKdSBIK7_HKBM_GZ_2026,9 - 10 Mar 2026,Outbound Mission,Chinese Mainland,3/9/26 0:00,3/10/26 0:00,
"The Inspired Home Show, Chicago (TIHS) 2026",https://home.hktdc.com/en/factsheet/FS-cYXIg66H_TIHS_CHICAGO_2026,10 - 12 Mar 2026,Hong Kong Pavilion,USA,3/10/26 0:00,3/12/26 0:00,
" The 69th China (Guangzhou) International Beauty Expo, Spring 2026",https://home.hktdc.com/en/factsheet/FS-1EO8HKxQ_69th_beauty_Spr_25,10 - 12 Mar 2026,Hong Kong Pavilion,Chinese Mainland,3/10/26 0:00,3/12/26 0:00,
"Intertextile Shanghai Apparel Fabrics, Spring Edition (11-13 March 2026)",https://home.hktdc.com/en/factsheet/FS-OiprOqbH_Inter_SH_Spring_2026,11 - 13 Mar 2026,Hong Kong Pavilion,Chinese Mainland,3/11/26 0:00,3/13/26 0:00,
"GreenBiz HK, Bangkok, Thailand",https://home.hktdc.com/en/factsheet/FS-c8m6MEI8_GreenBizHKtoBangkok,17 - 20 Mar 2026,"Forum, Outbound Mission",Thailand,3/17/26 0:00,3/20/26 0:00,
"Style Hong Kong Pavilion at China International Consumer Products Expo 2026, Haikou",https://home.hktdc.com/en/factsheet/FS-4gDu0tS5_CICPExpo_Haikou_2026,13 - 18 Apr 2026,"Hong Kong Pavilion, Commercial Delegation",Chinese Mainland,4/13/26 0:00,4/18/26 0:00,
"Interzoo 2026, Nuremberg, Germany",https://home.hktdc.com/en/factsheet/FS-ctSCfzVs_Interzoo_2026,12 - 15 May 2026,Hong Kong Pavilion,Germany,5/12/26 0:00,5/15/26 0:00,
