event_title,event_url,event_date,event_format,event_location,event_start_date,event_end_date
"MOBILE WORLD CONGRESS, BARCELONA, SPAIN 2026",https://home.hktdc.com/en/factsheet/FS-4H8ew1Rh_MWC_2026,2 - 5 Mar 2026,Hong Kong Pavilion,Spain,2026-03-02 00:00:00,2026-03-05 00:00:00
"MOBILE WORLD CONGRESS, BARCELONA, SPAIN 2026",https://home.hktdc.com/en/factsheet/FS-4H8ew1Rh_MWC_2026,2 - 5 Mar 2026,Hong Kong Pavilion,Spain,2026-03-02 00:00:00,2026-03-05 00:00:00
" International Hardware Fair, Cologne, Germany",https://home.hktdc.com/en/factsheet/FS-6GHib0zc_IHF_Germany_2025,3 - 6 Mar 2026,Hong Kong Pavilion,Germany,2026-03-03 00:00:00,2026-03-06 00:00:00
GoGBA Mission to Huizhou,https://info.hktdc.com/edm/2026Q1/202454/index_tc_b.html,6 Mar 2026,Outbound Mission,Chinese Mainland,2026-03-06 00:00:00,2026-03-06 00:00:00
"Light + Building, Frankfurt, Germany 2026",https://home.hktdc.com/en/factsheet/FS-Hr4EJEyg_LB_2026,8 - 13 Mar 2026,"Hong Kong Pavilion, Exhibition",Germany,2026-03-08 00:00:00,2026-03-13 00:00:00
"Hong Kong Logistics Services Mission to Budapest, Hungary",https://home.hktdc.com/en/factsheet/FS-w24BJ0PE_hklsm_bp_hgy,8 - 13 Mar 2026,Commercial Delegation,Hungary,2026-03-08 00:00:00,2026-03-13 00:00:00
Hong Kong Beauty Mission to Guangzhou,https://home.hktdc.com/en/factsheet/FS-yKdSBIK7_HKBM_GZ_2026,9 - 10 Mar 2026,Outbound Mission,Chinese Mainland,2026-03-09 00:00:00,2026-03-10 00:00:00
"The Inspired Home Show, Chicago (TIHS) 2026",https://home.hktdc.com/en/factsheet/FS-cYXIg66H_TIHS_CHICAGO_2026,10 - 12 Mar 2026,Hong Kong Pavilion,USA,2026-03-10 00:00:00,2026-03-12 00:00:00
" The 69th China (Guangzhou) International Beauty Expo, Spring 2026",https://home.hktdc.com/en/factsheet/FS-1EO8HKxQ_69th_beauty_Spr_25,10 - 12 Mar 2026,Hong Kong Pavilion,Chinese Mainland,2026-03-10 00:00:00,2026-03-12 00:00:00
"Intertextile Shanghai Apparel Fabrics, Spring Edition (11-13 March 2026)",https://home.hktdc.com/en/factsheet/FS-OiprOqbH_Inter_SH_Spring_2026,11 - 13 Mar 2026,Hong Kong Pavilion,Chinese Mainland,2026-03-11 00:00:00,2026-03-13 00:00:00
"GreenBiz HK, Bangkok, Thailand",https://home.hktdc.com/en/factsheet/FS-c8m6MEI8_GreenBizHKtoBangkok,17 - 20 Mar 2026,"Forum, Outbound Mission",Thailand,2026-03-17 00:00:00,2026-03-20 00:00:00
"Style Hong Kong Pavilion at China International Consumer Products Expo 2026, Haikou",https://home.hktdc.com/en/factsheet/FS-4gDu0tS5_CICPExpo_Haikou_2026,13 - 18 Apr 2026,"Hong Kong Pavilion, Commercial Delegation",Chinese Mainland,2026-04-13 00:00:00,2026-04-18 00:00:00
"Interzoo 2026, Nuremberg, Germany",https://home.hktdc.com/en/factsheet/FS-ctSCfzVs_Interzoo_2026,12 - 15 May 2026,Hong Kong Pavilion,Germany,2026-05-12 00:00:00,2026-05-15 00:00:00
Hong Kong Pavilion at SIAL Shanghai 2026,https://home.hktdc.com/en/factsheet/FS-N7v8qubv_HKP_SIAL_SH_2026,18 - 20 May 2026,Hong Kong Pavilion,Chinese Mainland,2026-05-18 00:00:00,2026-05-20 00:00:00
Hong Kong Shopping Festival 2026,https://home.hktdc.com/tc/factsheet/FS-1Cgmx62I_ShoppingFestival2026,1 - 31 Aug 2026,Others,Chinese Mainland,2026-08-01 00:00:00,2026-08-31 00:00:00
electronica 2026,https://home.hktdc.com/en/factsheet/FS-3vXsofA7_electronica2026,10 - 13 Nov 2026,Hong Kong Pavilion,Germany,2026-11-10 00:00:00,2026-11-13 00:00:00
"HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 (AsiaWorld-Expo)",https://www.hktdc.com/event/hkdgp,2 - 6 Mar 2026,Exhibition,Hong Kong,2026-03-02 00:00:00,2026-03-06 00:00:00
"HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 (AsiaWorld-Expo)",https://www.hktdc.com/event/hkdgp,2 - 6 Mar 2026,Exhibition,Hong Kong,2026-03-02 00:00:00,2026-03-06 00:00:00
HKTDC Hong Kong International Jewellery Show 2026 (HKCEC),https://www.hktdc.com/event/hkjewellery/en,4 - 8 Mar 2026,Exhibition,Hong Kong,2026-03-04 00:00:00,2026-03-08 00:00:00
“Harnessing the 3C Electronics Momentum: Surge into Mainland E-commerce Market” Workshop,https://home.hktdc.com/en/factsheet/FS-P6fKnAnx_3CWorkshop,13 Mar 2026,Workshop,Hong Kong,2026-03-13 00:00:00,2026-03-13 00:00:00
GoGBA Coffee & Chat series: 3C certification for electronic products entering the mainland market,https://info.hktdc.com/edm/2026Q1/20260127gbacc/index.html,16 Mar 2026,Workshop,Hong Kong,2026-03-16 00:00:00,2026-03-16 00:00:00
Hong Kong International Film & TV Market (FILMART) 2026,https://hkfilmart.hktdc.com/conference/hkfilmart/en,17 - 20 Mar 2026,Exhibition,Hong Kong,2026-03-17 00:00:00,2026-03-20 00:00:00
T-box x Microsoft Hong Kong AI Workshop Series  Workshop 2: “AI Leading a New Era of Operational Automation”,https://home.hktdc.com/en/factsheet/FS-o8t0XSIV_SMECtrworkshop260318,18 Mar 2026,Seminar,Hong Kong,2026-03-18 00:00:00,2026-03-18 00:00:00
MarketingPulse & eTailingPulse 2026,https://marketingpulse.hktdc.com,19 Mar 2026,Conference,Hong Kong,2026-03-19 00:00:00,2026-03-19 00:00:00
