,url,Nature of Business,Location,Main Categories,Contact Person,Position,Office Address,Country/Region,Major Markets,Total Employees,Year of Establishment,Annual Turnover,Brands
0,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Worldex-G-E-C-Co-Ltd/1X00NJNS,"Exporter, Manufacturer",Thailand,"Gifts, Toys & Sports Supplies, Jewellery & Watch, Packaging & Displaying Materials",Mr Nikom Lertmalligaporn,President,"976/16 Soi Rama 9 Hospital, Rim klong Samsen Rd., Bangkapi, Huay Kwang, Bangkok 10310, Thailand",Thailand,,,,,
1,https://sourcing.hktdc.com/en/Supplier-Store/Profile/GIA-Hong-Kong-Laboratory-Ltd/1S00OWA82,,Hong Kong,,Wai Man Cheng,Director,"20th Floor, The Bay Hub, 17 Kai Cheung Road, Kowloon Bay, Hong Kong",Hong Kong,,,,,
2,https://sourcing.hktdc.com/en/Supplier-Store/Profile/S-Goldi-Asia-Ltd/1X00A2P5,"Exporter, Manufacturer",Hong Kong,"Jewellery & Watch, Jewellery & Watch, Loose Stones & Raw Materials, Organizations & Trade Associations",Mr Khunt Shaileshkumar Manubh,Director,"Unit 901, 9/F, Chevalier House, 45-51 Chatham Road South, Tsim Sha Tsui, Kowloon, Hong Kong",Hong Kong,"Chinese Mainland, Japan, Korea, Southeast Asia, Taiwan",11 - 15,,,
3,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Takat-Gems-SR-Limited/1S00O4WZ7,Others,Hong Kong,"Fine Jewellery, Loose Stones & Raw Materials Italy Vicenza Jan 2025 Thailand Bangkok Feb 2025 Italy Vicenzaoro 2024.Sep",Mr Rehman Ahmed,,"Rm 703, 7/F., Chevalier House, 45-51 Chatham Road South T.S.T., Kowloon",Hong Kong,,,,,
4,https://sourcing.hktdc.com/en/Supplier-Store/Profile/DIAROUGH-HONG-KONG-LIMITED/1X00NMJN,"Exporter, Importer, Manufacturer",Hong Kong,"Jewellery & Watch, Loose Stones & Raw Materials",Mr Armaan Parikh,DIRECTOR,"Unit 1103, 11/F, Tower B, HungHom Commercial Centre, 37 Ma Tau Wai Road, Hung Hom, Kowloon, Hong Kong.",Hong Kong,"Australasia, Chinese Mainland, Hong Kong, Japan, Middle East, Other Asian Countries, Southeast Asia, Taiwan, Worldwide Certificate Name Issued By Certificate Type Valid Date FOREVERMARK FOREVERMARK - - Responsible Jewellery Council Responsible Jewellery Council - -",,1992,,
5,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sheetal-Far-East-Limited/1X0737C3,"Distributor, Exporter, Manufacturer, Wholesaler",Hong Kong,"Fine Jewellery, Jewellery & Watch, Loose Stones & Raw Materials",Mr Donda Jignesh,Director,"Room 1316, 13/F, Peninsula Square, 18 Sung On Street, Hung Hom, Kowloon, Hong Kong.",Hong Kong,"Africa, Australasia, Central & South America, Chinese Mainland, Eastern Europe, Hong Kong, Japan, Korea, Middle East, North America, Other Asian Countries, Scandinavia, Southeast Asia, Taiwan, Western Europe, Worldwide",5001 - 10000 View details Factory & Facility Quality Control Cushion Cut Diamond Princess Cut Dimaond Oval Cut Diamond,1985,,
6,https://sourcing.hktdc.com/en/Supplier-Store/Profile/A-CONCEPT-GROUP-LIMITED/1X0ALPLC,"Exporter, Wholesaler",Hong Kong,"Clothing/ Garments, Costume & Fashion Jewellery, Fashion Accessories, Fashion, Eyewear & Accessories, Fine Jewellery, Jewellery & Watch, Loose Stones & Raw Materials",Mr Chap Lung NG,DIRECTOR,"Unit G1, 9/F., Kaiser Estate Phase 2, 51 Man Yue Street, Hung Hom, Kowloon, Hong Kong",Hong Kong,Worldwide ODM Pearl South Sea Pearl Tahitian Pearl Pearl Product Hang Made Product View details Factory & Facility June Jewellery Show Hong Kong Jew. Show March Hong Kong Jewellery,,2015,,
7,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ankit-Gems-Hong-Kong-Limited/1X00NKZD,"Exporter, Importer, Manufacturer, Wholesaler",Hong Kong,Loose Stones & Raw Materials,Mr Dhwanil Shah,Director,"Room 301, 3/Fl., Chavelier House, 45-51 Chatham Road South Tsim Sha Tsui, Kowloon, Hong Kong.",Hong Kong,"Australasia, Chinese Mainland, Hong Kong, Korea, Middle East, Taiwan, Worldwide",6 - 10,1985,"US$ 10,000,000 - 49,999,999","GIA, IGI, HRD CERTIFIED View details Factory & Facility Research & Development Quality Control"
8,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dharam-Creations-HK-Ltd/1X0081P8,"Distributor, Exporter, Importer, Manufacturer, Retailer, Wholesaler",Hong Kong,"Jewellery & Watch, Loose Stones & Raw Materials",Mr Mangukia Manish,Director,"Unit 3, 3/F, Harbour Centre Tower 2, 8 Hok Cheung Street, Hung Hom, Kowloon, Hong Kong.",Hong Kong,"Australasia, Central & South America, Chinese Mainland, Hong Kong, Korea, Middle East, North America, Other Asian Countries, Scandinavia, Southeast Asia, Taiwan, Western Europe, Worldwide",16 - 25,2004,"US$ 100,000,000 - 249,999,999",DHARMANANDAN DIAMONDS View details Factory & Facility FIEO –Outstanding performance 2006-2010 FIEO –Outstanding performance 2006-2010 GJEPC - Best diamond exporter India 2007-2010 GJEPC - Best diamond exporter India 2007-2010 GJEPC - Best diamond exporter India 2007-2010
9,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Fook-Yue-Pearl-Co-Ltd/1X00232P,"Exporter, Manufacturer",Hong Kong,"Fine Jewellery, Jewellery & Watch, Loose Stones & Raw Materials",Mr Tony Ho,Director,"Unit 18-20, 9/F., New Mandarin Plaza 14 Science Museum Road Tsimshatsui East, Kowloon, Hong Kong",Hong Kong,"North America, Other Asian Countries, Southeast Asia, Western Europe, Worldwide",6 - 10,1994,"US$ 5,000,000 - 9,999,999 View details Research & Development Quality Control south sea pearls south sea pearls freshwter pearls souht sea pearls",
10,https://sourcing.hktdc.com/en/Supplier-Store/Profile/H-K-Impex-Pvt-Limited/1X08VOPB,Distributor,Hong Kong,"Fine Jewellery, Loose Stones & Raw Materials",Mr Mukesh Dholakiya,Director,"Room 508, 5/F Hilder Centre 2 Sung Ping Street Hong Hom, Kowloon, Hong Kong",Hong Kong,"Australasia, Central & South America, Chinese Mainland, Eastern Europe, Hong Kong, Japan, Korea, Middle East, Southeast Asia, Western Europe",11 - 15,2002,"US$ 100,000 - 249,999 #naturaldiamond #diamondnecklace #diamondpairs #diamondjewellery #diamondlayouts #gems&jewellery #diamondmanufacturer #diamonds Diamond Manufacturer of the Year- JNA Outstanding Enterprise of the Year HK Profile in Chinese Language HK Profile in English Language",
