Company Name,Location,Booth,url
Animation International Limited,Hong Kong,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0060P32
Innovative Entrepreneur Association Company Limited,Hong Kong,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0061CT9
Bandai Namco Asia Company Limited,Hong Kong,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0060OVR
Medialink Entertainment Limited,Hong Kong,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0060OWO
QP (HK) Limited,Hong Kong,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0060TXG
Seoul Business Agency (SBA),"Korea, Republic Of",['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S00616W6
Adlib International Trading Limited,Hong Kong,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0060TKJ
AT Licensing & Merchandising Limited,Hong Kong,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0060TBA
Enchanted Forest Limited,Hong Kong,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0061CFF
Fun Way Brands Limited,Hong Kong,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0060TGV
"Mighty Brands Co., Limited",Hong Kong,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0060TIP
PPW Sports & Entertainment (HK) Limited,Hong Kong,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0060TFY
Rights & Brands Asia Limited,Hong Kong,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0060TYD
Shibainc Limited,Hong Kong,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0060TAD
Arwama Company Limited,Thailand,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0060OZF
"Gravity Co., Ltd.","Korea, Republic Of",['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0060TE1
Amaz Company Ltd,Hong Kong,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0061CSC
Artox Group Limited,Hong Kong,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0060U06
Chill Top Production,Hong Kong,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0061CQI
Chuliang Technology (HK) Limited,Hong Kong,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0060U4U
Gimans Care Limited,Hong Kong,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0060TJM
Hola Studio,Hong Kong,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0060T9G
I-Licensing Asia Limited,Hong Kong,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0060TSV
Peg Bar Limited,Hong Kong,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0061D0N
Planet Production House Limited,Hong Kong,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0061CMU
Postgal Workshop,Hong Kong,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0060TZA
Studio Invitro,Hong Kong,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0060THS
Toyzeroplus Limited,Hong Kong,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0060TC7
Yogurt Studio Ltd.,Hong Kong,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0060TLG
"2Spot Communications Co., Ltd",Thailand,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0060OUU
Aniplex Inc.,Japan,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0060TMD
Kai3 publishing limited partnership,Thailand,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0060P4Z
"Mimi worldwild Co.,Ltd",Thailand,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0060OYI
Sweet Summer Company Limited,Thailand,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0060OS0
"The Happy Fruit Farm Co., Ltd.",Thailand,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0060P8N
"X10 Studio Co., Ltd.",Thailand,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0060P9K
"Xiamen Mengli Planet Network Co., Ltd",Chinese Mainland,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0060TP4
9GAG Limited,Hong Kong,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0060U5R
MUSE (Hong Kong) Communication Co. Ltd.,Hong Kong,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0060P0B
Ocean Park Corporation,Hong Kong,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0060WYA
"XIAMEN QIZHONGJI CULTURAL MEDIA CO.,LTD.",Chinese Mainland,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0060P25
DonJu Studio Limited,Hong Kong,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0061CEI
3D Plus Printing Limited,Hong Kong,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0061CNR
Animomo Limited,Hong Kong,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0061CU6
BE (Art) Limited,Hong Kong,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0061CDL
Blue and White Design Company Limited,Hong Kong,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0061CK0
Bright Education Technology Limited,Hong Kong,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0061CV3
Bunc Decorative Production Ltd,Hong Kong,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0061CW0
CLAW.HOLIC,Hong Kong,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0061D3E
DOXA ASIA LTD,Hong Kong,['Booth: 5G-B03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0060TUP
Dddd Cultural Creative Co Limited,Hong Kong,['Booth: 5G-S03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0061COO
Elyk Creation,Hong Kong,['Booth: 5G-S03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0061CJ3
"Famalii Creative Co., Ltd",Hong Kong,['Booth: 5G-S03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0061CXX
GILIGULU,Hong Kong,['Booth: 5G-S03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0061CI6
Going Ape Limited,Hong Kong,['Booth: 5G-S03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0061CYU
HQTS Group Limited,Hong Kong,['Booth: 5G-S03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0060TRY
Hong Kong Lele Yichuan Culture and Arts Limited,Hong Kong,['Booth: 5G-S03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0060TVM
"Intellectual Property Department, HKSAR Government",Hong Kong,['Booth: 5G-S03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0060U6O
James Ho Design,Hong Kong,['Booth: 5G-S03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0061CPL
LLAB Design Limited,Hong Kong,['Booth: 5G-S03   |   Character and Entertainment   |   '],/event/hklicensingshow/en/exhibitor/1S0061CZR
