company name,location,Company Background,Nature of Business,,Exhibit / Brand / Service Description,Brand Name,Company Website,HKTDC Events,supplier_url,exhibitor_url
Animation International Limited,Hong Kong,"Licensing agent for the IPs of Doraemon, Crayon Shinchan, Creamy Mami, Peko-Chan, San-X, etc. for Hong Kong, Mainland China, Taiwan, and other Asian terriotries.",Export Agent,,"Licensing agent for Doraemon, Crayon Shinchan, San-X, Peko-Chan, Creamy Mami, Anpanman, etc.","San-X,Crayon Shinchan,Doraemon",ail.com.hk,"Exhibited in HKTDC Event(s) in recent years Hong Kong International Licensing Show & Asian Licensing Conference 2026 HKTDC Hong Kong International Licensing Show 2025 Hong Kong International Licensing Show 2024 Hong Kong International Licensing Show 2023 Hong Kong International Licensing Show Online, Hong Kong HKTDC Hong Kong International Licensing Show 2020 HKTDC Hong Kong International Licensing Show 2019 HKTDC Hong Kong International Licensing Show 2018 Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Animation-International-Limited/1X07050L,https://www.hktdc.com/event/hklicensingshow/en/exhibitor/1S0060P32
Innovative Entrepreneur Association Company Limited,Hong Kong,,Professional Association,,/,,www.iea.org.hk,Exhibited in HKTDC Event(s) in recent years Hong Kong International Licensing Show & Asian Licensing Conference 2026 HKTDC Hong Kong Toys & Games Fair 2026 HKTDC Hong Kong International Licensing Show 2025 Hong Kong International Licensing Show 2024 Hong Kong International Licensing Show 2023 Hong Kong International Licensing Show 2022 HKTDC Hong Kong International Licensing Show 2020 HKTDC Entrepreneur Day 2017 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Innovative-Entrepreneur-Association-Company-Limited/1S00NNH0J,https://www.hktdc.com/event/hklicensingshow/en/exhibitor/1S0061CT9
Bandai Namco Asia Company Limited,Hong Kong,"BANDAI NAMCO ASIA (BNA) is established in Hong Kong since 1977, as a regional headquarter in Asia for procurement, sales, importing and exporting of toys. We are also a local agent to handle above character license through Asia.",Chain Store,,"We own several famous Japan Ips, and hope to find partners to help to promote our IPs among Asia.","Taiko no Tatsujin,PAC-MAN,TEKKEN,GUNDAM,Tamagitchi",,Exhibited in HKTDC Event(s) in recent years Hong Kong International Licensing Show & Asian Licensing Conference 2026 HKTDC Hong Kong International Licensing Show 2025 Hong Kong International Licensing Show 2024,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Bandai-Namco-Asia-Company-Limited/1X0AM5MZ,https://www.hktdc.com/event/hklicensingshow/en/exhibitor/1S0060OVR
Medialink Entertainment Limited,Hong Kong,,Others,,Medialink Group Limited (2230.hk) is a leading distributor of third-party owned media content headquartered in Hong Kong with presence in Asia. The Group has been engaging in the business of media content distribution and brand licensing businsess.,"CUPHEAD,emoji*,THE PHANTOM,Betty Boop,Robocar Poli,The Little Prince,FLASH GORDON,""The Little Prince"" The Film,HAGAR THE HORRIBLE,Gundam,Card Captor Sakura Clear Card,Bebefinn,Gintama,Popeye,Mr Men Little Miss,Sesame Street,My Hero Academia,THE CUPHEAD SHOW,Garfield,THE LITTLE PRINCE AND HIS FRIENDS",www.medialink.com.hk/en/home.aspx,"Exhibited in HKTDC Event(s) in recent years Hong Kong International Licensing Show & Asian Licensing Conference 2026 Hong Kong International Film & TV Market (FILMART), Hong Kong 2026 HKTDC Hong Kong International Licensing Show 2025 Hong Kong International Film & TV Market (FILMART), Hong Kong 2025 Hong Kong International Licensing Show 2024 Hong Kong International Film & TV Market (FILMART), Hong Kong Hong Kong International Film & TV Market (FILMART), Hong Kong HKTDC Hong Kong International Licensing Show 2012 Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Medialink-Entertainment-Limited/1X06YAIO,https://www.hktdc.com/event/hklicensingshow/en/exhibitor/1S0060OWO
QP (HK) Limited,Hong Kong,"Q P Group (stock code: 1412.HK) is a paper product manufacturing and printing services provider. Headquartered in Hong Kong, we now operate manufacturing bases in Dongguan and Heshan in Guangdong Province and Chau Son Ward in Ninh Binh Province, Vietnam, with an aggregate skilled workforce of over 3,000. We proudly offer a wide spectrum of paper products ranging from board games, card games, puzzles, greeting cards, educational items, trading cards to premium packaging. It is our dedication to excellence that has earned us the trust of our customers, including renowned local and international brands in a diverse range of industries. Moving with the times, we have also been actively developing our online business since 2010, offering various personalized paper products and gift items through our self-operated websites.","Manufacturer, Service Company, Others",,我們提供一站式紙製品生產方案，由產品開發，物料開發及採購，端到端生產，品質保證，檢驗以至物流。我們為客戶提供度身訂造產品工程服務，幫助客戶把產品意念轉化成商品。我們與客戶緊密合作，根據客戶的特定規格和成品要求，制定出全面而高效的生產方案，務求在產品結構及設計、功能、品質、耐用度、安全及生產成本上力臻完善。,,www.qpp.com/,Exhibited in HKTDC Event(s) in recent years Hong Kong International Licensing Show & Asian Licensing Conference 2026 HKTDC Hong Kong International Licensing Show 2025,https://sourcing.hktdc.com/en/Supplier-Store/Profile/QP-HK-Limited/1X008QR3,https://www.hktdc.com/event/hklicensingshow/en/exhibitor/1S0060TXG
Seoul Business Agency (SBA),"Korea, Republic Of",,"Government, Statutory Body",,"Seoul Business Agency(SBA) is a public organization under the Seoul Metropolitan Government supporting the global growth of Seoul-based content companies, showcasing promising Seoul content companies across all content sectors.",,spp.kr,Exhibited in HKTDC Event(s) in recent years Hong Kong International Licensing Show & Asian Licensing Conference 2026 HKTDC Hong Kong International Licensing Show 2025 HKTDC Hong Kong International Licensing Show 2020 HKTDC Hong Kong International Licensing Show 2019 HKTDC Hong Kong International Licensing Show 2017 HKTDC Hong Kong Electronics Fair (Autumn Edition) 2015,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Seoul-Business-Agency-SBA-/1S00NK9V6,https://www.hktdc.com/event/hklicensingshow/en/exhibitor/1S00616W6
Adlib International Trading Limited,Hong Kong,"Founded in 2003, Adlib International Trading Limited is a Hong Kong company that holds, designs and produces local fashion brand ad-lib. Currently, ad-lib has a distribution network of more than 20 points of sale in Hong Kong, Macau and Taiwan. We also operate our online store to expand our business to the global market. In 2016, ad-lib launched a new Pjai sub-line, the original design was based on a cute real chai, Pjai had worked in ad-lib. as a public relations assistant. Pjai's images are used extensively in a range of unisex and children's clothing. One of our bestsellers so far - PJai Omamori, with Hong Kong style blessings, has attracted a lot of people. In 2018, Pjai ceased to be an impromptu store on the secondary line, but opened several Pjai Pop-up stores in local shopping malls such as Causeway Bay, Mong Kok, and Sha Tin, which further enhanced Pjai's popularity. With the cute appearance of real and cartoon Pjai, he began to get involved in licensing, cross-border and promotion projects with multiple brands. We believe that Pjai has some sort of mystical power that helps him win people's hearts. His trademark smile and laid-back demeanor always cheer us up and take us away from the hustle and bustle of life.",Chain Store,,We believe Pjai has some sort of enigmatic power that helps him win people hearts. His signature smile and laid-back character can always cheer people up and let us escape from all the worries in our hustle and lives.,PJai and Friends,www.adlibfashion.com/pjai,"Exhibited in HKTDC Event(s) in recent years Hong Kong International Licensing Show & Asian Licensing Conference 2026 HKTDC Hong Kong International Licensing Show 2025 Hong Kong International Licensing Show 2024 Hong Kong International Licensing Show 2023 HKTDC International Sourcing Show 2021 Hong Kong International Licensing Show Online, Hong Kong HKTDC Hong Kong International Licensing Show 2020 HKTDC Entrepreneur Day 2019 Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Adlib-International-Trading-Limited/1X07N839,https://www.hktdc.com/event/hklicensingshow/en/exhibitor/1S0060TKJ
AT Licensing & Merchandising Limited,Hong Kong,"Established in 1998, AT Licensing & Merchandising Limited is a full service Licensing Agency. Our scope of services include merchandise licensing, promotion licensing, retail promotion activities and premium sourcing for leading licensed properties. We are Tezuka Productions' Licensing Agent for Asia (excluding Japan and Korea) since 1998.",Others,,"Our scope of service include merchandise licensing, promotion licensing, retail promotion and premium sourcing.","Astro Boy,Black Jack,Jungle Emperor Leo,Princess Knight,The Three Eyed One,Tezuka Moderno,The Phoenix,Unico",www.atlicensing.com,Exhibited in HKTDC Event(s) in recent years Hong Kong International Licensing Show & Asian Licensing Conference 2026 HKTDC Hong Kong International Licensing Show 2025 Hong Kong International Licensing Show 2024 Hong Kong International Licensing Show 2023 HKTDC Hong Kong International Licensing Show 2020 HKTDC Hong Kong International Licensing Show 2019 HKTDC Hong Kong International Licensing Show 2018 HKTDC Hong Kong International Licensing Show 2017 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/AT-LICENSING-MERCHANDISING-LTD/1X04IM24,https://www.hktdc.com/event/hklicensingshow/en/exhibitor/1S0060TBA
Enchanted Forest Limited,Hong Kong,Enchanted Forst Limited is a company that promotes the original brand “I am SIMBA” and provides licensing services,,,毛孩是人類最好的朋友，我們以家庭成員柴犬Simba及三色貓Mochi為藍本，再為它們創造了三位性格鮮明的朋友：羊駝Lamee、兔子Punch及樹懶Luke。 儘管他們屬於不同物種，但它們之間卻有著鞏固的友誼，表現了「無界限的愛與友誼」。,"I am SIMBA,羊駝Lamee,兔子Punch,樹懶Luke,柴犬Simba",,Exhibited in HKTDC Event(s) in recent years Hong Kong International Licensing Show & Asian Licensing Conference 2026 HKTDC Hong Kong International Licensing Show 2025 Hong Kong International Licensing Show 2024,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Enchanted-Forest-Limited/1S00OLXWF,https://www.hktdc.com/event/hklicensingshow/en/exhibitor/1S0061CFF
Fun Way Brands Limited,Hong Kong,"We are the licensing agent and representative of popular IPs from global market. Our branch offices are located in HKSAR and Chinese mainland. On behalf of licensors, our professional and experienced team have been engaged in management of licensing brands and licensing business across Hong Kong, Macau and Chinese mainland. We continued to launch some successful licensing programs in local markets, which have received positive market responses and created noises in the markets.",Service Company,,"Representing each licensor, we are targeting to develop and explore licensing business for well-known characters from Japan and other territories. They are popular characters with wide variety of products or characters active in social media.","Tsuburana Hitomino,Mochi Mochi Panda,Dayan the Cat (Wachifield),Vegemaru,Negiusagi,Wolfkun,Let's go Sadayuki!,Warbie Yama,Usagyuuun (Chinese mainland)",,Exhibited in HKTDC Event(s) in recent years Hong Kong International Licensing Show & Asian Licensing Conference 2026 HKTDC Hong Kong International Licensing Show 2025 Hong Kong International Licensing Show 2024,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Fun-Way-Brands-Limited/1S00OKYC2,https://www.hktdc.com/event/hklicensingshow/en/exhibitor/1S0060TGV
