,Company Name,Location,Booth,url
0,"Xusheng Lighting Co., Ltd.",Hong Kong,['Booth: 1E-D02   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005ICQI
1,Foshan Ronse Lighting Technology Co Ltd,Chinese Mainland,['Booth: 1E-D02   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005K9PO
2,"Hangzhou Yuzhong Gaohong Lighting Electrical Equipment Co., Ltd.",Chinese Mainland,['Booth: 1E-D02   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005JZPY
3,"Ucome Lighting Co., Ltd.",Chinese Mainland,['Booth: 1E-D02   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005KXB6
4,"Shaoxing Shangyu Mingji Plastic Co., Ltd.",Chinese Mainland,['Booth: 1E-D02   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005K06I
5,"Ningbo Yaado Lighting Co., Ltd.",Chinese Mainland,['Booth: 1E-D02   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005JTGV
6,"Shanghai Wellmax Lighting Industry Co.,Ltd.",Chinese Mainland,['Booth: 1E-D02   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005K03R
7,Evermore Enterprise (Zhejiang) Ltd,Chinese Mainland,['Booth: 1E-D02   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005K0TL
8,Kte Electrical Limited,Hong Kong,['Booth: 1E-D02   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005ICT9
9,"Zhuhai Shengchang Electronics Co., Limited",Hong Kong,['Booth: 1E-D02   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005ICRF
10,"Ningbo Changrong Lighting and Electronics Technology Co., Ltd.",Chinese Mainland,['Booth: 1E-D02   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005JZC1
11,"Sheenly Lighting Co., Ltd.",Chinese Mainland,['Booth: 1E-D02   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005K0N3
12,"Shenzhen Guoying Optoelectronics Co., Ltd.",Chinese Mainland,['Booth: 1E-D02   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005K02U
13,"Suzhou Radiant Lighting Technology Co., Ltd.",Chinese Mainland,['Booth: 1E-D02   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005JQQ4
14,"AGC Lighting Co., Ltd.",Chinese Mainland,['Booth: 1E-D02   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005JZB4
15,Glamor Illumination Limited,Hong Kong,['Booth: 1E-D02   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005ICK0
16,HongKong SNC Lighting Co Ltd,Hong Kong,['Booth: 1E-D02   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005ICLX
17,"Foshan Goldenshell Lighting Co., Ltd.",Chinese Mainland,['Booth: 1E-D02   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005KXFU
18,A-Z Star Electrical (Hong Kong) Limited,Hong Kong,['Booth: 1E-D02   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005ICSC
19,"Foshan LedKey Lighting Co., Ltd.",Chinese Mainland,['Booth: 1E-D02   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005K099
20,"Hangzhou Tiger Electron & Electric Co., Ltd.",Chinese Mainland,['Booth: 1E-D02   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005JZQV
21,"Homi Lighting Co., Limited",Hong Kong,['Booth: 1E-D02   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005JJKT
22,Huitron Limited,Hong Kong,['Booth: 1E-D02   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005IWGS
23,Ningbo Ehome Electronic Co Ltd,Chinese Mainland,['Booth: 1E-D02   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005JZGP
24,"Ninghai Yingjiao Electrical Co., Ltd.",Chinese Mainland,['Booth: 1E-D02   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005K1ET
25,"Shenzhen Aalight Technology Co., Ltd.",Chinese Mainland,['Booth: 1E-D02   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005K0A6
26,"Shenzhen Coreshine Optoelectronics Co., Ltd.",Chinese Mainland,['Booth: 1E-D02   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005KDON
27,"Shenzhen Norming Lighting Co., Ltd.",Chinese Mainland,['Booth: 1E-D02   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005JWP1
28,Wildland International Inc.,Chinese Mainland,['Booth: 1E-D02   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005JZN4
29,Xiamen PVTECH Corporation Limited,Chinese Mainland,['Booth: 1E-D02   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005K04O
30,"Zhongshan HuiHeng Lighting Co., Ltd.",Chinese Mainland,['Booth: 1E-D02   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005JZRS
