url,Nature of Business,Location,Year of Establishment,Main Categories,Major Markets,Total Employees,Annual Turnover,Contact Person,Position,Office Address,Country/Region,Brands
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Xusheng-Lighting-Co-Ltd-/1S00O6NVS,"Exporter, Manufacturer, Wholesaler",Hong Kong,2013.0,Lights,"Central & South America, Eastern Europe, Korea, Middle East, Scandinavia, Southeast Asia, Western Europe",101 - 200,"US$ 500,000 - 999,999 Certification Verified by Certificate Name Issued By Certificate Type Valid Date Trademark Trademark Office of the State Administration for Industry and Commerce of the People's Republic of China Trademark 06 Nov 2033 CE TÜV SÜD Product Service GmbH CE - Test Report TÜV SÜD Certification and Testing (China) Co., Ltd. Guangzhou Branch Others - Test Report TÜV SÜD Certification and Testing (China) Co., Ltd. Guangzhou Branch Others - Test Report TÜV SÜD Certification and Testing (China) Co., Ltd. Guangzhou Branch Others - Show More View Details Certification(s) Verified on 16 Dec 2025 by Disclaimer View details Factory & Facility Research & Development Quality Control View All Packaging workshop Test Shop CNC workshop test shop",Ms Anna Shao,sales manager,"1-3th floor No.20,Kang Long 5th Road,Xinmao Industrial Area, ,Henglan Town Zhongshan City,Guangdong P.R. China",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/FOSHAN-RONSE-LIGHTING-TECHNOLOGY-CO-LTD/1X07L884,"Exporter, Manufacturer","Foshan, Guangdong, Chinese Mainland",2010.0,"Building Materials & Supplies, Environmental Protection, Furniture & Parts, Homeware & Lifestyle Essentials, Lights",Worldwide,201 - 500,"US$ 10,000,000 - 49,999,999",Mr Liang Aaron,manager,"Liansha Industrial Zone, Jinsha, Danzao, Nanhai, Foshan City, Guangdong Province, China.",Chinese Mainland,"Ronse ODM OEM Certification Verified by Certificate Name Issued By Certificate Type Valid Date ISO 9001 Amtivo China Limited ISO 9001 18 Oct 2027 CE Zhiyuan Testing (Shenzhen) Co., Ltd EMC - CE Zhiyuan Testing (Shenzhen) Co., Ltd EMC - CE Zhiyuan Testing (Shenzhen) Co., Ltd CE - CE Zhiyuan Testing (Shenzhen) Co., Ltd CE - Show More View Details Company Information Verified on 06 Jun 2025 by Disclaimer Certification(s) Verified on 30 May 2025 by Disclaimer View details Factory & Facility Research & Development Quality Control Industry quality integrity demonstration unit Quality integrity brand enterprise LED hanging light LED flood light Natiaonal Technology Comany & Reliable qualtiy Aware Supermarket track light and track panel light Museum Gallery Gobo light Angle adjustable track light Integrated track light Linear track light LED track light LED Down light"
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hangzhou-Yuzhong-Gaohong-Lighting-Electrical-Equipment-Co-/1X00ERL6,"Exporter, Manufacturer","Hangzhou, Zhejiang, Chinese Mainland",1997.0,"Environmental Protection, Lights","Australasia, Eastern Europe, Korea, North America, Western Europe Certificate Name Issued By Certificate Type Valid Date ISO9001 - - - ISO14001 - - - AAA - - - CECP - - - CCC - - - Show More View details Factory & Facility",,,Ms Shun Hua Fang,Manager,Gao Hong Town Lin An City Hang Zhong China.,Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ucome-Lighting-Co-Ltd-/1S00OYFPI,Wholesaler,"Ningbo, Zhejiang, Chinese Mainland",,"Environmental Protection, Lights",,,,Miss Junfen Yuan,,"No. 3 Shaojiadu Lizhou Jiedao, Yuyao Ningbo, Zhejiang China",Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shaoxing-Shangyu-Mingji-Plastic-Co-Ltd-/1S00O4EWY,"Exporter, Manufacturer","Shaoxing, Zhejiang, Chinese Mainland",2007.0,Lights,"Central & South America, Middle East, North America",201 - 500,"US$ 1,000,000 - 4,999,999",Mr Bing Sun,MARKETING EXECUTIVE,"NO.55 YUEXIE ROAD XIAOYUE TOWN SHANGYU, SHAOXING, ZHEJIANG CHINA",Chinese Mainland,MINGJI View Details Company Information Verified on 30 May 2025 by Disclaimer View details Factory & Facility Research & Development Quality Control
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ningbo-Yaado-Lighting-Co-Ltd/1S00OKYEW,"Exporter, Manufacturer","Ningbo, Zhejiang, Chinese Mainland",2020.0,"Consumer Electronics, Environmental Protection, Furniture & Parts, Homeware & Lifestyle Essentials, Lights","Central & South America, Chinese Mainland, North America, Scandinavia, Western Europe",6 - 10,"US$ 250,000 - 499,999 LED Undercabinet light IP44 SOLAR SMART SOLAR TABLE LAMP SOLAR WALL LAMP SOLAR PATHWAY&SPIKE LAMP View details Factory & Facility Research & Development Quality Control SOLAR LIGHT 2023-2024 CABINET LIGHT 2023-2024 Solar Light 2024-2025 Latest",Ms Linda Zhang,Sales Manager,"Room 902, Building 2 Xinrui Sports City No. 299 Kangzhuang South Road Jiangbei, Ningbo, Zhejiang, China",Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shanghai-Wellmax-Lighting-Industry-Co-Ltd/1X06U839,"Exporter, Manufacturer","Shanghai Shi, Shanghai, Chinese Mainland",1987.0,"Environmental Protection, Lights",Worldwide,101 - 200,"US$ 10,000,000 - 49,999,999",Mr Wellmax Lighting,,Room 24 No. 2000 Pudong Avenue Shanghai China,Chinese Mainland,WELLMAX ODM OEM SKD SAMSUNG's In-Brand Authorization SGS-CSTC China TMPL DEKRA Certified Witnessed Testing Laboratory The Model Brand of Export Business in Shanghai Import and Export Brand Enterprise
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Evermore-Enterprise-Zhejiang-Ltd/1X06DQL9,"Exporter, Manufacturer","Hangzhou, Zhejiang, Chinese Mainland",2005.0,"Environmental Protection, Festive Supplies, Gifts, Toys & Sports Supplies, Lights","Eastern Europe, Scandinavia, Western Europe",51 - 100,"US$ 10,000,000 - 49,999,999",Mr Yang Show,,"No.27 Xianxing Road, Xianlin Town, Yuhang, Hangzhou City, Zhejiang Province, China.",Chinese Mainland,EVERMORE ODM OEM View details Factory & Facility
https://sourcing.hktdc.com/en/Supplier-Store/Profile/KTE-ELECTRICAL-LIMITED/1X00JF9I,"Exporter, Manufacturer, Wholesaler",Hong Kong,2003.0,"Educational Toys, Engineering & Construction Machinery, Furniture & Parts, Gifts / Souvenirs, Homeware & Lifestyle Essentials, Lights, Parts, Components & Electrical Supplies","Africa, Australasia, Central & South America, Eastern Europe, Japan, Middle East, North America, Other Asian Countries, Scandinavia, Southeast Asia, Western Europe, Worldwide",101 - 200,"US$ 5,000,000 - 9,999,999",Ms Vicky Yuen,Assistant to Sales and Marketing Manager,"7/F., Block 2, Leader Industrial Centre, 188 Texaco Road, Tsuen Wan, New Territories, Hong Kong.",Hong Kong,"LEAVES ODM OEM DESIGN Technology development Light distribution service original design Patented product Certificate Name Issued By Certificate Type Valid Date ISO9001 Guangdong Quality Testing CTC Certification Co., Ltd. - - UL UL - - ETL Intertek - - CETL Intertek - - CE Shenzhen United Testing - - Show More View details Factory & Facility Research & Development Quality Control LEAVES LED Lighting Company Profile Patent Utility model patents The live-action effect of the design week"
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhuhai-Shengchang-Electronics-Co-Limited/1X07HL18,"Exporter, Manufacturer",Hong Kong,2009.0,"Environmental Protection, Lights","Africa, Australasia, Central & South America, Chinese Mainland, Hong Kong, Japan, Korea, Middle East, Other Asian Countries, Scandinavia, Southeast Asia, Taiwan, Western Europe, Worldwide",101 - 200,"US$ 1,000,000 - 4,999,999",Mr Dehua Zheng,Manager,"Room 803, Chevalier House, 45-51 Chatham Road South, Tsim Sha Tsui, Kowloon, Hong Kong",Hong Kong,Shengchang ODM OEM Certificate Name Issued By Certificate Type Valid Date UL UL - - FCC UL - - TUV TUV - - CE TUV - - CB TUV - - Show More View details Factory & Facility Research & Development Quality Control
