Company Name,Location,Booth,url
Hong Kong Science and Technology Parks Corporation,Hong Kong,['Booth: 3E-E06   |   Hospital Equipment and Digital Health   |   Hong Kong Science and Technology Parks Pavilion'],/event/hkmedicalfair/en/exhibitor/1S0061N41
"Dayton Industrial Co., Ltd.",Hong Kong,['Booth: 3E-E06   |   Hospital Equipment and Digital Health   |   Hong Kong Science and Technology Parks Pavilion'],/event/hkmedicalfair/en/exhibitor/1S0060ZY7
"Pro-safe Nutritionals Co., Limited",Hong Kong,['Booth: 3E-E06   |   Hospital Equipment and Digital Health   |   Hong Kong Science and Technology Parks Pavilion'],/event/hkmedicalfair/en/exhibitor/1S005YY7H
Promised Land Management Limited,Hong Kong,['Booth: 3E-E06   |   Hospital Equipment and Digital Health   |   Hong Kong Science and Technology Parks Pavilion'],/event/hkmedicalfair/en/exhibitor/1S005YYSQ
Action Medical Sundries Limited,Hong Kong,['Booth: 3E-E06   |   Hospital Equipment and Digital Health   |   Hong Kong Science and Technology Parks Pavilion'],/event/hkmedicalfair/en/exhibitor/1S005YY8E
Contin Technology Limited,Hong Kong,['Booth: 3E-E06   |   Hospital Equipment and Digital Health   |   Hong Kong Science and Technology Parks Pavilion'],/event/hkmedicalfair/en/exhibitor/1S005Z8X1
Green Life Technology Ltd,Hong Kong,['Booth: 3E-E06   |   Hospital Equipment and Digital Health   |   Hong Kong Science and Technology Parks Pavilion'],/event/hkmedicalfair/en/exhibitor/1S005ZAU8
Pacific Medical Systems Limited,Hong Kong,['Booth: 3E-E06   |   Hospital Equipment and Digital Health   |   Hong Kong Science and Technology Parks Pavilion'],/event/hkmedicalfair/en/exhibitor/1S005YYLB
"Synergy Medical Supply Co., Ltd.",Hong Kong,['Booth: 3E-E06   |   Hospital Equipment and Digital Health   |   Hong Kong Science and Technology Parks Pavilion'],/event/hkmedicalfair/en/exhibitor/1S005YZLA
Anward Co,Hong Kong,['Booth: 3E-E06   |   Hospital Equipment and Digital Health   |   Hong Kong Science and Technology Parks Pavilion'],/event/hkmedicalfair/en/exhibitor/1S005Z4GK
ASSA ABLOY Entrance Systems Hong Kong Limited,Hong Kong,['Booth: 3E-E06   |   Hospital Equipment and Digital Health   |   Hong Kong Science and Technology Parks Pavilion'],/event/hkmedicalfair/en/exhibitor/1S005YYN5
"Meiji Health Tech Co., Limited",Hong Kong,['Booth: 3E-E06   |   Hospital Equipment and Digital Health   |   Hong Kong Science and Technology Parks Pavilion'],/event/hkmedicalfair/en/exhibitor/1S005YZY7
Ergotron Inc,USA,['Booth: 3E-E06   |   Hospital Equipment and Digital Health   |   Hong Kong Science and Technology Parks Pavilion'],/event/hkmedicalfair/en/exhibitor/1S0061N34
Pingtung Christian Hospital,Taiwan,['Booth: 3E-E06   |   Hospital Equipment and Digital Health   |   Hong Kong Science and Technology Parks Pavilion'],/event/hkmedicalfair/en/exhibitor/1S005ZG55
