url,Nature of Business,Location,Year of Establishment,Major Markets,Total Employees,Annual Turnover,Contact Person,Office Address,Country/Region,Main Categories,Position,Brands
https://sourcing.hktdc.com/en/Supplier-Store/Profile/HONG-KONG-SCIENCE-TECHNOLOGY-PARKS-CORP/1X00H0R9,Service Company,Hong Kong,2001.0,Hong Kong,101 - 200,"US$ 5,000,000 - 9,999,999",Ms Samantha Yung,"8F/ Bio-Informatics Centre No. 2 Science Park West Avenue Hong Kong Science Park, Shatin Hong Kong",Hong Kong,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dayton-Industrial-Co-Ltd/1X0A3SDB,"Exporter, Manufacturer",Hong Kong,,"Africa, Australasia, Central & South America, Chinese Mainland, Eastern Europe, Hong Kong, Japan, Korea, Middle East, North America, Other Asian Countries, Scandinavia, Southeast Asia, Taiwan, Western Europe, Worldwide",51 - 100 ODM OEM,,Mr Tony Chung,"Unit A, 11/F., Tai Tak Industrial Building, 2-12 Kwai Fat Road, Kwai Chung, New Territories, Hong Kong",Hong Kong,"Consumer Electronics, Health Care & Medical Supplies, Watches & Clocks",Sales and Marketing Manager,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Pro-safe-Nutritionals-Co-Limited/1S00P85SJ,,Hong Kong,,,,,Shiu Abby,"Unit 13-14, 14/F, Wah Wai Industrial Centre, 38-40 Au Pui Wan Street, Sha Tin, New Territories, Hong Kong",Hong Kong,Health Care & Medical Supplies Certificate Name Issued By Certificate Type Valid Date HACCP SGS HACCP 22 Jul 2024 - 21 Jul 2027 ISO 22000 SGS ISO 22000 22 Jul 2024 - 21 Jul 2027 Certificate of Compliance SGS Others 02 Dec 2024 - 02 Dec 2026,Head of Marketing,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Promised-Land-Management-Limited/1S00P9HPG,Others,Hong Kong,2023.0,"Hong Kong, Other Asian Countries",6 - 10,"US$ 250,000 - 499,999",Miss Anna Leung,"Unit 4, 1/F, Fu Hang Industrial Building, 1 Hok Yuen Street East, Hung Hom, Kowloon, Hong Kong",Hong Kong,"Health Care & Medical Supplies, Medical & Healthcare",Business Development Specialist,"Back to Origins, BTO negative pressure suction frequency rythmic pulsation"
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Action-Medical-Sundries-Ltd-/1X00ABW7,Manufacturer,Hong Kong,2000.0,"Hong Kong, Japan, Southeast Asia",201 - 500,"US$ 1,000,000 - 4,999,999",Ms Cindy Lai,"Rm 810, 8/F, Vanta Industrial Centre, 21-33 Tai Lin Pai Road, Kwai Chung, New Territories, Hong Kong.",Hong Kong,"Bags, Handbags & Accessories, Health Care & Medical Supplies",Assistant Business Development Manager,Canuxi ODM OEM Certificate Name Issued By Certificate Type Valid Date ISO14611-1:Class 8 Fugro ISO (others) 08 Dec 2023 - 08 Dec 2024 ISO13485:2016 Lloyd's Register ISO 13485 20 Aug 2023 - 19 Aug 2026 View details Factory & Facility
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Contin-Technology-Ltd/1X0044TV,"Exporter, Manufacturer",Hong Kong,2003.0,"Chinese Mainland, Eastern Europe, Hong Kong, North America",51 - 100,"US$ 1,000,000 - 4,999,999",Ms Jojo Cheung,"Flat H, 4/F, Valiant Industrial Ctr., 2-12 Au Pui Wan Street, Fo Tan, Shatin, Hong Kong",Hong Kong,"Consumer Electronics, Health Care & Medical Supplies, Internet of Things",Business Development Officer,Warmcare ODM OEM Certificate Name Issued By Certificate Type Valid Date Patent & Management Certification - - - View details Factory & Facility
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Green-Life-Technology-Ltd/1S00P23X6,Distributor,Hong Kong,,,,,Mrs Coco Tan,"906, 9/F Hewlett Centre, Hoi Yuen Road 54, Kwun Tong, Hong Kong",Hong Kong,Health Care & Medical Supplies supplements Medical Device Wellness Device View details Factory & Facility Supplement Catalog Device Catalog,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Pacific-Medical-Systems-Limited/1X0ARK0C,"Distributor, Trade/Industrial Organisation",Hong Kong,,Hong Kong,,,Mr Jason Kwok,"2501-04, Two Chinachem Exchange Square, 338 King's Road North Point, Hong Kong",Hong Kong,Health Care & Medical Supplies,Marketing Specialist,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Synergy-Medical-Supply-Co-Ltd/1X0910LF,"Distributor, Export Agent, Import Agent",Hong Kong,2001.0,Hong Kong,26 - 50,,Mr Moises Mehl,"Office 606-609, 6/F Global Plaza, 1 Sha Tsui Road Tsuen Wan Hong Kong",Hong Kong,"Health, Beauty and Baby Care, Personal Care",E-commerce Executive,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Anward-Co/1X0A2NTA,"Retailer, e-tailer",Hong Kong,1995.0,,,,Ms Joanne Ho,"Unit E, 2/F Ka Ming Crt 688-690 Castle Peak Rd Cheung Sha Wan, Kowloon, Hong Kong",Hong Kong,"Environmental Protection, Health Care & Medical Supplies, Lights, Sports Supplies",Sales,
