company name,location,Company Background,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,Brand Name,,HKTDC Events,Certificates,Other Certificates,supplier_url,exhibitor_url,Company Website,Booth: 3C-B28   |   Group Pavilions   |   Chinese Mainland (Huangyan) Pavilion,Booth: 3E-E20   |   World of Fine Dining   |   ,Booth: 3C-B06   |   Group Pavilions   |   Chinese Mainland (Huangyan) Pavilion,Booth: 3E-C36   |   Cook & Dine   |   ,Booth: 3E-B19   |   World of Fine Dining   |   ,Booth: 3D-D01   |   World of Fine Decor   |   Cantonese Business Go Global,Booth: 3D-E02   |   World of Fine Decor   |   Cantonese Business Go Global,Booth: 3E-E12   |   World of Fine Dining   |   Cantonese Business Go Global,Booth: 3E-D08   |   World of Fine Dining   |   Cantonese Business Go Global,Booth: 3E-A14   |   World of Fine Dining   |   ,Booth: 5E-L25   |   Cultural and Creative Avenue   |   ,"Booth: 3E-S008, 5E-E05   |   hktdc.com Showcase Zone, Homepedia   |   ","Booth: 5E-A16   |   Outdoor, Camping & Gardening   |   Cantonese Business Go Global",Booth: 5E-C02   |   Health & Wellness   |   Cantonese Business Go Global
Tsai Thing Int'l Technology Ltd.,Taiwan    |    Factory in Taiwan,Tsai Thing is a leading professional plastic injection factory in Taiwan for more than 50 years. we have long-term well cooperated ironworks and hardware factory. we design produce and sell products by ourselves with competitive price.,"Exporter, Manufacturer, Importer","Storage Box,Storage Rack,Household Hook,Storage Basket,Hanger,Drying Rack,Home Storage & Organisation,Desk Organiser,Towel Rail,Computer Peripherals & Accessories","Multifunction Lazy Susan, Foldable Invisible Hook, Bed Side Table. etc., storage shelf and organizer.","OEM, Others, OBM, ODM","OEM,ODM,with customer's logo",,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 Home InStyle 2023 HKTDC Hong Kong Houseware Fair 2019 HKTDC Hong Kong Houseware Fair 2018 HKTDC Hong Kong Houseware Fair 2017 HKTDC Hong Kong Gifts & Premium Fair 2016 HKTDC Hong Kong Houseware Fair 2016 HKTDC Hong Kong Electronics Fair (Spring Edition) 2015 Show More,,TH-918 Notebook Cooler with stand Issued By - Type - Valid Date (N/A) - (N/A) TH-988 Handler of Full size tablet and desk mount Issued By - Type - Valid Date (N/A) - (N/A) Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Tsai-Thing-International-Technology-Limited/1X00LEDH,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005GBU7,,,,,,,,,,,,,,,
Carrara International Ltd.,Taiwan,,"Department Store, Export Agent, Buying Cooperative, Buying Office","Clock,Furniture & Furnishing Accessory",CARRARA INTERNATIONAL LTD. have been specialized in clock designing and developing for more than 20 years. We aim to create various types of quartz clocks for different styles of living spaces. Our brand is CARRARA. The diversified CARRARA clock,"OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 HKTDC Hong Kong Electronics Fair 2022 (Autumn Edition) HKTDC Hong Kong Watch & Clock Fair 2022 HKTDC Hong Kong Houseware Fair 2022 HKTDC Lifestyle Sourcing Show | Physical + Online HKTDC Hong Kong Electronics Fair 2021 (Autumn Edition),,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Carrara-International-Ltd/1X0F0GUU,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005J80S,,,,,,,,,,,,,,,
"Hunan Legend Porcelain Industry Co., Ltd",Chinese Mainland,,"Exporter, Wholesaler, Manufacturer","Cutlery Set,Kitchen Utensil,Cup,Mug,Cup & Plate Set,Tableware",Ceramic,"OEM, OBM, ODM, Others",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hunan-Legend-Porcelain-Industry-Co-Ltd/1S00P4D9W,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005L4PT,,,,,,,,,,,,,,,
"Taizhou Huangyan Huayu Toy Co., Ltd.",Chinese Mainland,,Manufacturer,Baby Play Mat,"Wooden chess, table games, intellective, toys","OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Toys & Games Fair 2026 HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025 HKTDC Hong Kong Toys & Games Fair 2025 Hong Kong International Stationery & School Supplies Fair 2024 HKTDC Hong Kong Toys & Games Fair 2013 HKTDC Hong Kong Toys & Games Fair 2012 HKTDC Hong Kong Toys & Games Fair 2011 Show More,,ASTM Issued By - Type - Valid Date (N/A) - (N/A) EN-71 Issued By - Type - Valid Date (N/A) - (N/A),https://sourcing.hktdc.com/en/Supplier-Store/Profile/Taizhou-Huangyan-Huayu-Toy-Co-Ltd/1X03WRM5,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005LTUP,,,,,,,,,,,,,,,
"Zhejiang Orient Industry & Trade Co.,Ltd",Chinese Mainland,,Manufacturer,Baby Play Mat,"Wooden toys, Wooden puzzle","OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Toys & Games Fair 2026 HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025 HKTDC Hong Kong Toys & Games Fair 2025 Hong Kong International Stationery & School Supplies Fair 2024,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhejiang-Orient-Industry-Trade-Co-Ltd/1S00OEXVI,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005LTVM,,,,,,,,,,,,,,,
Hong Kong Productivity Council,Hong Kong,"The Hong Kong Productivity Council (HKPC) is a multi-disciplinary organisation established by statute in 1967, to promote productivity excellence through relentless drive of world-class advanced technologies and innovative service offerings to support Hong Kong enterprises. As a nationwide leader in innovative, market-driven research and development (R&D) internationally, specialising in leading technologies and all-rounded manufacturing services, HKPC promotes new industrialisation in Hong Kong and the Greater Bay Area and facilitates the development of new productive forces, leveraging innovation and technology (I&T), as well as bolstering Hong Kong to be an international innovation and technology centre and a smart city. The Council offers comprehensive innovative solutions for Hong Kong industries and enterprises, enabling them to achieve resources and productivity utilisation, effectiveness and cost reduction, and enhance competitiveness in both local and overseas marketplace. The Council partners and collaborates with local industries and enterprises and world-class R&D institutes to develop applied technology solutions for value creation.","Statutory Body, Government",Elderly Care,"The Healing Horizon: A Journey into Immersive Healthcare combines hand-eye coordination with floral arrangement in a mixed reality (MR) game, utilizing cognitive stimulation therapy to restore muscle and brain functions",Others,,,"Exhibited in HKTDC Event(s) in recent years Entrepreneur Day 2025, Hong Kong Belt and Road Summit, September 2025 HKTDC Hong Kong Watch & Clock Fair 2025 Home InStyle 2025 InnoEX 2025 Business of Intellectual Property Asia Forum (BIP Asia), HK HKTDC Hong Kong Watch & Clock Fair 2024 InnoEX 2024 Show More",,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hong-Kong-Productivity-Council/1S00NOSZB,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005L6TF,,,,,,,,,,,,,,,
"Taizhou Feirong Glasses Co., Ltd.",Chinese Mainland,,Manufacturer,Camping & Picnic Equipment,Sunglasses,"ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2026 HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025 HKTDC Hong Kong International Optical Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2022 Eco Expo Asia 2021 HKTDC International Sourcing Show 2021 HKTDC Hong Kong Gifts & Premium Fair 2020,,CE_SUNGLASSES Issued By - Type - Valid Date (N/A) - (N/A) FDA Issued By - Type - Valid Date (N/A) - (N/A) Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Taizhou-Feirong-Glasses-Co-Ltd-/1X0B9XZA,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005MLE9,,,,,,,,,,,,,,,
Zhejiang Huangyan Hongxing Crafts Factory,Chinese Mainland,,Manufacturer,Baby Play Mat,Wooden toys,"ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025 HKTDC Hong Kong Gifts & Premium Fair 2024,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhejiang-Huangyan-Hongxing-Crafts-Factory/1S00ON5GJ,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005LTNA,,,,,,,,,,,,,,,
Hongkong Liveon Kitchen Technology Limited,Hong Kong,,"Exporter, Wholesaler","Kitchen Utensil, Cutlery Set, Cutting Board, Kitchen Knife, Can Opener, Fork, Table Knife, Coaster, Metal Craft, Salt Pepper Grinder","HONGKONG LIVEON KITCHEN TECHNOLOGY LIMITED main products: knives, tablewares, BAMBOO WOOD ARTICLES, Kitchen miscellaneous.","ODM, OBM",,,"Exhibited in HKTDC Event(s) in recent years Home InStyle 2026 Home InStyle 2025 The Inspired Home Show, Chicago, USA",,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hongkong-Liveon-Kitchen-Technology-Limited/1S00OW9BU,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005G0Z3,www.liveonkitchen.com,,,,,,,,,,,,,,
Huangyan Import & Export Corporation Zhejiang,Chinese Mainland,,Manufacturer,Towel Rail,GIFT,"ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025 HKTDC Hong Kong Baby Products Fair 2025 HKTDC Hong Kong Gifts & Premium Fair 2024 Home InStyle 2024 HKTDC Hong Kong Baby Products Fair 2024 Home InStyle 2023 HKTDC Hong Kong Baby Products Fair 2023 Show More,,BSCI Issued By amfori Type BSCI Valid Date (N/A) - (N/A),https://sourcing.hktdc.com/en/Supplier-Store/Profile/Huangyan-Import-Export-Corporation-Zhejiang/1X07U2L9,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005LUGU,,,,,,,,,,,,,,,
"Ningbo Flyingking Import & Export Co., Ltd.",Chinese Mainland,,"Exporter, Manufacturer",Stationery,Stationery,"OBM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025 HKTDC Hong Kong Toys & Games Fair 2025 Home InStyle 2024 Home InStyle 2023 Hong Kong International Stationery & School Supplies Fair 2023 HKTDC International Sourcing Show 2021 HKTDC Hong Kong Gifts & Premium Fair 2019 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ningbo-Flyingking-Import-Export-Co-Ltd/1X09G6VN,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005MLJU,,,,,,,,,,,,,,,
Bzyoo International Inc.,Taiwan    |    Factory in Chinese Mainland,,"Importer, Exporter, Buying Office, Manufacturer, Service Company","Thermal Flask,Thermal Mug,Kitchen Utensil,Tabletop Accessories,Tableware,Mixing Bowl,Plate,Bowl,Food Container,Food Box","Dinnerware, Serveware, Kitchen Accessories, Hydration, Bento, Food Storage","OEM, ODM",Bzyoo,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2026 Home InStyle 2025 HKTDC Hong Kong Houseware Fair 2019 HKTDC Hong Kong Houseware Fair 2018 HKTDC Hong Kong Houseware Fair 2017,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/bzyoo-International-Inc-/1X09Y6VN,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005HH2D,,,,,,,,,,,,,,,
Shaoxing Shangyu Xiaoyue Bosen Art Work Factory,Chinese Mainland,,Manufacturer,Party Supplies,Party decorations,"OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025 HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2023 HKTDC Hong Kong Gifts & Premium Fair 2019 HKTDC Hong Kong Gifts & Premium Fair 2018 HKTDC Hong Kong Houseware Fair 2018 HKTDC Hong Kong International Home Textiles and Furnishings Fair 2018 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shaoxing-Shangyu-Xiaoyue-Bosen-Art-Work-Factory/1X09YTJ2,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005M5BY,,,,,,,,,,,,,,,
Zhejiang Delijia Stationery Co Ltd,Chinese Mainland,,Manufacturer,Paper Crafts,Notebook,"OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025 HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2009,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhejiang-Delija-Stationery-Co-Ltd-/1X04DO1Z,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005LTGV,,,,,,,,,,,,,,,
AT-Vibe Technology Limited,Hong Kong,"AT-Vibe Technology Limited was established in 2020 as a high-tech company committed to promoting the development of smart cities. Our core business covers areas such as automation intelligence, the Internet of Things (IoT), artificial intelligence (AI), and big data applications. We offer comprehensive intelligent solutions to our customers in areas including smart infrastructure, smart offices, and innovative healthcare. Our team has rich professional knowledge and technical expertise, and we are constantly exploring innovation and technology to realize the vision of a smart city. We are dedicated to creating smart and secure cities, using technology to improve people's lives and the social environment.","Government, Private Individual",Elderly Care,"Vitals Detection Radar,Fall Detection Radar,Smart Watch,SOS Button,Smart Love - Smart Elderly Care Ecological Solution",OEM,,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2024 HKTDC Hong Kong Electronics Fair 2023 (Autumn Edition) InnoEX 2023 HKTDC Hong Kong Electronics Fair 2022 (Autumn Edition) HKTDC Hong Kong Electronics Fair 2021 (Autumn Edition),,"Multi-Object Fall Down Detection Radar Issued By ShenzhenManYiTestingTechnologyCo.,Ltd Type OTHERS Valid Date 06 Mar 2024 - (N/A)",https://sourcing.hktdc.com/en/Supplier-Store/Profile/AT-Vibe-Technology-Limited/1S00NYULF,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005L1DW,,,,,,,,,,,,,,,
Aloha Medical Limited,Hong Kong,"Alohalife provides the product range of four categories: Healthy living, Sports, Children's development and Medical equipment. We source products which are efficiency, evidence-based, fashion from high-quality global suppliers and creative launch platforms. Just like the meaning of 'ALOHA' in our name: hope, love, peace and happiness, sincerely hope that you will find your own ALOHA LIFE in the life!","Department Store, Statutory Body, Charity / Welfare Organisation, Wholesaler","Fitness Product,Oral Care,Healthcare Product,Elderly Care","Electric suction toothbrush G100 presents a simple yet effective oral care solution for the caregivers and care-receivers who are unable to practice oral hygiene by themselves, due to the sickness, disability, or injury.",Others,"Newtral,Power Plate,Flippos,Orliman,TRNR,Power Block,NUO Dumbbell,Komodo,Bluereo",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Sports and Leisure Expo 2025 Home InStyle 2025 HKTDC Home Delights Expo 2024 HKTDC Hong Kong Sports and Leisure Expo 2024 HKTDC Beauty & Wellness Expo 2023 HKTDC Hong Kong Sports and Leisure Expo 2023 HKTDC Hong Kong International Medical and Healthcare Fair 2023 HKTDC Hong Kong International Medical and Healthcare Fair 2022 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Aloha-Medical-Limited/1S00NVCEI,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005L198,,,,,,,,,,,,,,,
Jms Group (Hong Kong) Limited,Hong Kong    |    Factory in Chinese Mainland,,Retailer,,此健康梳化，可以隨用者們身體狀況的改變而自行調整的梳化。梳化使用了具強大防水、防污、耐磨及耐抓的優質多功能皮革生產，適合不同年齡及身體狀況，以致寵物一同享用，完全共融既省錢、省時又環保。 我們的設計中加入了可調節的扶手，可以移動到梳化的中央位置，方便使用者利用雙手的力量站起來。此外，我們發現頭頸部的支撐也非常重要，因此我們特別設計了一個長圓筒形的小頸墊，能夠軟熟地包裹頸部，支撐頭部和頸部，提供更舒適的坐姿。坐墊採用多層不同硬度的海綿，再於面層加上的羽絨，發揮減輕上半身的壓力之餘，同時保持舒適。,OBM,JMStyle,,"Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 HKTDC Home Delights Expo 2023 HKTDC International Sourcing Show 2021 International Autumn Trade Fair, Dubai, UAE HKTDC Hong Kong Houseware Fair 2011 IMM cologne, Germany 2011",,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/JMS-Group-HK-Ltd/1X04CFWV,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005MSME,,,,,,,,,,,,,,,
KnitWarm Limited,Hong Kong    |    Factory in Hong Kong,,Manufacturer,"Functional Fabric,Knitting Crafts,Fabric Crafts,Consumer Electronics,Blankets,Cushion Cases,Cushions,Product Research and Development Service,Elderly Care","KnitWarm's products enhance everyday life, particularly through textiles designed for thermal comfort and well-being. KnitWarm product reflects a dedication to meaningful design, blending function and beauty to empower wearers with comfort and style.","OEM, ODM",KnitWarm,,"Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 CENTRESTAGE 2024 HKTDC Hong Kong Gifts & Premium Fair 2024 Hong Kong Design Mission to Japan, October 2023 Fashion InStyle 2023 HKTDC Hong Kong Gifts & Premium Fair 2022 HKTDC International Sourcing Show 2021",,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/KnitWarm-Limited/1S00NULAL,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005L1ET,,,,,,,,,,,,,,,
PREN Limited,Hong Kong,"Established in Hong Kong, PREN Limited is an automation solutions company, specialized in robotics solutions, hardware machines and software systems. During the pandemic, HYAB-supported PolyU Maker Fund sponsored the development of social innovation","Manufacturer, Service Company",Elderly Care,"Caretakers assist elderly or disabled individuals with bedside toileting between 2 to 5 times per day. The manual nature of conventional commodes increases repetitive work, infection hazards and staffing shortages. allcareAI smart anti-infection mob","ODM, OBM",,,"Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 Startup Pavilion at Eureka Park, CES, Las Vegas, January 2025 HKTDC Hong Kong International Medical and Healthcare Fair 2024 Entrepreneur Day 2023, Hong Kong HKTDC Hong Kong International Medical and Healthcare Fair 2023 HKTDC Hong Kong International Medical and Healthcare Fair 2022",,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/PREN-LIMITED/1S00O43CX,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005L1CZ,,,,,,,,,,,,,,,
