company name,location,Booth,Company Background,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,Brand Name,Company Website,HKTDC Events,supplier_url,exhibitor_url,Certificates,Other Certificates
Shivam Jewels Limited,Hong Kong,Booth: CEC 1E-D22   |   World of Glamour   |   ,"With great zeal, we have marked the origin of Modani Jewels decades ago in the city of gems Jaipur, India. It was the early 1970s when Mr. R.L. Modani & his son Mr. G.P. Modani inaugurated the industry as emeralds specialized gemstones cutter. With proper efforts and interests, Modani had spread their work in many countries. Fortunately, Modani Jewels has offices and affiliates in New York, Hong Kong, China, Thailand, Africa, Israel, Mumbai, and Jaipur. To make sure about the quality, rarity, and physical properties of gemstones, Mr. G.P. Modani himself introspects all the sourcing activities for the group.","Retailer, Chain Store, Wholesaler","Gemset Jewellery, Platinum Jewellery, Diamond Jewellery, Gold Jewellery Set",Our mission is to create a multi-brands jewellery platform that showcases independent jewellery artists and brands who design unique style and personality. Our vision is to create and showcase some of the most beautiful jewellery pieces and collectio,OEM,Modani Jewels,www.modanijewels.com,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Jewellery Show 2026 HKTDC Hong Kong International Jewellery Show 2025 HKTDC Hong Kong International Jewellery Show 2024 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2024",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shivam-Jewels-Limited/1S00OFWYA,https://www.hktdc.com/event/hkjewellery/en/exhibitor/1S005WOUU,,
Unison Manufacturing HK Limited,Hong Kong,"Booth: CEC 5E-H39, CEC 1E-A02   |   Lab-Grown Diamond Jewellery / Synthetic Gemstone Jewellery, World of Glamour   |   ","We, Unison was established in Yamanashi, Japan in 1997 as Diamond studded jewelry manufacturer. In additon, we have opened Hong Kong office in 2013 as the base of international business. Since it's establishment, Unison has commited in improving it's services and products quality. We keep taking customer's needs as the core and making use of it to enrich our services and products constantly. We believe that Jewelry will make people happy and make a good addition to a life. And this is what we make jewelry for. This fuels our passion for constant and never-ending improvement in everything we do. We never stops evolving.","Manufacturer, Wholesaler",Diamond Jewellery,Our mission is to provide our simple modern elegant Jewelry at affordable and valuable prices so that people can enjoy jewelry more often.,OEM,,www.unison.com.hk,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Jewellery Show 2026 HKTDC Hong Kong International Jewellery Show 2025 HKTDC Hong Kong International Jewellery Show 2024 HKTDC Hong Kong International Jewellery Show 2023 HKTDC Hong Kong International Jewellery Show 2022 HKTDC Hong Kong International Jewellery Show 2019 HKTDC Hong Kong International Jewellery Show 2018,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Unison-Manufacturing-HK-Limited/1X0AA8XF,https://www.hktdc.com/event/hkjewellery/en/exhibitor/1S005Z1TK,,
"CT Color Jewelry Co., Ltd.",Chinese Mainland,Booth: CEC 5C-B20   |   Chinese Mainland Pavilion   |   Cantonese Business Go Global,"CT Color Jewelry Co Ltd was established in 2005 Panyu Guangzhou. China. A jewelry Factory with 15years of manufacturing experience in China. Mainly doing SILVER and BRASS Jewelry with CZ pave or natural gems, plain, Enamel, Pearl etc. Monthly production capacity about 40000-60000PCS per month. Every month creates more than 200 moulds, we have more than 20000PCS different designs in our show room, Factory each process has QC to control the quality! OEM, ODM is welcome, we can make sample according to your request design! We are professional with mould issue, mass production, Low-cost, High quality! CT Color Jewelry Co., Ltd has always worked for this belief: Best Price, Nice quality, Timely delivery, and Good service which can bring a long term mutually beneficial business relationship with our customer, with any enquiries or question, Please kindly mail or call us. Excellent products, credibility first, win-win cooperation-----CT COLOR JEWEKRY will always be your most sincere partner. Sincerely hope can start cooperation with your company in near future!","Import Agent, Export Agent, Importer","Sterling Silver Jewellery, Coin Jewellery, Titanium Jewellery, Stainless Steel Jewellery","Mainly doing silver 925 and BRASS Jewelry with CZ pave or natural gems, plain, Enamel, Pearl etc. with plating, Rhodium, Gold, Rose gold, Black plated.","OBM, OEM, ODM",,www.ctcolorjew.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Jewellery Show 2026 HKTDC Hong Kong International Jewellery Show 2025 HKTDC Hong Kong International Jewellery Show 2024 HKTDC Hong Kong International Jewellery Show 2023 HKTDC Hong Kong International Jewellery Show 2019 HKTDC Hong Kong International Jewellery Show 2018 HKTDC Hong Kong International Jewellery Show 2017 HKTDC Hong Kong International Jewellery Show 2016 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/CT-Color-Jewelry-Co-Ltd/1X059J1E,https://www.hktdc.com/event/hkjewellery/en/exhibitor/1S005XLXO,,
GIA Hong Kong Laboratory Limited,Hong Kong,"Booth: CEC 1CON-028   |   Testing, Inspection & Certification   |   ","Established in 1931, GIA is the foremost authority on diamonds, colored stones, and pearls. A public benefit, nonprofitinstitute, GIA is the leading source of knowledge, standards, and education in gems and jewelry.","Trade/Industrial Organisation, Others","Testing Inspection & Certification, Gemmological Instrument, Jewellery Tool, Gemmological Laboratory, Checking & Measuring Instrument","Established in 1931, GIA is the foremost authority on diamonds, colored stones, and pearls. A public benefit, nonprofitinstitute, GIA is the leading source of knowledge, standards, and education in gems and jewelry.",Others,"Gemological Institute of America (GIA),Gemological Institute of America,GIA",www.gia.edu,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Jewellery Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Jewellery Show 2025 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025",https://sourcing.hktdc.com/en/Supplier-Store/Profile/GIA-Hong-Kong-Laboratory-Ltd/1S00OWA82,https://www.hktdc.com/event/hkjewellery/en/exhibitor/1S005WDLW,,
"Guangzhou Hll Silver Jewelry Co.,Ltd",Chinese Mainland,Booth: CEC 5C-F26   |   Chinese Mainland Pavilion   |   Cantonese Business Go Global,,Manufacturer,Sterling Silver Jewellery,925 silver jewelry,OEM,,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Jewellery Show 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangzhou-Hll-Silver-Jewelry-Co-Ltd/1S00P7O9L,https://www.hktdc.com/event/hkjewellery/en/exhibitor/1S005UVLE,,
Oriental Gemco Limited,Hong Kong,Booth: CEC 1D-A22   |   World of Glamour   |   ,,Exporter,"White Gold Jewellery, Diamond Jewellery, South Sea Pearl Jewellery, Platinum Jewellery, Akoya Pearl Jewellery",Fine Jewellery,Others,NIGAAM,www.orientalgemco.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Jewellery Show 2026 HKTDC Hong Kong International Jewellery Show 2025 HKTDC Hong Kong International Jewellery Show 2024 HKTDC Hong Kong International Jewellery Show 2023 HKTDC Hong Kong International Jewellery Show 2022 HKTDC Hong Kong International Jewellery Show 2019 HKTDC Hong Kong International Jewellery Show 2018,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Oriental-Gemco-Limited/1S00O57GH,https://www.hktdc.com/event/hkjewellery/en/exhibitor/1S005WP5W,,
7 Good Silver,Taiwan,"Booth: CEC 5E-B26   |   Silver, Titanium & Stainless Steel Jewellery   |   Taiwan Pavilion",,Manufacturer,"Titanium Jewellery, Sterling Silver Jewellery, Stainless Steel Jewellery",All kinds of silver jewelry and ornaments,"OBM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Jewellery Show 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/7-Good-Silver/1S00P3RMF,https://www.hktdc.com/event/hkjewellery/en/exhibitor/1S005WEOM,,
"F Feng Tai Jewelry Co., Ltd.",Taiwan,"Booth: CEC 5E-C20   |   Silver, Titanium & Stainless Steel Jewellery   |   Taiwan Pavilion",,Manufacturer,"Stainless Steel Jewellery, Titanium Jewellery, Sterling Silver Jewellery",jewelry,"ODM, OBM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Jewellery Show 2026 HKTDC Hong Kong International Jewellery Show 2025 HKTDC Hong Kong International Jewellery Show 2019 HKTDC Hong Kong International Jewellery Show 2018 HKTDC Hong Kong International Jewellery Show 2017 HKTDC Hong Kong International Jewellery Show 2016,https://sourcing.hktdc.com/en/Supplier-Store/Profile/F-Feng-Tai-Jewelry-Co-Ltd-/1X09DUZJ,https://www.hktdc.com/event/hkjewellery/en/exhibitor/1S005WHVY,,
Continental Jewellery (Mfg.) Limited,Hong Kong,Booth: CEC 1C-D02   |   World of Glamour   |   ,"As we celebrate our 50th anniversary this year, we take pride in being a preeminent manufacturer in the fine jewellery industry. Over the decades, we have earned a reputation for time-honoured experience, combined with unequalled expertise and know-how. Our commitment to craftsmanship and innovation has allowed us to create exquisite jewellery that resonates with customers around the globe. Founded in 1975, our company has continually evolved, embracing the latest technologies and trends while staying true to our rich heritage. Our unwavering focus on quality and customer satisfaction drives us to deliver maximum value. We work closely with our clients to understand their needs, ensuring that each piece not only meets but exceeds their expectations. As a member of the Responsible Jewellery Council, Continental recognizes the need to establish and continually improve good business practices as set by the Council's compliance international standards on responsible practices for diamonds, coloured gemstones, gold and platinum group metals. The Code of Practices encompasses, but is not limited to, the areas of ethical, human rights, labour rights, social and environmental impact, mining practices, and product disclosure.",Manufacturer,"Gemset Jewellery, White Gold Jewellery, Diamond Jewellery, Platinum Jewellery",Continental has been a preeminent jewellery manufacturer and exporter for over 50 years. The Group continues to deliver sophisticated Jewellery pieces and unrivaled service to customers worldwide.,"ODM, OEM, OBM",,www.continental.com.hk,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Jewellery Show 2026 HKTDC Hong Kong International Jewellery Show 2025 HKTDC Hong Kong International Jewellery Show 2024 HKTDC Hong Kong International Jewellery Show 2023 HKTDC Hong Kong International Jewellery Show 2022 BASELWORLD 2021 The World Watch and Jewellery Show, Basel, Switzerland BASELWORLD 2019 - The Watch and Jewellery Show HKTDC Hong Kong International Jewellery Show 2019 Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Continental-Jewellery-Mfg-Ltd/1X001VOR,https://www.hktdc.com/event/hkjewellery/en/exhibitor/1S005WA82,,RJC Certification Issued By Responsible Jewellery Council Type - Valid Date (N/A) - 31 Jan 2024
Elegance Jewellery International Limited,Hong Kong,Booth: CEC 1C-C02   |   World of Glamour   |   ,"Founded in 1991 as design and manufacture workshop, it was not too long before EJI bringing itself toward international by re-forming to Elegance Jewellery International Limited. Since 2005, EJI was branded symbolizing its commitment in providing the most unique and mature products for different market segments. EJI formed by a group of enthusiasts to achieve their passions and beliefs with recognized qualities and innovative designs in the industry; bridging the company spirits to satisfy customer's need in ever-changing business environment. Customer's trust is the best award and most valued success for the company, encouraging EJI continues to create the most admirable jewellery that inspired by the company spirit.","Exporter, Manufacturer","South Sea Pearl Jewellery, Akoya Pearl Jewellery, White Gold Jewellery, Platinum Jewellery, Diamond Jewellery, Gemset Jewellery, Men’s Jewellery","Fine Jewellery: 18K/14K Gold & Platinum setting with Diamonds, Precious stones and Semi-Precious stones.","OBM, ODM, OEM",EJI,www.eji.com.hk,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Jewellery Show 2026 HKTDC Hong Kong International Jewellery Show 2025 HKTDC Hong Kong International Jewellery Show 2024 HKTDC Hong Kong International Jewellery Show 2023 BASELWORLD 2021 The World Watch and Jewellery Show, Basel, Switzerland BASELWORLD 2019 - The Watch and Jewellery Show HKTDC Hong Kong International Jewellery Show 2019 BASELWORLD 2018 - The World Watch and Jewellery Show Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Elegance-Jewellery-International-Limited/1X009GN1,https://www.hktdc.com/event/hkjewellery/en/exhibitor/1S005WFAR,,RJC Membership Issued By Responsible Jewellery Council Type OTHERS Valid Date 20 Oct 2024 - 20 Oct 2027 Tier 1 Authorized Economic Operator Issued By Hong Kong Customs and Excise Department Type OTHERS Valid Date 09 Feb 2023 - 08 Feb 2026
