company_name,description,exhibit loc,url,full_url
3M China Limited,,,/shanghai/en/exhibitor-search.detail.html/3m-china-limited.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/3m-china-limited.html#exhibitorheadline
3M Corporate,,"5.1, C22",/shanghai/en/exhibitor-search.detail.html/3m-corporate.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/3m-corporate.html#exhibitorheadline
嘉善德翔服饰有限公司,,"1.2, B09",/shanghai/en/exhibitor-search.detail.html/jiashan-dexiang-clothing-co-ltd.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/jiashan-dexiang-clothing-co-ltd.html#exhibitorheadline
Abraham Moon & Sons Ltd,,"5.1, G56",/shanghai/en/exhibitor-search.detail.html/abraham-moon--sons-ltd.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/abraham-moon--sons-ltd.html#exhibitorheadline
Ace Group Fashion International Limited,"We are Shenzhen Yashi Textile Co., Ltd., a supplier specializing in mid-to-high-end knitted fabrics. We offer both custom...","5.1, C45",/shanghai/en/exhibitor-search.detail.html/ace-group-fashion-international-limited.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/ace-group-fashion-international-limited.html#exhibitorheadline
Achille Pinto SpA,,"5.1, J77",/shanghai/en/exhibitor-search.detail.html/achille-pinto-spa.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/achille-pinto-spa.html#exhibitorheadline
Act As Second Co Ltd,,"5.1, C80",/shanghai/en/exhibitor-search.detail.html/act-as-second-co-ltd.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/act-as-second-co-ltd.html#exhibitorheadline
"Advance Denim Ltd Co,.",,"7.2, C53",/shanghai/en/exhibitor-search.detail.html/advance-denim-ltd-co.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/advance-denim-ltd-co.html#exhibitorheadline
"AIRUN TEXTILE (SUZHOU) CO.,LTD",,"6.2, K138",/shanghai/en/exhibitor-search.detail.html/airun-textile-suzhou-coltd.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/airun-textile-suzhou-coltd.html#exhibitorheadline
Akahori Sangyo Corporation,,"5.1, D62",/shanghai/en/exhibitor-search.detail.html/akahori-sangyo-corporation.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/akahori-sangyo-corporation.html#exhibitorheadline
Albini SpA,,"5.1, F74",/shanghai/en/exhibitor-search.detail.html/albini-spa.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/albini-spa.html#exhibitorheadline
Alex & Kate,,"5.1, J58",/shanghai/en/exhibitor-search.detail.html/alex--kate.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/alex--kate.html#exhibitorheadline
Alpha,,"5.1, C55",/shanghai/en/exhibitor-search.detail.html/alpha.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/alpha.html#exhibitorheadline
