company_name,description,exhibit loc,url,full_url
9mieux,,"1B, X023",/nagoya/en/exhibitor-search.detail.html/9mieux.html#exhibitorheadline,https://beautyworld-japan-nagoya.jp.messefrankfurt.com/nagoya/en/exhibitor-search.detail.html/9mieux.html#exhibitorheadline
"A&C BEAUTE CO., LTD.",,"1A, F018",/nagoya/en/exhibitor-search.detail.html/ac-beaute-co-ltd.html#exhibitorheadline,https://beautyworld-japan-nagoya.jp.messefrankfurt.com/nagoya/en/exhibitor-search.detail.html/ac-beaute-co-ltd.html#exhibitorheadline
"ACE Co., Ltd.",私たちは常に進化し 『新しい』と『真実』を提供する事で、 美容業界を革新する。 この理念をもとに業界最先端&結果重視&ハイクオリティを念頭におき厳選したマシンや商材を取り揃えております。​​業界初「プラズマハンド」×「EMSテラヘルツ」を搭...,"1B, J022",/nagoya/en/exhibitor-search.detail.html/ace-co-ltd.html#exhibitorheadline,https://beautyworld-japan-nagoya.jp.messefrankfurt.com/nagoya/en/exhibitor-search.detail.html/ace-co-ltd.html#exhibitorheadline
Adva Corporation,アドバコーポレーション 全国の理美容室・エステ・ネイル・アイラッシュ・リラクゼーションサロン等、美容サロン様向け商品（化粧品・美容機器・サプリメント等）の販売をしている美容総合商社です。 イベントやセミナーの開催、新規OPENの際の開業支援...,"1B, H036",/nagoya/en/exhibitor-search.detail.html/adva-corporation.html#exhibitorheadline,https://beautyworld-japan-nagoya.jp.messefrankfurt.com/nagoya/en/exhibitor-search.detail.html/adva-corporation.html#exhibitorheadline
"AESOON INTERNATIONAL CO., LTD.",,"1B, N032",/nagoya/en/exhibitor-search.detail.html/aesoon-international-co-ltd.html#exhibitorheadline,https://beautyworld-japan-nagoya.jp.messefrankfurt.com/nagoya/en/exhibitor-search.detail.html/aesoon-international-co-ltd.html#exhibitorheadline
"AG PAYMENT SERVICE CO., LTD.",AGペイメントサービス株式会社は、アイフル株式会社のグループ企業として事業展開しており、さまざまな分野で貴社に貢献できます。当社ブースでは、以下のご案内ができます。■ショッピングクレジット【AGペイメントサービス株式会社】　AGペイメントサ...,"1B, K007",/nagoya/en/exhibitor-search.detail.html/ag-payment-service-co-ltd.html#exhibitorheadline,https://beautyworld-japan-nagoya.jp.messefrankfurt.com/nagoya/en/exhibitor-search.detail.html/ag-payment-service-co-ltd.html#exhibitorheadline
AI&AI,,"1A, C048",/nagoya/en/exhibitor-search.detail.html/aiai.html#exhibitorheadline,https://beautyworld-japan-nagoya.jp.messefrankfurt.com/nagoya/en/exhibitor-search.detail.html/aiai.html#exhibitorheadline
"aicell Co., Ltd.",株式会社アイセルは、ピーリング剤を中心に、化学の力を生かした新しいスキンケア化粧品の企画やプロデュース、製造を通じて、肌と心の健康に貢献できるよう努めております。 商品の開発理念は、「シンプルだけど贅沢に~Simple yet luxurious...,"1B, X010",/nagoya/en/exhibitor-search.detail.html/aicell-co-ltd.html#exhibitorheadline,https://beautyworld-japan-nagoya.jp.messefrankfurt.com/nagoya/en/exhibitor-search.detail.html/aicell-co-ltd.html#exhibitorheadline
Aichi Beauty Shop Owner's Association,＜ 美 容 あ い ち ＞ ☆ 美 容 師 優 遇 制 度 の 充 実 ☆ https://www.biyou-aichi.or.jp/ ＜ 中 部 美 容 専 門 学 校 ＞ ☆ 組 合 立 の 学 校 で 、美 容 師 育 成 に 適...,"1B, H033",/nagoya/en/exhibitor-search.detail.html/aichi-beauty-shop-owners-association.html#exhibitorheadline,https://beautyworld-japan-nagoya.jp.messefrankfurt.com/nagoya/en/exhibitor-search.detail.html/aichi-beauty-shop-owners-association.html#exhibitorheadline
Aichi hairdressing life hygiene trade association,,"1B, K031",/nagoya/en/exhibitor-search.detail.html/aichi-hairdressing-life-hygiene-trade-association.html#exhibitorheadline,https://beautyworld-japan-nagoya.jp.messefrankfurt.com/nagoya/en/exhibitor-search.detail.html/aichi-hairdressing-life-hygiene-trade-association.html#exhibitorheadline
"AKROS Co., Ltd.",株式会社アクロスは、愛知県長久手市に本社を置く歯科用バキューム装置の専門メーカーです。 1978年の創業以来、診療用・口腔外用・技工用など多様な吸引装置を開発し、歯科医院のクリーンで安全な診療環境づくりを支えてきました。 確かな吸引力、静音...,"1B, X012",/nagoya/en/exhibitor-search.detail.html/akros-co-ltd.html#exhibitorheadline,https://beautyworld-japan-nagoya.jp.messefrankfurt.com/nagoya/en/exhibitor-search.detail.html/akros-co-ltd.html#exhibitorheadline
"ALEN Co., Ltd.","Established in 1947 and incorporated on November 27, 1997, our company is a comprehensive beauty and health manufacturer...","1A, F028",/nagoya/en/exhibitor-search.detail.html/alen-co-ltd.html#exhibitorheadline,https://beautyworld-japan-nagoya.jp.messefrankfurt.com/nagoya/en/exhibitor-search.detail.html/alen-co-ltd.html#exhibitorheadline
Alexandria professional Japan,,"1B, X022",/nagoya/en/exhibitor-search.detail.html/amk-international.html#exhibitorheadline,https://beautyworld-japan-nagoya.jp.messefrankfurt.com/nagoya/en/exhibitor-search.detail.html/amk-international.html#exhibitorheadline
Aliare Beauty College,,"1B, K031",/nagoya/en/exhibitor-search.detail.html/aliare-beauty-college.html#exhibitorheadline,https://beautyworld-japan-nagoya.jp.messefrankfurt.com/nagoya/en/exhibitor-search.detail.html/aliare-beauty-college.html#exhibitorheadline
