url,all_info,Business Category,Booth Number,Brand,Website,Company Profile,Youtube
https://www.secutech.com/26/en/exdetail.aspx?eid=4193,"['Business Category\tDisaster Prevention and Rescue', 'Booth Number\t152', 'Brand\t', 'Self-owned：APOLLO (Taiwan)', '', 'Website\thttp://www.craneparts.com.tw', 'Company Profile\t', 'Youtube\t']",Disaster Prevention and Rescue,152,Self-owned：APOLLO (Taiwan),http://www.craneparts.com.tw,,
https://www.secutech.com/26/en/exdetail.aspx?eid=55,"['Business Category\tPhysical Security: Surveillance, Access Control, Alarm, Intercom', 'Booth Number\t105', 'Brand\t', 'Self-owned：3S (Taiwan)', '', 'Website\thttp://www.3svision.com.tw', 'Company Profile\t3S research team brings years of experience in design and R&D, utilizing advanced AI image analysis and intelligent video management systems paired with high-quality smart imaging devices to deliver a fully integrated automation system.', 'Youtube\thttps://www.youtube.com/watch?v=suehBUTj8i0&t=1s', '']","Physical Security: Surveillance, Access Control, Alarm, Intercom",105,Self-owned：3S (Taiwan),http://www.3svision.com.tw,"3S research team brings years of experience in design and R&D, utilizing advanced AI image analysis and intelligent video management systems paired with high-quality smart imaging devices to deliver a fully integrated automation system.",https://www.youtube.com/watch?v=suehBUTj8i0&t=1s
https://www.secutech.com/26/en/exdetail.aspx?eid=5197,"['Business Category\tAI/IoT/Networking/Software & Platform', 'Booth Number\tK7', 'Brand\t', 'Self-owned：ALLIANCE 供應商資安評級方案 (Taiwan)', 'Self-owned：YODA 資安弱點管理平台 (Taiwan)', '', 'Website\thttp://www.8isoft.com', 'Company Profile\t8iSoft (Lianyun Intelligent Co., Ltd.) focuses on cybersecurity innovation, using cloud and AI to provide intelligent security solutions. We offer services including vulnerability scanning, source code analysis, and penetration testing. YODA, our vulnerability management platform, automates detection, risk assessment, and remediation to improve security. ALLIANCE evaluates third-party and supply chain risks, helping enterprises strengthen resilience and maintain a trusted digital environment.', 'Youtube\thttps://youtu.be/ZTVIbbzOzgM', '']",AI/IoT/Networking/Software & Platform,K7,Self-owned：ALLIANCE 供應商資安評級方案 (Taiwan),http://www.8isoft.com,"8iSoft (Lianyun Intelligent Co., Ltd.) focuses on cybersecurity innovation, using cloud and AI to provide intelligent security solutions. We offer services including vulnerability scanning, source code analysis, and penetration testing. YODA, our vulnerability management platform, automates detection, risk assessment, and remediation to improve security. ALLIANCE evaluates third-party and supply chain risks, helping enterprises strengthen resilience and maintain a trusted digital environment.",https://youtu.be/ZTVIbbzOzgM
https://www.secutech.com/26/en/exdetail.aspx?eid=3190,"['Business Category\tAI/IoT/Networking/Software & Platform', 'Booth Number\t511', 'Brand\t', 'Website\thttp://www.abilityintelligent.com', 'Company Profile\tAbility Intelligent Corporation leverages AI imaging and IoT integration as core technologies to create versatile AIoT solutions. By connecting cloud platforms with data analytics, our systems enable an intelligent cycle from sensing and analysis to decision-making. Applied across building management, traffic, logistics, parking, safety, and customer service, we help organizations enhance efficiency and security while advancing smarter, safer, and more sustainable operations.', 'Youtube\thttps://www.youtube.com/@AbilityIntelligent', '']",AI/IoT/Networking/Software & Platform,511,,http://www.abilityintelligent.com,"Ability Intelligent Corporation leverages AI imaging and IoT integration as core technologies to create versatile AIoT solutions. By connecting cloud platforms with data analytics, our systems enable an intelligent cycle from sensing and analysis to decision-making. Applied across building management, traffic, logistics, parking, safety, and customer service, we help organizations enhance efficiency and security while advancing smarter, safer, and more sustainable operations.",https://www.youtube.com/@AbilityIntelligent
https://www.secutech.com/26/en/exdetail.aspx?eid=3183,"['Business Category\tPhysical Security: Surveillance, Access Control, Alarm, Intercom', 'Booth Number\t111', 'Brand\t', 'Website\thttp://-', 'Company Profile\t', 'Youtube\t']","Physical Security: Surveillance, Access Control, Alarm, Intercom",111,,http://-,,
https://www.secutech.com/26/en/exdetail.aspx?eid=48,"['Business Category\tPhysical Security: Surveillance, Access Control, Alarm, Intercom', 'Booth Number\t101', 'Brand\t', 'Self-owned：ACCORD (Taiwan)', '', 'Website\thttp://www.accordia.com.tw', 'Company Profile\tAccord (Since 1980) is a leader in keypad technology.', 'Over four decades, we have been devoted to providing customers one-stop solution in both unique and standard models. From prototypes to volume orders. From designing, mold-making to final assembly, our self-contained production line makes it possible to delivery at fastest time and best prices.', '', 'Our main products:', 'Plastic Keypads, Waterproof Metal Keypads, Back lighting Keypads for Security Access Control Systems.', '', '', '', 'Youtube\t']","Physical Security: Surveillance, Access Control, Alarm, Intercom",101,Self-owned：ACCORD (Taiwan),http://www.accordia.com.tw,Accord (Since 1980) is a leader in keypad technology.,
https://www.secutech.com/26/en/exdetail.aspx?eid=5252,"['Business Category\tActive/Passive Fire Safety', 'Booth Number\t443', 'Brand\t', 'Self-owned：滑軌式避難逃生設備 (Taiwan)', '', 'Website\thttp://www.facebook.com/profile.php?id=61580269922130&locale=zh_TW', 'Company Profile\t', 'Youtube\t']",Active/Passive Fire Safety,443,Self-owned：滑軌式避難逃生設備 (Taiwan),http://www.facebook.com/profile.php?id=61580269922130&locale=zh_TW,,
https://www.secutech.com/26/en/exdetail.aspx?eid=2661,"['Business Category\tSmart Building/Homes', 'Booth Number\t522', 'Brand\t', 'Self-owned：AWTEK (Taiwan)', 'Other Represented：Honeywell (America)', '', 'Website\thttp://www.awtek.com.tw', 'Company Profile\tOur company (AWTEK) provides SIP building intercom and smart home security systems. The main feature is a network-wide video intercom system, enabling video communication between devices and conforming to the SIP standard protocol, supporting SIP calls. The Indoor Monitor provides 8 security loops, which can connect to sensing devices, displaying the real-time status of the security loops on the device. We also provide one-button SOS emergency call and alarm recording functions.', 'Youtube\t']",Smart Building/Homes,522,Self-owned：AWTEK (Taiwan),http://www.awtek.com.tw,"Our company (AWTEK) provides SIP building intercom and smart home security systems. The main feature is a network-wide video intercom system, enabling video communication between devices and conforming to the SIP standard protocol, supporting SIP calls. The Indoor Monitor provides 8 security loops, which can connect to sensing devices, displaying the real-time status of the security loops on the device. We also provide one-button SOS emergency call and alarm recording functions.",
https://www.secutech.com/26/en/exdetail.aspx?eid=141,"['Business Category\tPhysical Security: Surveillance, Access Control, Alarm, Intercom', 'Booth Number\t613', 'Brand\t', 'Other Represented：i-PRO (Japan)', 'Other Represented：Milestone (Europe)', 'Other Represented：Pelco (America)', 'Other Represented：Mobotix (Europe)', 'Other Represented：Promise (Taiwan)', 'Other Represented：Digifort (America)', 'Other Represented：DW (America)', '', 'Website\thttp://www.aeviso.com.tw', 'Company Profile\tWe strongly believe that our outstanding services will help our long-term partners growing in their core markets, increasing their market shares, and outlasting their competitors.', 'Our biggest motivation is coming from our daily bi-directional communication with our customers and partners as we listen and learn but also train them with utmost enthusiasm.', 'Furthermore, we are choosing the best, most famous, and safe brands to ensure best protection with highest level of security for our local market.', 'Youtube\t']","Physical Security: Surveillance, Access Control, Alarm, Intercom",613,Other Represented：i-PRO (Japan),http://www.aeviso.com.tw,"We strongly believe that our outstanding services will help our long-term partners growing in their core markets, increasing their market shares, and outlasting their competitors.",
https://www.secutech.com/26/en/exdetail.aspx?eid=2567,"['Business Category\tAI/IoT/Networking/Software & Platform', 'Booth Number\tK33', 'Brand\t', 'Self-owned：AiUnion (Taiwan)', '', 'Website\thttp://www.aiunion.com.tw', 'Company Profile\tBased on AI CNN Deep Learning technology，AiUnion develops FaceAI system for face capturing, face recognizing, identity enrolling and matching. AiUnion develops the differentiated AI solutions for the different industry fields, such as public security, bank, factory, building etc., and integrated with big data analysis and cloud system. Our vision is to create a win-win value with partners and customers in the new AI era.', 'System Products:Dynamic Facial Recognition, Vehicle Attributes Recognition.', 'Youtube\thttps://http://www.aiunion.com.tw/', '']",AI/IoT/Networking/Software & Platform,K33,Self-owned：AiUnion (Taiwan),http://www.aiunion.com.tw,"Based on AI CNN Deep Learning technology，AiUnion develops FaceAI system for face capturing, face recognizing, identity enrolling and matching. AiUnion develops the differentiated AI solutions for the different industry fields, such as public security, bank, factory, building etc., and integrated with big data analysis and cloud system. Our vision is to create a win-win value with partners and customers in the new AI era.",https://http://www.aiunion.com.tw/
