"a-link--no-focus href","ex-exhibitor-search-result-item__headline","ex-exhibitor-search-result-item__highlight-text"
"https://intertextile-shenzhen.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/act-as-second-co-ltd.html#exhibitorheadline","Act As Second Co Ltd",""
"https://intertextile-shenzhen.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/caihui-textile.html#exhibitorheadline","Caihui Textile",""
"https://intertextile-shenzhen.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/shanghai-cavallo-1886-ltd.html#exhibitorheadline","Shanghai Cavallo 1886 Ltd",""
"https://intertextile-shenzhen.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/dne-company.html#exhibitorheadline","DnE Company",""
"https://intertextile-shenzhen.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/fashion-bazar-hong-kong-technology-co-limited.html#exhibitorheadline","Fashion Bazar (Hong Kong) Technology Co Limited",""
"https://intertextile-shenzhen.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/forchoice-trading-company-limited.html#exhibitorheadline","Forchoice Trading Company Limited",""
"","","Advert"
"","","Advert"
"https://intertextile-shenzhen.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/foshan-shangdu-textile-co-ltd.html#exhibitorheadline","Foshan Shangdu Textile Co Ltd",""
"https://intertextile-shenzhen.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/foshan-shunde-caihui-textile-group-co-ltd.html#exhibitorheadline","Foshan Shunde Caihui Textile Group Co Ltd",""
"https://intertextile-shenzhen.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/global-standard-ggmbh.html#exhibitorheadline","Global Standard gGmbH",""
"https://intertextile-shenzhen.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/good-top-trading-company.html#exhibitorheadline","Good-Top Trading Company",""
"https://intertextile-shenzhen.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/guangdong-doota-international-supply-chain-co-ltd.html#exhibitorheadline","Guangdong Doota International Supply Chain Co Ltd",""
"https://intertextile-shenzhen.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/hk-chic-lucie-limited.html#exhibitorheadline","HK Chic Lucie Limited",""
"","","Advert"
"","","Advert"
"https://intertextile-shenzhen.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/hohenstein.html#exhibitorheadline","Hohenstein",""
