company_name,description,exhibit loc,url,full_url
-,,"E3, E3-27C",https://hk.messefrankfurt.com/hongkong/en.html,https://ishc-cihe.hk.messefrankfurt.com/beijing/enhttps://hk.messefrankfurt.com/hongkong/en.html
ACOL (Shanghai) Online Controls Co Ltd,,"E3, E3-16B",/beijing/en/exhibitor-search.detail.html/acol-shanghai-online-controls-co-ltd.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/acol-shanghai-online-controls-co-ltd.html#exhibitorheadline
"Afriso Measurement & Control Technology (Suzhou) Co., Ltd.",,,/beijing/en/exhibitor-search.detail.html/afriso-measurement--control-technology--suzhou-co-ltd.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/afriso-measurement--control-technology--suzhou-co-ltd.html#exhibitorheadline
Angang Group Yongtong Ductile Cast Iron Pipe Co Ltd,,"W3, W3-17A",/beijing/en/exhibitor-search.detail.html/angang-group-yongtong-ductile-cast-iron-pipe-co-ltd.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/angang-group-yongtong-ductile-cast-iron-pipe-co-ltd.html#exhibitorheadline
Anhui Highwell Electronic Co Ltd,,"W3, W3-30A",/beijing/en/exhibitor-search.detail.html/anhui-highwell-electronic-co-ltd.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/anhui-highwell-electronic-co-ltd.html#exhibitorheadline
Anhui Hongjiu Water Pump Equipment Co Ltd,,"W1, W1-12A",/beijing/en/exhibitor-search.detail.html/anhui-hongjiu-water-pump-equipment-co-ltd.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/anhui-hongjiu-water-pump-equipment-co-ltd.html#exhibitorheadline
Anhui Shinhoo Canned Motor Pump Co Ltd,,"E2, E2-12A",/beijing/en/exhibitor-search.detail.html/anhui-shinhoo-canned-motor-pump-co-ltd.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/anhui-shinhoo-canned-motor-pump-co-ltd.html#exhibitorheadline
Arco Electronics Ltd All Rights Reserved,,"E2, E2-37F",/beijing/en/exhibitor-search.detail.html/arco-electronics-ltd-all-rights-reserved.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/arco-electronics-ltd-all-rights-reserved.html#exhibitorheadline
Armstrong Fluid Technology,,,/beijing/en/exhibitor-search.detail.html/armstrong-fluid-technology.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/armstrong-fluid-technology.html#exhibitorheadline
HACI AYVAZ END MAM SAN VE TIC A.S,,"E1, E1-08H",/beijing/en/exhibitor-search.detail.html/haci-ayvaz-end-mam-san-ve-tic-as.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/haci-ayvaz-end-mam-san-ve-tic-as.html#exhibitorheadline
Baofeng Lushun Fluid Technology Co Ltd,,"W2, W2-51A",/beijing/en/exhibitor-search.detail.html/baofeng-lushun-fluid-technology-co-ltd.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/baofeng-lushun-fluid-technology-co-ltd.html#exhibitorheadline
Baotou Huameng Environmental Protection and Energy Saving Technology Development Co Ltd,,"W3, W3-05C",/beijing/en/exhibitor-search.detail.html/baotou-huameng-environmental-protection-and-energy-saving-technology-development-co-ltd.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/baotou-huameng-environmental-protection-and-energy-saving-technology-development-co-ltd.html#exhibitorheadline
"Barnova (Jinan) Energy Technology Co., Ltd",,,/beijing/en/exhibitor-search.detail.html/barnova-jinan-energy-technology-co-ltd.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/barnova-jinan-energy-technology-co-ltd.html#exhibitorheadline
Beijing Beigao Valve Group Co Ltd,,"W2, W2-36A",/beijing/en/exhibitor-search.detail.html/beijing-beigao-valve-group-co-ltd.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/beijing-beigao-valve-group-co-ltd.html#exhibitorheadline
