"directory-item-premium-banner-text","image-container href","img-responsive src","exhibitor-name","exhibitor-info href","wrap-word","text-left","pps-tags","directory-stand 2","contact-option href","contact-option","contact-option href 2","contact-option 2","contact-option href 3","contact-option 3","products-title-in-directory","center-block src","documents-title-in-directory","center-block src 2","premium-exhibitor-carousel-clip-text","exhibitor-features","center-block src 3","title-in-exhibitor-summary","brands href","wrap-word 2"
"Featured","https://www.factech-expo.com/en-gb/visitor-info/search-for-exhibitors/exhibitor-profile.kg%20corporation.org-89a35939-08a5-4458-89df-f7207ad88aca.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-287c7873-fd7e-4126-a799-ebce413405dd/desktop-small/54e3ce1d-8c2a-4a7b-bba2-e75f2e1c4a41.png","KG CORPORATION","https://www.factech-expo.com/en-gb/visitor-info/search-for-exhibitors/exhibitor-profile.kg%20corporation.org-89a35939-08a5-4458-89df-f7207ad88aca.html","Solar Cell installation company that can serve you in accordance with international standards ISO 9001:2015 from design to Install solar cell systems in both EPC and PPA (Electricity Sales) models and maintain the system to stay with you for 30 years.","Categories","Energy Safety, Energy Saving, Power Control, Smart Energy Solutions, Solar Batteries, Solar Management, Solar Panel, OTHERS, Others, Building & Construction, Electrical & Electronics","8B11","https://kgsolar.com/","Website","mailto:info@kgcorp.com","Email","tel:+66 9 5947 9000","Phone","Products (1)","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/products/exh-287c7873-fd7e-4126-a799-ebce413405dd/desktop-small-product/4bffc692-c07f-407d-8475-8e50222fed3f.png?1780626165504","Documents (1)","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/document/exh-287c7873-fd7e-4126-a799-ebce413405dd/thumbnail/6da2b494-f11a-4430-a1cf-b36ef57cee6c.jpg","Other","","","","",""
"Featured","https://www.factech-expo.com/en-gb/visitor-info/search-for-exhibitors/exhibitor-profile.digiwin%20software%20thailand%20co%20ltd.org-6cfd531b-ee70-4aad-aeee-6e376a10873d.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-0b7fad4c-8f8f-4be9-b915-cf0570efed31/desktop-small/79d63217-fb85-42f3-b288-9dc3c3b1ce7d.jpg","DIGIWIN SOFTWARE (THAILAND) CO., LTD.","https://www.factech-expo.com/en-gb/visitor-info/search-for-exhibitors/exhibitor-profile.digiwin%20software%20thailand%20co%20ltd.org-6cfd531b-ee70-4aad-aeee-6e376a10873d.html","Digiwin is your strategic partner in transforming traditional factories into Smart Enterprises. We understand the unique challenges of manufacturing: rising labor costs, inefficient workflows, and data silos. 
Our proven ERP and MES solutions are designed to simplify your operations, providing decision-makers with real-time data to maximize ROI and eliminate production leaks. With a track record of empowering over 50,000 clients, we don't just sell software, we deliver operational excellence. Take back control of your shop floor and lead the market with Digiwin’s Industry 4.0 expertise.","Categories","OTHERS, Others, Automotive & Auto Parts, Chemical, Electrical & Electronics, Metallurgical, Packaging, Plastic & Rubber","8B19","https://digiwin.co.th/","Website","mailto:info@digiwin.co.th","Email","tel:+66 2136 67856","Phone","Products (4)","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/products/exh-0b7fad4c-8f8f-4be9-b915-cf0570efed31/desktop-small-product/f76304a5-7ece-49d6-8317-9db54cb3a282.png?1780626165507","Documents (1)","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/document/exh-0b7fad4c-8f8f-4be9-b915-cf0570efed31/thumbnail/bab14f9a-0a75-4931-a7af-b30db4ae53d0.jpg","Brochure","New Exhibitor","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/products/exh-0b7fad4c-8f8f-4be9-b915-cf0570efed31/desktop-small-product/9e1ac33c-ea36-4ecd-80a2-d71479b99366.png?1780626165507","","",""
"Featured","https://www.factech-expo.com/en-gb/visitor-info/search-for-exhibitors/exhibitor-profile.ego%20robotics%20thailand%20co%20ltd.org-8def1f03-ed68-44f0-818e-779b5cb58e8e.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-04556129-5d01-4385-9786-1dcdb9224697/desktop-small/1129bc52-ab31-4d53-8c53-a10cae3e639a.png","EGO ROBOTICS (THAILAND) CO., LTD.","https://www.factech-expo.com/en-gb/visitor-info/search-for-exhibitors/exhibitor-profile.ego%20robotics%20thailand%20co%20ltd.org-8def1f03-ed68-44f0-818e-779b5cb58e8e.html","Shenzhen E-Robotics Co., Ltd. is an AI core controller solution provider integrating software and hardware systems and core algorithms. It primarily researches and sells motion controllers, unmanned forklift AGVs, laser-guided AGVs, mobile robots, intelligent handling systems, and supporting operating software and hardware. E-Robotics provides core technology modules and development support to mobile robot (AGV) manufacturers and intelligent logistics solutions to industrial integrators, automation companies, and warehousing and logistics industries.","Categories","OTHERS, Manufacturer (Brand Owner), Automotive & Auto Parts","8D33","http://www.ego-robotics.com/","Website","mailto:pacharathon.kwan.flex@gmail.com","Email","tel:065-657-0909","Phone","Products (1)","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/products/exh-04556129-5d01-4385-9786-1dcdb9224697/desktop-small-product/369e07c8-8b62-4d9d-8bbb-e38a23dd7901.jpg?1780626165509","","","","New Exhibitor","","Brands","https://www.factech-expo.com/en-gb/visitor-info/search-for-exhibitors/exhibitor-profile.ego%20robotics%20thailand%20co%20ltd.org-8def1f03-ed68-44f0-818e-779b5cb58e8e.html","AGV/AMR, Core Controller & forklift series"
"Featured","https://www.factech-expo.com/en-gb/visitor-info/search-for-exhibitors/exhibitor-profile.ryosho%20thailand%20co%20ltd.org-9d57f5f2-924f-4346-affb-7c7224c2df24.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-46a4f965-8162-4036-a89a-6c00e03adb97/desktop-small/f5757a03-e9ed-4d5d-9890-151a67d9c2c9.jpg","RYOSHO (THAILAND) CO., LTD.","https://www.factech-expo.com/en-gb/visitor-info/search-for-exhibitors/exhibitor-profile.ryosho%20thailand%20co%20ltd.org-9d57f5f2-924f-4346-affb-7c7224c2df24.html","Since our founding in 2008, we have delivered state-of-the-art semiconductor and electronic device products and technologies to customers in Thailand. Additionally, in 2013, we established an Ecology and Facilities division and an FA systems division. In 2014, we opened the Sriracha branch. In 2016, we established RYOSHO ENGINEERING to assist customers with “housing air conditioning” and “production facilities,” helping them solve a variety of problems with Kubota and Mitsubishi air conditioners.","Categories","RHVAC System and Control (Refrigeration, Heating, Ventilation and Air-Conditioning Solution), OTHERS, Distributor/Agent/Importer/Trader/Wholesaler/Retailer, Electrical & Electronics","8B09","https://ryosho.co.th/ryosho/","Website","mailto:support@ryosho.co.th","Email","tel:+66-2670-0385","Phone","Products (3)","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/products/exh-46a4f965-8162-4036-a89a-6c00e03adb97/desktop-small-product/c2d8e4e8-a68b-40d5-a18b-377411929c0e.png?1780626165511","Documents (1)","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/document/exh-46a4f965-8162-4036-a89a-6c00e03adb97/thumbnail/90dc1bbe-9b26-4e90-a3f5-ce00a9d787d7.jpg","Brochure","","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/products/exh-46a4f965-8162-4036-a89a-6c00e03adb97/desktop-small-product/ab31bf6e-73c2-4b01-b0db-cfac4255611e.png?1780626165511","Brands","https://www.factech-expo.com/en-gb/visitor-info/search-for-exhibitors/exhibitor-profile.ryosho%20thailand%20co%20ltd.org-9d57f5f2-924f-4346-affb-7c7224c2df24.html","KUBOTA Air conditioner, KUBOTA drain tank, RYOSHO UFB"
"Featured","https://www.factech-expo.com/en-gb/visitor-info/search-for-exhibitors/exhibitor-profile.thai-lian%20forklift%20co%20ltd.org-fad387a8-9e48-44c8-bc9f-d682d861bd61.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-616546e5-2f00-4b5e-b84f-b9e5a4a2c1f6/desktop-small/ecebf60c-294b-47a9-87de-710a775c80f4.jpg","THAI-LIAN FORKLIFT CO., LTD.","https://www.factech-expo.com/en-gb/visitor-info/search-for-exhibitors/exhibitor-profile.thai-lian%20forklift%20co%20ltd.org-fad387a8-9e48-44c8-bc9f-d682d861bd61.html","We are a leading importer and distributor of material handling tools and equipment used in factories and warehouses. We also offer rentals, maintenance, and after-sales services in more than 18 branches throughout Thailand. We are highly experienced in forklift trucks as it has been our main product and service since the start of the business. This over 36 years of experience enable us to be an outstanding expert in the forklift market.","Categories","OTHERS, Distributor/Agent/Importer/Trader/Wholesaler/Retailer, Automotive & Auto Parts, Building & Construction, Machine Building","8C21","https://www.thailian.com/","Website","mailto:sales@thailian.com","Email","tel:+66 2747 3999","Phone","Products (5)","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/products/exh-616546e5-2f00-4b5e-b84f-b9e5a4a2c1f6/desktop-small-product/0e283dad-1b04-444b-8320-33c39d304158.jpg?1780626165512","Documents (1)","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/document/exh-616546e5-2f00-4b5e-b84f-b9e5a4a2c1f6/thumbnail/160c393b-85e9-4443-ab9c-92ba13f69dbb.jpg","Brochure","","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/products/exh-616546e5-2f00-4b5e-b84f-b9e5a4a2c1f6/desktop-small-product/4f3f746c-9762-4f1d-ba4e-fe45d6d67ed9.jpg?1780626165512","Brands","https://www.factech-expo.com/en-gb/visitor-info/search-for-exhibitors/exhibitor-profile.thai-lian%20forklift%20co%20ltd.org-fad387a8-9e48-44c8-bc9f-d682d861bd61.html","Heli Forklift"
"","https://www.factech-expo.com/en-gb/visitor-info/search-for-exhibitors/exhibitor-profile.a%20tools%20c%20development%20company%20limited.org-1442d279-3d6a-4523-b169-9fed40b2806e.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-66e3f8ff-0662-4406-838d-b4b5945128a7/desktop-small/d31dae76-7596-4f59-a47b-2769df24ed10.jpg","A TOOLS C DEVELOPMENT COMPANY LIMITED","https://www.factech-expo.com/en-gb/visitor-info/search-for-exhibitors/exhibitor-profile.a%20tools%20c%20development%20company%20limited.org-1442d279-3d6a-4523-b169-9fed40b2806e.html","XINGON THAILAND IS A CENTER FOR ALL KINDS OF ALUMINUM AND FIBERGLASS STAIRS THAT HAVE RECEIVED ISO 9001:2008 EN13 U, ANSI AS NZS SAFETY STANDARDS. All aluminum stair and fiberglass stair products have passed the standard test by SGS laboratory, Xingon Thailand has been appointed as the official representative. Our products are different in terms of materials. The production quality and product quality that make us ensure that Xingon brand aluminum ladder and fiberglass ladder products. It will best meet the problem of safety in using this product group.","Categories","OTHERS, Government/State Enterprise/NGO/Institutions, Automotive & Auto Parts","8A07","","","","","","","","","","","","","","Brands","https://www.factech-expo.com/en-gb/visitor-info/search-for-exhibitors/exhibitor-profile.a%20tools%20c%20development%20company%20limited.org-1442d279-3d6a-4523-b169-9fed40b2806e.html","xingon"
"","https://www.factech-expo.com/en-gb/visitor-info/search-for-exhibitors/exhibitor-profile.ares%20international%20thailand%20co%20ltd.org-f1597ff6-5d65-4bea-b9fb-1974018d8e1f.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-e855d3e7-67af-4175-bc97-06f3278f3921/desktop-small/2b10d749-e99d-462c-a0e3-9acdd639a4bf.jpg","ARES INTERNATIONAL (THAILAND) CO., LTD.","https://www.factech-expo.com/en-gb/visitor-info/search-for-exhibitors/exhibitor-profile.ares%20international%20thailand%20co%20ltd.org-f1597ff6-5d65-4bea-b9fb-1974018d8e1f.html","ARES Thailand พร้อมยกระดับโรงงานสู่ Smart Factory ด้วยโซลูชัน APS และ MES ที่ช่วยวางแผน ควบคุม และติดตามการผลิตแบบ Real-time เชื่อมโยงข้อมูลทุกกระบวนการ ลด Downtime ลดความผิดพลาด และเพิ่มประสิทธิภาพการผลิตอย่างแม่นยำ เพื่อให้ทุกการตัดสินใจรวดเร็วขึ้น และตอบโจทย์การแข่งขันของอุตสาหกรรมยุคใหม่ได้อย่างมีประสิทธิภาพ","Categories","IoT & Smart Devices for Facility, Service Providers (e.g., Consultancy, IT Hardware/Software, Legal, Waste Management, etc.), Food & Beverage, Automotive & Auto Parts, Chemical, Cosmetics, Electrical & Electronics, Packaging","8A08","","","","","","","","","","","","","","Brands","https://www.factech-expo.com/en-gb/visitor-info/search-for-exhibitors/exhibitor-profile.ares%20international%20thailand%20co%20ltd.org-f1597ff6-5d65-4bea-b9fb-1974018d8e1f.html","Argo ERP, Argo MES, ARES APS"
"","https://www.factech-expo.com/en-gb/visitor-info/search-for-exhibitors/exhibitor-profile.asia%20pacific%20petrochemical%20co%20ltd.org-cf49ff69-518b-405a-9737-ae601dd4a944.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-e2696119-f983-4e76-aad7-7185cbbc567a/desktop-small/82e6b90c-34ec-4977-b841-ce3f14211508.png","ASIA PACIFIC PETROCHEMICAL CO., LTD.","https://www.factech-expo.com/en-gb/visitor-info/search-for-exhibitors/exhibitor-profile.asia%20pacific%20petrochemical%20co%20ltd.org-cf49ff69-518b-405a-9737-ae601dd4a944.html","We are transforming industrial waste into sustainable solutions. Our circular chemical recycling innovations help manufacturers cut costs, reduce waste, and lower carbon emissions—all while driving environmental responsibility.

💡 Why Visit Our Booth?
✅ Discover how Circular Production turns chemical waste into reusable resources.
✅ Learn about Circular Packaging that reduces waste and supports sustainability.
✅ See real-world case studies on Cost Reduction & Carbon Reduction.
✅ Explore how your business can save on raw material costs while becoming eco-friendly.","Categories","OTHERS, Distributor/Agent/Importer/Trader/Wholesaler/Retailer, Automotive & Auto Parts, Building & Construction, Electrical & Electronics","8B26","","","","","","","","","","","","","","Brands","https://www.factech-expo.com/en-gb/visitor-info/search-for-exhibitors/exhibitor-profile.asia%20pacific%20petrochemical%20co%20ltd.org-cf49ff69-518b-405a-9737-ae601dd4a944.html","APC"
"Featured","https://www.factech-expo.com/en-gb/visitor-info/search-for-exhibitors/exhibitor-profile.digiwin%20software%20thailand%20co%20ltd.org-6cfd531b-ee70-4aad-aeee-6e376a10873d.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-0b7fad4c-8f8f-4be9-b915-cf0570efed31/desktop-small/79d63217-fb85-42f3-b288-9dc3c3b1ce7d.jpg","DIGIWIN SOFTWARE (THAILAND) CO., LTD.","https://www.factech-expo.com/en-gb/visitor-info/search-for-exhibitors/exhibitor-profile.digiwin%20software%20thailand%20co%20ltd.org-6cfd531b-ee70-4aad-aeee-6e376a10873d.html","Digiwin is your strategic partner in transforming traditional factories into Smart Enterprises. We understand the unique challenges of manufacturing: rising labor costs, inefficient workflows, and data silos. 
Our proven ERP and MES solutions are designed to simplify your operations, providing decision-makers with real-time data to maximize ROI and eliminate production leaks. With a track record of empowering over 50,000 clients, we don't just sell software, we deliver operational excellence. Take back control of your shop floor and lead the market with Digiwin’s Industry 4.0 expertise.","Categories","OTHERS, Others, Automotive & Auto Parts, Chemical, Electrical & Electronics, Metallurgical, Packaging, Plastic & Rubber","8B19","https://digiwin.co.th/","Website","mailto:info@digiwin.co.th","Email","tel:+66 2136 67856","Phone","Products (4)","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/products/exh-0b7fad4c-8f8f-4be9-b915-cf0570efed31/desktop-small-product/f76304a5-7ece-49d6-8317-9db54cb3a282.png?1780626165516","Documents (1)","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/document/exh-0b7fad4c-8f8f-4be9-b915-cf0570efed31/thumbnail/bab14f9a-0a75-4931-a7af-b30db4ae53d0.jpg","Brochure","New Exhibitor","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/products/exh-0b7fad4c-8f8f-4be9-b915-cf0570efed31/desktop-small-product/9e1ac33c-ea36-4ecd-80a2-d71479b99366.png?1780626165516","","",""
"Featured","https://www.factech-expo.com/en-gb/visitor-info/search-for-exhibitors/exhibitor-profile.ego%20robotics%20thailand%20co%20ltd.org-8def1f03-ed68-44f0-818e-779b5cb58e8e.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-04556129-5d01-4385-9786-1dcdb9224697/desktop-small/1129bc52-ab31-4d53-8c53-a10cae3e639a.png","EGO ROBOTICS (THAILAND) CO., LTD.","https://www.factech-expo.com/en-gb/visitor-info/search-for-exhibitors/exhibitor-profile.ego%20robotics%20thailand%20co%20ltd.org-8def1f03-ed68-44f0-818e-779b5cb58e8e.html","Shenzhen E-Robotics Co., Ltd. is an AI core controller solution provider integrating software and hardware systems and core algorithms. It primarily researches and sells motion controllers, unmanned forklift AGVs, laser-guided AGVs, mobile robots, intelligent handling systems, and supporting operating software and hardware. E-Robotics provides core technology modules and development support to mobile robot (AGV) manufacturers and intelligent logistics solutions to industrial integrators, automation companies, and warehousing and logistics industries.","Categories","OTHERS, Manufacturer (Brand Owner), Automotive & Auto Parts","8D33","http://www.ego-robotics.com/","Website","mailto:pacharathon.kwan.flex@gmail.com","Email","tel:065-657-0909","Phone","Products (1)","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/products/exh-04556129-5d01-4385-9786-1dcdb9224697/desktop-small-product/369e07c8-8b62-4d9d-8bbb-e38a23dd7901.jpg?1780626165517","","","","New Exhibitor","","Brands","https://www.factech-expo.com/en-gb/visitor-info/search-for-exhibitors/exhibitor-profile.ego%20robotics%20thailand%20co%20ltd.org-8def1f03-ed68-44f0-818e-779b5cb58e8e.html","AGV/AMR, Core Controller & forklift series"
