"image-container href","img-responsive src","exhibitor-name","directory-stand 2","exhibitor-info href","wrap-word","title-in-exhibitor-summary","brands href","wrap-word 2","text-left","pps-tags","pps-tags href"
"https://www.intermoldthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.ad-protech%20co%20ltd.org-1b8f522a-33ba-47b1-9ddf-51b1428a6842.html","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHYAAAB2CAYAAAAdp2cRAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAAHYYAAB2GAV2iE4EAAAQNSURBVHhe7d07S+xAAMXxubdSSytFsPYLWFjZCVa2tn4yW1sRFMQHVooPsPJd+UDxBVqoqLhyZkeueneTzXvm5PwgmGTT5P5JMjvXdf+8vr42jND5634KGYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpKq7NN2T09PZmtry1xeXprn52e3l1N3d7fp7+83w8PDpqenx+0tViVhEXV2dta8vLy4PfXQ1dVlJiYmSolbya0YV2rdogLOGedehkrC4vZbV2WdeyW34unpabfWNDU15dY4VXG+GhWTUlhSCktKYWMcHByYxcVFMzMzYxesY5/vFLYNvNdeWFgw6+vr5uLiwk6iYME69uE1HOMrhW1jbW3NXF1dua3/4TUc4yuFbQG32qioX3CMr7dlhW3h9PTUrcVLcmyZFLaF+/t7txYvybFlUlhSCttCb2+vW4uX5Ngy0YQ9OzszR0dHbiubwcFBtxYvybFlogj78fFhNjc37fvLm5sbtze9oaEh09fX57bawzE41kcUYff29szj46MNvLy8nMvEwejoaGRcvIZjfBV8WMwG7e7uuq3m9srKio2cBX7LYXx83IyMjJiBgQH76y1YsI59eK2sX3NJI/iw29vb5u3tzW014Xa8sbHhtrLBrXZsbMxMTk7aBeu+3n6/CzosAp6cnLitnw4PD3MbTIUo6LBxV2Veg6kQBRv2+PjY3N7euq3W8hxMhSbIsHim7uzsuK1oeQ2mOtFoNHJ7tmcVZFiMghGsU3kOptp5f3+3d4f9/X23p1rBhX14eLDvW5MqcjCFW/38/Lyd/fJFcGExw5T2tlrEYOru7s7Mzc3Znz4JKuz5+bld0sp7MIUrFFeqj4OzYMIiCq7WrPBsXl1dzTyYwrN0aWnJPlt9FExYPFfxfM3D9fV16sHU18jXl9FvO0GE/T0fnIc0gynfRr5RggiL96y/54PzkGQw5ePIN4r3YfEPj1mmInQ6mPJ15BvF+7BFP8viBlM+j3yjeB22k/ngPLQbTOFZiiva15FvFG/DJpkPzgMGU/gc6/cFsTEKDpG3YZPOB8tPXoZNOx8s/3gZNst8sDR5GTbLfLA0efuMlWwUlpTCklJYUgpLSmFJKSwp/S3FElRxvrpiSSksKYUlVckzFn+TsK7/JYcPT+NztkWr5IrFFx/UVVnnXklYfJsFvvigbnDOOPcy6OtZSlCbr2eR4mlUTEphSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwlIy5hOOnhfbV4xb3wAAAABJRU5ErkJggg==","AD-PROTECH CO., LTD.","2B32","","","","","","","",""
"https://www.intermoldthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.advanced%20engineering%20solution%20co%20ltd.org-cfcfcf71-e49c-471a-ac2a-1f1de350ce0d.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-ade44588-5a29-451c-a4d2-4202dde58013/desktop-small/5175f405-e29e-469a-86bc-f3e29579460e.jpg","ADVANCED ENGINEERING SOLUTION CO., LTD.","1F25","https://www.intermoldthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.advanced%20engineering%20solution%20co%20ltd.org-cfcfcf71-e49c-471a-ac2a-1f1de350ce0d.html","Advanced Engineering Solution (AES) specializes in CAD/CAM/CAE solutions, manufacturing automation, and engineering services for industrial applications. We provide solutions for product design, mold design, machining, reverse engineering, robotic machining, and production optimization. AES supports customers with software implementation, training, technical consulting, and application support to improve productivity and manufacturing efficiency. Featured solutions include ZWCAD, ZW3D integrated CAD/CAM and iRobotCAM for robotic machining and automation applications.","Brands","https://www.intermoldthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.advanced%20engineering%20solution%20co%20ltd.org-cfcfcf71-e49c-471a-ac2a-1f1de350ce0d.html","ZW3D, ZWCAD, iRobotCAM","Categories","CAD/CAM/CAE Software, Service Providers (e.g., Consultancy, IT Hardware/Software, Legal, Waste Management, etc.), Aerospace, Automotive & Auto Parts, Electrical & Electronics, Job Shop, Mold & Die, Plastic & Rubber","https://www.intermoldthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.advanced%20engineering%20solution%20co%20ltd.org-cfcfcf71-e49c-471a-ac2a-1f1de350ce0d.html"
"https://www.intermoldthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.airvision%20co%20ltd.org-c2992d19-41e8-4627-a066-b0ddbf658347.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-a6943841-e3d2-4c72-b7b9-50c29b696be4/desktop-small/985b4c68-00d5-4dd9-b95c-f6be3b1cb7c9.png","AIRVISION CO., LTD.","1F06","https://www.intermoldthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.airvision%20co%20ltd.org-c2992d19-41e8-4627-a066-b0ddbf658347.html","Airvision was established in 2001 and has been creating state-of-the-art clean air spaces for over 20 years, including semiconductor clean rooms, pharmaceutical clean rooms, hospital operating rooms, negative pressure rooms, and food company clean rooms. Based on this specialized technology, Airvision also manufactures filters that manage and improve indoor air quality.","Brands","https://www.intermoldthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.airvision%20co%20ltd.org-c2992d19-41e8-4627-a066-b0ddbf658347.html","AV ROLL FILTER","Categories","OTHERS, Manufacturer (Brand Owner), Job Shop","https://www.intermoldthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.airvision%20co%20ltd.org-c2992d19-41e8-4627-a066-b0ddbf658347.html"
"https://www.intermoldthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.an%20chiao%20molds%20co%20ltd.org-d01d7ef3-0552-4dcf-ac7c-ca8d02306117.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-86e13332-effe-4570-9af6-aa8ea9dcf534/desktop-small/d3109864-8344-40e7-b788-a1b2110f0c78.png","AN CHIAO MOLDS CO., LTD.","2A05","https://www.intermoldthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.an%20chiao%20molds%20co%20ltd.org-d01d7ef3-0552-4dcf-ac7c-ca8d02306117.html","An Chiao Molds is a leading Taiwan expert in precision cold-forging dies and fastener machinery. Since 2003, we’ve provided high-performance tooling designed for precision and longevity. From carbide dies and multi-station tools to complete machinery solutions, we offer a comprehensive one-stop service. With facilities in Taiwan and Vietnam, we ensure technical reliability for standard and custom designs. Partner with us for durable tooling that optimizes your production.","","","","Categories","Die and Mold Parts, Die and Mold Steel, Die Set, Die-casting Molds, Ejector Pin, Pin & Bush, Steel, CAD/CAM/CAE Software, Mold Design, Cutting Tools, Accessories & Attachments, Manufacturer (Brand Owner), Aerospace, Automotive & Auto Parts, Building and Construction, Machine Building, Mold & Die","https://www.intermoldthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.an%20chiao%20molds%20co%20ltd.org-d01d7ef3-0552-4dcf-ac7c-ca8d02306117.html"
"https://www.intermoldthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.applicad%20public%20company%20limited%202b31.org-ae0dd332-d246-4692-9f04-536333c70349.html","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHYAAAB2CAYAAAAdp2cRAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAAHYYAAB2GAV2iE4EAAAQNSURBVHhe7d07S+xAAMXxubdSSytFsPYLWFjZCVa2tn4yW1sRFMQHVooPsPJd+UDxBVqoqLhyZkeueneTzXvm5PwgmGTT5P5JMjvXdf+8vr42jND5634KGYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpKq7NN2T09PZmtry1xeXprn52e3l1N3d7fp7+83w8PDpqenx+0tViVhEXV2dta8vLy4PfXQ1dVlJiYmSolbya0YV2rdogLOGedehkrC4vZbV2WdeyW34unpabfWNDU15dY4VXG+GhWTUlhSCktKYWMcHByYxcVFMzMzYxesY5/vFLYNvNdeWFgw6+vr5uLiwk6iYME69uE1HOMrhW1jbW3NXF1dua3/4TUc4yuFbQG32qioX3CMr7dlhW3h9PTUrcVLcmyZFLaF+/t7txYvybFlUlhSCttCb2+vW4uX5Ngy0YQ9OzszR0dHbiubwcFBtxYvybFlogj78fFhNjc37fvLm5sbtze9oaEh09fX57bawzE41kcUYff29szj46MNvLy8nMvEwejoaGRcvIZjfBV8WMwG7e7uuq3m9srKio2cBX7LYXx83IyMjJiBgQH76y1YsI59eK2sX3NJI/iw29vb5u3tzW014Xa8sbHhtrLBrXZsbMxMTk7aBeu+3n6/CzosAp6cnLitnw4PD3MbTIUo6LBxV2Veg6kQBRv2+PjY3N7euq3W8hxMhSbIsHim7uzsuK1oeQ2mOtFoNHJ7tmcVZFiMghGsU3kOptp5f3+3d4f9/X23p1rBhX14eLDvW5MqcjCFW/38/Lyd/fJFcGExw5T2tlrEYOru7s7Mzc3Znz4JKuz5+bld0sp7MIUrFFeqj4OzYMIiCq7WrPBsXl1dzTyYwrN0aWnJPlt9FExYPFfxfM3D9fV16sHU18jXl9FvO0GE/T0fnIc0gynfRr5RggiL96y/54PzkGQw5ePIN4r3YfEPj1mmInQ6mPJ15BvF+7BFP8viBlM+j3yjeB22k/ngPLQbTOFZiiva15FvFG/DJpkPzgMGU/gc6/cFsTEKDpG3YZPOB8tPXoZNOx8s/3gZNst8sDR5GTbLfLA0efuMlWwUlpTCklJYUgpLSmFJKSwp/S3FElRxvrpiSSksKYUlVckzFn+TsK7/JYcPT+NztkWr5IrFFx/UVVnnXklYfJsFvvigbnDOOPcy6OtZSlCbr2eR4mlUTEphSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwlIy5hOOnhfbV4xb3wAAAABJRU5ErkJggg==","APPLICAD PUBLIC COMPANY LIMITED (2B31)","2B31","","","","","","","",""
"https://www.intermoldthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.aresplus%20coltd.org-cb33c465-5ffb-4818-857f-c0ec84e2b825.html","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHYAAAB2CAYAAAAdp2cRAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAAHYYAAB2GAV2iE4EAAAQNSURBVHhe7d07S+xAAMXxubdSSytFsPYLWFjZCVa2tn4yW1sRFMQHVooPsPJd+UDxBVqoqLhyZkeueneTzXvm5PwgmGTT5P5JMjvXdf+8vr42jND5634KGYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpKq7NN2T09PZmtry1xeXprn52e3l1N3d7fp7+83w8PDpqenx+0tViVhEXV2dta8vLy4PfXQ1dVlJiYmSolbya0YV2rdogLOGedehkrC4vZbV2WdeyW34unpabfWNDU15dY4VXG+GhWTUlhSCktKYWMcHByYxcVFMzMzYxesY5/vFLYNvNdeWFgw6+vr5uLiwk6iYME69uE1HOMrhW1jbW3NXF1dua3/4TUc4yuFbQG32qioX3CMr7dlhW3h9PTUrcVLcmyZFLaF+/t7txYvybFlUlhSCttCb2+vW4uX5Ngy0YQ9OzszR0dHbiubwcFBtxYvybFlogj78fFhNjc37fvLm5sbtze9oaEh09fX57bawzE41kcUYff29szj46MNvLy8nMvEwejoaGRcvIZjfBV8WMwG7e7uuq3m9srKio2cBX7LYXx83IyMjJiBgQH76y1YsI59eK2sX3NJI/iw29vb5u3tzW014Xa8sbHhtrLBrXZsbMxMTk7aBeu+3n6/CzosAp6cnLitnw4PD3MbTIUo6LBxV2Veg6kQBRv2+PjY3N7euq3W8hxMhSbIsHim7uzsuK1oeQ2mOtFoNHJ7tmcVZFiMghGsU3kOptp5f3+3d4f9/X23p1rBhX14eLDvW5MqcjCFW/38/Lyd/fJFcGExw5T2tlrEYOru7s7Mzc3Znz4JKuz5+bld0sp7MIUrFFeqj4OzYMIiCq7WrPBsXl1dzTyYwrN0aWnJPlt9FExYPFfxfM3D9fV16sHU18jXl9FvO0GE/T0fnIc0gynfRr5RggiL96y/54PzkGQw5ePIN4r3YfEPj1mmInQ6mPJ15BvF+7BFP8viBlM+j3yjeB22k/ngPLQbTOFZiiva15FvFG/DJpkPzgMGU/gc6/cFsTEKDpG3YZPOB8tPXoZNOx8s/3gZNst8sDR5GTbLfLA0efuMlWwUlpTCklJYUgpLSmFJKSwp/S3FElRxvrpiSSksKYUlVckzFn+TsK7/JYcPT+NztkWr5IrFFx/UVVnnXklYfJsFvvigbnDOOPcy6OtZSlCbr2eR4mlUTEphSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwlIy5hOOnhfbV4xb3wAAAABJRU5ErkJggg==","ARESPLUS CO.,LTD.","1F26","","","","","","","",""
"https://www.intermoldthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.asia%20spindle%20technology%20co%20ltd.org-6a08f6c1-af04-42d2-b34d-07b198a2202e.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-0d2f6bca-23a4-420d-bc06-5b2e4a8a2901/desktop-small/5a493f55-3a74-4636-b79b-2e61ae4c2488.png","ASIA SPINDLE TECHNOLOGY CO., LTD.","2C24","https://www.intermoldthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.asia%20spindle%20technology%20co%20ltd.org-6a08f6c1-af04-42d2-b34d-07b198a2202e.html","We are a spindle repair service provider with over 10 years of experience in Thailand. Backed by expert technicians, extensive industry experience, and state-of-the-art machinery capable of handling any issue, we are the most comprehensive spindle repair solution in Thailand.","","","","Categories","Mold Repair Service, Service Providers (e.g., Consultancy, IT Hardware/Software, Legal, Waste Management, etc.), Automotive & Auto Parts, Furniture, Machine Building, Medical Devices, Metallurgical, Mold & Die","https://www.intermoldthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.asia%20spindle%20technology%20co%20ltd.org-6a08f6c1-af04-42d2-b34d-07b198a2202e.html"
"https://www.intermoldthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.barah%20innovation%20co%20ltd.org-dccd1945-8050-4b40-93a0-d363627c2706.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-1e94de14-c655-4c8e-8f51-588df8423401/desktop-small/9fae7296-e085-4660-b02a-ef41b7b104e1.png","BARAH INNOVATION CO., LTD.","1F03","https://www.intermoldthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.barah%20innovation%20co%20ltd.org-dccd1945-8050-4b40-93a0-d363627c2706.html","Barah Innovation is a smart manufacturing company specializing in GIM, Geometric Injection Molding. We develop solutions that reduce material and design constraints and reproduce complex, fine structures that are difficult with conventional injection molding or standard 3D printing. Based on our R&D capabilities, we provide customized materials and precision manufacturing technologies across metals, ceramics, engineering plastics, and polymers, supporting prototyping, customized production, and industries from dental and medical devices to aerospace, aviation, and defense.","Brands","https://www.intermoldthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.barah%20innovation%20co%20ltd.org-dccd1945-8050-4b40-93a0-d363627c2706.html","BARAH INNOVATION CO., LTD., Formlabs, QNES GLOBAL","Categories","Die and Mold Parts, Injection, Resin 3D Printing, Resin, Outsourcing 3D Printing, 3D Design Services, Rapid Prototyping Services, Rapid Tooling, Manufacturer (Brand Owner), Aerospace, Electrical & Electronics, Job Shop, Medical Devices, Mold & Die, Plastic & Rubber","https://www.intermoldthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.barah%20innovation%20co%20ltd.org-dccd1945-8050-4b40-93a0-d363627c2706.html"
"https://www.intermoldthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.bestec.org-2def05d0-cf82-474a-9970-b304e08f6f2c.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-0053b202-8168-41a0-924e-84f42fa21c23/desktop-small/a3a14357-146b-4575-8d9b-06ca3b780a9b.jpg","BESTEC","1F05","https://www.intermoldthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.bestec.org-2def05d0-cf82-474a-9970-b304e08f6f2c.html","BESTEC Co., Ltd. is a specialized manufacturer of gas springs and mold components, proudly based in Gwangju, Korea. With over 30 years of manufacturing expertise, we have built a strong reputation for precision, reliability, and technological excellence.

Our product lineup includes standard gas springs, slow-return gas springs, and high-temperature gas springs, all engineered to meet the rigorous demands of modern production environments.

Recognized for our advanced technology and global competitiveness, BESTEC exports to markets worldwide. We are also actively expanding into robotics, autom","Brands","https://www.intermoldthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.bestec.org-2def05d0-cf82-474a-9970-b304e08f6f2c.html","BESTEC GAS SPRING","Categories","Die and Mold Parts, Manufacturer (Brand Owner), Automotive & Auto Parts, Mold & Die","https://www.intermoldthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.bestec.org-2def05d0-cf82-474a-9970-b304e08f6f2c.html"
"https://www.intermoldthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.boyatech%20thailand%20co%20ltd.org-7ec6d522-27b7-4527-a861-46093d6ee7af.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-b08e4c49-6540-4e58-94db-d4c906914c32/desktop-small/e7b69da0-20b4-4b1c-880d-386fc0567690.png","BOYATECH (THAILAND) CO., LTD.","2A41","","","","","","","",""
