"image-container href","img-responsive src","exhibitor-name","exhibitor-info href","wrap-word","title-in-exhibitor-summary","brands href","wrap-word 2","text-left","pps-tags","pps-tags href","directory-stand 2"
"https://www.interplasthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.adc%20plastic%20jsc.org-68b38ca6-e9f1-4144-bdac-4f0ef19f1b5a.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-90cdc7f9-b0ec-4e51-b2c9-ffd0f02f1959/desktop-small/1127d26b-9b0a-4739-8f82-a819649e81d2.png","ADC PLASTIC., JSC","https://www.interplasthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.adc%20plastic%20jsc.org-68b38ca6-e9f1-4144-bdac-4f0ef19f1b5a.html","ADC PLASTIC., JSC is proud to be the first manufacturer and exporter of CaCO₃ filler masterbatch in Vietnam since 2004. 
Main Products:
•	CaCO₃ Filler Masterbatch (80–88% CaCO₃)
•	White Color Masterbatch (20–70% TiO₂)
Applications:
1.	Blown film/PE bags – Grades MB130, MB150, MB170 
2.	PP yarn & woven bags – Grades MF550 and MF570 
3.	PP non-woven – Grade MN550
4.	Injection molding – Grade MJ550 
5.	PP lamination/coating – Grade MC550 
All our products comply with international certificate standards including EU10, FDA, and REACH.
📩 Contact: info@adcplastic.com | ☎ +84 90 485 1786 (Whatsapp)","Brands","https://www.interplasthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.adc%20plastic%20jsc.org-68b38ca6-e9f1-4144-bdac-4f0ef19f1b5a.html","CALMAST ; COLMAST","Categories","Fillers, Pigment & Masterbatch, Manufacturer (Brand Owner), Packaging","https://www.interplasthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.adc%20plastic%20jsc.org-68b38ca6-e9f1-4144-bdac-4f0ef19f1b5a.html","4F16"
"https://www.interplasthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.adeka%20fine%20chemical%20thailand%20co%20ltd.org-9c15b889-b559-4446-88a0-4bf77606c1b8.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-4ccef68e-260a-4781-8c28-4a470c256ab4/desktop-small/e83c1d95-f801-420d-a3f8-ff44106940e1.jpg","ADEKA FINE CHEMICAL (THAILAND) CO., LTD.","https://www.interplasthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.adeka%20fine%20chemical%20thailand%20co%20ltd.org-9c15b889-b559-4446-88a0-4bf77606c1b8.html","ADEKA CORPORATION is a major chemicals and food company with a worldwide turnover in excess of 400 billion JPY per year. The polymer additives division forms a strategic and important business for ADEKA. ADEKA is a global company with polymer additives business organisations in Japan, Korea, Taiwan, Thailand, Singapore, China, India, USA, Abu Dhabi, Brazil and Europe.
ADEKA FINE CHEMICAL THAILAND is subsidiary of ADEKA in Thailand. We deal with wide range of Polymer Additives product of ADEKA.","Brands","https://www.interplasthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.adeka%20fine%20chemical%20thailand%20co%20ltd.org-9c15b889-b559-4446-88a0-4bf77606c1b8.html","ADK STAB, ADK CIZER, ADK CYCLOAID, ADK TRANSPAREX","Categories","Additives, Manufacturer (Brand Owner), Aerospace, Automotive & Auto Parts, Chemical, Electrical & Electronics, Furniture, Medical Devices, Packaging","https://www.interplasthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.adeka%20fine%20chemical%20thailand%20co%20ltd.org-9c15b889-b559-4446-88a0-4bf77606c1b8.html","4C29"
"https://www.interplasthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.alive%20loop%20co%20ltd.org-855f5c13-ca87-4821-be60-aaf487100f5a.html","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHYAAAB2CAYAAAAdp2cRAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAAHYYAAB2GAV2iE4EAAAQNSURBVHhe7d07S+xAAMXxubdSSytFsPYLWFjZCVa2tn4yW1sRFMQHVooPsPJd+UDxBVqoqLhyZkeueneTzXvm5PwgmGTT5P5JMjvXdf+8vr42jND5634KGYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpKq7NN2T09PZmtry1xeXprn52e3l1N3d7fp7+83w8PDpqenx+0tViVhEXV2dta8vLy4PfXQ1dVlJiYmSolbya0YV2rdogLOGedehkrC4vZbV2WdeyW34unpabfWNDU15dY4VXG+GhWTUlhSCktKYWMcHByYxcVFMzMzYxesY5/vFLYNvNdeWFgw6+vr5uLiwk6iYME69uE1HOMrhW1jbW3NXF1dua3/4TUc4yuFbQG32qioX3CMr7dlhW3h9PTUrcVLcmyZFLaF+/t7txYvybFlUlhSCttCb2+vW4uX5Ngy0YQ9OzszR0dHbiubwcFBtxYvybFlogj78fFhNjc37fvLm5sbtze9oaEh09fX57bawzE41kcUYff29szj46MNvLy8nMvEwejoaGRcvIZjfBV8WMwG7e7uuq3m9srKio2cBX7LYXx83IyMjJiBgQH76y1YsI59eK2sX3NJI/iw29vb5u3tzW014Xa8sbHhtrLBrXZsbMxMTk7aBeu+3n6/CzosAp6cnLitnw4PD3MbTIUo6LBxV2Veg6kQBRv2+PjY3N7euq3W8hxMhSbIsHim7uzsuK1oeQ2mOtFoNHJ7tmcVZFiMghGsU3kOptp5f3+3d4f9/X23p1rBhX14eLDvW5MqcjCFW/38/Lyd/fJFcGExw5T2tlrEYOru7s7Mzc3Znz4JKuz5+bld0sp7MIUrFFeqj4OzYMIiCq7WrPBsXl1dzTyYwrN0aWnJPlt9FExYPFfxfM3D9fV16sHU18jXl9FvO0GE/T0fnIc0gynfRr5RggiL96y/54PzkGQw5ePIN4r3YfEPj1mmInQ6mPJ15BvF+7BFP8viBlM+j3yjeB22k/ngPLQbTOFZiiva15FvFG/DJpkPzgMGU/gc6/cFsTEKDpG3YZPOB8tPXoZNOx8s/3gZNst8sDR5GTbLfLA0efuMlWwUlpTCklJYUgpLSmFJKSwp/S3FElRxvrpiSSksKYUlVckzFn+TsK7/JYcPT+NztkWr5IrFFx/UVVnnXklYfJsFvvigbnDOOPcy6OtZSlCbr2eR4mlUTEphSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwlIy5hOOnhfbV4xb3wAAAABJRU5ErkJggg==","ALIVE LOOP CO., LTD.","","","","","","","","","4A31-6"
"https://www.interplasthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.amd%20optical%20sorting.org-c552f49b-e794-4f84-adb4-17c14f06716e.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-4d5da956-e6e5-4757-a613-c974898388c5/desktop-small/164184ec-9077-4ebc-a0b7-cc2bb7e13f51.png","AMD OPTICAL SORTING","https://www.interplasthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.amd%20optical%20sorting.org-c552f49b-e794-4f84-adb4-17c14f06716e.html","AMD SORTING (Zhongke Optic-Electronic) is a global leader in high-precision optical sorting technology. We specialize in providing intelligent, AI-powered solutions for the plastic recycling industry, helping recyclers achieve maximum purity and efficiency. 
Our advanced product range includes:
Bottle Sorters (GLP/GLM Series): Material-based separation using NIR and deep learning.
Flake Sorters (GVR/GIMAX Series): High-throughput color and polymer purification for rPET, HDPE, and PP.
Pellet Sorters (LZ Pro Series): Ultra-sensitive detection of micro-impurities. 
AMD S","","","","Categories","Plastic Recycling Machine, Service Providers (e.g., Consultancy, IT Hardware/Software, Legal, Waste Management, etc.), Food & Beverage","https://www.interplasthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.amd%20optical%20sorting.org-c552f49b-e794-4f84-adb4-17c14f06716e.html","3E04"
"https://www.interplasthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.anhui%20jiexun%20optoelectronic%20technology%20co%20ltd%20anysort.org-d19ac289-2d2f-48b5-8e8b-709c15fa7536.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-c908e9f5-a391-4667-8353-265e71ed6938/desktop-small/81dbd2cf-7c05-408b-867c-0105ae72ccc5.png","ANHUI JIEXUN OPTOELECTRONIC TECHNOLOGY CO., LTD. (ANYSORT)","https://www.interplasthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.anhui%20jiexun%20optoelectronic%20technology%20co%20ltd%20anysort.org-d19ac289-2d2f-48b5-8e8b-709c15fa7536.html","Founded in 1999, Jiexun Optoelectronic has been deeply rooted in the intelligent sorting industry for more than 20 years, with ANYSORT as its global brand.
ANYSORT has evolved into a globally leading provider of full-scenario intelligent sorting solutions,and reshaping the sorting industry with its ""Quality Sorting"" philosophy. It has launched the third-generation cloud quality sorters, covering diverse fields including grain, tea, ore, renewable resource.
Today ANYSORT's Quality Sorting Solutions is delivering professional and reliable sorting solutions to over 100 countries worldwide.","Brands","https://www.interplasthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.anhui%20jiexun%20optoelectronic%20technology%20co%20ltd%20anysort.org-d19ac289-2d2f-48b5-8e8b-709c15fa7536.html","ANYSORT","Categories","Plastic Recycling Machine, Manufacturer (Brand Owner), Machine Building","https://www.interplasthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.anhui%20jiexun%20optoelectronic%20technology%20co%20ltd%20anysort.org-d19ac289-2d2f-48b5-8e8b-709c15fa7536.html","2D19"
"https://www.interplasthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.anhui%20jinxi%20new%20material%20technology%20co%20ltd.org-05cc1fe1-22de-4e27-8166-c79bacad99d8.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-d25dab91-7ed2-4ac9-bf0a-474b641244b1/desktop-small/5d9477f3-7632-4fe0-857e-e4cb8280a7c0.png","ANHUI JINXI NEW MATERIAL TECHNOLOGY CO., LTD.","https://www.interplasthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.anhui%20jinxi%20new%20material%20technology%20co%20ltd.org-05cc1fe1-22de-4e27-8166-c79bacad99d8.html","Jinxi New Material is an innovative enterprise specialized in special polymer modification. We engage in R&D, production and sales of high-performance lightweight materials including PEEK, PPS, LCP, high-temperature nylon and related alloys.
Backed by core technologies, we boost domestic high-end material substitution. Certified with ISO9001, IATF16949 and ISO14001, our products widely serve new energy, auto, semiconductor, medical and aerospace sectors.","Brands","https://www.interplasthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.anhui%20jinxi%20new%20material%20technology%20co%20ltd.org-05cc1fe1-22de-4e27-8166-c79bacad99d8.html","Jinxi New Materials","Categories","COMPOSITES & HIGH PERFORMANCE MATERIAL, Manufacturer (Brand Owner), Chemical","https://www.interplasthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.anhui%20jinxi%20new%20material%20technology%20co%20ltd.org-05cc1fe1-22de-4e27-8166-c79bacad99d8.html","3E15"
"https://www.interplasthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.anhui%20keye%20intelligent%20technology%20co%20ltd.org-b84fb890-ac19-41ae-869c-db62bd213909.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-f178bab3-3e1f-4de4-8563-8d1205535934/desktop-small/f2ba75dd-242e-49f4-aaf8-586b69d7ea56.png","ANHUI KEYE INTELLIGENT TECHNOLOGY CO., LTD.","https://www.interplasthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.anhui%20keye%20intelligent%20technology%20co%20ltd.org-b84fb890-ac19-41ae-869c-db62bd213909.html","KeyeTech is a leading brand of vision inspection machine manufacturer from China, particularly for plastic caps, PET/PE bottles, IML cups, PET preform inspection. We have full self-developed AI algorithm inspection system to get the best performance and flexible operation method, all the after sales service will be supplied online by KEYE AI cloud platform.","Brands","https://www.interplasthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.anhui%20keye%20intelligent%20technology%20co%20ltd.org-b84fb890-ac19-41ae-869c-db62bd213909.html","KEYETECH","Categories","OTHERS, Manufacturer (Brand Owner), Machine Building","https://www.interplasthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.anhui%20keye%20intelligent%20technology%20co%20ltd.org-b84fb890-ac19-41ae-869c-db62bd213909.html","2E14"
"https://www.interplasthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.aplus%20molds%20%20plastics%20thailand%20co%20ltd.org-44c84bad-c3ca-4ead-9453-1394eadfe74b.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-30ed2c78-e676-4c7b-9b61-38a62f8d363d/desktop-small/dc13f218-043a-4dbb-a3c0-4a4a50f86aff.png","APLUS MOLDS & PLASTICS (THAILAND) CO., LTD.","https://www.interplasthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.aplus%20molds%20%20plastics%20thailand%20co%20ltd.org-44c84bad-c3ca-4ead-9453-1394eadfe74b.html","AMP, specialist of total plastic molding solutions. No matter your needs, all kinds of tailor-made products can be made by our team of experienced engineers. Whatever stage of the production process you need support in; we provide the guidance you need. We administer OEM (original equipment manufacturing), ODM (original design manufacturing), collaborative R&D and total solution services. We understand that every company is different, so we work with the strengths that you already have to give your products the best chance of success on the marketplace.","","","","Categories","Mold Treatment & Maintenance, OTHERS, OEM/Subcontrator, Food & Beverage, Automotive & Auto Parts, Electrical & Electronics, Furniture, Jewelry & Watches, Medical Devices, Mold & Die","https://www.interplasthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.aplus%20molds%20%20plastics%20thailand%20co%20ltd.org-44c84bad-c3ca-4ead-9453-1394eadfe74b.html","2D14"
"https://www.interplasthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.avient%20corporation.org-411afd9e-2113-4f11-b5e2-90bbde8797e8.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-5c86e972-b5ac-4576-81b5-71e493e76546/desktop-small/268b06d6-99bd-4112-9aa2-e61e27147bd3.jpg","AVIENT CORPORATION","https://www.interplasthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.avient%20corporation.org-411afd9e-2113-4f11-b5e2-90bbde8797e8.html","Our purpose at Avient Corporation is to be an innovator of materials solutions that help our customers succeed, while enabling a sustainable world. Our expanding portfolio of offerings includes colorants, advanced composites, functional additives, engineered materials, and Dyneema®, the world’s strongest fiber™.  By intersecting our broad portfolio of technologies with the product roadmaps of our customers, we help create differentiated and high-performance products that make the world better and more sustainable.","Brands","https://www.interplasthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.avient%20corporation.org-411afd9e-2113-4f11-b5e2-90bbde8797e8.html","OnFlex™, reSound™, NEUSoft™, ColorForward™, Mevopur™","Categories","Additives, Thermoplastics, Manufacturer (Brand Owner), Food & Beverage, Aerospace, Automotive & Auto Parts, Building & Construction, Electrical & Electronics, Furniture, Medical Devices, Packaging","https://www.interplasthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.avient%20corporation.org-411afd9e-2113-4f11-b5e2-90bbde8797e8.html","4C15"
"https://www.interplasthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.bangkok%20pvc%201996%20co%20ltd.org-09871fc9-3857-4a45-a1e7-ff490b6424d1.html","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHYAAAB2CAYAAAAdp2cRAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAAHYYAAB2GAV2iE4EAAAQNSURBVHhe7d07S+xAAMXxubdSSytFsPYLWFjZCVa2tn4yW1sRFMQHVooPsPJd+UDxBVqoqLhyZkeueneTzXvm5PwgmGTT5P5JMjvXdf+8vr42jND5634KGYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpKq7NN2T09PZmtry1xeXprn52e3l1N3d7fp7+83w8PDpqenx+0tViVhEXV2dta8vLy4PfXQ1dVlJiYmSolbya0YV2rdogLOGedehkrC4vZbV2WdeyW34unpabfWNDU15dY4VXG+GhWTUlhSCktKYWMcHByYxcVFMzMzYxesY5/vFLYNvNdeWFgw6+vr5uLiwk6iYME69uE1HOMrhW1jbW3NXF1dua3/4TUc4yuFbQG32qioX3CMr7dlhW3h9PTUrcVLcmyZFLaF+/t7txYvybFlUlhSCttCb2+vW4uX5Ngy0YQ9OzszR0dHbiubwcFBtxYvybFlogj78fFhNjc37fvLm5sbtze9oaEh09fX57bawzE41kcUYff29szj46MNvLy8nMvEwejoaGRcvIZjfBV8WMwG7e7uuq3m9srKio2cBX7LYXx83IyMjJiBgQH76y1YsI59eK2sX3NJI/iw29vb5u3tzW014Xa8sbHhtrLBrXZsbMxMTk7aBeu+3n6/CzosAp6cnLitnw4PD3MbTIUo6LBxV2Veg6kQBRv2+PjY3N7euq3W8hxMhSbIsHim7uzsuK1oeQ2mOtFoNHJ7tmcVZFiMghGsU3kOptp5f3+3d4f9/X23p1rBhX14eLDvW5MqcjCFW/38/Lyd/fJFcGExw5T2tlrEYOru7s7Mzc3Znz4JKuz5+bld0sp7MIUrFFeqj4OzYMIiCq7WrPBsXl1dzTyYwrN0aWnJPlt9FExYPFfxfM3D9fV16sHU18jXl9FvO0GE/T0fnIc0gynfRr5RggiL96y/54PzkGQw5ePIN4r3YfEPj1mmInQ6mPJ15BvF+7BFP8viBlM+j3yjeB22k/ngPLQbTOFZiiva15FvFG/DJpkPzgMGU/gc6/cFsTEKDpG3YZPOB8tPXoZNOx8s/3gZNst8sDR5GTbLfLA0efuMlWwUlpTCklJYUgpLSmFJKSwp/S3FElRxvrpiSSksKYUlVckzFn+TsK7/JYcPT+NztkWr5IrFFx/UVVnnXklYfJsFvvigbnDOOPcy6OtZSlCbr2eR4mlUTEphSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwlIy5hOOnhfbV4xb3wAAAABJRU5ErkJggg==","BANGKOK PVC (1996) CO., LTD.","","","","","","","","","4D27"
