"image-container href","img-responsive src","exhibitor-name","exhibitor-info href","wrap-word","text-left","pps-tags","pps-tags href","directory-stand 2","title-in-exhibitor-summary","brands href","wrap-word 2"
"https://www.nepconthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.aethertek%20technology%20co%20ltd.org-29908891-8b93-486c-a404-735c20a386c9.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-d36112da-1626-4a0e-8190-d76dcd03e628/desktop-small/894cdc65-97d9-45ec-9a63-cc13951ae676.jpg","AETHERTEK TECHNOLOGY CO., LTD.","https://www.nepconthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.aethertek%20technology%20co%20ltd.org-29908891-8b93-486c-a404-735c20a386c9.html","Aethertek Provides Professional Testing Solutions

Core Advantages: We offer highly flexible automated testing solutions for the consumer electronics, automotive, and server industries, helping to improve yield rates.

T1000 Platform: Modular hardware paired with proprietary software supports rapid board changeovers and multi-functional test fixtures, enabling high-performance, multi-purpose testing.

One-Stop Integration: Combining microprobes, conformal sockets, and automated mechanisms, the platform covers the entire process from firmware programming to RF calibraration.","Categories","Factory/Facility Equipment, Analysis Equipment/Software, AOI Inspection Equipment, Inspection Equipment, Measurement Equipment, Reliability/Evaluation Inspection Equipment, Testers, Analysis/Simulation Software for IC Packaging, Design Software, Manufacturing/Inspection Equipment, Electronic Precision Metal Part, Smart Factory/Manufacturing Process, Manufacturer (Brand Owner), Automotive Electronics, Industrial Automation, Machine Building, Mobile Communication System Equipment","https://www.nepconthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.aethertek%20technology%20co%20ltd.org-29908891-8b93-486c-a404-735c20a386c9.html","0C19","","",""
"https://www.nepconthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.aiyong%20instruments%20suzhou%20co%20ltd.org-d8770ea8-2b2b-4ff3-b501-6f5839187158.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-2c1f9b1c-3c59-4078-8139-2182e911f20a/desktop-small/08e37769-310f-407e-a1f7-0464eb690460.jpg","AIYONG INSTRUMENTS (SUZHOU) CO., LTD.","https://www.nepconthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.aiyong%20instruments%20suzhou%20co%20ltd.org-d8770ea8-2b2b-4ff3-b501-6f5839187158.html","Aiyong Instruments (Suzhou) Co., Ltd. specializes in the field of static control and test & measurement, serving as a professional provider of instrumentation and equipment that integrates R&D, manufacturing, sales, and service. The company's core product portfolio encompasses a wide range of static elimination devices, static testing instruments, and complementary solutions, which are widely utilized across industries such as electronics manufacturing, semiconductors, optoelectronics, and automotive electronics.","Categories","Clean/ESD Protection Products, Semiconductor Packaging PCBs, Packaging Materials/Components, Electronic Device’s Plastic Packaging, Electronic Manufacturing Robotics, Manufacturer (Brand Owner), Semiconductor Manufacturing","https://www.nepconthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.aiyong%20instruments%20suzhou%20co%20ltd.org-d8770ea8-2b2b-4ff3-b501-6f5839187158.html","0E39","Brands","https://www.nepconthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.aiyong%20instruments%20suzhou%20co%20ltd.org-d8770ea8-2b2b-4ff3-b501-6f5839187158.html","Tronovo, ETA"
"https://www.nepconthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.app%20systems%20services%20thailand%20co%20ltd.org-6dbfbe33-20d9-474e-b2b4-7775cdf6fb10.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-c4f7e281-25ef-4e17-9c6b-53f023a86757/desktop-small/277b22ab-7063-43ac-81f2-65d9b79b41ea.png","APP SYSTEMS SERVICES (THAILAND) CO., LTD.","https://www.nepconthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.app%20systems%20services%20thailand%20co%20ltd.org-6dbfbe33-20d9-474e-b2b4-7775cdf6fb10.html","We provide solutions from IC Packaging Solutions to IC Programmers & Inspection Systems,
Optical Profilers, Device Bonders, Testing Fluids, Thin-Film Thickness Measurement Systems,
Surface Preparation Systems, Vacuum Pumps, Components & Instruments, Helium Leak Detectors to Greases & Lubricants","Categories","Clean/ESD Protection Products, Dispensers, Measurement Equipment, Testers, Semiconductor Device Inspection & Equipment, Distributor/Agent/Importer/Trader/Wholesaler/Retailer, Automotive Electronics, Industrial Automation, Optical Instrument, Semiconductor Manufacturing","https://www.nepconthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.app%20systems%20services%20thailand%20co%20ltd.org-6dbfbe33-20d9-474e-b2b4-7775cdf6fb10.html","0D24","Brands","https://www.nepconthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.app%20systems%20services%20thailand%20co%20ltd.org-6dbfbe33-20d9-474e-b2b4-7775cdf6fb10.html","System General, Foamtec"
"https://www.nepconthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.applied%20plasma%20inc.org-3f155e7d-a2ab-4ad4-9442-0c713bfeda85.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-c7656e59-7aea-4c45-a86f-c1a2fe15c5d6/desktop-small/f175f8b0-1a40-416f-b4d9-748438788f0b.jpg","APPLIED PLASMA INC","https://www.nepconthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.applied%20plasma%20inc.org-3f155e7d-a2ab-4ad4-9442-0c713bfeda85.html","We are a leading South Korean manufacturer of atmospheric pressure plasma equipment, providing our customers with optimized process solutions.","Categories","OTHERS, Manufacturer (Brand Owner), Automotive Electronics","https://www.nepconthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.applied%20plasma%20inc.org-3f155e7d-a2ab-4ad4-9442-0c713bfeda85.html","0D09","Brands","https://www.nepconthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.applied%20plasma%20inc.org-3f155e7d-a2ab-4ad4-9442-0c713bfeda85.html","API"
"https://www.nepconthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.argosy%20research%20inc.org-c31ab6b4-67fd-405f-86af-f570020eb2b8.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-0f5bf06f-9780-4b57-b356-30dea6fca6b2/desktop-small/500ef0bf-cb15-418c-a0ed-ee02730630d1.png","ARGOSY RESEARCH INC.","https://www.nepconthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.argosy%20research%20inc.org-c31ab6b4-67fd-405f-86af-f570020eb2b8.html","Argosy Research Inc was founded in 1987 and is headquartered in Hsinchu, Taiwan. In 2004, the company was officially listed on the Taiwan Over-the-Counter (OTC) market. Our core business focuses on the design, manufacturing, and sales of electronic components and connector products. To enhance regional support and provide efficient services, Argosy has established subsidiaries in the United States, Europe, China, and Vietnam.","Categories","Packaging Materials/Components, Connector & Cable, Manufacturer (Brand Owner), Automotive Electronics, Mobile Communication System Equipment, Personal Computer Peripheral, Semiconductor Manufacturing","https://www.nepconthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.argosy%20research%20inc.org-c31ab6b4-67fd-405f-86af-f570020eb2b8.html","0D16","","",""
"https://www.nepconthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.asmpt%20smt%20singapore%20pte%20ltd.org-ae0a6d6a-85cc-46b8-bcc1-b7d28cc038eb.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-022b216f-8b95-4ccf-abeb-679a4cb8b463/desktop-small/c7ec7d44-2247-4a1a-a4c5-4b54b57307fa.jpg","ASMPT SMT SINGAPORE PTE. LTD.","https://www.nepconthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.asmpt%20smt%20singapore%20pte%20ltd.org-ae0a6d6a-85cc-46b8-bcc1-b7d28cc038eb.html","We deliver intelligent SMT manufacturing solutions that power smarter factories. Our portfolio spans advanced hardware platforms — including printer, inspection, and placement systems — designed for maximum throughput, efficiency, and flexibility in both high-volume and high-mix production. Complemented by factory-wide software connectivity and real-time data insights, we help manufacturers optimise performance, improve traceability, and achieve measurable ROI.","Categories","Factory/Facility Equipment, Mounters, Inspection Equipment, Smart Factory/Manufacturing Process, Manufacturer (Brand Owner), Automotive Electronics, Home Appliance, Industrial Automation, Medical Devices, Mobile Communication System Equipment, PCB Manufacturing, Semiconductor Manufacturing","https://www.nepconthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.asmpt%20smt%20singapore%20pte%20ltd.org-ae0a6d6a-85cc-46b8-bcc1-b7d28cc038eb.html","0D11","Brands","https://www.nepconthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.asmpt%20smt%20singapore%20pte%20ltd.org-ae0a6d6a-85cc-46b8-bcc1-b7d28cc038eb.html","SIPLACE Placement Platforms, DEK Printer Platforms, WORKS Software Suite, Factory Solutions"
"https://www.nepconthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.association%20of%20electronic%20industries%20in%20singapore%20aeis.org-c6885e1d-edc6-43f7-839c-b85c6c87bf2b.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-7b7a89bc-44d0-4cb8-b99f-14e012db28ac/desktop-small/0fae6ea6-850b-4df7-9376-958a128e764d.jpg","ASSOCIATION OF ELECTRONIC INDUSTRIES IN SINGAPORE (AEIS)","https://www.nepconthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.association%20of%20electronic%20industries%20in%20singapore%20aeis.org-c6885e1d-edc6-43f7-839c-b85c6c87bf2b.html","The Association of Electronic Industries in Singapore (AEIS) (新加坡电子业商会) was established on 7th November 1973. It is a non-profit organization that represents all facets of industrial and commercial electronics. AEIS has been connecting electronics industry in Singapore by creating a platform for members to communicate and go beyond borders and boundaries. This is achieved through networking with local government agencies and overseas electronics associations.","","","","0D26","Brands","https://www.nepconthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.association%20of%20electronic%20industries%20in%20singapore%20aeis.org-c6885e1d-edc6-43f7-839c-b85c6c87bf2b.html","Singapore"
"https://www.nepconthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.astronics%20technologies%20thailand%20co%20ltd.org-211e59a8-cc0f-4bb1-9c80-6222cf594c93.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-d34b56dc-3fc6-445b-ac3a-d2c430c7e0e4/desktop-small/59d0928d-62a6-44a7-86b9-3b87e6dea140.jpg","ASTRONICS TECHNOLOGIES (THAILAND) CO., LTD.","https://www.nepconthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.astronics%20technologies%20thailand%20co%20ltd.org-211e59a8-cc0f-4bb1-9c80-6222cf594c93.html","Astronics Technologies (Thailand) company limited is incorporated in 2007  primarily to represent foreign manufacturers desiring to enter or  expand their market in Southeast Asia namely Thailand, Singapore, Vietnam.

Our company caters to supply, delivery, installation, application and after sales service support to our clients in the Semiconductor, Electronics, Automotive, Medical, Optical, Jewelry industries.

We specialized in plasma surface modification and  polymerization on plastics and other materials.

We specialized also in Chemical precision cleaning in Electronics, Semi-conductor","Categories","Clean/ESD Protection Products, EMS/Contract Manufacturing Services, Factory/Facility Equipment, Washing Machines, Distributor/Agent/Importer/Trader/Wholesaler/Retailer, Aerospace, Automotive Electronics, Home Appliance, Medical Devices, Mobile Communication System Equipment, PCB Manufacturing, Semiconductor Manufacturing","https://www.nepconthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.astronics%20technologies%20thailand%20co%20ltd.org-211e59a8-cc0f-4bb1-9c80-6222cf594c93.html","0C29","Brands","https://www.nepconthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.astronics%20technologies%20thailand%20co%20ltd.org-211e59a8-cc0f-4bb1-9c80-6222cf594c93.html","KYZEN, PINK, SEO, HAICH, UNITEMP & F&S BONTEC"
"https://www.nepconthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.autosplice%20electronics%20dongguan%20ltd.org-b91b95de-71bd-4f16-8a3f-5b7e085ab0f8.html","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHYAAAB2CAYAAAAdp2cRAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAAHYYAAB2GAV2iE4EAAAQNSURBVHhe7d07S+xAAMXxubdSSytFsPYLWFjZCVa2tn4yW1sRFMQHVooPsPJd+UDxBVqoqLhyZkeueneTzXvm5PwgmGTT5P5JMjvXdf+8vr42jND5634KGYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpKq7NN2T09PZmtry1xeXprn52e3l1N3d7fp7+83w8PDpqenx+0tViVhEXV2dta8vLy4PfXQ1dVlJiYmSolbya0YV2rdogLOGedehkrC4vZbV2WdeyW34unpabfWNDU15dY4VXG+GhWTUlhSCktKYWMcHByYxcVFMzMzYxesY5/vFLYNvNdeWFgw6+vr5uLiwk6iYME69uE1HOMrhW1jbW3NXF1dua3/4TUc4yuFbQG32qioX3CMr7dlhW3h9PTUrcVLcmyZFLaF+/t7txYvybFlUlhSCttCb2+vW4uX5Ngy0YQ9OzszR0dHbiubwcFBtxYvybFlogj78fFhNjc37fvLm5sbtze9oaEh09fX57bawzE41kcUYff29szj46MNvLy8nMvEwejoaGRcvIZjfBV8WMwG7e7uuq3m9srKio2cBX7LYXx83IyMjJiBgQH76y1YsI59eK2sX3NJI/iw29vb5u3tzW014Xa8sbHhtrLBrXZsbMxMTk7aBeu+3n6/CzosAp6cnLitnw4PD3MbTIUo6LBxV2Veg6kQBRv2+PjY3N7euq3W8hxMhSbIsHim7uzsuK1oeQ2mOtFoNHJ7tmcVZFiMghGsU3kOptp5f3+3d4f9/X23p1rBhX14eLDvW5MqcjCFW/38/Lyd/fJFcGExw5T2tlrEYOru7s7Mzc3Znz4JKuz5+bld0sp7MIUrFFeqj4OzYMIiCq7WrPBsXl1dzTyYwrN0aWnJPlt9FExYPFfxfM3D9fV16sHU18jXl9FvO0GE/T0fnIc0gynfRr5RggiL96y/54PzkGQw5ePIN4r3YfEPj1mmInQ6mPJ15BvF+7BFP8viBlM+j3yjeB22k/ngPLQbTOFZiiva15FvFG/DJpkPzgMGU/gc6/cFsTEKDpG3YZPOB8tPXoZNOx8s/3gZNst8sDR5GTbLfLA0efuMlWwUlpTCklJYUgpLSmFJKSwp/S3FElRxvrpiSSksKYUlVckzFn+TsK7/JYcPT+NztkWr5IrFFx/UVVnnXklYfJsFvvigbnDOOPcy6OtZSlCbr2eR4mlUTEphSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwlIy5hOOnhfbV4xb3wAAAABJRU5ErkJggg==","AUTOSPLICE ELECTRONICS (DONGGUAN) LTD.","","","","","","0A34","","",""
"https://www.nepconthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.avertronics%20inc.org-6aa2e760-ad3e-4f6e-a6ce-a0c83bdd6a87.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-bdbdc770-69dc-44d7-a9cb-136c6d50d4ea/desktop-small/78be59f6-64fa-42e6-a5af-1a469a6b3ced.jpg","AVERTRONICS INC.","https://www.nepconthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.avertronics%20inc.org-6aa2e760-ad3e-4f6e-a6ce-a0c83bdd6a87.html","AVIN specializes in connectors, electronic components, and wire harness solutions for a wide range of industrial applications. We provide ODM and OBM services with a strong focus on quality, reliability, and customized manufacturing. With professional engineering support and efficient production capabilities, AVIN is committed to delivering innovative and cost-effective solutions that meet global customer needs.","Categories","Connector & Cable, Manufacturer (Brand Owner), Aerospace, Automotive Electronics","https://www.nepconthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.avertronics%20inc.org-6aa2e760-ad3e-4f6e-a6ce-a0c83bdd6a87.html","9E23","Brands","https://www.nepconthailand.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.avertronics%20inc.org-6aa2e760-ad3e-4f6e-a6ce-a0c83bdd6a87.html","AVIN"
