"company","stand","category","country"
"1 BLOW","C3-AV45","PhamaTechAsia","FRANCE"
"3 MUSK UHP TECHNOLOGY CO., LTD","C3-AL84","ProcessingTechAsia","CHINA"
"A GRATEFUL RICH CO.,LTD.","C3-AL54","PackagingTechAsia","THAILAND"
"A&D INSTRUMENTS (THAILAND) LIMITED","C1-N48","PackagingTechAsia","THAILAND"
"ABIZ TECHNOLOGY CO., LTD.","C2-Z84","PackagingTechAsia","THAILAND"
"ABL","C2-AJ54","PackagingTechAsia","ITALY"
"ABSCISSE","C3-AP33","ProcessingTechAsia","FRANCE"
"ACCREDO ASIA CO., LTD.","C2-AB60","PackagingTechAsia","VIETNAM"
"ACR INTERMATION CO., LTD.","C3-AX62","ProcessingTechAsia","THAILAND"
"ACR INTERMATION CO.,LTD","C3-AX62","ProcessingTechAsia","THAILAND"
"ACS TEX CO., LTD.","C2-AD83","PhamaTechAsia","THAILAND"
"ADEKOM NEW ENERGY EQUIPMENT & ENGINEERING LIMITED","C2-Y66","PackagingTechAsia","HONG KONG"
"ADIWARNA INDUSTRIES PTE LTD","C2-Y32","PackagingTechAsia","SINGAPORE"
"ADVANCE ADHESIVE SOLUTION CO, LTD.","C1-B59","PackagingSolutionsAsia","THAILAND"
"ADVANCED FOOD TECHNOLOGY CO.,LTD","C1-N60","PackagingTechAsia","THAILAND"
"ADVANCED MICRO CONTROLS - AMCI","C1-F23","Digitalization","USA"
"AETNA GROUP SPA","C2-AH04","PackagingTechAsia","ITALY"
"AFHER EUROBELT","C3-AP83","ProcessingTechAsia","SPAIN"
"AGRIFLEX SRL","C2-AK35","ProcessingTechAsia","ITALY"
"AIMI CO., LTD.","C1-D12","Coldchain,Logistics,Warehousing&FactoryAsia","THAILAND"
"AIR-LOCK CORPORATION LIMITED","C3-AL66","ProcessingTechAsia","THAILAND"
"AIR-LOCK CORPORATION LTD","C3-AL66","ProcessingTechAsia","THAILAND"
"AIRVAC SYSTEM TECHNOLOGY CO., LTD.","C1-A11","Digitalization","THAILAND"
"AISHIN INDUSTRIAL (THAILAND) CO., LTD","C3-AX42","ProcessingTechAsia","THAILAND"
"AKOMAG SRL","C3-AL49","Coding,Marking&LabellingAsia","ITALY"
"ALBERTINA MACHINERY S.R.O.","C2-AG04","DrinkTechAsia","CZECH REPUBLIC"
"ALIMEC S.R.L.","C2-AJ09","PackagingSolutionsAsia","ITALY"
"ALLIANCE TECHNOLOGY CO.,LTD.","C2-AC62","PhamaTechAsia","THAILAND"
"ALLIGATOR AUTOMATIONS INDIA PVT. LTD.","C1-J49","PackagingSolutionsAsia","INDIA"
"ALPHA-PACK (THAILAND) COMPANY LIMITED","C2-U28-2","PackagingTechAsia","THAILAND"
"ALPLA PACKAGING (THAILAND) LTD.","C1-D48","Coldchain,Logistics,Warehousing&FactoryAsia","THAILAND"
"ALTA ENTERPRISE CO.,LTD.","C1-AA59","N/A","Taiwan"
"ALTECH ASIA PACIFIC CO.,LTD.","C2-W42","PackagingTechAsia","THAILAND"
"AMANO THAI INTERNATIONAL CO., LTD.","C3-AX42","ProcessingTechAsia","THAILAND"
"AMBAFLEX ASIA PACIFIC BV (SINGAPORE BRANCH)","C2-AA48","PackagingTechAsia","SINGAPORE"
"AMH TECHNOLOGIES SDN BHD","C3-AT66","ProcessingTechAsia","MALAYSIA"
"AMIT FINISHER'S","C2-AJ63","DrinkTechAsia","INDIA"
"AMIXON GMBH","C3-AL28","ProcessingTechAsia","GERMANY"
"AMKCO SIAM CO., LTD.","C3-BA53","ProcessingTechAsia","THAILAND"
"AMMEGA (THAILAND) CO.,LTD","C1-P28","PackagingTechAsia","THAILAND"
"AMO - PACK (ASIA) CO., LTD.","C1-P04","PackagingTechAsia","THAILAND"
"AMP INTERNATIONAL CO., LTD.","C3-BA29","ProcessingTechAsia","THAILAND"
"ANAM PACKING INDUSTRIAL TECHNOLOGY CO., LTD","C2-Y62","PackagingTechAsia","CHINA"
"ANGELUS","C2-AJ49","PackagingTechAsia","ITALY"
"ANHUI BAISHIJIA PACKING CO., LTD","C2-Z21","PackagingTechAsia","CHINA"
"ANHUI COLE PACKAGING MATERIALS CO.,LTD","C3-BA30","ProcessingTechAsia","CHINA"
"ANHUI FANRONG PACKING CO., LTD","C1-S81","PackagingTechAsia","CHINA"
"ANHUI HONGYANGDA NEW MATERIALS TECHNOLOGY CO.,LTD","C1-S81","PackagingTechAsia","CHINA"
"ANHUI IAPACK MACHINERY CO.,LTD","C3-BA50","ProcessingTechAsia","CHINA"
"ANHUI IDEA TECHNOLOGY CO.,LTD","C3-AM81","ProcessingTechAsia","CHINA"
"ANHUI MEK PLASTICS CO., LTD.","C1-B62","Digitalization","CHINA"
"ANHUI PEIYU PACKAGING TECHNOLOGY CO.,LTD","C2-AE42","DrinkTechAsia","CHINA"
"ANHUI TIANLONG SUPER COLOR PACK CO., LTD","C1-S81","PackagingTechAsia","CHINA"
"ANHUI WOFU MACHINERY TECHNOLOGY","C3-AQ66","ProcessingTechAsia","CHINA"
"ANHUI YONGCHENG ELECTRONIC MECHANICAL TECHNOLOGY CO., LTD","C1-B44","Digitalization","CHINA"
"ANRITSU CORPORATION","C3-AV04","ProcessingTechAsia","JAPAN"
"ANRITSU INFIVIS (THAILAND) CO.,LTD.","C3-AV04","ProcessingTechAsia","THAILAND"
"ANTARES VISION GROUP","C2-AH28","DrinkTechAsia","ITALY"
"ANZAI MANUFACTURING CO.,LTD","C3-AL50","ProcessingTechAsia","JAPAN"
"AP.SOL S.R.L.","C2-X16","PackagingTechAsia","ITALY"
"APLIX (HONG KONG) LIMITED","C2-Z79","PackagingTechAsia","HONG KONG"
"APOLLO VTS ASIA LTD.","C2-T66","ProcessingTechAsia","THAILAND"
"ARCIL","C2-AJ49","PackagingTechAsia","FRANCE"
"ARIZAGA, BASTARRICA Y CIA, S.A.","C2-AB28","DrinkTechAsia","SPAIN"
"AROL","C3-AK36","PackagingTechAsia","ITALY"
"ARROW SYSTEMS SDN BHD","C3-AT16","PackagingTechAsia","MALAYSIA"
"AS FRIIS LTD.","C3-AM50","ProcessingTechAsia","THAILAND"
"A-SAFE","C1-C83","Coldchain,Logistics,Warehousing&FactoryAsia","UK"
"ASAHI INDUSTRY CO.,LTD.","C3-AS66","ProcessingTechAsia","JAPAN"
"ASAHI SOSETSU CO.,LTD.","C3-AN04","ProcessingTechAsia","JAPAN"
"ASHWORTH BROS., INC.","C3-AU54","ProcessingTechAsia","USA"
"ASIA ENGINEERING PAC CO., LTD.","C2-V54","PackagingTechAsia","THAILAND"
"ASIA PACKAGING ASSOCIATION CLUB (APAC)","C2-AH65","DrinkTechAsia","JAPAN"
"ASIA PULP & PAPER CO LTD","C1-E12","N/A","SINGAPORE"
"ASIAN AGRIBUSINESS MEDIA PTE LTD.","C1-AA56","N/A","SINGAPORE"
"ASIAN PACIFIC CAN","C1-B47","PackagingSolutionsAsia","THAILAND"
"ASIANLUSTRE CO., LTD.","C1-K20,K22,K24,L21,L23,L25","ProcessingTechAsia","JAPAN"
"ASSOCIATION OF SMALL AND MEDIUM ENTERPRISES (ASME)","C3-AN22","N/A","SINGAPORE"
"ATELIERS FRANCOIS SA (AF COMPRESSOR)","C2-AB30","DrinkTechAsia","BELGIUM"
"ATEM (THAILAND) CO., LTD.","C1-C59","PackagingTechAsia","THAILAND"
"ATHA MAKINA A.S.","C2-AB48","PackagingTechAsia","T?RK?YE"
"ATLANTA S.P.A.","C2-AG04","DrinkTechAsia","ITALY"
"ATLANTA STRETCH S.P.A.","C2-AG04","DrinkTechAsia","ITALY"
"ATLAS MAGTECH LIMITED","C2-AB58","PhamaTechAsia","HONG KONG"
"ATOM-MIC POWER CO., LTD.","C2-Z83","PackagingTechAsia","THAILAND"
"AUTOFAST TECHNOLOGIES CO., LTD","C3-AZ69","ProcessingTechAsia","CHINA"
"AUTOMATE UK","C2-U65","PackagingTechAsia","UK"
"AUTOPACK CO., LTD.","C2-W28","PackagingTechAsia","THAILAND"
"AVENTUS GMBH & CO. KG","C1-H42","PackagingSolutionsAsia","GERMANY"
"AVENTUS VENTURE","C1-C66","ProcessingTechAsia","MALAYSIA"
"AXTEL INDUSTRIES LIMITED","C3-AK54","ProcessingTechAsia","INDIA"
"AZGA ELECTRIC CO., LTD.","C3-AQ78","ProcessingTechAsia","THAILAND"
"AZO LTD. (THAILAND)","C3-AL28","ProcessingTechAsia","THAILAND"
"B&B VERPACKUNGSTECHNIK GMBH","C1-H42","PackagingSolutionsAsia","GERMANY"
"B.Y. TAI HUA IMPORT EXPORT CO.,LTD.","C2-X42","PackagingTechAsia","THAILAND"
"B.Y.TAI HUA IMPORT EXPORT CO,.LTD","C2-X42","PackagingTechAsia",""
"BAIRUIJIA PLASTICS SCIENCE & TECHNOLOGY CO., LTD.","C2-U24","PackagingTechAsia","CHINA"
"BAIYI ADHESIVE PRODUCTS CO.,LTD.","C2-U22","PackagingTechAsia","CHINA"
"BANGKOK PAPER BUSINESS CO., LTD.","C1-G12","Coding,Marking&LabellingAsia","THAILAND"
"BANYONG ENGINEERING LTD.,PART","C2-X83","PackagingTechAsia","THAILAND"
"BARDIANI VALVOLE SPA","C3-AP33","ProcessingTechAsia","ITALY"
"BARRY-WEHMILLER","C2-AJ49","PackagingTechAsia","USA"
"BAUERMEISTER ZERKLEINERUNGSTECHNIK GMBH","C3-AY54","ProcessingTechAsia","GERMANY"
"BAVARIAN PAVILION / BAYERN INTERNATIONAL","C2-U19","PackagingTechAsia","GERMANY"
"BB TECH & SERVICE LTD., PART.","C3-AP78","ProcessingTechAsia","THAILAND"
"BE MEDIA FOCUS (THAILAND) CO  LTD","C1-AA67","N/A","THAILAND"
"BECKER ASIA PACIFIC PTE LTD.","C1-L57","PackagingSolutionsAsia","SINGAPORE"
"BECKER VACUUM AND AIR EQUIPMENT (SHANGHAI) CO., LTD.","C1-L57","PackagingSolutionsAsia","CHINA"
"BECKHOFF AUTOMATION PTE. LTD.","C1-B61","Digitalization","THAILAND"
"BEIJING EASTYIDA INTERNATIONAL EXHIBITION CO.,LTD","C3-AY22","ProcessingTechAsia","CHINA"
"BEIJING HANLIN HANGYU TECHNOLOGY DEVELOPMENT INC","C1-L16","PackagingSolutionsAsia","CHINA"
"BEIJING HANLIN HANGYU TECHNOLOGY DEVELOPMENT INC.","C1-L16","PackagingSolutionsAsia","CHINA"
"BEIJING OMORI PACKING MACHINERY CO., LTD.","C1-N04","PackagingTechAsia","CHINA"
"BEIJING XINMEI INTERNATIONAL EXHIBITION CO.,LTD","C3-AZ28","ProcessingTechAsia","CHINA"
