"image-container href","img-responsive src","exhibitor-name","exhibitor-info href","wrap-word","title-in-exhibitor-summary","brands href","wrap-word 2","text-left","pps-tags","pps-tags href","directory-stand 2"
"https://www.surfaceandcoatings.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.acme%20international%20thailand%20limited.org-c9314aff-0e4b-4e6d-85a0-8affa39be8ab.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-3aa42df9-69f7-405e-ab85-5b4a71dec666/desktop-small/402e7c56-c514-4c31-b888-3f9916ab7bc0.jpg","ACME INTERNATIONAL (THAILAND) LIMITED","https://www.surfaceandcoatings.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.acme%20international%20thailand%20limited.org-c9314aff-0e4b-4e6d-85a0-8affa39be8ab.html","Acme-Inter Group, a Thai company with over 52 years of experience serving industries across Thailand and Southeast Asia, proudly presents BU Performance Materials — a leading supplier of advanced materials and industrial solutions. Our portfolio includes metal fibers, iron powders, graphite, carbon materials, aramid fibers, mineral fibers, brazing alloys, tin materials, and metal sulfides, supporting friction, lubrication, electronics, automotive, batteries, rubber, plastics, and industrial manufacturing applications with reliable performance and innovation.","Brands","https://www.surfaceandcoatings.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.acme%20international%20thailand%20limited.org-c9314aff-0e4b-4e6d-85a0-8affa39be8ab.html","NanoFilm FCVA Coating","Categories","Anti-corrosion Coating, Functional Coatings, Non-stick Coatings, PVD/DLC, Service Providers (e.g., Consultancy, IT Hardware/Software, Legal, Waste Management, etc.), Automotive & Auto Parts, Electrical & Electronics, Jewelry & Watches, Machine Building, Metallurgical, Mold & Die, Plastic & Rubber, Shipbuilding","https://www.surfaceandcoatings.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.acme%20international%20thailand%20limited.org-c9314aff-0e4b-4e6d-85a0-8affa39be8ab.html","0E01"
"https://www.surfaceandcoatings.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.august%20technology%20company%20limited.org-ea64697f-2726-4661-b99c-3009dc2fae00.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-e808e476-66c7-44cd-a8ae-5ea1e8fd751d/desktop-small/d9a211ea-94e4-44e8-bc57-ee780e8e0681.jpg","AUGUST TECHNOLOGY COMPANY LIMITED","https://www.surfaceandcoatings.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.august%20technology%20company%20limited.org-ea64697f-2726-4661-b99c-3009dc2fae00.html","We are distributor and advisor in providing advanced vacuum technology solutions, Air compressor, Gas generator representing some of the most successful products in the industry. Our company offers high-quality, reliable products that cater to various sectors, improving efficiency and performance. With a focus on innovation and customer satisfaction, we deliver  technologies designed to meet the ever-evolving needs of the global market.","Brands","https://www.surfaceandcoatings.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.august%20technology%20company%20limited.org-ea64697f-2726-4661-b99c-3009dc2fae00.html","Leybold Vacuum, Anest Iwata, INMATEC GASTECHNOLOGY","Categories","Degreasing, Plasma Technology, PVD/DLC, Vacuum Plating, Spray Gun, Pump & Metering Devices, Distributor/Agent/Importer/Trader/Wholesaler/Retailer, Aerospace, Automotive & Auto Parts, Electrical & Electronics, Food & Beverage, Jewelry & Watches, Packaging, Plastic & Rubber","https://www.surfaceandcoatings.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.august%20technology%20company%20limited.org-ea64697f-2726-4661-b99c-3009dc2fae00.html","0E29"
"https://www.surfaceandcoatings.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.chemetall%20thailand%20co%20ltd.org-6949359e-deb6-47f3-9050-ad674c9a64a0.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-a1bf3443-3a52-4dd2-be92-57a5266678a2/desktop-small/107fc2f9-c498-49ab-9821-274c879674b3.jpg","CHEMETALL (THAILAND) CO., LTD.","https://www.surfaceandcoatings.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.chemetall%20thailand%20co%20ltd.org-6949359e-deb6-47f3-9050-ad674c9a64a0.html","We are the globally company who are develop and manufacturer of surface treatment chemical for several industry in the world. Specialty chemicals for metal, plastic, glass substrate. Used in a wide range of industry and end-market. Solutions for ensuring corrosion protection and coating adhesion, forming and machining of substrates, applications to prepare surfaces for painting processes, and sealants for specific applications in the aerospace industry.","Brands","https://www.surfaceandcoatings.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.chemetall%20thailand%20co%20ltd.org-6949359e-deb6-47f3-9050-ad674c9a64a0.html","Chemetall, Gardobond, Gardoclean, OXSILAN, VIANT, ARDROX, NAFTOSEAL, BRITEMORE, FISAN","Categories","Manufacturer (Brand Owner), Anti-corrosion Coating, Automotive Paints, Green Technology Coatings, Industrial Coating, Acid Dipping, Anodizing, Cleaning, Conversion Coatings, Degreasing, Phosphorization, Aerospace, Automotive & Auto Parts, Building & Construction, Electrical & Electronics, Food & Beverage, Furniture, Jewelry & Watches, Oil & Gas, Machine Building, Metallurgical, Mold & Die, Packaging, Plastic & Rubber","https://www.surfaceandcoatings.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.chemetall%20thailand%20co%20ltd.org-6949359e-deb6-47f3-9050-ad674c9a64a0.html","0F05"
"https://www.surfaceandcoatings.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.daebong%20engineering%20co%20ltd.org-d82c0da0-0b8f-4abd-bf3d-506c88930a8b.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-9418f224-27ab-40e8-b9df-8ef96a945153/desktop-small/07a3cce8-bca4-4317-908d-8f1870c656d5.png","DAEBONG ENGINEERING CO., LTD.","https://www.surfaceandcoatings.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.daebong%20engineering%20co%20ltd.org-d82c0da0-0b8f-4abd-bf3d-506c88930a8b.html","Main products are High speed 3D transfer, FOL (Coil lines, blanking line, gantry loader destacker), 2D transfer, EOL(Piler, automatic stacker, exit conveyor, etc).","","","","Categories","Turnkey Plant, Bulk Manufacturing, OTHERS, Manufacturer (Brand Owner), Automotive & Auto Parts, Machine Building","https://www.surfaceandcoatings.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.daebong%20engineering%20co%20ltd.org-d82c0da0-0b8f-4abd-bf3d-506c88930a8b.html","0E19-11"
"https://www.surfaceandcoatings.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.daegun%20tech%20co%20ltd.org-1634a2e3-8014-4bc6-91b1-b36e82b3b337.html","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHYAAAB2CAYAAAAdp2cRAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAAHYYAAB2GAV2iE4EAAAQNSURBVHhe7d07S+xAAMXxubdSSytFsPYLWFjZCVa2tn4yW1sRFMQHVooPsPJd+UDxBVqoqLhyZkeueneTzXvm5PwgmGTT5P5JMjvXdf+8vr42jND5634KGYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpKq7NN2T09PZmtry1xeXprn52e3l1N3d7fp7+83w8PDpqenx+0tViVhEXV2dta8vLy4PfXQ1dVlJiYmSolbya0YV2rdogLOGedehkrC4vZbV2WdeyW34unpabfWNDU15dY4VXG+GhWTUlhSCktKYWMcHByYxcVFMzMzYxesY5/vFLYNvNdeWFgw6+vr5uLiwk6iYME69uE1HOMrhW1jbW3NXF1dua3/4TUc4yuFbQG32qioX3CMr7dlhW3h9PTUrcVLcmyZFLaF+/t7txYvybFlUlhSCttCb2+vW4uX5Ngy0YQ9OzszR0dHbiubwcFBtxYvybFlogj78fFhNjc37fvLm5sbtze9oaEh09fX57bawzE41kcUYff29szj46MNvLy8nMvEwejoaGRcvIZjfBV8WMwG7e7uuq3m9srKio2cBX7LYXx83IyMjJiBgQH76y1YsI59eK2sX3NJI/iw29vb5u3tzW014Xa8sbHhtrLBrXZsbMxMTk7aBeu+3n6/CzosAp6cnLitnw4PD3MbTIUo6LBxV2Veg6kQBRv2+PjY3N7euq3W8hxMhSbIsHim7uzsuK1oeQ2mOtFoNHJ7tmcVZFiMghGsU3kOptp5f3+3d4f9/X23p1rBhX14eLDvW5MqcjCFW/38/Lyd/fJFcGExw5T2tlrEYOru7s7Mzc3Znz4JKuz5+bld0sp7MIUrFFeqj4OzYMIiCq7WrPBsXl1dzTyYwrN0aWnJPlt9FExYPFfxfM3D9fV16sHU18jXl9FvO0GE/T0fnIc0gynfRr5RggiL96y/54PzkGQw5ePIN4r3YfEPj1mmInQ6mPJ15BvF+7BFP8viBlM+j3yjeB22k/ngPLQbTOFZiiva15FvFG/DJpkPzgMGU/gc6/cFsTEKDpG3YZPOB8tPXoZNOx8s/3gZNst8sDR5GTbLfLA0efuMlWwUlpTCklJYUgpLSmFJKSwp/S3FElRxvrpiSSksKYUlVckzFn+TsK7/JYcPT+NztkWr5IrFFx/UVVnnXklYfJsFvvigbnDOOPcy6OtZSlCbr2eR4mlUTEphSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwlIy5hOOnhfbV4xb3wAAAABJRU5ErkJggg==","DAEGUN TECH CO., LTD.","","","","","","","","","0F19-2"
"https://www.surfaceandcoatings.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.dong%20hwa%20hi-tech%20co%20ltd.org-f7650eef-5d4d-4cea-a2cb-aa22716231d4.html","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHYAAAB2CAYAAAAdp2cRAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAAHYYAAB2GAV2iE4EAAAQNSURBVHhe7d07S+xAAMXxubdSSytFsPYLWFjZCVa2tn4yW1sRFMQHVooPsPJd+UDxBVqoqLhyZkeueneTzXvm5PwgmGTT5P5JMjvXdf+8vr42jND5634KGYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpKq7NN2T09PZmtry1xeXprn52e3l1N3d7fp7+83w8PDpqenx+0tViVhEXV2dta8vLy4PfXQ1dVlJiYmSolbya0YV2rdogLOGedehkrC4vZbV2WdeyW34unpabfWNDU15dY4VXG+GhWTUlhSCktKYWMcHByYxcVFMzMzYxesY5/vFLYNvNdeWFgw6+vr5uLiwk6iYME69uE1HOMrhW1jbW3NXF1dua3/4TUc4yuFbQG32qioX3CMr7dlhW3h9PTUrcVLcmyZFLaF+/t7txYvybFlUlhSCttCb2+vW4uX5Ngy0YQ9OzszR0dHbiubwcFBtxYvybFlogj78fFhNjc37fvLm5sbtze9oaEh09fX57bawzE41kcUYff29szj46MNvLy8nMvEwejoaGRcvIZjfBV8WMwG7e7uuq3m9srKio2cBX7LYXx83IyMjJiBgQH76y1YsI59eK2sX3NJI/iw29vb5u3tzW014Xa8sbHhtrLBrXZsbMxMTk7aBeu+3n6/CzosAp6cnLitnw4PD3MbTIUo6LBxV2Veg6kQBRv2+PjY3N7euq3W8hxMhSbIsHim7uzsuK1oeQ2mOtFoNHJ7tmcVZFiMghGsU3kOptp5f3+3d4f9/X23p1rBhX14eLDvW5MqcjCFW/38/Lyd/fJFcGExw5T2tlrEYOru7s7Mzc3Znz4JKuz5+bld0sp7MIUrFFeqj4OzYMIiCq7WrPBsXl1dzTyYwrN0aWnJPlt9FExYPFfxfM3D9fV16sHU18jXl9FvO0GE/T0fnIc0gynfRr5RggiL96y/54PzkGQw5ePIN4r3YfEPj1mmInQ6mPJ15BvF+7BFP8viBlM+j3yjeB22k/ngPLQbTOFZiiva15FvFG/DJpkPzgMGU/gc6/cFsTEKDpG3YZPOB8tPXoZNOx8s/3gZNst8sDR5GTbLfLA0efuMlWwUlpTCklJYUgpLSmFJKSwp/S3FElRxvrpiSSksKYUlVckzFn+TsK7/JYcPT+NztkWr5IrFFx/UVVnnXklYfJsFvvigbnDOOPcy6OtZSlCbr2eR4mlUTEphSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwlIy5hOOnhfbV4xb3wAAAABJRU5ErkJggg==","DONG HWA HI-TECH CO., LTD.","","","","","","","","","0F19-1"
"https://www.surfaceandcoatings.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.dongsung%20oil%20%20chemical%20co.org-6cf1ab20-ea30-4771-ac7f-db036241f249.html","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHYAAAB2CAYAAAAdp2cRAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAAHYYAAB2GAV2iE4EAAAQNSURBVHhe7d07S+xAAMXxubdSSytFsPYLWFjZCVa2tn4yW1sRFMQHVooPsPJd+UDxBVqoqLhyZkeueneTzXvm5PwgmGTT5P5JMjvXdf+8vr42jND5634KGYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpKq7NN2T09PZmtry1xeXprn52e3l1N3d7fp7+83w8PDpqenx+0tViVhEXV2dta8vLy4PfXQ1dVlJiYmSolbya0YV2rdogLOGedehkrC4vZbV2WdeyW34unpabfWNDU15dY4VXG+GhWTUlhSCktKYWMcHByYxcVFMzMzYxesY5/vFLYNvNdeWFgw6+vr5uLiwk6iYME69uE1HOMrhW1jbW3NXF1dua3/4TUc4yuFbQG32qioX3CMr7dlhW3h9PTUrcVLcmyZFLaF+/t7txYvybFlUlhSCttCb2+vW4uX5Ngy0YQ9OzszR0dHbiubwcFBtxYvybFlogj78fFhNjc37fvLm5sbtze9oaEh09fX57bawzE41kcUYff29szj46MNvLy8nMvEwejoaGRcvIZjfBV8WMwG7e7uuq3m9srKio2cBX7LYXx83IyMjJiBgQH76y1YsI59eK2sX3NJI/iw29vb5u3tzW014Xa8sbHhtrLBrXZsbMxMTk7aBeu+3n6/CzosAp6cnLitnw4PD3MbTIUo6LBxV2Veg6kQBRv2+PjY3N7euq3W8hxMhSbIsHim7uzsuK1oeQ2mOtFoNHJ7tmcVZFiMghGsU3kOptp5f3+3d4f9/X23p1rBhX14eLDvW5MqcjCFW/38/Lyd/fJFcGExw5T2tlrEYOru7s7Mzc3Znz4JKuz5+bld0sp7MIUrFFeqj4OzYMIiCq7WrPBsXl1dzTyYwrN0aWnJPlt9FExYPFfxfM3D9fV16sHU18jXl9FvO0GE/T0fnIc0gynfRr5RggiL96y/54PzkGQw5ePIN4r3YfEPj1mmInQ6mPJ15BvF+7BFP8viBlM+j3yjeB22k/ngPLQbTOFZiiva15FvFG/DJpkPzgMGU/gc6/cFsTEKDpG3YZPOB8tPXoZNOx8s/3gZNst8sDR5GTbLfLA0efuMlWwUlpTCklJYUgpLSmFJKSwp/S3FElRxvrpiSSksKYUlVckzFn+TsK7/JYcPT+NztkWr5IrFFx/UVVnnXklYfJsFvvigbnDOOPcy6OtZSlCbr2eR4mlUTEphSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwlIy5hOOnhfbV4xb3wAAAABJRU5ErkJggg==","DONGSUNG OIL & CHEMICAL CO.","","","","","","","","","0F19-6"
"https://www.surfaceandcoatings.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.est%20co%20ltd.org-4573812f-2afa-4c03-aecb-b985230724dc.html","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHYAAAB2CAYAAAAdp2cRAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAAHYYAAB2GAV2iE4EAAAQNSURBVHhe7d07S+xAAMXxubdSSytFsPYLWFjZCVa2tn4yW1sRFMQHVooPsPJd+UDxBVqoqLhyZkeueneTzXvm5PwgmGTT5P5JMjvXdf+8vr42jND5634KGYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpKq7NN2T09PZmtry1xeXprn52e3l1N3d7fp7+83w8PDpqenx+0tViVhEXV2dta8vLy4PfXQ1dVlJiYmSolbya0YV2rdogLOGedehkrC4vZbV2WdeyW34unpabfWNDU15dY4VXG+GhWTUlhSCktKYWMcHByYxcVFMzMzYxesY5/vFLYNvNdeWFgw6+vr5uLiwk6iYME69uE1HOMrhW1jbW3NXF1dua3/4TUc4yuFbQG32qioX3CMr7dlhW3h9PTUrcVLcmyZFLaF+/t7txYvybFlUlhSCttCb2+vW4uX5Ngy0YQ9OzszR0dHbiubwcFBtxYvybFlogj78fFhNjc37fvLm5sbtze9oaEh09fX57bawzE41kcUYff29szj46MNvLy8nMvEwejoaGRcvIZjfBV8WMwG7e7uuq3m9srKio2cBX7LYXx83IyMjJiBgQH76y1YsI59eK2sX3NJI/iw29vb5u3tzW014Xa8sbHhtrLBrXZsbMxMTk7aBeu+3n6/CzosAp6cnLitnw4PD3MbTIUo6LBxV2Veg6kQBRv2+PjY3N7euq3W8hxMhSbIsHim7uzsuK1oeQ2mOtFoNHJ7tmcVZFiMghGsU3kOptp5f3+3d4f9/X23p1rBhX14eLDvW5MqcjCFW/38/Lyd/fJFcGExw5T2tlrEYOru7s7Mzc3Znz4JKuz5+bld0sp7MIUrFFeqj4OzYMIiCq7WrPBsXl1dzTyYwrN0aWnJPlt9FExYPFfxfM3D9fV16sHU18jXl9FvO0GE/T0fnIc0gynfRr5RggiL96y/54PzkGQw5ePIN4r3YfEPj1mmInQ6mPJ15BvF+7BFP8viBlM+j3yjeB22k/ngPLQbTOFZiiva15FvFG/DJpkPzgMGU/gc6/cFsTEKDpG3YZPOB8tPXoZNOx8s/3gZNst8sDR5GTbLfLA0efuMlWwUlpTCklJYUgpLSmFJKSwp/S3FElRxvrpiSSksKYUlVckzFn+TsK7/JYcPT+NztkWr5IrFFx/UVVnnXklYfJsFvvigbnDOOPcy6OtZSlCbr2eR4mlUTEphSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwlIy5hOOnhfbV4xb3wAAAABJRU5ErkJggg==","EST CO., LTD.","","","","","","","","","0E19-13"
"https://www.surfaceandcoatings.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.fisilpa%20srl.org-96af49bc-cc6d-43de-b841-9fdbbcce0bbb.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-cc8b6d06-aede-4f07-bad8-465cc09ca3fb/desktop-small/b9381390-cf7d-4149-a014-8beb655c35d7.jpg","FI.SIL.PA SRL","https://www.surfaceandcoatings.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.fisilpa%20srl.org-96af49bc-cc6d-43de-b841-9fdbbcce0bbb.html","Our company named “Fi.Sil.Pa Srl” (an italian company with head office in Meda – Milan
–	Italy), is working since 1968 in the hot dip galvanizing field.
We have references all over the world and particularly in Europe, Russia, China, UAE, Central and
South America.
Our products respect the maximum level as regarding quality, performance, flexibility and durability.
Our technical staff operates with the latest technology as per cad engineering.
Since May 2021, we are also agents for Chinese zinc kettle which have the same uniformity as European tanks","","","","Categories","Anti-corrosion Coating, Turnkey Plant, Manufacturer (Brand Owner), Oil & Gas, Metallurgical","https://www.surfaceandcoatings.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.fisilpa%20srl.org-96af49bc-cc6d-43de-b841-9fdbbcce0bbb.html","0F28"
"https://www.surfaceandcoatings.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.fuji%20kasei%20thailand%20ltd.org-19aefb9f-2c88-4f04-a331-36df77f378d8.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-dc1d7916-aabe-4a41-bd7e-8d076f682720/desktop-small/6425e797-0cad-4b45-b4e7-af880a34f386.jpg","FUJI KASEI (THAILAND) LTD.","https://www.surfaceandcoatings.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.fuji%20kasei%20thailand%20ltd.org-19aefb9f-2c88-4f04-a331-36df77f378d8.html","FUJI KASEI(THAILAND)Ltd. specializes in supplying high-quality specialty chemicals lubricant  and raw materials for coating industrial applications. We work closely with leading global manufactures to provide innovative, reliable , and sustainable  solutions tailored to customer needs, our experienced team offers technical support, product consulted ,and responsive service to help improve product performance and production efficiency across various industries.","Brands","https://www.surfaceandcoatings.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.fuji%20kasei%20thailand%20ltd.org-19aefb9f-2c88-4f04-a331-36df77f378d8.html","JASCO, MATALOR and NIKKO OIL","Categories","Finishing Chemical, Distributor/Agent/Importer/Trader/Wholesaler/Retailer, Automotive & Auto Parts","https://www.surfaceandcoatings.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.fuji%20kasei%20thailand%20ltd.org-19aefb9f-2c88-4f04-a331-36df77f378d8.html","0F31"
