exhibitor_id,company_name,exhibition_area,hall,booth_no,main_products,detail_url,logo_url,source_page,source_position
89168,"PolarisIC Microelectronics Co.,Ltd.(Shenzhen)",Intelligent Sensing Expo,HALL 6,6C56,"PolarisIC specializes in two fields: dToF depth sensing and PCI low-light imaging. In depth sensing, it has independently developed multiple high-performance, low-power dToF products, including the DTS4004 multi-zone dToF micro module, DTS6005 dToF sensor module, DTS6010 micro dToF module, and PSC2503 mid-range high-frame-rate dual-point module. In low-light imaging, it has innovatively developed China's first 3.2-megapixel photon-counting imaging chip PCM7200, applicable to automotive, security, industrial, and transportation fields.",https://exhibitors.cioe.cn/jtycn/zsen89168.html,https://exhibitors.cioe.cn/File/zslogo/202606170935136808.jpg,https://exhibitors.cioe.cn/gwen/index.html,1
83793,"Sunny Optical (Zhejiang) Research Institute Co., Ltd",Precision Optics Expo & Camera Expo,HALL 1,1B61,"AR glasses optical engine and total solution; Autonomous mobile robot core module；Advanced endoscopic lens, camera module, light source and image processing platform.",https://exhibitors.cioe.cn/jtycn/zsen83793.html,https://exhibitors.cioe.cn/File/zslogo/202607301334174908.png,https://exhibitors.cioe.cn/gwen/index.html,2
81892,"SUNNY OPTICAL TECHNOLOGY(GROUP)CO.,LTD",Precision Optics Expo & Camera Expo,HALL 1,1B61,"The company is principally engaged in design, R&D , manufacture and sales of optical and optical-related products. At present, the company has formed eight business sectors including mobile phone , automobile, security, microscopes, robot, AR / VR, industrial detection and medical detection.",https://exhibitors.cioe.cn/jtycn/zsen81892.html,https://exhibitors.cioe.cn/File/zslogo/202505131043107840.jpg,https://exhibitors.cioe.cn/gwen/index.html,3
82787,"INSTITUTE OF OPTICS AND ELECTRONICS,CHINESE ACADEMY OF SCIENCES",New Display Technology Expo,HALL 2,2D120,,https://exhibitors.cioe.cn/jtycn/zsen82787.html,https://exhibitors.cioe.cn/File/zslogo/202507231445161928.jpg,https://exhibitors.cioe.cn/gwen/index.html,4
92616,IPG Photonics,Lasers Technology & Intelligent Manufacturing Expo,HALL 2,2A095,,https://exhibitors.cioe.cn/jtycn/zsen92616.html,https://exhibitors.cioe.cn/File/zslogo/202608051014390611.png,https://exhibitors.cioe.cn/gwen/index.html,5
87841,Beijing Institute of Space Mechanics & Electricity,Photonics Innovation Expo,HALL 6,6B88,,https://exhibitors.cioe.cn/jtycn/zsen87841.html,https://exhibitors.cioe.cn/File/zslogo/202507301630062558.png,https://exhibitors.cioe.cn/gwen/index.html,6
82801,"Ningbo Sunny Infrared Technologies Co., Ltd.",Precision Optics Expo & Camera Expo,HALL 1,1B61,,https://exhibitors.cioe.cn/jtycn/zsen82801.html,https://exhibitors.cioe.cn/File/zslogo/202507081007039912.png,https://exhibitors.cioe.cn/gwen/index.html,7
83270,Sunny Automotive Optech,Precision Optics Expo & Camera Expo,HALL 1,1B61,"Automotive Lens, LiDAR, HUD, Projection Headlamp, Ground Projection Unit",https://exhibitors.cioe.cn/jtycn/zsen83270.html,https://exhibitors.cioe.cn/File/zslogo/202507241317583536.png,https://exhibitors.cioe.cn/gwen/index.html,8
82568,"NINGBO SUNNY OPOTECH CO., LTD",Precision Optics Expo & Camera Expo,HALL 1,1B61,"mobile camera modules, mobile camera actuators, XR camera modules and IoT imaging modules",https://exhibitors.cioe.cn/jtycn/zsen82568.html,https://exhibitors.cioe.cn/File/zslogo/202506100917226209.png,https://exhibitors.cioe.cn/gwen/index.html,9
83271,"Sunny Optics (Zhongshan)Co.,Ltd.",Precision Optics Expo & Camera Expo,HALL 1,1B61,"Series: Fixed Focus Lens, Vari-Focal Lens, Auto-Focal Lens,200m Lens; Applications: Public Security, Home Security, Intelligent Transportation System;",https://exhibitors.cioe.cn/jtycn/zsen83271.html,https://exhibitors.cioe.cn/File/zslogo/202506101714092840.png,https://exhibitors.cioe.cn/gwen/index.html,10
82286,"Changchun Institute of Optics, Fine Mechanics and Physics, Chinese Academy of Sciences",Photonics Innovation Expo,HALL 6,6C86-1,,https://exhibitors.cioe.cn/jtycn/zsen82286.html,https://exhibitors.cioe.cn/File/zslogo/202507231434457336.png,https://exhibitors.cioe.cn/gwen/index.html,11
82569,"Ningbo Sunny Instruments Co., Ltd.",Precision Optics Expo & Camera Expo,HALL 1,1B61,,https://exhibitors.cioe.cn/jtycn/zsen82569.html,https://exhibitors.cioe.cn/File/zslogo/202506100828565208.png,https://exhibitors.cioe.cn/gwen/index.html,12
83832,Sunny Smartlead,Precision Optics Expo & Camera Expo,HALL 1,1B61,"Exterior Sensing Camera Module：Front Sensing Camera Module, Surround Sensing Camera Module Sensing+Viewing Camera Module：E-Mirror, CMS Exterior Viewing Camera Module：Surround View Module, Rear View Module, Carlog In-Cabin Monitoring Camera Module：DMS, OMS, TOF",https://exhibitors.cioe.cn/jtycn/zsen83832.html,https://exhibitors.cioe.cn/File/zslogo/202607311627267022.png,https://exhibitors.cioe.cn/gwen/index.html,13
88861,"Zhejiang Sunnyverse Technology Co., Ltd.",Precision Optics Expo & Camera Expo,HALL 1,1B61,XR Glasses solutions,https://exhibitors.cioe.cn/jtycn/zsen88861.html,https://exhibitors.cioe.cn/File/zslogo/202505191550459103.png,https://exhibitors.cioe.cn/gwen/index.html,14
81991,"Zhejiang Crystal-Optech Technology Co., Ltd.",New Display Technology Expo,HALL 2,2C115,"Optical Low Pass filter, Infrared-Cut filter, Narrow-Band Pass Filter, Prism，Optical Covers，Waveguide，AR HUD，AI Optics, etc.",https://exhibitors.cioe.cn/jtycn/zsen81991.html,https://exhibitors.cioe.cn/File/zslogo/202606240858543308.png,https://exhibitors.cioe.cn/gwen/index.html,15
82800,"ZHEJIANG SUNNY OPTICAL INTELLIGENCE TECHNOLOGY CO.,LTD.",Precision Optics Expo & Camera Expo,HALL 1,1B61,"As a robotic vision system solution provider, the company centers its operations on a comprehensive robotic vision platform. Based on the application domains of recognition and location, it has deployed its technology and product portfolio, with scene applications spanning XR (AR/VR, action cameras), robotics, and AIoT (smart home, smart commerce, smart logistics, etc.). It has an important market presence in VR and vacuum cleaning robot vision, and has successfully implemented projects in multiple niche markets in collaboration with numerous well-known domestic and international enterprises.",https://exhibitors.cioe.cn/jtycn/zsen82800.html,https://exhibitors.cioe.cn/File/zslogo/202506251109521023.jpg,https://exhibitors.cioe.cn/gwen/index.html,16
82567,"ZHEJIANG SUNNY OPTICS CO.,LTD",Precision Optics Expo & Camera Expo,HALL 1,1B61,"cell phone lens, notebook lens, videoconferencing lens,Sweeping Robot Lens, Machine Vision lens, Smart glasses lens and XR optical products.",https://exhibitors.cioe.cn/jtycn/zsen82567.html,https://exhibitors.cioe.cn/File/zslogo/202607311735226750.png,https://exhibitors.cioe.cn/gwen/index.html,17
91775,WESTLAKE INSTITUTE FOR OPTOELECTRONICS,Photonics Innovation Expo,HALL 6,6A82,,https://exhibitors.cioe.cn/jtycn/zsen91775.html,https://exhibitors.cioe.cn/File/zslogo/202607301502574256.png,https://exhibitors.cioe.cn/gwen/index.html,18
89806,Tongii University,Photonics Innovation Expo,HALL 6,6B82,,https://exhibitors.cioe.cn/jtycn/zsen89806.html,https://exhibitors.cioe.cn/File/zslogo/202506161121356777.jpg,https://exhibitors.cioe.cn/gwen/index.html,19
88207,"XinYang sunny optical co,.LTD.",Precision Optics Expo & Camera Expo,HALL 1,1B61,,https://exhibitors.cioe.cn/jtycn/zsen88207.html,https://exhibitors.cioe.cn/File/zslogo/202607301657495037.png,https://exhibitors.cioe.cn/gwen/index.html,20
82080,"ZHEJIANG DALI TECHNOLOGT CO.,LTD",Infrared Applications Expo,HALL 8,8B51,Thermal Imaging Cameras， optoelectronic systems,https://exhibitors.cioe.cn/jtycn/zsen82080.html,https://exhibitors.cioe.cn/File/zslogo/202506161333023701.png,https://exhibitors.cioe.cn/gwen/index.html,21
88968,HANGZHOU INSTITUTE OF OPTICS AND FINE MECHANICS,Photonics Innovation Expo,HALL 6,6C80-4,,https://exhibitors.cioe.cn/jtycn/zsen88968.html,https://exhibitors.cioe.cn/File/zslogo/202508091142331894.png,https://exhibitors.cioe.cn/gwen/index.html,22
81895,SCHOTT AG,Precision Optics Expo & Camera Expo,HALL 5,5A62,"Optical glass, High homogeneity glass, Aspherical lenses, Glass-ceramic, Wafer and waveguides for Augmented Reality, Cover glass, Ultra-thin glass, Borosilicate glass",https://exhibitors.cioe.cn/jtycn/zsen81895.html,https://exhibitors.cioe.cn/File/zslogo/202506161013591883.gif,https://exhibitors.cioe.cn/gwen/index.html,23
88737,"Zhejiang Pixfra Technology Co., LTD",Infrared Applications Expo,HALL 8,8B35,"Thermal telescope series products, thermal observation series products, thermal core series products, thermal handheld thermometer products, thermal PTZ series products, thermal ball machine series products, thermal bolt products",https://exhibitors.cioe.cn/jtycn/zsen88737.html,https://exhibitors.cioe.cn/File/zslogo/202507291402303085.png,https://exhibitors.cioe.cn/gwen/index.html,24
82294,"Suzhou TFC Optical Communication Co.,Ltd",Information and Communication Expo,HALL 13,13A65,Optical Engine、Zirconia Ceramics、CNC Precision Metal Parts、Receptacles、OSA ODM/OEM Products、Isolators、Lens Array Products、Fiber And Cable Assembly、Injection Moulding、Optical Fiber Adaptors、Coating Products、AWG MUX/De-MUX Products、FAU/PM Products 、BOX/TO Packaging、WDM Products、Block、Optoelectronic Integration Products 、Crystal Optics.,https://exhibitors.cioe.cn/jtycn/zsen82294.html,https://exhibitors.cioe.cn/File/zslogo/202606291527035627.png,https://exhibitors.cioe.cn/gwen/index.html,25
90072,"NANTONG CRYSTAL CO.,LTD",Intelligent Sensing Expo,HALL 6,6B65,High-Purity Synthetic Quartz Materials: Ultraviolet (UV) Quartz Materials Optical-Grade Quartz Materials Semiconductor-Grade Quartz Materials,https://exhibitors.cioe.cn/jtycn/zsen90072.html,https://exhibitors.cioe.cn/File/zslogo/202506191624151729.png,https://exhibitors.cioe.cn/gwen/index.html,26
91482,"Nano Fabrication Facility, Suzhou Institute of Nano-Tech and Nano-Bionics, Chinese Academy of Sciences",Photonics Innovation Expo,HALL 6,6D96,"NFF offers full-process capabilities from epitaxy, fabrication to packaging, supporting MEMS, optoelectronic, power/RF, magnetic/2D, flexible/bio devices, and integrated chips. Key processes including RF, power, photonic, inertial and magnetic technologies serve AI, IoT, 5G, and automotive electronics for chip engineering.",https://exhibitors.cioe.cn/jtycn/zsen91482.html,https://exhibitors.cioe.cn/File/zslogo/202604301058201280.jpg,https://exhibitors.cioe.cn/gwen/index.html,27
82556,"NORTH ELECTRO-OPTICS GROUP CO.,LTD",Precision Optics Expo & Camera Expo,HALL 5,5B51C,,https://exhibitors.cioe.cn/jtycn/zsen82556.html,https://exhibitors.cioe.cn/File/zslogo/202507281635350526.jpg,https://exhibitors.cioe.cn/gwen/index.html,28
81893,"Phenix Optics Co.,Ltd.",Precision Optics Expo & Camera Expo,HALL 1,1B56,"a wide range of optical components and metal parts, optical lenses (for security, infrared, automotive, machine vision, AIOT, etc.), medical endoscope components, microscopes, intelligent imaging products, and smart controllers.",https://exhibitors.cioe.cn/jtycn/zsen81893.html,https://exhibitors.cioe.cn/File/zslogo/202506231508031878.png,https://exhibitors.cioe.cn/gwen/index.html,29
90462,HGGENUINE,Information and Communication Expo,HALL 12,12A51,Datacom：6.4T/3.2T NPO;3.2T CPO;1.6T full series FRO/LRO/LPO;800/400G OSFP DR8/2*FR4/SR8/ZR/ZR+/AOC Wireless：25/50G LR/LR Lite/CWDM/LWDM/Tunable/ACO/SR;100G SFP112 Series PON：25G SFP28 PON;50G QSFP28 PON;Combo PON OLT;(XGPON+GPON) SFP+ Class C+;Combo PON,https://exhibitors.cioe.cn/jtycn/zsen90462.html,https://exhibitors.cioe.cn/File/zslogo/202506200952363818.png,https://exhibitors.cioe.cn/gwen/index.html,30
82586,"Shanghai Institute of Optics and Fine Mechanics, Chinese Academy of Sciences",Photonics Innovation Expo,HALL 6,6C80-3,,https://exhibitors.cioe.cn/jtycn/zsen82586.html,https://exhibitors.cioe.cn/File/zslogo/202507171416597643.jpg,https://exhibitors.cioe.cn/gwen/index.html,31
83570,"Beijing Photoelectric Science&Technology Co.,Ltd",Infrared Applications Expo,HALL 8,8A66,Therma Lens,https://exhibitors.cioe.cn/jtycn/zsen83570.html,https://exhibitors.cioe.cn/File/zslogo/202506200959523366.png,https://exhibitors.cioe.cn/gwen/index.html,32
82779,"Hubei New HuaGuang Information Materials Co.,Ltd.",Precision Optics Expo & Camera Expo,HALL 5,5B51,,https://exhibitors.cioe.cn/jtycn/zsen82779.html,https://exhibitors.cioe.cn/File/zslogo/202507021442223111.png,https://exhibitors.cioe.cn/gwen/index.html,33
87482,"NORTH NIGHT-VISION SCIENCE & TECHNOLOGY GROUP CO.,LTD",Infrared Applications Expo,HALL 8,8C59,"Infrared detectors and refrigerator components, low light image enhancers, OLED micro display devices, optical material components and lenses, photomultiplier tubes, infrared thermal imagers, police night vision devices, environmental gas infrared monitors, etc.",https://exhibitors.cioe.cn/jtycn/zsen87482.html,https://exhibitors.cioe.cn/File/zslogo/202507171022377178.jpg,https://exhibitors.cioe.cn/gwen/index.html,34
88449,"Wuhan HGLaser Engineering Co.,Ltd.",Lasers Technology & Intelligent Manufacturing Expo,HALL 4,4A115,SiC Wafer Modification & Dicing Equipment Cold Plate Welding Line IGBT/MCU Busbar Laser Welding Equipment Alkaline Electrolyzers Smart Factory Additive Manufacturing Solutions for Precision Metal Components Visual Inspection Equipment for SiC Substrate Surface Defects Optical Modules Manufacturing System 3D Five-Axis Laser Cutting Equipment BIW Laser Welding Line Battery Modules & Packs Automated Welding Line Tire Molds Laser Cleaning Equipment Door Ring Laser Welding Equipment Large-Format High-Power Laser Bevel Cutting Equipment,https://exhibitors.cioe.cn/jtycn/zsen88449.html,https://exhibitors.cioe.cn/File/zslogo/202506241504480410.png,https://exhibitors.cioe.cn/gwen/index.html,35
82785,"HYMSON LASER TECHNOLOGY GROUP CO., LTD.",Lasers Technology & Intelligent Manufacturing Expo,HALL 2,2B105,,https://exhibitors.cioe.cn/jtycn/zsen82785.html,https://exhibitors.cioe.cn/File/zslogo/202508221400512126.png,https://exhibitors.cioe.cn/gwen/index.html,36
90121,"Goertek Optical Technology Co., Ltd.",AR&VR Expo,HALL 2,2A106,"XR optical lens and modules, Automotive components, DLP projection light engines, Micro-nano optical components, etc.",https://exhibitors.cioe.cn/jtycn/zsen90121.html,https://exhibitors.cioe.cn/File/zslogo/202506100950013507.png,https://exhibitors.cioe.cn/gwen/index.html,37
82300,"CIG SHANGHAI CO., LTD.",Information and Communication Expo,HALL 12,12A55,"-Broadband(GPON, XGS-PON, 10G EPON, 25G PON series, including SFU, RGU, SFP, MDU) - Wireless (Enterprise and Telco grade Wi-Fi, home routers and LTE/5G small cells) - Photonics (Telecom client-side and DCI optical transceivers)",https://exhibitors.cioe.cn/jtycn/zsen82300.html,https://exhibitors.cioe.cn/File/zslogo/202507221103143879.png,https://exhibitors.cioe.cn/gwen/index.html,38
81920,Yangtze Optical Fibre and Cable Joint Stock Limited Company,Information and Communication Expo,HALL 11,11B31,"YOFC mainly produces and sells different types of optical fibre preforms, optical fibres and optical fibre cables that are widely applied in telecommunications industry, customized optical modules, specialty optical fibres, active optical cables, submarine cables, RF coaxial cables and accessories, etc.",https://exhibitors.cioe.cn/jtycn/zsen81920.html,https://exhibitors.cioe.cn/File/zslogo/202504101518360282.png,https://exhibitors.cioe.cn/gwen/index.html,39
