"tablescraper-selected-row","tablescraper-selected-row 2","shenzhen","tablescraper-selected-row 3","shopUrl href","shopUrl src"
"ACE Investment and Impact Advisors PLC","9L78","Ethiopia","Finished Dosage","https://www.pharmasources.com/company-home/ace-investment-and-impact-advisors-plc-userId-157550.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"APACE Inc.","9J20","Republic of Korea","Pharma Ingredients","https://www.pharmasources.com/company-home/apace-inc-userId-157499.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"China Chinopharma Ltd.","9E56","China Mainland","Pharma Ingredients","https://www.pharmasources.com/company-home/china-chinopharma-ltd-userId-140872.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"DoKaSch Temperature Solutions Gmbh","9L55","China Mainland","Finished Dosage","https://www.pharmasources.com/company-home/dokasch-temperature-solutions-gmbh-userId-147049.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"HAX INDUSTRY PTE.LTD.","9T08","China Mainland","Packaging & Drug Delivery","https://www.pharmasources.com/company-home/hax-industry-pteltd-userId-157291.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"LogisticRX Global LLC","9I30","United States","AI Tech & Contract Service","https://www.pharmasources.com/company-home/logisticrx-global-llc-userId-157250.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Nuvalez Consulting Limited","9G30","Ireland","AI Tech & Contract Service","https://www.pharmasources.com/company-home/nuvalez-consulting-limited-userId-157510.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Shilpa Pharma Lifesciences Limited","9L18","India","Pharma Ingredients","https://www.pharmasources.com/company-home/shilpa-pharma-lifesciences-limited-userId-147474.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"TAKASAGO","8F63","Japan","Laboratory Instruments & Equipment","https://www.pharmasources.com/company-home/takasago-userId-157354.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"UPS HEALTHCARE","9K17","Singapore","Pharma Ingredients","https://www.pharmasources.com/company-home/ups-healthcare-userId-147007.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"S-Catalysis Technology Co., Ltd.","9T92","China Mainland","Pharma Ingredients","https://www.pharmasources.com/company-home/s-catalysis-technology-co-ltd-userId-157369.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Amicogen (China) Biopharm Co., Ltd","9J88","China Mainland","Pharma Ingredients","https://www.pharmasources.com/company-home/amicogen-china-biopharm-co-ltd-userId-141309.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"AstaTech (Chengdu) Biopharmaceutical Corp.","9G36","China Mainland","AI Tech & Contract Service","https://www.pharmasources.com/company-home/astatech-chengdu-biopharmaceutical-corp-userId-139811.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Anhui Chengshi Pharmaceutical Co.,Ltd","9K81","China Mainland","Finished Dosage","https://www.pharmasources.com/company-home/anhui-chengshi-pharmaceutical-coltd-userId-146323.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"ANHUI REDSTAR PHARMACEUTICAL CORP., LTD.","7C18","China Mainland","Natural Supply","https://www.pharmasources.com/company-home/anhui-redstar-pharmaceutical-corp-ltd-userId-139956.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"ANHUI JINQUAN BIOLOGICAL TECHNOLOGY CO.,LTD.","9F69","China Mainland","Pharma Ingredients","https://www.pharmasources.com/company-home/anhui-jinquan-biological-technology-colt-userId-139668.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Anhui Omire Biotechnology Co., Ltd","9K26","China Mainland","Pharma Ingredients","https://www.pharmasources.com/company-home/anhui-omire-biotechnology-co-ltd-userId-145998.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Anhui Sunhere Pharmaceutical Excipients Co.,Ltd.","9I78","China Mainland","Pharma Excipients","https://www.pharmasources.com/company-home/anhui-sunhere-pharmaceutical-excipients--userId-140024.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Anhui Hengjingtang Pharmaceutical Co., Ltd.","9M81","China Mainland","Finished Dosage","https://www.pharmasources.com/company-home/anhui-hengjingtang-pharmaceutical-co-ltd-userId-157449.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"A.H.A International Co., Ltd.","9D50","China Mainland","Pharma Ingredients","https://www.pharmasources.com/company-home/aha-international-co-ltd-userId-139977.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Anhui Tianrun Medical New Materials Co., Ltd","8E52","China Mainland","Clean Technology","https://www.pharmasources.com/company-home/anhui-tianrun-medical-new-materials-co-l-userId-156233.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"ANHUI MEDIPHARM CO., LTD","9L69","China Mainland","Finished Dosage","https://www.pharmasources.com/company-home/anhui-medipharm-co-ltd-userId-146780.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"ANHUI XINGZHOU PHARMA CO.,LTD.","7F16","China Mainland","Natural Supply","https://www.pharmasources.com/company-home/anhui-xingzhou-pharma-coltd-userId-144198.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
