Company Name,Booth Number,Country,Exhibition Name,Source URL
AsiaWide Franchise Consultants (AFC),BK33,SINGAPORE,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
Astreem Consulting Pte Ltd,BK19,SINGAPORE,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
Berry Winkle,N/A,SINGAPORE,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
BETRS Co. Ltd.,AF28,JAPAN,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
BLANKET DONUTS,AF21,JAPAN,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
BUGCAT CAPOO,BH27,TAIWAN,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
CHUNGKIWA TOWN,AD09,KOREA,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
Coffee Hive,BM17,SINGAPORE,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
Coffee Hive Signature Pte Ltd,BM17,SINGAPORE,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
Dancing Crab,BJ25,SINGAPORE,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
DFI Retail Singapore Pte Ltd,BK25,SINGAPORE,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
DOROQUIA HOLATHETA,AF26,JAPAN,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
DOWNTOWNER,AG26,KOREA,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
ES APAC PTE LTD,BM06,SINGAPORE,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
eToro,BM40,SINGAPORE,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
Five10 Pte Ltd,BJ17,SINGAPORE,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
Foodtech F&B Ventures Pte,BN05,SINGAPORE,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
Fun Learners' School,BM02,SINGAPORE,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
Fun Learners' School Care,BM02,SINGAPORE,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
GNF Worldwide,AD45,SPAIN,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
GP-Staff Co. Ltd.,AF21,JAPAN,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
Grains & Co.,BJ23,SINGAPORE,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
Grownce(s) Pte Ltd,BH49,MALAYSIA,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
