"card-image href","logourl src","card-title","info-item 2","info-item 6","info-item 8","info-item 9","info-item 10"
"https://exhibitors.informamarkets-info.com/event/RACE2025/en-US/exhibitor/448946/acelab-technology-limited","https://oemfile.informamarkets-info.com/FileUpload/RAE2025_41853/20250822135427796.png","ACELAB TECHNOLOGY LIMITED","Hong Kong,S.A.R.,China","5G-G23., 5G-G23","Building & Commercial Equipment & Systems, Building & Commercial Lighting / Lamp, Building Materials & Interiors, Building Services & Interior Engineering / Construction","",""
"https://exhibitors.informamarkets-info.com/event/RACE2025/en-US/exhibitor/449014/acelab-technology-limited","https://oemfile.informamarkets-info.com/FileUpload/RAE2025_41853/20250822164041801.png","ACELAB TECHNOLOGY LIMITED","Hong Kong,S.A.R.,China","5G-G17","Building & Commercial Equipment & Systems, Building & Commercial Lighting / Lamp, Building Materials & Interiors, Building Services & Interior Engineering / Construction","",""
"https://exhibitors.informamarkets-info.com/event/RACE2025/en-US/exhibitor/440180/asiapay-(hk)-limited","https://oemfile.informamarkets-info.com/FileUpload/RAE2025_41853/20250624165153949.png","ASIAPAY (HK) LIMITED","Hong Kong,S.A.R.,China","5G-G20","E-Commerce Solution, Mobile Apps & Website Solutions, Payment System","",""
"https://exhibitors.informamarkets-info.com/event/RACE2025/en-US/exhibitor/440203/axxonsoft-hong-kong-limited","https://oemfile.informamarkets-info.com/FileUpload/RAE2025_41853/20250624111505786.jpg","AXXONSOFT HONG KONG LIMITED","Hong Kong,S.A.R.,China","5G-E06","Property Management Systems, Security Systems, Building & Commercial Equipment & Systems, CCTV/ Surveillance System & Supplies, Customer Service / Customer Relationship Management,","General Security Facilities & Systems, Point-of-Sales and Related Systems","etc..."
"https://exhibitors.informamarkets-info.com/event/RACE2025/en-US/exhibitor/443551/boutir-limited","https://oemfile.informamarkets-info.com/FileUpload/RAE2025_41853/20250805164801374.png","Boutir Limited","Hong Kong,S.A.R.,China","5G-G02","E-Commerce Solution, Mobile Apps & Website Solutions, Point-of-Sales and Related Systems","",""
"https://exhibitors.informamarkets-info.com/event/RACE2025/en-US/exhibitor/440195/chengdu-huaxinzhiyun-technology-co---ltd","https://oemfile.informamarkets-info.com/FileUpload/RAE2025_41853/20250728140100613.jpg","Chengdu Huaxinzhiyun Technology Co., Ltd","CHINA","5G-D05","Automation Technology, Building & Commercial Equipment & Systems, Shop Fitting / Fixture, Business Intelligence / Business Analytics / Management System, CCTV/ Surveillance System & Supplies","",""
"https://exhibitors.informamarkets-info.com/event/RACE2025/en-US/exhibitor/440194/cityline-(hong-kong)-limited","https://oemfile.informamarkets-info.com/FileUpload/RAE2025_41853/20250730165706987.png","CITYLINE (HONG KONG) LIMITED","Hong Kong,S.A.R.,China","5G-E27","E-Commerce Solution, Payment System, Database Management / Database Marketing, General Security Facilities & Systems, Point-of-Sales and Related Systems","",""
"https://exhibitors.informamarkets-info.com/event/RACE2025/en-US/exhibitor/444048/cl-solutions-limited","https://oemfile.informamarkets-info.com/FileUpload/RAE2025_41853/20250723115410771.png","CL SOLUTIONS LIMITED","Hong Kong,S.A.R.,China","5G-F21","Automation Technology, Bar Coding / Scanners, Food & Beverage Management Systems, Hospitality Management Systems, Inventory / Logistic / Supply Chain Management,","Consultancy & Professional Services, Business Intelligence / Business Analytics / Management System, Communication & Information Technology Equipment & Supplies, Inventory / Logistic / Supply Chain Management, Price Labelling / Tagging","etc..."
"https://exhibitors.informamarkets-info.com/event/RACE2025/en-US/exhibitor/440201/digisalad-solutions-limited","https://oemfile.informamarkets-info.com/FileUpload/RAE2025_41853/20250804142918525.png","DigiSalad Solutions Limited","Hong Kong,S.A.R.,China","5G-D17","","",""
"https://exhibitors.informamarkets-info.com/event/RACE2025/en-US/exhibitor/447975/dola-technology-limited","https://oemfile.informamarkets-info.com/FileUpload/RAE2025_41853/20250814161535122.png","Dola Technology Limited","Hong Kong,S.A.R.,China","5G-F20","Food & Beverage Management Systems, Payment System, Business Intelligence / Business Analytics / Management System, Communication & Information Technology Equipment & Supplies, Customer Service / Customer Relationship Management","",""
