"exhibitorName","exhibitorName href","boothLabel","boothLabel href","cf src"
"""Compound Semiconductor China""/""Silicon Semiconductor China""","https://expo.semi.org/china2026/Public/eBooth.aspx?IndexInList=0&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=665915","T2436","https://expo.semi.org/china2026/Public/eventmap.aspx?MapItBoothID=665915&MapItBooth=T2436",""
"3D CHIPS (GUANGDONG) TECHNOLOGY CO.,LTD.","https://expo.semi.org/china2026/Public/eBooth.aspx?IndexInList=1&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=680444","1356","https://expo.semi.org/china2026/Public/eventmap.aspx?MapItBoothID=680444&MapItBooth=1356","https://expo.semi.org/china2026/Public/imgHandler.ashx?Task=1&ID=../CUSTOM/CustomField24.png"
"A&T (Changzhou) Precision Machinery Co.,Ltd.","https://expo.semi.org/china2026/Public/eBooth.aspx?IndexInList=2&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=640997","T0428","https://expo.semi.org/china2026/Public/eventmap.aspx?MapItBoothID=640997&MapItBooth=T0428","https://expo.semi.org/china2026/Public/imgHandler.ashx?Task=1&ID=../CUSTOM/CustomField24.png"
"ABM, Inc. Asia Pacific Limited","https://expo.semi.org/china2026/Public/eBooth.aspx?IndexInList=3&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=638279","3822","https://expo.semi.org/china2026/Public/eventmap.aspx?MapItBoothID=638279&MapItBooth=3822","https://expo.semi.org/china2026/Public/imgHandler.ashx?Task=1&ID=../CUSTOM/CustomField24.png"
"ACCESS Semiconductor Co., Ltd","https://expo.semi.org/china2026/Public/eBooth.aspx?IndexInList=4&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=639361","5507","https://expo.semi.org/china2026/Public/eventmap.aspx?MapItBoothID=639361&MapItBooth=5507",""
"AccoTEST BU. of Beijing Huafeng Test & Control Co.,Ltd.","https://expo.semi.org/china2026/Public/eBooth.aspx?IndexInList=5&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=638873","4671","https://expo.semi.org/china2026/Public/eventmap.aspx?MapItBoothID=638873&MapItBooth=4671","https://expo.semi.org/china2026/Public/imgHandler.ashx?Task=1&ID=../CUSTOM/CustomField24.png"
"Accuracy Assembly Automation Co., Ltd","https://expo.semi.org/china2026/Public/eBooth.aspx?IndexInList=6&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=638943","4000","https://expo.semi.org/china2026/Public/eventmap.aspx?MapItBoothID=638943&MapItBooth=4000",""
"ACM Research (Shanghai), Inc.","https://expo.semi.org/china2026/Public/eBooth.aspx?IndexInList=7&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=636590","1519","https://expo.semi.org/china2026/Public/eventmap.aspx?MapItBoothID=636590&MapItBooth=1519","https://expo.semi.org/china2026/Public/imgHandler.ashx?Task=1&ID=../CUSTOM/CustomField24.png"
"Acroview Technology Co.,Ltd.","https://expo.semi.org/china2026/Public/eBooth.aspx?IndexInList=8&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=649429","T4209","https://expo.semi.org/china2026/Public/eventmap.aspx?MapItBoothID=649429&MapItBooth=T4209","https://expo.semi.org/china2026/Public/imgHandler.ashx?Task=1&ID=../CUSTOM/CustomField24.png"
"ADTEC Plasma Technology China Ltd.","https://expo.semi.org/china2026/Public/eBooth.aspx?IndexInList=9&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=640263","6110","https://expo.semi.org/china2026/Public/eventmap.aspx?MapItBoothID=640263&MapItBooth=6110","https://expo.semi.org/china2026/Public/imgHandler.ashx?Task=1&ID=../CUSTOM/CustomField24.png"
"Advanced Dicing Technologies Ltd","https://expo.semi.org/china2026/Public/eBooth.aspx?IndexInList=10&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=637816","3211","https://expo.semi.org/china2026/Public/eventmap.aspx?MapItBoothID=637816&MapItBooth=3211","https://expo.semi.org/china2026/Public/imgHandler.ashx?Task=1&ID=../CUSTOM/CustomField24.png"
"Advanced Global Alliance Limited","https://expo.semi.org/china2026/Public/eBooth.aspx?IndexInList=11&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=637704","2757","https://expo.semi.org/china2026/Public/eventmap.aspx?MapItBoothID=637704&MapItBooth=2757","https://expo.semi.org/china2026/Public/imgHandler.ashx?Task=1&ID=../CUSTOM/CustomField24.png"
"Advanced Materials Technology & Engineering Co., Ltd","https://expo.semi.org/china2026/Public/eBooth.aspx?IndexInList=12&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=662780","2419","https://expo.semi.org/china2026/Public/eventmap.aspx?MapItBoothID=662780&MapItBooth=2419","https://expo.semi.org/china2026/Public/imgHandler.ashx?Task=1&ID=../CUSTOM/CustomField24.png"
"Advanced Micro Optics Instruments Inc","https://expo.semi.org/china2026/Public/eBooth.aspx?IndexInList=13&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=641073","T0136","https://expo.semi.org/china2026/Public/eventmap.aspx?MapItBoothID=641073&MapItBooth=T0136","https://expo.semi.org/china2026/Public/imgHandler.ashx?Task=1&ID=../CUSTOM/CustomField24.png"
