"logobox href","logobox src","company","text-break","p1","label 3","separate","linka","linka href","tag"
"https://online.sialchina.cn/en/exhibitorlist/16555","https://imgs.sialchina.cn/exhibitor/image/20260509/abe07cf6da5c094b054de7a9650eadf469ff01cd4062d.png","SHANGHAI SHANGHONG SUPPLY CHAIN MANAGEMENT CO.,LTD.","N4A037","CHINA","Brand Name:","Shanghai Shanghong SupplyChain","9339","https://visitor.sialchina.com/matching?company=SHANGHAI%20SHANGHONG%20SUPPLY%20CHAIN%20MANAGEMENT%20CO.%2CLTD.",""
"https://online.sialchina.cn/en/exhibitorlist/15734","https://online.sialchina.cn/_nuxt/img/logo.6912b0c.png","DU CO.,ltd","N2A081","CHINA","Brand Name:","SHUZI","8868","https://visitor.sialchina.com/matching?company=DU%20CO.%2Cltd","Ready to export"
"https://online.sialchina.cn/en/exhibitorlist/14492","https://online.sialchina.cn/_nuxt/img/logo.6912b0c.png","TASTE MATTERS","N1B026","CHINA","Brand Name:","TASTE MATTERS","7152","https://visitor.sialchina.com/matching?company=TASTE%20MATTERS",""
"https://online.sialchina.cn/en/exhibitorlist/14489","https://online.sialchina.cn/_nuxt/img/logo.6912b0c.png","SHANDONG BAYAO TRADING CO., LTD.","W5E076","CHINA","Brand Name:","Oleoestepa","7031","https://visitor.sialchina.com/matching?company=SHANDONG%20BAYAO%20TRADING%20CO.%2C%20LTD.",""
"https://online.sialchina.cn/en/exhibitorlist/14533","https://online.sialchina.cn/_nuxt/img/logo.6912b0c.png","ANHUI WEIMEIXIN FOOD CO.,LTD","W2A026","CHINA","Brand Name:","WEIMEIXIN","6913","https://visitor.sialchina.com/matching?company=ANHUI%20WEIMEIXIN%20FOOD%20CO.%2CLTD",""
"https://online.sialchina.cn/en/exhibitorlist/14511","https://online.sialchina.cn/_nuxt/img/logo.6912b0c.png","Hangzhou Chef Nic Pi Food Company Limited","N1A001","CHINA","Brand Name:","CHEF NIC π","6472","https://visitor.sialchina.com/matching?company=Hangzhou%20Chef%20Nic%20Pi%20Food%20Company%20Limited","Ready to export"
"https://online.sialchina.cn/en/exhibitorlist/14557","https://online.sialchina.cn/_nuxt/img/logo.6912b0c.png","Lezhaozhao Food Technology Co., Ltd.","W4G074","CHINA","Brand Name:","LeZhaozhao","6256","https://visitor.sialchina.com/matching?company=Lezhaozhao%20Food%20Technology%20Co.%2C%20Ltd.",""
"https://online.sialchina.cn/en/exhibitorlist/14551","https://online.sialchina.cn/_nuxt/img/logo.6912b0c.png","SHANDONG WEIZHEN FOOD SPECIALTY CO.,LTD","W5F032","CHINA","Brand Name:","Weizhen","6149","https://visitor.sialchina.com/matching?company=SHANDONG%20WEIZHEN%20FOOD%20SPECIALTY%20CO.%2CLTD",""
"https://online.sialchina.cn/en/exhibitorlist/14613","https://online.sialchina.cn/_nuxt/img/logo.6912b0c.png","HE NAN ABAO FOOD CO.,LTD","W5A049","CHINA","Brand Name:","ABAOLE","5753","https://visitor.sialchina.com/matching?company=HE%20NAN%20ABAO%20FOOD%20CO.%2CLTD",""
"https://online.sialchina.cn/en/exhibitorlist/14559","https://online.sialchina.cn/_nuxt/img/logo.6912b0c.png","PRESIDENT KIKKOMAN ZHENJI FOODS CO.,LTD.","N2B090","CHINA","Brand Name:","ZHENJI","5393","https://visitor.sialchina.com/matching?company=PRESIDENT%20KIKKOMAN%20ZHENJI%20FOODS%20CO.%2CLTD.",""
