ref_no,company_name_en,company_name_cn,booth_no,website,main_scope_of_business,record_id,image_wix_url,created_date,updated_date
1,AMEO CONNECT LIMITED,阿美奥云科技公司,H11,https://ameo.ai,All,23221cf5-686e-416b-afd1-96a33905ec50,wix:image://v1/00bc10_1e14d87ee94e48b5abdc74d09287fe4e~mv2.png/AI+Power2026_Exhibitor_AMEO%20CONNECT%20LIMITED.png#originWidth=625&originHeight=313,2026-04-24T03:41:56.341Z,2026-04-26T18:54:11.750Z
2,"ANHUI IFLYREC CO., LTD",安徽听见科技有限公司,H01,https://www.iflytek.com,All,48090551-b4e3-4cf1-b11d-f50aabfcd320,"wix:image://v1/00bc10_2bda32c0b41e469a95a78cc11d606474~mv2.png/AI+Power2026_Exhibitor_ANHUI%20IFLYREC%20CO.,%20LTD.png#originWidth=200&originHeight=100",2026-04-24T03:41:58.350Z,2026-04-26T18:54:16.958Z
3,APPLIED AI HONG KONG LIMITED,,G31,https://aaico.com,All,86f92545-3c9d-4039-8c26-c3684e90e19f,wix:image://v1/00bc10_2835e5fb04c44ea0a87364115d72f2a0~mv2.png/AI+Power2026_Exhibitor_APPLIED%20AI%20HONG%20KONG%20LIMITED.png#originWidth=625&originHeight=313,2026-04-24T03:42:00.147Z,2026-05-08T04:14:49.344Z
4,Canon Hongkong Company Limited,佳能香港有限公司,F11,https://hk.canon/en/business,All,a4183deb-5d72-4157-8f49-71e01a4dc4e4,wix:image://v1/00bc10_d0b2b21284244fb1ad71a38bd1378ead~mv2.jpg/Canon_DYA_COL_CMYK_1x1%20JPEG.jpg#originWidth=1546&originHeight=744,2026-04-24T03:48:30.721Z,2026-05-14T15:21:19.294Z
5,CARRYAI COMPANY LIMITED,,F13,https://www.carryai.co/,All,e268f167-437b-4425-8baa-9b98ef4fec13,wix:image://v1/00bc10_f2c8615052d849c489bb8c5eb58d38c4~mv2.png/AI+Power2026_Exhibitor_CARRYAI%20COMPANY%20LIMITED.png#originWidth=625&originHeight=313,2026-04-24T03:48:30.720Z,2026-05-08T04:08:33.199Z
6,COREMAIL HONG KONG COMPANY LIMITED,广东盈世计算机科技有限公司,H13,http://www.coremail.ai/,AI Infrastructure & Platform; AI+ Applications Across Industries/ Sectors; All,c2245f7b-5058-4cc9-95fa-058bfaf1fdea,wix:image://v1/00bc10_c0f789af511d4cfcb13d410552f72d1c~mv2.png/AI+Power2026_Exhibitor_COREMAIL%20HONG%20KONG%20COMPANY%20LIMITED.png#originWidth=625&originHeight=313,2026-04-24T03:48:30.719Z,2026-05-14T15:06:03.513Z
7,ENJOYNEER EDUCATION LIMITED,工程思教育服務有限公司,H12,http://www.enjoyneer.com.hk,All,43ef02b8-f777-4653-b91d-9a58b4b81e59,wix:image://v1/00bc10_0ce749a8991642228508b8324920e0ec~mv2.png/AI+Power2026_Exhibitor_ENJOYNEER%20EDUCATION%20LIMITED.png#originWidth=625&originHeight=313,2026-04-24T03:48:30.718Z,2026-04-26T18:54:35.598Z
8,FORE SYSTEMS LIMITED ,科先系統有限公司,H31,https://foresys.com.hk/,All,0f3cb1eb-1a5c-4de7-8c90-3469c8d0404f,wix:image://v1/00bc10_bc68785d0d5046558e87b80d9a9071fa~mv2.png/AI+Power2026_Exhibitor_FORE%20SYSTEMS%20LIMITED%20.png#originWidth=625&originHeight=313,2026-04-24T03:48:30.717Z,2026-05-08T03:45:49.475Z
9,FOUR DIRECTIONS TECH LIMITED,四方移動有限公司,J21,https://kubot.ai/,All,23a44ca5-d3a6-4118-928e-1091b9f624b0,wix:image://v1/00bc10_eb22e23c1d5747dba42ae78e2b199f46~mv2.png/AI+Power2026_Exhibitor_FOUR%20DIRECTIONS%20TECH%20LIMITED.png#originWidth=625&originHeight=313,2026-04-24T03:48:30.716Z,2026-04-26T18:54:42.155Z
11,GF TECHNOVATION COMPANY LIMITED,衞晉創新科技有限公司,H43,https://www.gftechnovation.com.hk,All,3436928d-01db-4fce-a390-865e3f4f4427,wix:image://v1/00bc10_245d3b8cf25e4597ada0d25ee96d20f8~mv2.png/AI+Power2026_Exhibitor_GF%20TECHNOVATION%20COMPANY%20LIMITED.png#originWidth=625&originHeight=313,2026-04-24T03:48:30.714Z,2026-04-26T18:54:44.924Z
12,INFO ACCESS AND DISTRIBUTION (HK) LIMITED,,F32,http://www.iready.com.hk,All,0e291d53-0096-4db6-9675-2706dfe8765b,wix:image://v1/00bc10_674b963e90bc4ff59d6e3ddb8edb76e3~mv2.png/AI+Power2026_Exhibitor_INFO%20ACCESS%20AND%20DISTRIBUTION%20(HK)%20LIMITED.png#originWidth=625&originHeight=313,2026-04-24T03:48:30.713Z,2026-04-26T18:54:49.163Z
13,JOJO VENTURES LIMITED,,G21,https://jojo.ventures/,AI Infrastructure & Platform; All,21cc50ab-a17f-4184-b7f4-b9caa98dbd0c,wix:image://v1/00bc10_497d634c66bd4901aae52902530ee296~mv2.png/AI+Power2026_Exhibitor_JOJO%20VENTURES%20LIMITED.png#originWidth=625&originHeight=313,2026-04-24T03:48:30.712Z,2026-04-26T18:54:57.065Z
14,KUAILU TECHNOLOGY (HK) LIMITED,快鷺科技(香港)有限公司,G12,https://www.kuailutech.com/,All,b907887b-1ab2-441f-ba1c-d93e34f67ac0,wix:image://v1/00bc10_4b708f3bd9574de19214c616e1bcd39c~mv2.png/AI+Power2026_Exhibitor_KUAILU%20TECHNOLOGY%20(HK)%20LIMITED.png#originWidth=625&originHeight=313,2026-04-24T03:48:30.711Z,2026-04-26T18:54:50.448Z
