"company","country"
"ACBEL POLYTECH INC.","TAIWAN"
"ADVANSOL POWER TECHNOLOGY CO., LTD.","CHINA"
"AIKO SOLAR","CHINA"
"AISWEI TECHNOLOGY CO., LTD.","CHINA"
"ANDSOLAR TECHNOLOGY CO., LTD.","CHINA"
"ANTAI TECHNOLOGY CO., LTD.","CHINA"
"AP SYSTEMS","THAILAND"
"ARCTECH SOLAR HOLDING CO., LTD.","CHINA"
"ASIA PACIFIC CONNECTED VEHICLES INDUSTRY ASSOCIATION (FUNDED BY TRADE AND INDUSTRIAL ORGANISATION SUPPORT FUND)","CHINA"
"ATESS","THAILAND"
"ATMOCE ENERGY (THAILAND) CO., LTD.","THAILAND"
"BANGKOK SOLAR POWER CO., LTD.","THAILAND"
"BASOR ASIA PACIFIC","THAILAND"
"BENDER GMBH & CO KG","GERMANY"
"BESTWAY ELECTRONICS (THAILAND) CO., LTD.","THAILAND"
"BETA ENERGY SOLUTION CO., LTD.","THAILAND"
"BLUE FOOT MEMBRANES GMBH","GERMANY"
"BONC INNOVATORS","KOREA"
"BSP RENEWABLE ENERGY COMPANY LIMITED","THAILAND"
"C.M. MANUFACTURING CO., LTD.","THAILAND"
"CAMPBELL SCIENTIFIC SOUTHEAST ASIA CO., LTD.","THAILAND"
"CANADIAN SOLAR SOUTH EAST ASIA PTE. LTD.","SINGAPORE"
"CHANGZHOU FENGGUO JIN'E CABLE CO., LTD.","CHINA"
"CHIKO","THAILAND"
"CLENERGY TECHNOLOGY CO., LTD.","THAILAND"
"CONNFLY ELECTRONIC CO., LTD.","CHINA"
"DELTA ELECTRONICS (THAILAND) PCL","THAILAND"
"DEMCO PUBLIC CO., LTD.","THAILAND"
"DENKA KOGYO (THAILAND) CO., LTD.","THAILAND"
"DONGGAUN KUNTENG NEW  ENERGY TECHNOLOGY CO., LTD.","CHINA"
"ECELL BATTERIES INTERNATIONAL LIMITED","CHINA"
"ECM-BERLIN ECM EXPO & CONFERENCE MANAGEMENT GMBH","GERMANY"
"ECO PLANT SERVICES CO., LTD. (EPS)","THAILAND"
"EGCO ENGINEERING & SERVICE CO., LTD.","THAILAND"
"ENRICH GE CO., LTD.","THAILAND"
"ENVERTECH TECHNOLOGY CO., LTD.","CHINA"
"ENVISION TECHNOLOGIES CO., LTD.","THAILAND"
"FEDERAL MINISTRY FOR ECONOMIC AFFAIRS AND ENERGY (BMWE)","GERMANY"
"FONRICH (THAILAND) CO., LTD.","THAILAND"
"FOSHAN SUNTWAY TECHNOLOGY CO., LTD.","CHINA"
"FOSHAN SUOER ELECTRONIC INDUSTRY
CO., LTD.","CHINA"
"FOXESS CO., LTD.","CHINA"
"FRECON ELECTRIC(SHENZHEN) CO., LTD.","CHINA"
"FUJIAN MINHUA POWER SOURCE CO., LTD.","CHINA"
"GLOBAL RENEWABLE POWER OPERATING CO., LTD.","THAILAND"
"GMS INTERNEER CO., LTD.","THAILAND"
"GOKIN SOLAR.CO., LTD.","CHINA"
"GOODWE TECHNOLOGIES CO., LTD.","CHINA"
"GROWATT NEW ENERGY TECHNOLOGY (THAILAND) CO., LTD.","THAILAND"
"GUANGDONG LEADER CABLE CO., LTD.","CHINA"
"GUANGDONG SUNKWH NEW ENERGY CO., LTD.","CHINA"
"GUANGDONG SUPERPACK TECHNOLOGY CO., LTD.","CHINA"
"GUANGDONG TECHENG HARDWARE ELECTRONICS CO., LTD.","CHINA"
"GUANGDONG YUCHANG TECHNOLOGY CO., LTD.","CHINA"
"GUANGZHOU FELICITY SOLAR TECHNOLOGY CO., LTD.","CHINA"
"GUANGZHOU SANJING ELECTRIC CO., LTD.","CHINA"
"H2POWERCELL GMBH","GERMANY"
"HANGZHOU DINGXIN NEW ENERGY CO., LTD.?","CHINA"
"HASH HOUSE","CHINA"
"HIOKI ELECTRIC (THAILAND) CO., LTD.","THAILAND"
"HITACHI ENERGY (THAILAND) LIMITED.","THAILAND"
"HOYMILES POWER ELECTRONICS INC.","CHINA"
"HUAWEI TECHNOLOGIES (THAILAND) CO., LTD.","THAILAND"
"I-EVERBRIGHT GROUP (THAILAND) CO., LTD.","THAILAND"
"INDOCHINA ENGINEERING SYSTEM KEYLAI CO., LTD.","THAILAND"
"INNIO SOUER CO., LTD.","THAILAND"
"INNOMOTICS LIMITED","THAILAND"
"INTEGRA R.E. CO., LTD.","THAILAND"
"INTERNATIONAL SASSIN ELECTRIC SHANGHAI CO., LTD.","CHINA"
"J. SCHNEIDER ELEKTROTECHNIK GMBH","GERMANY"
"JAPAN INTERNATIONAL COOPERATION AGENCY (THAILAND)","JAPAN"
"JAPANESE BUSINESS ALLIANCE FOR SMART ENERGY WORLDWIDE","JAPAN"
"JIANGSU RUNERGY NEW ENERGY TECHNOLOGY CO., LTD.","CHINA"
"JIANGSU WOHONG EQUIPMENT CO., LTD.","CHINA"
"JIANGYIN TITANERGY CO., LTD.","CHINA"
"JINKO SOLAR CO., LTD.","CHINA"
"JOLYWOOD (TAIZHOU) SOLAR TECHNOLOGY CO., LTD.","CHINA"
"KEMREX CO., LTD.","THAILAND"
"KENETICS INNOVATIONS PTE LTD","THAILAND"
"KLINK ADVANCED TECHNOLOGY COMPANY LIMITED","THAILAND"
"KUNA NEW ENERGY (XIAMEN) CO., LTD.","CHINA"
"LUCY ELECTRIC (THAILAND) LTD.","THAILAND"
"LVTOPSUN SOLAR CO., LTD.","CHINA"
"M GLOBAL SOURCING LTD.","THAILAND"
"MACNICA CYTECH PTE LTD","SINGAPORE"
"MAPS & GLOBE SPECIALIST (SINGAPORE) PTE. LTD.","SINGAPORE"
"MARSTEK ENERGY CO., LTD.","CHINA"
"MARVEL SOLAR ENERGY COMPANY LIMITED","THAILAND"
"MASCHINENFABRIK REINHAUSEN GMBH","GERMANY"
"MAYWON PV CO., LTD.","CHINA"
"MEGMEET","CHINA"
"METROPOLITAN ELECTRICITY AUTHORITY","THAILAND"
"MIDEA GROUP CO., LTD.","CHINA"
"MIKROUNA (HUBEI)CO., LTD.","CHINA"
"MILESTONES TECHNOLOGY CO., LTD.","THAILAND"
"MLIS IOT TECHNOLOGY CO., LTD.","TAIWAN"
"MULTIPHASE CORPORATION CO., LTD.","THAILAND"
"NANCHANG NANFEI TECHNOLOGY CO., LTD.","CHINA"
"NANJING SHINEGIANT NEW ENERGY TECHNOLOGY CO., LTD.","CHINA"
"NEOPOWER TECHNOLOGIES CO., LTD.","TAIWAN"
"NEX SOLAR CO., LTD.","CHINA"
"NINGBO DEYE INVERTER INTERNATIONAL TRADE CO., LTD.","CHINA"
"NINGBO KIBOR WIRE & CABLE CO., LTD.","CHINA"
"NINGBO OSDA SOLAR CO., LTD.","CHINA"
"OPERA ENERGY PVT LTD","INDIA"
"OTTO GRAF GMBH","GERMANY"
"PERFECTMOTION SYSTEMS CO., LTD.","THAILAND"
"PI ENTERPRISES (THAILAND) CO., LTD.","THAILAND"
"PROJOY ELECTRIC CO., LTD.","CHINA"
"QINGDAO HAIER GREEN ENERGY TECHNOLOGY CO., LTD.","CHINA"
"RENAC POWER TECHNOLOGY CO., LTD.","CHINA"
"RONMA SOLAR TECHNOLOGY (JINHUA) CO., LTD.","CHINA"
"RRACKS LIMITED.","THAILAND"
"RYOSAN (THAILAND) CO., LTD.","THAILAND"
"SANRUN GREEN ENERGY (HEBEI) TECHNOLOGY CO., LTD.","CHINA"
"SCG LIVING AND HOUSING SOLUTION CO., LTD.","THAILAND"
"SHANDONG AINUO INTELLIGENT INSTRUMENT CO., LTD.","CHINA"
"SHANGHAI KUKA SPECIAL CABLE CO., LTD.","CHINA"
"SHANGHAI PYTES ENERGY CO., LTD.","CHINA"
"SHARP SOLAR SOLUTION ASIA CO., LTD.","THAILAND"
"SHENZHEN CLOU ELECTRONICS CO., LTD.","CHINA"
