"item href","cover src","title","desc 2","desc 4","desc 6"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=8&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2021/08/06/3095283993c5c5e24b3ee7c1478a0f53.png","CIBE","Professional beauty","Skin care,Slimming","Yes"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2228&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2022/08/03/bf84f1dc1429e4656704c8dc2477cb5d.png","Shanghai Schuman Healthy Equipment Co.,Ltd","Professional beauty","Nail Products","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2229&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2023/06/05/d0922bea43f2eb8dc7a5b4dacc575299.jpg","广州瑞帝生物科技有限公司","Professional beauty","Skin care","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2230&menuId=335","https://h5.chinainternationalbeauty.com/App/h5/static/icon/logo.png","成都杨氏科学美容研究所","Professional beauty","Skin care","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2231&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2023/03/02/80bfb2f96304dc63c8dd985967f56c65.jpg","NEW HIP LIK PACKAGING","Supply chain","Outer Packaging & Graphic Design","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2232&menuId=335","https://h5.chinainternationalbeauty.com65554050abb9fef446ba1def95.png/","BEIJING TOPLASER TECHNOLOGY CO.,LTD","Professional beauty","Professional Beauty Equipment","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2233&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2022/08/05/377fdd722bb3660a473402bbc14b2114.png","东莞市金玫贸易有限公司","Professional beauty","other","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2234&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2022/08/11/a4f3806e338609a6d3e90e2f08518da5.jpg","北京冠舟科技有限公司","Professional beauty","Professional Beauty Equipment","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2235&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2022/08/03/0cac87f657aa6057eecd2c1eef3197a7.jpg","NINGBO YUNWU  PLASTICS CO.，LTD.","Supply chain","Primary Packaging Containers","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2236&menuId=335","https://h5.chinainternationalbeauty.comb643d41c428a732a8fbafb5d.png/","ADSS","Professional beauty","Professional Beauty Equipment,Professional Aesthetic Analysis Devices","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2237&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2022/08/26/0777e397fa859d30e495fb127a574532.png","美手主义（广州）生物科技有限公司","Professional beauty","Nail Products","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2238&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2022/08/06/e5d67cb01982068b7fe2da7dffb040ad.png","Guangzhou Yingxing Trade Co.,Ltd","Professional beauty","Skin care","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2239&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2022/08/30/140e1a360b169bd279f28d1c2c14feba.png","BEIJING HONKON TECHNOLOGIES CO.,LTD.","Professional beauty","Professional Beauty Equipment","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2240&menuId=335","https://h5.chinainternationalbeauty.com/App/h5/static/icon/logo.png","SHEN FA ENG. CO., LTD (GUANG ZHOU)","Professional beauty","other","No"
