"qful-top-le-logo src 2","std-tit4","qtlc-subtit","qful-top-ri-info","std-btn4-box href","qblr-link","qblr-link 2","qblr-link 3","qblr-link 4","qblr-link 5","qblr-link 6","qblr-link 7","qblr-link 8","qblr-link 9","qblr-link 10","qblr-link 11","qblr-link 12","qblr-link 13","qblr-link 14","qblr-link 15","qblr-link 16"
"https://onlinecatalogue.electronicachina.com.cn/Public/Uploads/useimg/20260409/LOGORGB.jpg","Infineon Technologies","Germany","N5.605","https://onlinecatalogue.electronicachina.com.cn/journal/exhibitor/2401","Semiconductors","Industrial Electronics / Industrial Control","Communication System","Consumer Electronics","Computers & Peripherals","Automotive Electronics and EV","Medical Technology","Electricity and New Energy","Internet of Things (loT)","Embodied Intelligence","Artificial Intelligence","Data Center / Cloud Computing","Rail Transit","Lighting engineering","Intelligent building","Household appliances"
"https://onlinecatalogue.electronicachina.com.cn/Public/Uploads/uploadfile/images/20260323/eClogoShanghai776x328EN-527.png","NXP Semiconductors","Netherlands","N4.505","https://onlinecatalogue.electronicachina.com.cn/journal/exhibitor/3406","","","","","","","","","","","","","","","",""
"https://onlinecatalogue.electronicachina.com.cn/Public/Uploads/useimg/20250224/STlogo2020bluenotagline.jpg","STMicroelectronics","Switzerland","N5.601","https://onlinecatalogue.electronicachina.com.cn/journal/exhibitor/2471","Semiconductors","Industrial Electronics / Industrial Control","Communication System","Consumer Electronics","Computers & Peripherals","Automotive Electronics and EV","Medical Technology","Electricity and New Energy","Internet of Things (loT)","Embodied Intelligence","Artificial Intelligence","Data Center / Cloud Computing","Aviation & Space Technology","Mechanical Engineering","Lighting engineering","Intelligent building"
"https://onlinecatalogue.electronicachina.com.cn/Public/Uploads/useimg/20250214/TIlogo.png","Texas Instruments","America","N4.605","https://onlinecatalogue.electronicachina.com.cn/journal/exhibitor/1399","Semiconductors","Embedded systems","Displays","Sensor technology","Test and measurement","Power supplies","PCBs, other circuit carrier","Automotive and testing","Wireless","Information gathering and services","Industrial Electronics / Industrial Control","Communication System","Consumer Electronics","Computers & Peripherals","Automotive Electronics and EV","Medical Technology"
"https://onlinecatalogue.electronicachina.com.cn/Public/Uploads/useimg/20250325/ADILogoAWPTaglineCMYKcnnew.ai.png","Analog Devices","America","N4.305","https://onlinecatalogue.electronicachina.com.cn/journal/exhibitor/2315","Semiconductors","Industrial Electronics / Industrial Control","Communication System","Consumer Electronics","Automotive Electronics and EV","Medical Technology","Electricity and New Energy","Security & protection system","Intelligent building","","","","","","",""
"https://onlinecatalogue.electronicachina.com.cn/Public/Uploads/useimg/20250331/Logo1ACConSubRGB.jpg","Amphenol CONEC","Germany","W3.600","https://onlinecatalogue.electronicachina.com.cn/journal/exhibitor/2202","Sensor technology","Connectors, Switches, Casing technology, Wire Harness, etc","Assemblies and subsystems","Information gathering and services","Industrial Electronics / Industrial Control","Communication System","Automotive Electronics and EV","Medical Technology","Embodied Intelligence","Aviation & Space Technology","Military Electronics","Mechanical Engineering","Rail Transit","Security & protection system","",""
"https://onlinecatalogue.electronicachina.com.cn/Public/Uploads/useimg/20260417/%7DY71AJ6K7TJSYIBAB2E7-158.png","Anhui Truchum Advanced Materials And Technology Co.,Ltd.","China","W2.241","https://onlinecatalogue.electronicachina.com.cn/journal/exhibitor/3373","Connectors, Switches, Casing technology, Wire Harness, etc","Electronic materials","Industrial Electronics / Industrial Control","Communication System","Consumer Electronics","Computers & Peripherals","Automotive Electronics and EV","Medical Technology","Electricity and New Energy","Internet of Things (loT)","Embodied Intelligence","Artificial Intelligence","Data Center / Cloud Computing","Aviation & Space Technology","Military Electronics","Mechanical Engineering"
"https://onlinecatalogue.electronicachina.com.cn/Public/Uploads/uploadfile/images/20260323/eClogoShanghai776x328EN-527.png","APTIV","China","W2.305","https://onlinecatalogue.electronicachina.com.cn/journal/exhibitor/3364","","","","","","","","","","","","","","","",""
"https://onlinecatalogue.electronicachina.com.cn/Public/Uploads/uploadfile/images/20260323/eClogoShanghai776x328EN-527.png","Bellwether Electronic Corp.","Taiwan, China","W2.706","https://onlinecatalogue.electronicachina.com.cn/journal/exhibitor/2224","","","","","","","","","","","","","","","",""
"https://onlinecatalogue.electronicachina.com.cn/Public/Uploads/useimg/20250317/huarunweidianzishangyepinpaijiantiRGB.png","China Resources Microelectronics Limited","China","N5.641","https://onlinecatalogue.electronicachina.com.cn/journal/exhibitor/2462","Semiconductors","Industrial Electronics / Industrial Control","Communication System","Consumer Electronics","Computers & Peripherals","Automotive Electronics and EV","Medical Technology","Electricity and New Energy","Internet of Things (loT)","Aviation & Space Technology","Mechanical Engineering","Rail Transit","Security & protection system","Lighting engineering","Intelligent building","Household appliances"
