"canzhan-item href","images src","fs24","fs24 2","desc"
"https://www.elexcon.com/en/zsxq?id=398","https://szdzz.zbase.cn//File/huikan/202608281046182777.png","常州承芯半导体有限公司","16C17","射频与光电化合物晶圆制造及代工业务射频滤波器设计、研发、制造一体化业务"
"https://www.elexcon.com/en/zsxq?id=397","https://szdzz.zbase.cn//File/huikan/202608151645334855.png","诺泽流体科技(上海)有限公司","","密闭系统微射流均质机超微粉气流粉碎机脂质体挤出器:干粉混合机"
"https://www.elexcon.com/en/zsxq?id=396","https://szdzz.zbase.cn//File/huikan/202608141652336942.png","Linaro Limited","16D17","Linaro VirtIO 虚拟化与 CRA 出海合规解决方案一、 核心价值：VirtIO 在 SD..."
"https://www.elexcon.com/en/zsxq?id=373","https://szdzz.zbase.cn//File/huikan/202608071027093454.png","安华理达企业管理咨询（广州）有限公司","16D47","1.企业信用调查安华理达提供企业标准信用报告、深度调查、经营透视、信用透视等多维信用调查服务，依托大..."
"https://www.elexcon.com/en/zsxq?id=288","https://szdzz.zbase.cn//File/huikan/202607111014304161.png","东莞市必德电子科技有限公司","16C08","EMI噪声滤波器，铁氧体穿心磁珠滤波器，贴片磁珠，三端子LCL-T滤波器，引线功率电感器"
"https://www.elexcon.com/en/zsxq?id=395","https://szdzz.zbase.cn//File/huikan/202608141133435172.png","成都星拓微电子科技股份有限公司","16C20","PCle接口芯片、内存接口及配套芯片、时钟及通用接口芯片、网络接口芯片"
"https://www.elexcon.com/en/zsxq?id=394","https://szdzz.zbase.cn//File/huikan/202608131732140601.png","天津泽希新材料有限公司","16D25","领先球形氧化铝制造商，导热界面材料专家、化学分析专家、工艺技术、分析检测、电子自动化、计算机、机械和..."
"https://www.elexcon.com/en/zsxq?id=361","https://szdzz.zbase.cn//File/huikan/202608041655152733.png","SEGGER 中国（哲戈微）","16A25","embOS RTOS、J-Link 仿真器/调试器、Flasher 烧录器/编程器"
"https://www.elexcon.com/en/zsxq?id=304","https://szdzz.zbase.cn//File/huikan/202507111824414597.png","謙邑科技股份有限公司","16A05","我們是專業的導電矽膠產品製造商與供應商 , 應用於各種封裝後的芯片及被動元器件等多項產品測試 ."
"https://www.elexcon.com/en/zsxq?id=283","https://szdzz.zbase.cn//File/huikan/202607081543108429.png","深圳麦科信科技有限公司","16E21","高分辨率示波器、平板示波器、汽车示波器、高压差分探头、光隔离探头、交直流电流探头、柔性电流探头（罗氏..."
"https://www.elexcon.com/en/zsxq?id=278","https://szdzz.zbase.cn//File/huikan/202607070945383326.png","启诺迪电子公司","16C11","∙ Copper Gleam™ 导通孔电镀和通孔填孔电镀，应用于核心层的电镀∙ Microfill™..."
"https://www.elexcon.com/en/zsxq?id=393","https://szdzz.zbase.cn//File/huikan/202608131202432269.png","温州市万达电子有限公司","16D46","DIP开关、旋转开关、微型旋转开关、微型拨动开关、拨码开关"
"https://www.elexcon.com/en/zsxq?id=392","https://szdzz.zbase.cn//File/huikan/202608131036145547.png","上海睿赛德电子科技有限公司","16E15-A3","睿擎工业平台是RT-Thread专为工业场景打造的软硬件一体化开发方案，秉持“全栈自主可控”理念，致..."
"https://www.elexcon.com/en/zsxq?id=391","https://szdzz.zbase.cn//File/huikan/202608131029259200.png","深圳科摩思智能科技有限公司","16B39","KEYMOS科摩思主营嵌入式产品，涵盖LPDDR4/4X、LPDDR5/5X、eMMC、UFS 等主..."
"https://www.elexcon.com/en/zsxq?id=390","https://szdzz.zbase.cn//File/huikan/202608130949297125.png","上海智恒胜新材料科技有限公司","16D6","•胶粘剂平台：覆盖半导体，OLED封装胶、结构胶、以及光刻胶材料体系，面向封装小型化、高可靠性和极端..."
"https://www.elexcon.com/en/zsxq?id=389","https://szdzz.zbase.cn//File/huikan/202608121843591692.png","绵阳敦源电子科技有限公司","16C35","网络变压器、高频变压器、驱动隔离变压器，电流互感器，一体成型电感，绕线电感，RF射频电感，共模电感，..."
"https://www.elexcon.com/en/zsxq?id=349","https://szdzz.zbase.cn//File/huikan/202507211808177818.png","深圳市航顺芯片技术研发有限公司","16B46","32位MCU/SOC芯片，EEPROM存储芯片、FLASH大存储芯片、驱动芯片、低功耗稳压芯片等。"
