"toggler","stand","country","img-holder src","additional","visit-us 2","button","button href","button href 2","categories","subcategory","subcategory href","divider","subcategory 2","subcategory href 2","divider 2","subcategory 3","subcategory href 3","divider 3","subcategory 4","subcategory href 4"
"AAFUD INDUSTRY(ZHUHAI) CO., LTD","C3L47","China","https://www.ingredientsnetwork.com/2351-202108061621121367-comp281567.png","AAFUD INDUSTRY (ZHUHAI) CO., LTD was established in 1996 with headquarter located in the southern coastal city of Zhuhai, Guangdong Province. Zhuhai is the core of the new economic business circle in the Guangdong-Hong Kong-Macao Greater Bay Area. The company has been committed to the production and development of natural and healthy food ingredients. It produces and sells natural pigments (natural colors), food flavors, coloring food for food industry and other health food ingredients. Our company has independent import and export rights, has passed FSSC22000 food safety management system certification and HALAL certification (Halal). The company has a research and development center, a food and beverage pilot production line, and food ingredient application laboratory. Its diversified development and application are to improve food quality and contribute more healthy and delicious food to customers. ""Kanglong"" brand products are widely used in various fields such as food, health products, pharmaceuticals, cosmetics and feed. Around 90% of our company's products are sold to domestic companies, and 10% are exported. Our R&D team has established a close collaboration with international experts and well-known universities home and abroad for scientific research projects, innovative research and development of new products such as natural pigments, food flavors, and functional food ingredients. The application of food ingredients focuses on serving customers and providing technical solutions.","stand C3L47","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/28/15/67/exhibitor281567-596.html","","","","","","","","","","","",""
"Aarkay Food Products Ltd.","B3B02","India","https://www.ingredientsnetwork.com/aarkay-comp266954.png","Aarkay Food Products Ltd is a leading manufacturer of Natural Food Ingredients and Specialty Additives with a diversified product portfolio. Core to our expertise is low temperature Spray Drying Technology through which we manufacturer an assortment of products like:-","stand B3B02","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/26/69/54/exhibitor266954-596.html","Categories:","Annatto, bixin","https://www.ingredientsnetwork.com/annatto-bixin-code015406.html","|","Anthocyanins","https://www.ingredientsnetwork.com/anthocyanins-code015408.html","|","Beetroot Red; Betanin","https://www.ingredientsnetwork.com/beetroot-red-betanin-code015409.html","|","Casein","https://www.ingredientsnetwork.com/casein-code015997.html"
"Ab Mauri India Pvt. Ltd.","B3C26-C","India","https://www.ingredientsnetwork.com/FI%20Logo-comp305020.jpg",", a part of the Associated British Foods,
the one stop shop for all your Spices, Spice Blends & Seasonings
requirements from the land of Spices, India. Incorporated in 1991 as Cochin
Spices Pvt. Ltd. as a joint venture with Tones Inc. USA, now AB Mauri has grown into a leading name in the spices
trade globally. Headquartered in Gurgaon, our spices production facility is
based in the Cochin, inside the Special Economic Zone, which provides us with a
platform for seamless international trade.





Black Pepper & White Pepper | Red Chillies (Red Peppers) |
Ginger
Turmeric | Cinnamon & Cassia | Fennel | Cumin | Fenugreek
Coriander | Celery | Green Cardamom | Nutmeg & Mace | Cloves
Spices Mixes & Curry Powders | Spice Seasonings","stand B3C26-C","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/30/50/20/exhibitor305020-596.html","Categories:","Cardamom pod","https://www.ingredientsnetwork.com/cardamom-pod-code016037.html","|","Celery seed","https://www.ingredientsnetwork.com/celery-seed-code016038.html","|","Cinnamon stick","https://www.ingredientsnetwork.com/cinnamon-stick-code016039.html","|","Coriander","https://www.ingredientsnetwork.com/coriander-code016041.html"
"ABERNUTRA INDUSTRIES LIMITED","B3H01","China","https://www.ingredientsnetwork.com/47/staticpage/00/07/19/site/WW_iN_RGB_edit.png","","stand B3H01","","","https://www.ingredientsnetwork.com/47/company/47/70/77/exhibitor477077-596.html","","","","","","","","","","","",""
"Accelerated Freeze Drying Company Limited","A1A10","India","https://www.ingredientsnetwork.com/afdc-logo-comp320919.png","Accelerated Freeze Drying Company (AFDC) is the flagship company of Amalgam Group and was set up in 1986 in collaboration with Nissin Foods Ltd., Japan.

AFDC is the First and the largest Freeze Drying (FD) company in India.

It is the one among the two food companies in India where all facilities are green ticketed for export into the USA, automatic passage into Japan and E. U. approved.

Production facilities are GFSI standard Cochin Facility BRC A Grade and Banglore Facility FSSC 22000 certified.

AFDC is one of the two food factories in India approved to export to Japan, without inspection, under their pre-certification scheme.

Infrastructure and Capacity Footprint

State-of-the-Art Processing: With two top-of-the line processing facilities at Cochin and Bangalore, the company has the capacity and technology to produce the best ingredients in scalable quantities. AFDC specializes in Freeze Dried and Air Dried and Individually Quick Frozen (IQF) ingredients for the food industry and food applications.

Cochin Freeze Drying Plant : Installed capacity of 500 square meter, processes seafood and green peppercorns.

Bangalore Freeze Drying Plant : Installed capacity of 450 square meter, processes sweet corn, culinary herbs, spices and high value products such as tender coconut water and garlic for the nutraceutical/cosmeceutical industry.

Our Competence

Certified Organic Farming: AFDC has its own farm that organically grows select herb and spices. In addition we have a supporting network of group contracted organic certified farms. Products grown by AFDC are monitored and tested during growth, harvest and processing, ensuring that stringent specifications are met.

Coastal Location for Fresh Sourcing: With a processing facility located on the southern coast of India, we ...","stand A1A10","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/32/09/19/exhibitor320919-596.html","Categories:","Cayenne","https://www.ingredientsnetwork.com/cayenne-code015572.html","|","Coconuts","https://www.ingredientsnetwork.com/coconuts-code015883.html","|","Corn","https://www.ingredientsnetwork.com/corn-code015899.html","|","Fruit, Seeds, Nuts & Peanuts, Vegetables","https://www.ingredientsnetwork.com/fruit-seeds-nuts-peanuts-vegetables-code015837.html"
"ACTUS Nutrition","A1D21","United States","https://www.ingredientsnetwork.com/actus-stacked-1-comp250401.png","is a global leader in the manufacturing of nutritional dairy
protein ingredients for the health and wellness, sports nutrition and
functional food industries. We are the largest manufacturer of whey protein
isolates, with the core of our business in high protein ingredients.

Actus offers. wide range of customized whey and milk protein
ingredients for nutritional and functional applications to help customers
achieve their desired formulations. Our advanced protein knowledge and extensive processing expertise come together
all with the common goal of providing nutritional solutions to the world.
PRODUCTS:","stand A1D21","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/25/04/01/exhibitor250401-596.html","Categories:","Amino acids","https://www.ingredientsnetwork.com/amino-acids-code015945.html","|","Dairy Ingredients","https://www.ingredientsnetwork.com/dairy-ingredients-code015763.html","|","Enzymes","https://www.ingredientsnetwork.com/enzymes-code015969.html","|","Fats & Oils","https://www.ingredientsnetwork.com/fats-oils-code015808.html"
"Adamarindo,PT","C1K01","Indonesia","https://www.ingredientsnetwork.com/47/staticpage/00/07/19/site/WW_iN_RGB_edit.png","","stand C1K01","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/31/94/63/exhibitor319463-596.html","","","","","","","","","","","",""
"ADD FOOD BIOTECH, PT","C1N47","Indonesia","https://www.ingredientsnetwork.com/47/staticpage/00/07/19/site/WW_iN_RGB_edit.png","","stand C1N47","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/47/79/02/exhibitor477902-596.html","","","","","","","","","","","",""
"Adorvia Biotechnology (Shanghai) Co.,Ltd","D1A44","China","https://www.ingredientsnetwork.com/adorvia-logo-comp327498.png","At Adorvia, we specialize in developing cutting-edge natural sweetener solutions by leveraging bio-converted Reb M and advanced precision fermentation technology. As a pioneer in next-generation sweetener innovation, Adorvia brings to the consumer the best tasting, natural, zero calorie Reb M at scale and commercially relevant value that was not possible before. We continue to push the boundary of what is possible through our biotechnology prowess to positively impact public health, CPG needs and environment. We are fully scaled up and ready to deliver your needs today!
Adorvia – Life is Sweet!""","stand D1A44","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/32/74/98/exhibitor327498-596.html","","","","","","","","","","","",""
"AGRICORE CS SDN. BHD","A3Q33","Malaysia","https://www.ingredientsnetwork.com/47/staticpage/00/07/19/site/WW_iN_RGB_edit.png","","stand A3Q33","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/47/99/00/exhibitor479900-596.html","","","","","","","","","","","",""
