"group src","heading","web","web 2","list-group-item-text","sector_block","sector_block 2","sector_block 3","sector_block 4","sector_block 5","sector_block 6","sector_block 7","sector_block 8","sector_block 9","sector_block 10","sector_block_outer","sector_block_outer href","btn href"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2046/50644/thumb_2046_50644_49652_6534.png","Gorilla Technology Group","Stand No- HB-B90, Hall B","United Kingdom","Headquartered in London U.K., Gorilla is a global solution provider in Security Intelligence, Network Intelligence, Business Intelligence and IoT technology. We provide a wide range of solutions, including, Smart City, Network, Vi ...","Cyber security","Artificial Intelligence","Big Data & Analytics","Cloud Services","Data Centres","Digital Forensics & Incident Response","Software Defined Networking - SDN","Monitoring","IoT","Data Integration","Read More","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/gorilla-technology-group","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/gorilla-technology-group"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2046/55288/thumb_2046_55288_54193_3826.png","H3C TECHNOLOGIES PTE. LTD","Stand No- HB-B60., Hall B","China","H3C, a leading provider of digital and AI solutions, is committed to becoming the most trusted partner for customers in their business innovation and digital transformation. Through the deep layout of the whole industrial chain of ...","","","","","","","","","","","","","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/h3c-technologies-pte-ltd"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2046/50634/thumb_2046_50634_49642_8926.png","ManageEngine","Stand No- HC-A120, Hall C","India","ManageEngine, a division of Zoho Corporation and a leading provider of IT management solutions, empowers organisations of all sizes and types to manage their entire digital infrastructure with confidence. Launched in 2002, ManageE ...","Cyber security","5G & Telecommunications","Big Data & Analytics","Cloud Services","Network & Infrastructure Security","Endpoint Protection & Mobile Security","Cloud Security","IT Service Management - ITSM","Cybersecurity","Data Visualisation","Read More","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/manageengine","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/manageengine"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2046/53997/thumb_2046_53997_52918_8113.png","ERICSSON TELECOMMUNICATIONS PTE LTD","Stand No- AI Everything Conference Headline Sponsor, Ericsson is a Swedish multinational telecommunications and networking company, founded in 1876 and headquartered in Stockholm, Sweden. The company is a global leader in mobile connectivity, providing hardware, software, and services that enable communications service providers, enterprises, and public sector organisations to realise the full value of connectivity.  Ericsson operates across networks, digital services, and managed services, supporting the deployment and operation of 4G, 5G, and ne","Sweden","Ericsson is a global leader in communications technology, helping service providers and enterprises build the networks that power digital transformation. With deep expertise in 5G, cloud, AI, and enterprise connectivity, Ericsson  ...","","","","","","","","","","","","","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/ericsson-telecommunications-pte-ltd"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2046/50597/thumb_2046_50597_49605_1232.png","Kaspersky Lab Switzerland GmbH",", Sponsorship","Russian Federation","Kaspersky is a global cybersecurity and digital privacy company operating in over 200 countries and territories. With a mission to build a safer digital world, Kaspersky has protected over a billion devices from emerging cyberthre ...","","","","","","","","","","","","","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/kaspersky-lab-switzerland-gmbh"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2046/50585/thumb_2046_50585_49593_1138.png","Datalec Precision Installations Pte. Ltd","Stand No- Sponsorship, Sponsorship","United Kingdom","At Datalec Precision Installations, we specialise in providing world-class, global data centre solutions within critical environments, specialising in end-to-end technical design and fit-outs comprising of mechanical & electrical, ...","Data Centres","Innovation Data Centre Design","Heating & Ventilation","Data Management Solutions","Data Centre Next Generation","Data Centre Infrastructure Management","Data Building & Verification","Consultancy","Connectivity","Computational Fluid Dynamics","Read More","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/datalec-precision-installations-pte-ltd","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/datalec-precision-installations-pte-ltd"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2046/55531/thumb_2046_55531_54435_8164.png","HP PPS Asia Pacific Pte. Ltd","Stand No- Sponsorship - Supernova Category Sponsor (Exclusive per Category), Sponsorship","Singapore","We are a technology company born of the belief that companies should do more than just make a profit. They should make the world a better place.
Our efforts in climate action, human rights, and digital equity prove that we a ...","","","","","","","","","","","","","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/hp-pps-asia-pacific-pte-ltd"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2046/54535/thumb_2046_54535_53451_7597.png","Blaize","Stand No- HB-B51, Hall B","United States of America","Powering Edge-to-Cloud Intelligence with Global Scale and Strategic Reach.

Blaize has created a transformative new compute solution that unites silicon and software to optimize AI from the edge to the core. We’re pa ...","","","","","","","","","","","","","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/blaize"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2046/54840/thumb_2046_54840_53754_3369.png","X Star Technology","Stand No- HA-B46, Hall A","Singapore","X Star Technology Holdings Ltd is a leading AI innovator in automotive finance technology. Headquartered in Singapore with a global operational presence across Asia Pacific, Latin America, and the Middle East, X Star maintains ext ...","Digital Finance","Fintech","Lending / P2P Lending","Identity / Trust / Authentication","Artificial Intelligence","","","","","","","","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/x-star-technology"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2046/50589/thumb_2046_50589_49597_8617.png","Forescout Technologies","Stand No- HC-C136, Hall C","United States of America","We envision a world where every cyber asset is seen, secure and compliant.
Forescout Technologies, Inc., a global cybersecurity leader, continuously identifies, protects and helps ensure the compliance of all managed and unm ...","Cyber security","Operations Security","Network & Infrastructure Security","Internet of Things (IoT) Security","Application integration and infrastructure","","","","","","","","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/forescout-technologies"
