"list-item-link href","brand-card-wrapper src","name","chip","brand-location-hall","brand-location-stand","country"
"https://www.ifa-berlin.com/exhibitors/anker","https://drive.ifa-berlin.com/drive/2025/08/_cache/6864f84b1aa6e7beb69433e04508a7ab_ccbedb7051cea7f6ce70a34105129609.png.webp","Anker Innovations","Smart Home","Hall 2.2","H2.2-101","United Kingdom"
"https://www.ifa-berlin.com/exhibitors/fritz","https://drive.ifa-berlin.com/drive/2026/07/_cache/6f0d7d2bd81ec7baef67b4b37a044dae_c3943d39333a7bc5c63f08db16a8a3e9.png.webp","FRITZ!","Computing & Gaming","Hall 7.2c","H7.2c-111","Germany"
"https://www.ifa-berlin.com/exhibitors/lg-electronics","https://drive.ifa-berlin.com/drive/2025/08/_cache/da91810487265b4f95424e57dd35602a_cf72ec1d2d9d076b0bc5b88cda829ad6.png.webp","LG Electronics","Home & Entertainment","Hall 18","H18-101","South Korea"
"https://www.ifa-berlin.com/exhibitors/euronics","https://drive.ifa-berlin.com/drive/2025/12/_cache/41f2b36d1093fd8405753cee3124b65d_35fc621cab01c5a7c431340f32961071.jpg.webp","euronics","Global Strategic Retail Partner","CityCube Hall B","CCBB-103","Germany"
"https://www.ifa-berlin.com/exhibitors/zvei","https://www.ifa-berlin.com/thumbnail/w500/2026/07/logo-zvei.svg","zvei","Home Appliances","Hall 4.1","H4.1-119","Germany"
"https://www.ifa-berlin.com/exhibitors/severin-elektrogeraete","https://drive.ifa-berlin.com/drive/2025/12/_cache/327825643ec9bd0345c9beb7eb1b1750_db2b0828fbc21e28217f56ee9ca3d2d2.png.webp","Severin Elektrogeräte GmbH","Home Appliances","Hall 4.1","H4.1-103","Germany"
"https://www.ifa-berlin.com/exhibitors/miele","https://www.ifa-berlin.com/thumbnail/w500/2025/12/miele_754_(1).webp","Miele","Home Appliances","Hall 2.1","H2.1-101","Germany"
"https://www.ifa-berlin.com/exhibitors/electrolux-appliances","https://drive.ifa-berlin.com/drive/2025/05/_cache/4861bc9f5ed12c26b6f3a1c2c827e624_b16c745ae199e66e42ca5d9b1d6595c2.png.webp","ELECTROLUX APPLIANCES AB","Home Appliances","Hall 4.1","H4.1-101","Sweden"
"https://www.ifa-berlin.com/exhibitors/tcl-overseas-marketing","https://drive.ifa-berlin.com/drive/2025/08/_cache/7501d9a05576a640a5260bed938a9a6f_333c860df6489c62c044ccd7beebe987.png.webp","TCL Overseas Marketing Ltd","Home & Entertainment","Hall 21","H21-101","Hong Kong"
"https://www.ifa-berlin.com/exhibitors/global-fairs","https://drive.ifa-berlin.com/drive/2026/02/_cache/bf40b9c71395086ac479b1d01bc67f4a_1acf34fd340fea4530a2a0f14d88c5bf.png.webp","Global Fairs","Home & Entertainment","Hub 27","H27-H27","Germany"
