"card-image href","logourl src","card-title","card-title 3","info-item 2","info-item 4","info-item 6","info-item 8","info-item 10","info-item 11","info-item 12"
"https://exhibitors.informamarkets-info.com/event/2026JGW/en-US/exhibitor/491181/","https://jewellerynet.com/api/profile/company/605898/logo/20251105234638A301.jpg","''Your Amber''","''Your Amber''","POLAND","HKCEC","Hall 5FG Concourse","5M309","Children Jewellery, Silver Jewellery : Others, Coloured Gemstone Jewellery : Amber Jewellery, Men Jewellery","",""
"https://exhibitors.informamarkets-info.com/event/2026JGW/en-US/exhibitor/490111/00-le-stephanie-s-limited","https://jgw.exhibitions.jewellerynet.com/wp-content/uploads/2026/07/JGW-September_Exh_list_logo.png","00 Le Stephanie S Limited","00 Le Stephanie S Limited","Hong Kong,S.A.R.,China","AWE","Hall 3","3G35","Coloured Gemstones : Opal, Coloured Gemstones : Emerald, Coloured Gemstones : Fei Cui, Coloured Gemstones : Garnet, Coloured Gemstones : Coral,","Coloured Gemstones : Jade, Diamonds : Fancy Colour : Below 1 ct., Coloured Gemstones : Ruby, Coloured Gemstones : Sapphire, Coloured Gemstones : Tourmaline","etc..."
"https://exhibitors.informamarkets-info.com/event/2026JGW/en-US/exhibitor/497761/01-jewelry-limited","https://jewellerynet.com/admin-api/profile/company/604324/cda86164.jpeg","01 Jewelry Limited","广州市浩文珠宝首饰有限公司","CHINA","HKCEC","Hall 5FG","5G616","Silver Jewellery : Sterling Silver","",""
"https://exhibitors.informamarkets-info.com/event/2026JGW/en-US/exhibitor/488705/4g","https://jgw.exhibitions.jewellerynet.com/wp-content/uploads/2026/07/JGW-September_Exh_list_logo.png","4G's Trading Corp","4G's Trading Corp","USA","AWE","Hall 7","7R02","Coloured Gemstones : Emerald","",""
"https://exhibitors.informamarkets-info.com/event/2026JGW/en-US/exhibitor/490291/5c-hong-kong-limited","https://jewellerynet.com/admin-api/profile/company/603902/5ecf78c2.JPG","5C Hong Kong Limited","5C Hong Kong Limited","Hong Kong,S.A.R.,China","HKCEC","Hall 3B-E","3E602","Diamond Jewellery : White, Wedding Jewellery : Wedding Bands","",""
"https://exhibitors.informamarkets-info.com/event/2026JGW/en-US/exhibitor/490128/88-diam-(hk)-limited","https://jgw.exhibitions.jewellerynet.com/wp-content/uploads/2026/07/JGW-September_Exh_list_logo.png","88 Diam (Hk) Limited","88 Diam (Hk) Limited","Hong Kong,S.A.R.,China","AWE","Hall 10","10Q33","Lab-grown Diamonds : Fancy Colour, Lab-grown Diamonds : White","",""
"https://exhibitors.informamarkets-info.com/event/2026JGW/en-US/exhibitor/501557/a-concept-group-limited","https://exhibitors.informamarkets-info.com/layout-fresh/assets/images/ads/2022JGW/2026JGW_empty.png","A Concept Group Limited","槢薩投資有限公司","Hong Kong,S.A.R.,China","AWE","Hall 9","9F24","Jewellery Mfg Services : Silver Jewellery, Pearls : Cultured Freshwater : Others, Pearls : Cultured Saltwater : South Sea, Jewellery Mfg Services : Pearl Jewellery, Pearls : Cultured Saltwater : Akoya (J),","Pearls : Cultured Freshwater : Beaded, Pearls : Cultured Saltwater : Tahitian, Pearls : Natural Freshwater : Round, Pearls : Natural Freshwater : Baroque","etc..."
"https://exhibitors.informamarkets-info.com/event/2026JGW/en-US/exhibitor/504237/a-d-diamond","https://exhibitors.informamarkets-info.com/layout-fresh/assets/images/ads/2022JGW/2026JGW_empty.png","A D Diamond","A D Diamond","INDIA","AWE","Hall 5","5J33","","",""
"https://exhibitors.informamarkets-info.com/event/2026JGW/en-US/exhibitor/488551/a-g-color-inc","https://jewellerynet.com/admin-api/profile/company/606730/9638d75f.jpeg","A G Color Inc","A G Color Inc","USA","AWE","Hall 8","8G02","Coloured Gemstones : Emerald, Coloured Gemstones : Tourmaline, Coloured Gemstones : Others","",""
"https://exhibitors.informamarkets-info.com/event/2026JGW/en-US/exhibitor/501568/a-j-gems","https://exhibitors.informamarkets-info.com/layout-fresh/assets/images/ads/2022JGW/2026JGW_empty.png","A J Gems","A J Gems","INDIA","AWE","Hall 10","10N19","Coloured Gemstones : Opal, Coloured Gemstones : Garnet, Coloured Gemstones : Ruby, Coloured Gemstones : Sapphire, Coloured Gemstones : Tourmaline","",""
"https://exhibitors.informamarkets-info.com/event/2026JGW/en-US/exhibitor/490425/a-k-export","https://jewellerynet.com/admin-api/profile/company/606358/42af24c8.png","A K Export","A K 出口","Hong Kong,S.A.R.,China","AWE","Hall 9","9C38","Jewellery Mfg Services : Diamond Jewellery, Jewellery Mfg Services : Plain Precious Metal Jewellery, Diamonds : Fancy Colour : Below 1 ct., Diamonds : White : Below 1 ct., Jewellery Processing Services : Polishing,","Jewellery Processing Services : Refining, Jewellery Mfg Services : Other Finished Jewellery","etc..."
