"ExhibitorLogo src","ExhibitorListCompanyName","ExhibitorBooth","ExhibitorImg src","ExhibitorImg src 2","ExhibitorTextContent","ExhibitorImg src 3","ExhibitorImg src 4","ExhibitorImg src 5","ExhibitorImg src 6","ExhibitorTextContent 2","CompanyProfileContent","ExhibitorTextContent 3","ExhibitorTextContent 4","ExhibitorTextContent 5","ExhibitorTextContent 6"
"https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20250828/441730_logo_en_1756348714894456.jpg?v=1756348715","BLUEVIEW ELEC-OPTIC TECH CO., LTD.","Booth W1 G10","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20250126/441730_anli_2_img_1737870792742789.jpg?v=1737870792","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20250126/441730_fengmian_img_1737870820345264.jpg?v=1737870820","LED Side Lighting on the Red Walls of Tiananmen and the Forbidden City","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20260327/441730_product_1_img_1774599406989495.jpg?v=1774599407","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/exhibitor/20230726/441730_1690337287973699.jpg?v=1690337287","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20240506/441730_product_2_img_1714974474635338.jpg?v=1714974474","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20250126/441730_anli_2_img_1737870792742789.jpg?v=1737870792","LED Side Lighting on the Red Walls of Tiananmen and the Forbidden City","","","","",""
"https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20260707/564629_logo_en_1783393671285898.jpg?v=1783393671","JIANGMEN GUANGYUAN TECHNOLOGY CO., LTD.","Booth W1 C34","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20241127/564629_anli_2_img_1732702353635295.jpg?v=1732702353","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20251230/564629_product_1_img_1767085755433972.jpg?v=1767085755","6MM-120LED-S-5V/12V/24V-type soft light strip","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20241127/564629_anli_1_img_1732702350342762.jpg?v=1732702351","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20241127/564629_product_2_img_1732702347945576.jpg?v=1732702348","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20241127/564629_anli_2_img_1732702353635295.jpg?v=1732702353","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20251230/564629_product_1_img_1767085755433972.jpg?v=1767085755","Separated LED Neon Strip","Focus on production and development: 60 lamp S-type lamp belt, 102 lamp S-type lamp belt, 120 lamp S-type lamp belt, split neon lamp belt, optical lens lamp belt, colorful S-type lamp belt, magic S-type lamp belt and other full series of S-type lamp belt","6MM-120LED-S-5V/12V/24V-type soft light strip","","",""
"https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20250826/448672_logo_en_1756196199884223.jpg?v=1756196199","SHENZHEN YONGJIELIN TECHNOLOGY CO., LTD.","Booth W3 D38","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20250826/448672_anli_2_img_1756192886656597.jpg?v=1756192886","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20250826/448672_product_1_img_1756191969988424.jpg?v=1756191969","Hunan Television Station","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20250826/448672_anli_1_img_1756192471277358.jpg?v=1756192472","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20250826/448672_product_2_img_1756192135553889.jpg?v=1756192136","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20250826/448672_anli_2_img_1756192886656597.jpg?v=1756192886","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20250826/448672_product_1_img_1756191969988424.jpg?v=1756191969","Semi Glued Rainproof power supply","Shenzhen Yongjielin Technology Co., Ltd. (YONGJIELIN), established in 2013, is a high-tech enterprise specializing in power supply research and development, production, sales and service. It has a high-quality staff team and excellent market reputation. The multiple sets of power supply solutions independently developed by the company have been widely recognized by the market and become a new benchmark in the LED power supply industry. Our products are widely used in advertising signs, lighting engineering, indoor lighting, display props, industrial control equipment, display screens, monitoring and power supply and other fields. The company has passed the ISO9001 quality management system certification, and many series of products have passed CCC, CE, ROHS, UL and other domestic and foreign certifications. Our goal is to develop Yongjielin into a well-known brand in the global LED field and become an enterprise with sustainable competitive strength.","Window of the World in Shenzhen","Linear Lighting Power Supply XCA Series","Hunan Television Station","Semi Glued Rainproof power supply"
"https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20250812/444540_logo_en_1754989250636492.jpg?v=1754989250","MYNICE OPTOELECTRONICS CO., LTD.","Booth W1 C43","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/exhibitor/20230814/444540_anli_2_img_1691999129879929.jpg?v=1691999129","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20240606/444540_product_1_img_1717662976445889.jpg?v=1717662977","LED COB STRIP","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/exhibitor/20230814/444540_anli_1_img_1691998937832573.jpg?v=1691998937","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20240606/444540_product_2_img_1717662988439323.jpg?v=1717662989","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/exhibitor/20230814/444540_anli_2_img_1691999129879929.jpg?v=1691999129","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20240606/444540_product_1_img_1717662976445889.jpg?v=1717662977","Led edgelit module","Mynice optoelectronics co., LTD is a national high-tech enterprise and a high-tech enterprise in Guangdong province, which is committed to the development, production, sales and service of LED advertisement signage light box lighting, LED light strips linear lighting and LED prop display lighting. It is the leader of China LED advertisement signage light box lighting and LED strips with linear lighting, LED prop display lighting. It is the national standard maker of LED guide signage carrier in China. Mynice optoelectronic co., LTD has installation, after-sales and service teams all over the first-second-third-tier cities in China. The company promotes the after - sale service system called ""national warranty, after - sale worry-free"". The company built in 2006 currently owns Shenzhen Mynice headquarters factory, Dongguan Mynice branch factory, and Mynice overseas factory in Yangon, Myanmar. A total of 32,000 square meters of standardized workshop and more than 800 skilled production staff. At present, the company has two brands including ""Mynice"" LED signage light box lighting, LED prop display lighting and ""Younice"" LED strip linear lighting. Products mainly cover the business scope: LED signage light box lighting, LED lights with linear lighting, LED props display lighting, LED power supply and other fields. Nowadays, it is one of the largest and most professional companies in China.","LED COB STRIP","Metro light box of Shenzhen","sinopec project","Metro light box of Shenzhen"
"https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20250621/441788_logo_en_1750473928262535.jpg?v=1750473928","SHENZHEN LINGBENYANG OPTOELECTRONICS CO., LTD.","Booth W1 C21","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/exhibitor/20230712/441788_1689141999439338.png?v=1689142000","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20250715/441788_product_1_img_1752542124586528.jpg?v=1752542124","Lead series performance module","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/exhibitor/20230712/441788_1689141999223333.png?v=1689141999","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20250715/441788_product_2_img_1752545106798652.jpg?v=1752545106","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/exhibitor/20230712/441788_1689141999439338.png?v=1689142000","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20250715/441788_product_1_img_1752542124586528.jpg?v=1752542124","Uniform length cascaded constant current light strip","Shenzhen lingbenyang Optoelectronics Co., Ltd. is a state-level high-tech enterprise and Shenzhen specialized new enterprise listed on the New Third Board approved by the state, stock code: 872658. The company was established in October 2005, currently includes the head office and three wholly-owned subsidiaries - Shenzhen Pianyang Industrial Co., LTD., Pianyang Photoelectric (Cambodia) Co., LTD., and Shenzhen Lide Piyang Linear Lighting Co., LTD. Zero Benyang Optoelectronics is a comprehensive operator of LED advertising sign lighting products and solutions integrating research and development, production and sales, and is a leader in brand chain sign lighting.","Lead series performance module","","",""
"https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20250623/441423_logo_en_1750647533927466.jpg?v=1750647533","HUNAN HUAXIN ELECTRONIC TECHNOLOGY CO., LTD.","Booth W3 D17","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20251210/441423_anli_2_img_1765335961932636.jpg?v=1765335962","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20251210/441423_product_1_img_1765332249683875.jpg?v=1765332249","Power Supply For LED Signage And Display","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20251210/441423_anli_1_img_1765335406889587.jpg?v=1765335406","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20251210/441423_product_2_img_1765333304989963.jpg?v=1765333304","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20251210/441423_anli_2_img_1765335961932636.jpg?v=1765335962","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20251210/441423_product_1_img_1765332249683875.jpg?v=1765332249","Power Supply For LED Lighting","Hunan Huaxin Electronic Technology Co., Ltd. is a high-tech enterprise specializing in the R&D and manufacturing of power supply products, with over 21 years of industry experience. Our brand enjoys extensive influence in the Chinese market and has participated in numerous national-level large-scale projects, such as the CCTV Spring Festival Gala and lighting projects covering more than 40% of subway stations nationwide.
Meanwhile, we have established a mature and comprehensive dealer system across China, with our sales and service network covering the entire country. Our independent R&D team consists of more than 50 senior engineers, boasting full-process R&D capabilities ranging from circuit design and PCB layout to mold development, which ensures our products’ outstanding performance and advanced technology.
In addition, our product range is extensive and diverse, covering signage, lighting, industrial control, and indoor application series, with over 500 product models available to meet diversified market demands.","Power Supply For LED Signage And Display","The HXF-GC Series semi-potted rainproof power supplies are applied in the Guangzhou Baiyun Airport project","The H Series Indoor Quiet Power Supplies were adopted for the renovation project of the Palace Museum","The HXF-GC Series semi-potted rainproof power supplies are applied in the Guangzhou Baiyun Airport project"
"https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20251209/464258_logo_en_1765266644392666.jpg?v=1765266644","SHENZHEN RUIZHIXIA OPTOELECTRONICS CO., LTD.","Booth W4 C30","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20250106/464258_anli_2_img_1736134647662859.jpg?v=1736134647","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/exhibitor/20240125/464258_product_1_img_1706146367558396.jpg?v=1706146367","","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20250106/464258_anli_1_img_1736134639578729.jpg?v=1736134639","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/exhibitor/20240125/464258_product_2_img_1706146380794246.jpg?v=1706146380","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20250106/464258_anli_2_img_1736134647662859.jpg?v=1736134647","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/exhibitor/20240125/464258_product_1_img_1706146367558396.jpg?v=1706146367","","","","","",""
"https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20260413/447985_logo_en_1776068782945287.jpg?v=1776068783","HUA HANG LED POWER TECHNOLOGY CO., LTD.","Booth W3 D34","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20260731/447985_anli_2_img_1785487910352797.jpg?v=1785487910","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20260413/447985_product_1_img_1776068354754867.jpg?v=1776068354","Bently A Series","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20260731/447985_anli_1_img_1785487029924348.jpg?v=1785487029","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20260413/447985_product_2_img_1776068433646232.jpg?v=1776068433","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20260731/447985_anli_2_img_1785487910352797.jpg?v=1785487910","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20260413/447985_product_1_img_1776068354754867.jpg?v=1776068354","Nano Power Supply","ShenZhen HuaHangPower SupplyTechnology Co., Ltd.,is a LEDlighting power manufacturer which combinesR&D, production,sales and service in one. The factory was established in 2004,Which is a professionalproduction of switch power 3A enterprise.In order to meet market demand, since 2006 the factoryhasorganized a professional LED waterproof power developmentand designteam with strong technical force;The productperformance is stable and superior, the product size is thesmallest and the efficiency is thehighest in the same industry.There are more than 100 kinds of waterproof power supplydesign schemes inour factory. 40&apos;C+80Creliable workingpower supply has been developed, the products meettherequirements of the quality implementation standards forcustomers at home andabroad. The factory isbased onhonesty,market oriented, customer satisfaction as the goal,flexible andefficient provide customerswith comprehensivewater- proof switch power solution.HuaHang power supplyprovides the outdoor and indoor LED power supply with excellentperformanceand safety for LED lighting industry, and implementsthe overall quality management system, In strictaccordancewiththe requirements of ISO9001:2000 standard, establish qualitymanagement system, carry onstandardization operationcontinuously and effectively, all products pass EMC and LVDtests; Theproductground can achieve lightning protection effect,and the protection grade also reaches IP67 or IP68; TheLEDlamps have high efficiency and low power consumption chip andheat sink, which improves the life, stability,and reduces the lightdecay and power temperature rise of LED lamps.The factory isdeveloping veryfast. Meanwhile, We feel the bright future spaceof LED lighting deeply. Welook forward to developing theunlimitedcity lighting with your cooperation. Thank you for yourconcernand support to ShenZhen HuaHang Power SupplyTechnology Co., Ltd.","Bently A Series","Nano Series Indoor Power Supply","Shenzhen Metro Advertising Light Box Lighting Power Supply","Nano Series Indoor Power Supply"
"https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20251229/700908_logo_en_1766979354844689.jpg?v=1766979354","JIANGMEN ZHENGCHENG PHOTOELECTRIC TECHNOLOGY CO. CO., LTD.","Booth W3 B22","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20251229/700908_product_1_img_1766979392588362.jpg?v=1766979392","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20251229/700908_product_1_img_1766979392588362.jpg?v=1766979392","","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20251229/700908_product_1_img_1766979392588362.jpg?v=1766979392","","","","","","","","",""
"https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20260327/443532_logo_en_1774598492866627.jpg?v=1774598492","SINGSUNLED CO., LTD.","Booth W1 D48","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/exhibitor/20230706/443532_1688625721268557.png?v=1688625721","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20260327/443532_product_1_img_1774599251378722.jpg?v=1774599251","K8 Ultra","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/exhibitor/20230706/443532_1688625720756974.png?v=1688625721","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20240506/443532_product_2_img_1714975877427472.jpg?v=1714975877","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/exhibitor/20230706/443532_1688625721268557.png?v=1688625721","https://trust-data.oss-cn-shenzhen.aliyuncs.com/oem/images/oem/20260327/443532_product_1_img_1774599251378722.jpg?v=1774599251","K8 Pro","Since its founded in 2007, SINGSUNLED Co., Ltd focus on research, design and produce signage product, the products include the LED module, LED strips ect. Up to now, Our products have been highly approved by customers from more than 80 countries, Europe, South America, and Asia for its excellent quality. To ensure precise and efficient manufacturing of your order, we've equipped more than 2, 000 square meters workshop and 100 experienced employees. Every month, we turn out more than 3, 000, 000 LED modules and 100, 000 meters of LED strips. All of our products conform to CE standards and are RoHS Directive-compliant. And now we also obtain the ISO 9001: 2000 Certification and UL Certification. Long-term cooperation with our customers, team work and cooperation is very important to us.","K8 Ultra","","",""
