"image-container href","img-responsive src","exhibitor-name","wrap-word","title-in-exhibitor-summary","brands href","wrap-word 2","pps-tags","main-stand-holder-name-prefix","main-stand-holder-name","main-stand-holder-name href"
"https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.a-safe%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE.org-0871a109-6f95-42a6-9db1-bdf35b913b7f.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-e02bcaaf-f009-4eb2-a80c-f4ba0b88e58a/desktop-small/11cb9b52-74c0-4a13-839f-3485d32b1efa.png","A-SAFE株式会社","Founded in 1984 and headquartered in the UK, A-SAFE invented the world’s first industrial-strength polymer safety barrier. Today, it provides cutting-edge safety systems to major global brands like Amazon, Coca-Cola, BMW, and Unilever. Key Advantages of A-SAFE: Advanced Polymer Barriers, Safety Compliance, Sustainability, Cost Efficiency, Global Reach and Smart Safety Technology.","Brands","https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.a-safe%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE.org-0871a109-6f95-42a6-9db1-bdf35b913b7f.html","A-SAFE","Factory Facilities & Equipment, Nara, Europe and America","","",""
"https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.asahi%20keiki%20co%20ltd.org-877a15d8-37f5-4e56-ba49-9719b0d63dbc.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-847307f4-fdfb-48da-a1de-9638f2b9fad5/desktop-small/e03bb3d0-74de-4f34-9de1-c04476196836.png","Asahi Keiki Co., Ltd.","Since our founding in 1950, Asahi Keiki Co., Ltd. has been a specialized manufacturer of bimetal thermostats, fueled by a passion for ""controlling temperature and ensuring safety.""

Our mission extends beyond simple manufacturing; we are dedicated to solving the ""thermal challenges"" our customers' equipment faces. Our core strength lies in our unparalleled quality, backed by IATF 16949—the global standard for automotive quality management systems. By implementing these rigorous standards across our entire organization, our products have become the trusted choice for applications demanding extr","Brands","https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.asahi%20keiki%20co%20ltd.org-877a15d8-37f5-4e56-ba49-9719b0d63dbc.html","バイメタルサーモスタット（スナッパー）","Mechanical Parts, Sensors, Fukushima, Tokyo, Aichi, Osaka, North China, Others","Stand shared with","公益財団法人福島県産業振興センター","https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.org-ef941acf-fdc1-4e44-a261-ee919001580e.html"
"https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.ask%20coltd.org-2b3e304b-db5f-4c28-a9a9-80ea495a6562.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-d3e84196-75b0-4d94-9159-fa091bf8a24d/desktop-small/478afe13-6317-4669-98b2-106423c05f01.png","ASK co.,ltd.","1946年の創業以来、一貫して計測関連機器の開発・生産・販売をしてまいりました。 常に市場ニーズを先取りし、新たな発想の独自商品を生み出し、開発型企業を目指してきました。 近年は、食品・医療・半導体・新エネルギー等の異分野へ注力しております。","Brands","https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.ask%20coltd.org-2b3e304b-db5f-4c28-a9a9-80ea495a6562.html","ASK㈱","Smart Factory Solution, Hydraulic Equipment, Pumps, Industrial Cleaning Machines/Detergents, Tokyo, Osaka, Southeast Asia","Stand shared with","SHINAGAWAKU","https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.org-b6a235e0-a3df-40e1-bdd2-4510b755b13c.html"
"https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%20%E3%82%A2%E3%82%BF%E3%82%B4%E8%A3%BD%E4%BD%9C%E6%89%80.org-36231c62-181b-4981-9df9-2557cd48a1e3.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-9472a79b-fa14-4832-9eb7-df3b23c8b507/desktop-small/bcfa16e2-4359-4930-b139-5c56a3def255.png","株式会社 アタゴ製作所","Our products are widely used in applications ranging from residential equipment to industrial systems, and even cooling units for high-performance servers, enabling us to meet a diverse range of customer needs.","Brands","https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%20%E3%82%A2%E3%82%BF%E3%82%B4%E8%A3%BD%E4%BD%9C%E6%89%80.org-36231c62-181b-4981-9df9-2557cd48a1e3.html","Original Products","Mechanical Parts, Joining/Welding/Cutting, Prototype Production, Gunma","","",""
"https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%20%E3%83%90%E3%82%A4%E3%82%AA%E3%83%8D%E3%83%83%E3%83%88%E7%A0%94%E7%A9%B6%E6%89%80.org-66e4cfcf-d7d2-49f6-aa65-541df6cad96f.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-cd302a89-852f-4023-b30a-7d3982dc78ba/desktop-small/0f7dd952-405c-4fcd-897f-d1a38975c2ab.jpg","株式会社 バイオネット研究所","バイオネット研究所は、あらゆるセンサーからデータを可視化する専門家集団です。組込み系ＳＥ、データ処理ＳＥ、ハードウェア設計者からなるエンジニア集団で、各分野の専門家による、物理設計からできるのが強みです。特殊な専門知識を有するエンジニアを最大限に活かし、要求仕様を満足させるシステム開発を行うための環境を整えています。 ○ 計測・医療機器のシステム開発 ○計測・医療機器のデータ解析 ○ システム開発のコンサルテーション ○ 次世代バイオビジネスの展開 ○ インターネットを利用した通信販売","Brands","https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%20%E3%83%90%E3%82%A4%E3%82%AA%E3%83%8D%E3%83%83%E3%83%88%E7%A0%94%E7%A9%B6%E6%89%80.org-66e4cfcf-d7d2-49f6-aa65-541df6cad96f.html","作業負荷計測システム　PosCheck","Other AI Solutions, 3D Measuring Instruments, Scanners, Measuring Instruments, Automation Products/Technology, Tokyo","","",""
"https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.carima%20co%20ltd.org-47497ac9-0e64-4676-8db8-60237b587778.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-c2a179ec-83f4-40ca-bc3c-de7356734789/desktop-small/cb82c24c-3666-4d28-99f0-9dbd3fc555a9.png","CARIMA Co., Ltd.","CARIMA is a global leading manufacturer of industrial DLP 3D printers, equipped with proprietary technologies like C-CAT, the world’s fastest continuous additive technology, and S-BAT, an advanced seamless boundary alignment technology that ensures seamless layer transitions and exceptional surface quality. Our DLP printers deliver unmatched speed, precision, and scalability across various industries, setting new standards in high-performance digital manufacturing.","Brands","https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.carima%20co%20ltd.org-47497ac9-0e64-4676-8db8-60237b587778.html","CARIMA","Resin 3D Printers, AM, Tokyo, South Korea","","",""
"https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%20%E3%82%B3%E3%82%B9%E3%83%A2%E3%82%B5%E3%83%9F%E3%83%83%E3%83%88.org-b9597d6e-a6bf-4616-bd31-83bb78d3311d.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-5fc676a5-2eba-4df5-bb9e-3b3b0216f3d8/desktop-small/7ce264df-2a2e-4b77-96bb-4b75862cc241.png","株式会社 コスモサミット","コスモサミットは、製造業や鋳造業、繊維業向けに、生産管理システムや生産スケジューラの他、AI図面検索システムなどの開発、提案、保守までサポートする会社です。密接なコミュニケーションを通じて、お客様の課題の本質を見極め、豊富な業務知識と高度なIT技術を背景に、製造現場での見える化やDX化を目指したソリューションを提案いたします。【ソリューションビジネス】お客様が抱える課題を分析し、解決策やニーズに最適なハードウェア、ソフトウェアをご提案します。ネットワークを含め情報システムの企画、設計、構築、運用を総合的に行います。【パッケージ開発】生産管理、販売管理、顧客管理システムを中心に業務アプリケーションを開発しています。業界に特化したパッケージ製品のため、大変使いやすいです。【ソフトウェア開発】社内外に渡る充実した人材で、ソフトウェア開発のアウトソーシングを請け負っております。汎用機、Linux、UNIX、Windowsなど各種OSに対応するプラットフォーム、ミドルウェア、組込ソフトの開発を行っております。【ネットワークビジネス】インターネット技術を最大限に活用したネットワークソリューションをご提供します。クラウドヘの移行、ネットワークにかかるランニングコスト削減などどのようなことでもご相談ください。【人材サービス】IT分野で、お客様の業務に貢献できる派遺スタッフを紹介しています。","","","","Drawing/Document Management Systems, Production Management Systems, Scheduler, Process Management, SCM, Production Planning, IT Asset Management, Other Security Services, Other AI Solutions, Tokyo, Ishikawa, Aichi, Osaka","","",""
"https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.druid%20software%20limited.org-0ac112cd-6874-450b-b0d5-df35db2eca52.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-d5151253-3f17-420e-8373-cc7d8f7457ed/desktop-small/c979a2f0-93d1-4869-8f88-94b8f3e7774c.png","Druid Software Limited","Druid Softwareは、アイルランドに本社を置くコアセルラーネットワークソフトウェア企業です。
2000年の設立以来、25年以上にわたり、プライベート5Gおよび4Gセルラー技術分野における世界的リーダーの一社として成長してきました。

DruidのRAEMISプラットフォームは、3GPP準拠の成熟した5G/4Gコアネットワークであり、企業利用やミッションクリティカル用途向けに特化した独自機能を備えています。

製造業、物流、エネルギー、公共安全、スマートファクトリー、産業IoTなど幅広い分野において、安全かつ高信頼なプライベート4G/5Gネットワークを提供しています。","","","","Network Protection, Other AI Solutions, Digital Transformation Platform, Smart Factory Solution, Logistics Digital Transformation Solution, Disaster Prevention Equipment, Automation Products/Technology, Tokyo, Europe and America","","",""
"https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.fine%20coltd.org-b9f3204b-1fce-4003-a2cd-885257731f10.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-1efe5a00-f2a4-4d0e-b236-17fa99e7d178/desktop-small/66b43618-d2e7-4519-88b6-6ae7d9aef083.jpg","Fine Co.,Ltd.","◆精密植毛と素材開発で、「現場の不便を便利にする」◆
弊社は1948年の創業以来、75年にわたり「精密植毛技術」を磨き続けてきた専門メーカーです。歯科・介護分野の厳しい品質・衛生基準で培ったノウハウを、現在は産業機械や工場設備などの工業用分野へ広く展開しています。
1. 既製品の課題を解決する「国内特注生産」 「海外製や既製品のブラシでは精度が不足し、装置の不具合やロスの原因になっている」という現場の課題を解決します。医療用製品基準の品質管理により、耐久性と機能性を両立させた自社製ブラシへの切り替えをご提案。貴社の装置に最適化した専用設計により、歩留まりの向上と安定稼働に貢献します。
2. 貴社の植物素材から創る「オリジナル樹脂開発」 最大の特長は、素材そのものを開発する力です。あらゆる植物性廃棄物を微粉末化し、樹脂に練り込んで新素材化する特許技術を保有しています。自社工場で原料調製から製品化まで一貫生産するため、環境負荷を低減する「グリーン調達」や「独自素材の部材化」を強力にバックアップします。
3. 手書きイラストからの迅速な製品化 
東京本社にはデザイナーが常駐し、手書きのイラストやイメージ段階からでも迅速に設計・試作を致します。特殊な機構への組み込みや小ロットの特注対応も、自社工場との連携により柔軟にご対応。","Brands","https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.fine%20coltd.org-b9f3204b-1fce-4003-a2cd-885257731f10.html","MEGURU、Revo、吸ｔｙ、POSY","Resin 3D Printers, AM, 3D Printing Outsourcing, Mechanical Parts, Polishing, Surface Finishing, Prototype Production, Materials, Energy-saving and Decarbonization Products, Tokyo, Mie","Stand shared with","SHINAGAWAKU","https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.org-b6a235e0-a3df-40e1-bdd2-4510b755b13c.html"
"https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.fixstars%20amplify%20corporation.org-6a01ce6a-dc09-48c0-bb2f-b63449320f40.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-765007ee-c266-4b26-93a1-d6ec9c206f0c/desktop-small/00e1afc9-1035-4d1f-ba63-288fc2570d30.png","Fixstars Amplify Corporation","Fixstars Amplify is a cloud-based optimization platform that uses combinatorial and black-box optimization to solve real-world challenges through optimal decision-making.
Users can efficiently solve complex problems with algorithms such as quantum annealing and Ising machines.
With 800+ global use cases in manufacturing (design, scheduling), logistics (routing, allocation), and R&D (parameter tuning), Amplify helps redesign decision-making by defining custom constraints and objectives.
Free seminars and sample code support fast learning and implementation.","Brands","https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.fixstars%20amplify%20corporation.org-6a01ce6a-dc09-48c0-bb2f-b63449320f40.html","Fixstars Amplify","CAD/CAM, CAE, PLM/PDM/BOM, Drawing/Document Management Systems, 3D Data Utilisation, VR/AR/MR, High Performance PC, Plotter, Production Management Systems, Sales/Stock  Management Systems, Scheduler, Process Management, ERP, Core Systems, SCM, Production Planning, Production Preparation/Verification, AI Agent, Generative AI, Demand Forecasting, Inventory Optimization, Other AI Solutions, Digital Transformation Platform, Smart Factory Solution, Construction Digital Transformation Solution, Logistics Digital Transformation Solution, Metal 3D Printers, AM, Resin 3D Printers, AM, AM Software, Motors, Drivers, Gears, Transmissions, Hydraulic Equipment, Pumps, Other Motion Products, Mechanical Parts, Tube Components, Fasteners, Screw Tightening Products, Mechanical Springs, Wire, Cutting, Pressing, Sheet Metal, Laser Processing, Resin Processing, Design Workload Reduction, Processing Workload Reduction, EMS (Electronics Manufacturing Services), ODM/Contract Development & Manufacturing, Assembly & Inspection Contract, Other Contract Services, Medical Device ODM, OEM, Medical Device Parts, Electronics Products, Measurement, Measuring Technology, 3D Measuring Instruments, Scanners, Measuring Instruments, Testing Instruments, Sensors, Test Equipment, Automation Products/Technology, Factory Automation & Control Systems, Material Handling Equipment, Industrial & Collaborative Robots, AGV、AMR, Physical AI, Tokyo","","",""
