"card-image href","logourl src","card-title","card-title 3","ExhList_Desc","info-item 2","info-item 3","info-item 4","info-item 5","info-item 6","info-item 7","info-item 8","info-item 9","info-item 10"
"https://exhibitors.informamarkets-info.com/event/RBHK2026/en-US/exhibitor/487494/airpurchase-(hong-kong)-limited","https://oemfile.informamarkets-info.com/FileUpload/RBHK2026_44490/RBHK2026046242026072711312086Company.jpg","Airpurchase (Hong Kong) Limited","AirPurchase (Hong Kong) Limited","AirPurchase is an AI-powered procurement, inventory, and central kitchen management platform purpose-built for the F&B industry. It streamlines complex, labour-intensive operations and, through seamless integration with POS and accounting systems, enables restaurants to reduce costs and achieve data-driven management.","Hong Kong,S.A.R.,China","Hall No.:","Hall 5FG","Stand No.							 	:","5F-D16","Category:","Data Processing, Computer Hardware / Technology Services, Business Intelligence / Business Analytics / Management System, CCTV/ Surveillance System & Supplies, Inventory / Logistic / Supply Chain Management","",""
"https://exhibitors.informamarkets-info.com/event/RBHK2026/en-US/exhibitor/486006/aplex-capital-holdings-limited","https://oemfile.informamarkets-info.com/FileUpload/RBHK2026_44490/RBHK20260414620260716155055819Company.jpg","Aplex Capital Holdings Limited","日本貨好友站","","Hong Kong,S.A.R.,China","Hall No.:","Hall 5FG","Stand No.							 	:","5G-E21","Category:","","",""
"https://exhibitors.informamarkets-info.com/event/RBHK2026/en-US/exhibitor/486004/athena-tableware-hk-limited","https://oemfile.informamarkets-info.com/FileUpload/RBHK2026_44490/RBHK20260010320260714152051094Company.jpg","Athena Tableware HK Limited","雅典娜（香港）有限公司","Over past 20 years, Athena specializes in design, manufacture and supply of professional flatware, hollow ware, buffet display, ceramics, tabletop, service ware and chafing dish, covering all aspects of tableware. Our collections reflect a taste of modern simplicity and casual elegance which match easily with nowadays hotel and restaurant's fulfillment.","Hong Kong,S.A.R.,China","Hall No.:","Hall 5FG","Stand No.							 	:","5F-D05","Category:","Airline Catering Equipment, Cooking Equipment, Cookware & Kitchen Supplies, Bar / Beverage Equipment & Accessories, Buffet & Display Equipment,","Smallwares & Accessories, Tabletop, Buffet & Display Equipment, Lobby Equipment & Supplies, Environmental Protection Engineering & Waste Reduction, Bed and Beddings, Cookware & Hollowware, Ceramics & Chinaware, Glassware","etc..."
"https://exhibitors.informamarkets-info.com/event/RBHK2026/en-US/exhibitor/486741/black-bridge-food-co---ltd-","https://oemfile.informamarkets-info.com/FileUpload/RBHK2026_44490/RBHK202601345S00120260710090600482Company.png","Black Bridge Food Co., LTD.","黑橋牌企業股份有限公司","Our company story started in 1957. The flavor of Taiwanese sausage was salty and the texture was hard by that time. Our founder Mr. Chen successfully improved the taste by using only fresh pork and became the founder of Taiwanese sausage. When it comes to Taiwanese sausage, Black Bridge always appears in people’s mind.","TAIWAN,CHINA","Hall No.:","Hall 5FG","Stand No.							 	:","5G-B21","Category:","Other Canned / Processed Food, Chilled / Frozen Meat, Pork & Pork Products","",""
"https://exhibitors.informamarkets-info.com/event/RBHK2026/en-US/exhibitor/500227/boncafe","https://oemfile.informamarkets-info.com/FileUpload/RBHK2026_44490/RBHK20260016120260812115551123Company.png","Boncafe' (Hong Kong) Limited","Boncafe' (Hong Kong) Limited","Boncafé (Hong Kong) Limited, part of Massimo Zanetti Beverage Group, imports and distributes premium coffee, tea, chocolate, machines, and beverage equipment to foodservice market. Its portfolio includes Boncafé and Segafredo Zanetti coffee, Ceado grinders, noomoo plant-based milk, and CaféMatic fully automatic coffee machines, supported by expert training, tailored coffee solutions, and reliable technical service.","Hong Kong,S.A.R.,China","Hall No.:","Hall 5FG,","Stand No.							 	:","5G-Z04,5G-Z08","Category:","Coffee Beans / Grounds, Coffee Grinders, Espresso Machines, Tea Leaves, Free from-Lactose and Diary","",""
"https://exhibitors.informamarkets-info.com/event/RBHK2026/en-US/exhibitor/485987/brightlinks-international-trade-co---limited","https://oemfile.informamarkets-info.com/FileUpload/RBHK2026_44490/RBHK20260458920260715152858708Company.png","Brightlinks International Trade Co., Limited","優鏈國際貿易有限公司","BRIGHTLINKS INTERNATIONAL TRADE CO.,LIMITED/LANGMA has provided one-stop F&B solutions for coffee, tea, bakery and light meals since 2019. Our full team handles R&D, design, production and logistics with efficient, customer-centric service.","Hong Kong,S.A.R.,China","Hall No.:","Hall 5FG","Stand No.							 	:","5F-D26","Category:","Packaging Equipment / Materials, Clothing / Protective Wears / Uniforms, Packaging Equipment / Materials, Gifts & Souvenirs","",""
"https://exhibitors.informamarkets-info.com/event/RBHK2026/en-US/exhibitor/486051/brilliant-universal-limited","https://oemfile.informamarkets-info.com/FileUpload/RBHK2026_44490/RBHK20260018020260729162726495Company.jpg","Brilliant Universal Limited","百利行環球有限公司","Brilliant Universal Limited (BUL), established in Hong Kong in 2008, is an importer and distributor of premium Asian food and beverage brands. We bring quality products from Thailand and Malaysia to supermarkets, hotels, online channels and independent retailers across Hong Kong and Macau.","Hong Kong,S.A.R.,China","Hall No.:","Hall 5FG","Stand No.							 	:","5G-D12","Category:","Juices & Concentrates, Canned / Processed Fruits, Canned / Processed Vegetables, Herbs / Spices / Seasonings, Sauces / Dressings,","Confectionery / Snacks / Candy, Nuts & Seeds, Instant Food, Dried Fruits, Cereals & Cereal Products, Health / Natural / Organic Food, Coconut Products, Free from-Sugars, Baby & Children's Foods, Ethnic Foods","etc..."
"https://exhibitors.informamarkets-info.com/event/RBHK2026/en-US/exhibitor/498362/caffeination-international-limited-%E2%80%93-cupping-room","https://oemfile.informamarkets-info.com/FileUpload/RBHK2026_44490/RBHK20260465120260810162113766Company.png","Caffeination International Limited – cupping room","Caffeination International Limited – cupping room","cupping room is an award-winning specialty coffee roastery founded in Hong Kong in 2011. With seven locations across Hong Kong, we make exceptional coffee accessible to more communities. We source outstanding green beans worldwide and carefully roast them in small batches to reveal each coffee’s unique origin, aroma, sweetness, acidity, and clarity—brewed with precision and passion.","Hong Kong,S.A.R.,China","Hall No.:","Hall 5FG","Stand No.							 	:","5G-Z06","Category:","Coffee Beans / Grounds, Coffee Pods / Capsules, Coffee Supplies & Accessories, Filtering Product, Cakes & Waffles,","Capsule Machines, Espresso Machines, Filtering Product","etc..."
"https://exhibitors.informamarkets-info.com/event/RBHK2026/en-US/exhibitor/487495/cangzhou-sihong-date-industry-co---ltd-","https://oemfile.informamarkets-info.com/FileUpload/RBHK2026_44490/RBHK202604354S00320260710141018168Company.png","Cangzhou Sihong Date Industry Co., Ltd.","沧州思宏枣业有限公司","Cangzhou Sihong Date Industry Co., Ltd. manufactures and exports jujube goods, nuts and snacks. We cover planting, production and global sales with strict food safety tests meeting international standards. Our items sell well across Southeast Asia, Europe, America and Australia. We offer steady quality, competitive prices and custom services for global partners.","CHINA","Hall No.:","Hall 5FG","Stand No.							 	:","5G-H09","Category:","Confectionery / Snacks / Candy, Nuts & Seeds, Dried Fruits, Dietary Food / Food Supplements, Health / Natural / Organic Food,","Free from-Artificial Ingredients, Speciality Foods","etc..."
"https://exhibitors.informamarkets-info.com/event/RBHK2026/en-US/exhibitor/485996/catch-gold-technology-company-limited","https://oemfile.informamarkets-info.com/FileUpload/RBHK2026_44490/RBHK20260422920260731195027143Company.png","Catch Gold Technology Company Limited","Catch Gold Technology Company Limited","As a leading commercial agency, CG is dedicated to building a comprehensive ecosystem for the F&B industry. By integrating top-tier brands in online marketing—including Meituan, Dianping, and Amap—with offline management solutions such as Sunmi and ezPOS, we comprehensively empower F&B industry to achieve digital transformation and business growth.","Hong Kong,S.A.R.,China","Hall No.:","Hall 5FG","Stand No.							 	:","5F-E12","Category:","Automation, Mobile Apps & Website Solutions, Computer Hardware / Technology Services, Consultancy & Management, E-Commerce Solution,","Mobile Apps & Website Solutions, Payment System, Digital Marketing / Solution","etc..."
