"exhibitorName","exhibitorName href","boothLabel","boothLabel href","cf src","product src"
"(JPE) YEAN HERN CORP.","https://expo.semi.org/taiwan2026/public/eBooth.aspx?IndexInList=0&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=656313","L0022","https://expo.semi.org/taiwan2026/public/eventmap.aspx?MapItBoothID=656313&MapItBooth=L0022","https://expo.semi.org/taiwan2026/public/imgHandler.ashx?Task=1&ID=../CUSTOM/CustomField24.png",""
"3D Architech, Inc.","https://expo.semi.org/taiwan2026/public/eBooth.aspx?IndexInList=1&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=698033","Q6134","https://expo.semi.org/taiwan2026/public/eventmap.aspx?MapItBoothID=698033&MapItBooth=Q6134","",""
"3EGREEN TECHNOLOGY, INC.","https://expo.semi.org/taiwan2026/public/eBooth.aspx?IndexInList=2&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=650276","R8121","https://expo.semi.org/taiwan2026/public/eventmap.aspx?MapItBoothID=650276&MapItBooth=R8121","https://expo.semi.org/taiwan2026/public/imgHandler.ashx?Task=1&ID=../CUSTOM/CustomField24.png","https://expo.semi.org/taiwan2026/Images/ProductsIcon.png"
"3S LINE","https://expo.semi.org/taiwan2026/public/eBooth.aspx?IndexInList=3&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=662018","T9230","https://expo.semi.org/taiwan2026/public/eventmap.aspx?MapItBoothID=662018&MapItBooth=T9230","https://expo.semi.org/taiwan2026/public/imgHandler.ashx?Task=1&ID=../CUSTOM/CustomField24.png",""
"3S Silicon Tech., Inc.","https://expo.semi.org/taiwan2026/public/eBooth.aspx?IndexInList=4&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=652847","M1154","https://expo.semi.org/taiwan2026/public/eventmap.aspx?MapItBoothID=652847&MapItBooth=M1154","https://expo.semi.org/taiwan2026/public/imgHandler.ashx?Task=1&ID=../CUSTOM/CustomField24.png","https://expo.semi.org/taiwan2026/Images/ProductsIcon.png"
"A SUN PHOTONICS CO., LTD.","https://expo.semi.org/taiwan2026/public/eBooth.aspx?IndexInList=5&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=651896","K3285","https://expo.semi.org/taiwan2026/public/eventmap.aspx?MapItBoothID=651896&MapItBooth=K3285","https://expo.semi.org/taiwan2026/public/imgHandler.ashx?Task=1&ID=../CUSTOM/CustomField24.png",""
"ABB Ltd","https://expo.semi.org/taiwan2026/public/eBooth.aspx?IndexInList=6&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=654691","R7906","https://expo.semi.org/taiwan2026/public/eventmap.aspx?MapItBoothID=654691&MapItBooth=R7906","https://expo.semi.org/taiwan2026/public/imgHandler.ashx?Task=1&ID=../CUSTOM/CustomField24.png",""
"AblePrint Technology Co., Ltd.","https://expo.semi.org/taiwan2026/public/eBooth.aspx?IndexInList=7&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=653254","N1188","https://expo.semi.org/taiwan2026/public/eventmap.aspx?MapItBoothID=653254&MapItBooth=N1188","https://expo.semi.org/taiwan2026/public/imgHandler.ashx?Task=1&ID=../CUSTOM/CustomField24.png",""
"ACCIO Hong Kong Catalonia Competitiveness Agency Limited","https://expo.semi.org/taiwan2026/public/eBooth.aspx?IndexInList=8&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=680531","I3123","https://expo.semi.org/taiwan2026/public/eventmap.aspx?MapItBoothID=680531&MapItBooth=I3123","",""
"Accordance Systems Inc.","https://expo.semi.org/taiwan2026/public/eBooth.aspx?IndexInList=9&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=653515","P5500","https://expo.semi.org/taiwan2026/public/eventmap.aspx?MapItBoothID=653515&MapItBooth=P5500","https://expo.semi.org/taiwan2026/public/imgHandler.ashx?Task=1&ID=../CUSTOM/CustomField24.png","https://expo.semi.org/taiwan2026/Images/ProductsIcon.png"
