"col-md-3 href","product-imgSize src","titleHover","col-3","text-dark","text-muted","text-dark 2","text-muted 2","text-dark 3","mb-2","ellipsis2","Border_fav"
"https://tairos.chanchao.com.tw/en/VisitorExhibitor/Detail?regNo=213874","https://www.chanchao.com.tw/exhibitorservicefiles/logo/230676_213874_B.jpg","CHIEFTEK PRECISION CO., LTD.","10
                          Product(s)","Area:","Nangang Exhibition Hall 1","Country:","Taiwan","Booth No:","I832","cpc (founded in 1998) specializes in high-precision motion control and smart automation solutions, including linear guideways, motors, drive systems, robots, and automation equipment, used in semiconductor, electronics, medical, biotechnology, optoelectronics, and precision machinery industries.
cpc is expanding into semiconductor applications such as chip manufacturing, packaging and testing, HPC, and CPO. It is also developing Physical AI by integrating robotics, sensing, and AI technologies, and extending capabilities into aerospace.","13"
"https://tairos.chanchao.com.tw/en/VisitorExhibitor/Detail?regNo=213878","https://www.chanchao.com.tw/exhibitorservicefiles/logo/137384_213878_B.jpg","SWITCHLAB INC.","10
                          Product(s)","Area:","Nangang Exhibition Hall 1","Country:","Taiwan","Booth No:","I628","SwitchLab Inc. was found in 1988. We are now the professional leading manufacturer of electric machinery switches and terminal blocks in Taiwan. SwitchLab Inc. over the years has constantly developed European type switches, Japanese type terminal blocks, and some of European type terminal blocks to meet market demand. Meanwhile, the electric machinery market is growing up fast.","1"
"https://tairos.chanchao.com.tw/en/VisitorExhibitor/Detail?regNo=214151","https://www.chanchao.com.tw/exhibitorservicefiles/logo/291658_214151_B.jpg","TBI MOTION INTELLIGENCE CO., LTD.","5
                          Product(s)","Area:","Nangang Exhibition Hall 1","Country:","Taiwan","Booth No:","I816","TBI Motion INTELLIGENCE CO., LTD suceeds more than 30 years of experience in linear motion business from TBI MOTION and our dedication in expanding business allows us to offer various products, not only the current products (Linear guides, Ball screws, Ball splines, Rotary series and Single axis actuator) but also more linear motion products in the future and become a complete supply chain to customers, with integrity, quality and innovation we bond a great business with the customer.","3"
"https://tairos.chanchao.com.tw/en/VisitorExhibitor/Detail?regNo=220198","https://www.chanchao.com.tw/exhibitorservicefiles/logo/121116_220198_B.jpg","MISUMI TAIWAN CORP.","5
                          Product(s)","Area:","Nangang Exhibition Hall 1","Country:","Taiwan","Booth No:","N1114","none","6"
"https://tairos.chanchao.com.tw/en/VisitorExhibitor/Detail?regNo=214889","https://www.chanchao.com.tw/exhibitorservicefiles/logo/157642_214889_B.webp","EMMT SYSTEMS CORPORATION","5
                          Product(s)","Area:","Nangang Exhibition Hall 2","Country:","Taiwan","Booth No:","S916","EMMT provides one-stop system integration and customized services. Through eSAFE platform, integrating IoT, AI, visual identification, big data, and system integration technologies to deliver comprehensive solutions.
With rich on-site deployment experiences, EMMT enables customers to rapidly implement and validate smart solutions in operational environments, accelerating digital transformation of companies.

Area: 4F, Nangang Exhibition Hall 2
Booth No: S916
Web: https://www.emmt.com.tw/","5"
"https://tairos.chanchao.com.tw/en/VisitorExhibitor/Detail?regNo=217144","https://www.chanchao.com.tw/exhibitorservicefiles/logo/295923_217144_B.webp","DEXMART TECHNOLOGY CORPORATION","16
                          Product(s)","Area:","Nangang Exhibition Hall 2","Country:","Taiwan","Booth No:","Q804","Dexmart Technology Corporation provides integrated actuator modules and robotic joints globally. Rooted in Taiwan with 20 years of servo drive expertise, we have shipped millions of motors and drivers. Dexmart powers diverse platforms, including AGVs/AMRs, humanoids, robotic arms, and quadrupeds. Beyond standard solutions, our agile structure enables rapid customization, helping companies accelerate from simulation to real-world deployment and scalable mass production.","7"
"https://tairos.chanchao.com.tw/en/VisitorExhibitor/Detail?regNo=213362","https://www.chanchao.com.tw/exhibitorservicefiles/logo/100099_213362_B.webp","HIWIN TECHNOLOGIES CORP.","","Area:","Nangang Exhibition Hall 1","Country:","Taiwan","Booth No:","J518","HIWIN is the world leading brand of motion control and system manufacturer. HIWIN focuses on creating innovative products with high speed, high precision and energy-saving. Our products, from components to system, including Ballscrew, Guideway, Bearing, DATORKER® Strain Wave Gear, Industrial Robot, Semiconductor System, Torque Motor Rotary Table and Medical Robot. HIWIN products are widely applied by the Automation, Semi-Conductor, Electronics, Medical, and Precision Machine Industries etc.","16"
"https://tairos.chanchao.com.tw/en/VisitorExhibitor/Detail?regNo=214718","https://www.chanchao.com.tw/exhibitorservicefiles/logo/301103_214718_B.webp","SWANCOR ROBOTECH CO., LTD.","4
                          Product(s)","Area:","Nangang Exhibition Hall 2","Country:","Taiwan","Booth No:","Q210","Founded in 1992, Swancor Group focuses on high-performance and low-carbon materials technology. Its subsidiary, Swancor Robotech Co., Ltd., specializes in AI-powered intelligent robots, integrating its materials technology and localized data advantages to develop its own brand, ""Taiibot,"" investing in the development of AI-powered humanoid and quadruped robots. With global supply chain integration, Swancor Robotech is striving to create the ""world's lightest and 100% recyclable AI robot"".","9"
"https://tairos.chanchao.com.tw/en/VisitorExhibitor/Detail?regNo=213474","https://www.chanchao.com.tw/exhibitorservicefiles/logo/170471_213474_B.webp","PANASONIC INDUSTRIAL DEVICES SALES TAIWAN CO., LTD.","1
                          Product(s)","Area:","Nangang Exhibition Hall 1","Country:","Taiwan","Booth No:","M804","Panasonic今年最受矚目的新產品GM5運動控制器即將上市, 強悍產品性能將帶給用戶全面性設備升級; 同時, 高速多點雷射位移感測器HL-D2000, 因應用戶端需求大幅提升測量精度.
在既有產品線的一站式服務上強化各工控元件性能, 我們也透過與外部夥伴合作，把服務層次從原本的元件器件供應商，提升到具有設備及系統整合能力的廠商。","5"
"https://tairos.chanchao.com.tw/en/VisitorExhibitor/Detail?regNo=213544","https://www.chanchao.com.tw/exhibitorservicefiles/logo/273792_213544_B.webp","VICOMM TECHNOLOGY CO., LTD.","","Area:","Nangang Exhibition Hall 1","Country:","Taiwan","Booth No:","M804","Founded in 2005, Vicomm focuses on wireless networking and automotive electronics, offering end-to-end solutions for testing, assembly, and automation. By leveraging our global footprint and highly modular technology, we partner with world-class suppliers to drive production excellence and industry-leading quality.","2"
"https://tairos.chanchao.com.tw/en/VisitorExhibitor/Detail?regNo=213516","https://www.chanchao.com.tw/exhibitorservicefiles/logo/169882_B.jpg","SOLOMON TECHNOLOGY CORPORATION","3
                          Product(s)","Area:","Nangang Exhibition Hall 1","Country:","Taiwan","Booth No:","M604","Solomon excels in industrial automation and augmented intelligence, specializing in AI inspection, process optimization, empowering frontline workers with AI-powered AR solutions. What sets Solomon apart is the rapid AI model training embedded in our systems, allowing users to customize models with minimal time investment. Our focus on productivity and innovation positions us at the forefront of AI and 3D vision applications, excelling in defect detection, bin picking, and workforce optimization","22"
"https://tairos.chanchao.com.tw/en/VisitorExhibitor/Detail?regNo=213398","https://www.chanchao.com.tw/exhibitorservicefiles/logo/268166_213398_B.jpg","TECHMAN ROBOT INC.","2
                          Product(s)","Area:","Nangang Exhibition Hall 1","Country:","Taiwan","Booth No:","M620","Techman Robot was established in Taiwan in 2015 and stands as the world’s only robotics brand with natively integrated vision and AI. Within just three years of its founding, the company rose to become a global leader in collaborative robots. Today, Techman Robot has positioned itself as a pioneer in Physical AI, collaborating with over 200 global partners to drive the widespread adoption of AI robotics and accelerate industrial transformation.","18"
"https://tairos.chanchao.com.tw/en/VisitorExhibitor/Detail?regNo=213861","https://www.chanchao.com.tw/exhibitorservicefiles/logo/238773_213861_B.webp","YASKAWA ELECTRIC TAIWAN CO., LTD.","","Area:","Nangang Exhibition Hall 1","Country:","Taiwan","Booth No:","M406","MECHATROLINK related production and applications. Servo pack, linear motor, DD motor, motion control, inverter, robot, multi-axis synchronous motion control, dynamic visual detection system.","8"
"https://tairos.chanchao.com.tw/en/VisitorExhibitor/Detail?regNo=214419","https://www.chanchao.com.tw/exhibitorservicefiles/logo/250810_214419_B.webp","DELTA ELECTRONICS, INC.","1
                          Product(s)","Area:","Nangang Exhibition Hall 1","Country:","Taiwan","Booth No:","M420","Delta, founded in 1971 and listed on the Taiwan Stock Exchange (code:2308), is a global leader in power and thermal management with a thriving portfolio of IoT-based smart energy-saving solutions in the fields of data center infrastructure, microgrids, smart manufacturing, intelligent buildings, and E-mobility to nurture mankind’s sustainable development. As a world-class corporate citizen guided by its corporate mission, “To provide innovative, clean and energy-efficient solutions for a better tomorrow,” Delta leverages its core competence in high-efficiency power electronics and its ESG-embedded business model to address key environmental issues related to climate change. Delta serves customers through its sales offices, R&D centers and manufacturing facilities spread over close to 200 locations across 5 continents.","20"
"https://tairos.chanchao.com.tw/en/VisitorExhibitor/Detail?regNo=217599","https://www.chanchao.com.tw/exhibitorservicefiles/logo/110504_217599_B.jpg","MITSUBISHI ELECTRIC AUTOMATION(TAIWAN) CO., LTD.","","Area:","Nangang Exhibition Hall 1","Country:","Taiwan","Booth No:","M820","MITSUBISHI ELECTRIC AUTOMATION (TAIWAN) CO., LTD.
Committed to excellence, we provide industry-leading sales and services for Mitsubishi Electric’s power distribution, factory automation, and semiconductor solutions. Officially renamed in April 2024, we leverage our global brand influence to enhance customer efficiency and competitiveness. We strive to provide superior support and create innovative values that surpass industry standards.","8"
"https://tairos.chanchao.com.tw/en/VisitorExhibitor/Detail?regNo=219098","https://tairos.chanchao.com.tw/_nuxt/img/default_Img.f60703e.png","PERCISION MACHINERY RESEARCH&DEVELOPMENT CENTER","","Area:","Nangang Exhibition Hall 1","Country:","Taiwan","Booth No:","M634","Since 1993, PMC(Precision Machinery Research & Development Center) has been at the forefront of the market in research of precision machinery. It also serves as the bridge between the government and industry.
PMC has always stood together with Taiwan’s machinery industry. During good times, billions of dollars of annual output is created. During challenging times such as the SARS epidemic in 2003, the 2008 financial crisis and now COVID-19, PMC adheres to the spirit of ""craftsmanship"".","2"
"https://tairos.chanchao.com.tw/en/VisitorExhibitor/Detail?regNo=220784","https://www.chanchao.com.tw/exhibitorservicefiles/logo/268745_220784_B.webp","CC-LINK PARTNER ASSOCIATION","10
                          Product(s)","Area:","Nangang Exhibition Hall 1","Country:","Taiwan","Booth No:","M820","CC-Link Partner Association has developed CC-Link IE TSN, the world's first open industrial network utilizes Time-Sensitive Networking (TSN) technology, which is an extension of standard Ethernet, to accelerate the construction of smart factories utilizing IoT.
In response to increasingly diverse market demands in the manufacturing field, we will provide a variety of development methods and develop a truly open industrial network on a global scale.","0"
"https://tairos.chanchao.com.tw/en/VisitorExhibitor/Detail?regNo=221430","https://www.chanchao.com.tw/exhibitorservicefiles/logo/214217_B.png","MOEA INDUSTRIAL APPLICATION PAVILION","","Area:","Nangang Exhibition Hall 1","Country:","Taiwan","Booth No:","M634","MOEA Industrial Application Pavilion showcases Taiwan's smart robotics capabilities through three application scenarios: healthcare, daily living, and food service. The pavilion highlights Taiwan's strengths in key components, AI technologies, system integration, and real-world applications. Through immersive exhibits, visitors can experience how smart robots improve productivity, service quality, and everyday life while demonstrating Taiwan's innovation in smart robotics.","5"
"https://tairos.chanchao.com.tw/en/VisitorExhibitor/Detail?regNo=221503","https://www.chanchao.com.tw/exhibitorservicefiles/logo/282148_B.jpg","MECHATROLINK MEMBERS ASSOCIATION","","Area:","Nangang Exhibition Hall 1","Country:","Japan","Booth No:","M406","","0"
"https://tairos.chanchao.com.tw/en/VisitorExhibitor/Detail?regNo=213419","https://www.chanchao.com.tw/exhibitorservicefiles/logo/113844_213419_B.jpg","KENMEC MECHANICAL ENGINEERING CO., LTD.","","Area:","Nangang Exhibition Hall 1","Country:","Taiwan","Booth No:","N814","Kenmec structured around five major business units, showcases new-generation intelligent logistics, semiconductor AMHS, public infrastructure such as airports and rail projects, AI Omniverse, and a diverse range of humanoid robots as its core highlights. By integrating AI-driven autonomous automation solutions, the company introduces a new era of innovation.","10"
"https://tairos.chanchao.com.tw/en/VisitorExhibitor/Detail?regNo=219722","https://www.chanchao.com.tw/exhibitorservicefiles/logo/262745_B.jpg","NACHI TAIWAN CO., LTD.","","Area:","Nangang Exhibition Hall 1","Country:","Taiwan","Booth No:","N614","Global leading brand of robotic field 
Taiwan Technology Center
Sales and service integration
Resident technical service in Taiwan with original factory members
It is highly praised by various industries.","3"
"https://tairos.chanchao.com.tw/en/VisitorExhibitor/Detail?regNo=219723","https://www.chanchao.com.tw/exhibitorservicefiles/logo/130058_219723_B.jpg","TAIWAN FANUC CORPORATION","3
                          Product(s)","Area:","Nangang Exhibition Hall 1","Country:","Taiwan","Booth No:","L618","Since 1955, FANUC has been dedicated to factory automation through technologies of NCs, servos, and lasers.
Base on these technologies, FANUC has expanded into three fields: Factory Automation (FA), Robots, and ROBOMACHINE.
This year, FANUC supports open platform across three key pillars, accelerating the realization of Physical AI using robots for developers and researchers worldwide.
FANUC also provides maintenance services, contributing to manufacturing through automation and efficiency.","8"
"https://tairos.chanchao.com.tw/en/VisitorExhibitor/Detail?regNo=220912","https://www.chanchao.com.tw/exhibitorservicefiles/logo/214217_220912_B.jpg","MOEA INNOVATION TECH HUB","","Area:","Nangang Exhibition Hall 1","Country:","Taiwan","Booth No:","L818","Supported by the Ministry of Economic Affairs (MOEA) through its technology programs, the 2026 Taiwan Automation Intelligence and Robot Show is putting a massive spotlight on the future of robotics. Co-hosted by ITRI and PMC, this year's event centers around three major themes: biomimetic AI robots, industrial robots, and service robots. It’s basically a massive showcase of the government and research institutes’ latest breakthroughs in collaborative smart manufacturing.","6"
"https://tairos.chanchao.com.tw/en/VisitorExhibitor/Detail?regNo=219724","https://www.chanchao.com.tw/exhibitorservicefiles/logo/110259_219724_B.jpg","CENTURY TRADING CORPORATION","5
                          Product(s)","Area:","Nangang Exhibition Hall 1","Country:","Taiwan","Booth No:","L608","Founded in 1973, Century Trading Co., Ltd. specializes in CNC machine tools, injection molding machines, industrial robots, and automation solutions. Guided by our Solution • Integration • Service philosophy, we deliver complete One-Stop Solutions to help manufacturers enhance productivity, accelerate smart manufacturing, and improve competitiveness through advanced robotic automation and professional technical support.","4"
"https://tairos.chanchao.com.tw/en/VisitorExhibitor/Detail?regNo=213449","https://www.chanchao.com.tw/exhibitorservicefiles/logo/249338_213449_B.jpg","KUANG YI TECHNOLOGY CO., LTD.","10
                          Product(s)","Area:","Nangang Exhibition Hall 1","Country:","Taiwan","Booth No:","N414","Kuang Yi Technology is a professional distributor of precision components for the high-tech automation industry, representing leading global and domestic brands. We provide critical components and Integrated Solutions. 
With our service stations in Taipei and Tainan, we provide professional technical consultation as well as excellent pre- and post-sale services.

Brands: ORIENTAL MOTOR, SURUGA SEIKI, KURASHIKI KAKO, THK PRECISION, SONIC, NSK, TOYO NANO SYSTEM, ABB, COSEL.","4"
