"Result_name__C4oKM","Result_corner__L45bd"
"+1F","Merchandise Sales Area"
"13AM Games","Business Meeting Area"
"1939 Games","Business Meeting Area"
"2 Wedges","Indie Game Area"
"25 Monkey Games","Indie Game Area"
"2itz Studio","Business Solution Area"
"2P Games","Business Meeting Area"
"34BIGTHINGS","General Exhibition Area"
"373 STUDIO","Indie Game Area"
"4Gamer.net","General Exhibition Area"
"4th May Games","Business Meeting Area"
"4th May Games","Smartphone Game Area"
"7shot","Business Solution Area"
"A Shell in the Pit Audio","Business Meeting Area"
"A.O.M.","Business Solution Area"
"A1M","Business Meeting Area"
"AB ARK","General Exhibition Area"
"About Digital","General Exhibition Area"
"ACADEVI","Business Meeting Area"
"Acarino Games","SELECTED INDIE 80"
"Accent Games","Indie Game Area"
"ACGames","General Exhibition Area"
"ACIF-CCIM","General Exhibition Area"
"Ad-Virtua","Business Solution Area"
"Ad-Virtua","Business Meeting Area"
"ADIA Studios","Business Solution Area"
"ADISOFT GAMING","General Exhibition Area"
"adjoe Playtime","Business Solution Area"
"Adobe","AI Technology Pavilion"
"Adrea","Business Meeting Area"
"AFALLON","Indie Game Area"
"AHIRU","Business Solution Area"
"AI PikattoAnime","Merchandise Sales Area"
"AIC (Advance Initiative)","Business Meeting Area"
"Aichi Institute of Technology","Game Academy Area"
"Aichi University of Technology","Game Academy Area"
"AIMWIZ","Gaming Lifestyle Area"
"Aion Interactive","General Exhibition Area"
"AIQVE ONE","Business Solution Area"
"AIQVE ONE","General Exhibition Area"
"Aiuto","Gaming Hardware Area"
"Akademeia 21st Century (Nagoya Designer Academy / Fukuoka Designer Academy)","Online Exhibition"
"Akatsuki Taiwan","Business Solution Area"
"Akyoma Studio","Indie Game Area"
"Alaya Lab","General Exhibition Area"
"Algoin Tech","General Exhibition Area"
"Alliance & FnaticGear & Team Liquid & Virtus.pro(ASK)","Merchandise Sales Area"
"ALLONE","General Exhibition Area"
"Almedia","Business Solution Area"
"Alpha CRC","Business Solution Area"
"ALRERNONPRODUCT","Merchandise Sales Area"
"Amazon Web Services Japan","Business Meeting Area"
"AMBER GAMES","Indie Game Area"
"An Otter Team","Indie Game Area"
"Anabuki Business College at Fukuyama","Game Academy Area"
"Anarch Entertainment","Indie Game Area"
"aNCHOR","General Exhibition Area"
"Anchor Node","AI Technology Pavilion"
"AndGAMER ( Void Gaming&AIM1 )","Gaming Hardware Area"
"Animatrik Film Design","Business Meeting Area"
"Aniplex","General Exhibition Area"
"Antelus Games","General Exhibition Area"
"Antidote","Business Meeting Area"
"Antstream Arcade","Business Meeting Area"
"Aoca Game Lab","Indie Game Area"
"Aoi Industries","Business Solution Area"
"AORUS","General Exhibition Area"
