booth_no,exhibitor_name,notes
C101,凯富博科,
C102,极创,
C103,纽格尔,OCR uncertain; appears as 纽格尔/纽诺尔
C104,国兴智能,
C105,申昊科技,
C106,中安吉泰,
C107,煜禾森,
C108,智易时代,
C109,曼大智能,
C110,捷杰西,
C111,凌天,
C112,博涛,
C113,智易科技,OCR uncertain; small text
C114,锐识科技,OCR uncertain; small text
C115,恒之未来,
C201,中信重工,
C202,国家农业智能装备工程技术研究中心,
C203,汉王科技,
C204,智澄,
C205,可安可,
C206,狄兹精密,
C207,何泰威自动化,
C301,赛博格,
C302,数字华夏,
C303,杭州人形中心,
C304,农业机器人,
C305,清宝智能,
C306,云幕,
C307,中坚科技,
C308,具微科技,Booth number inferred from sequence; OCR saw C306/C308
C309,成都人形机器人创新中心,
C310,亦庄机器人公司,
C401,京城机电,
C402,睿研,
C403,灵巧智能,
C404,中科硅纪,
C405,中科院自动化所,
C406,灵心巧手,
C407,因时,
C408,傲意科技,
C409,三丰智能,
C411,金刚,
C412,鸣志,
C413,鼎智科技,
C414,正元电机,
C415,米思米,
C416,显和电机,
C501,灵初智能,
C502,曦诺,
C503,逸见科技,OCR uncertain; appears as 逸见/造见科技
C504,无论科技,OCR uncertain; small text
C505,鸿元,
C506,南方精工,
C507,希西维,
C508,柯力传感,
C509,强脑科技,
C510,兆威机电,
C511,HBK,
C512,宇立,
C513,绿的谐波,
C514,Maxon,
C515,诺仕,
C516,福尔哈贝,
C517,卓誉,
C518,诺盛测控,
C519,丰立智能,
C520,贝丰,
C601,仙山科技,
C602,禾赛,
C603,祥明智能,
C604,思岚,
C605,蓝点触控,
C606,艾迈斯,
C607,达妙,
C608,锐驰智光,
C609,科盟,
C610,鑫精诚,
C611,速腾聚创,
C612,汉威科技,
C613,福瑞博,
C614,海德汉,
C615,步科,
C616,意优,
C617,Igus,
C618,希磁科技,
C619,亿纬锂能,
C620,格瑞普,
