"image-container href","img-responsive src","exhibitor-name","exhibitor-info href","wrap-word","title-in-exhibitor-summary","brands href","wrap-word 2","text-left","pps-tags","pps-tags href","main-stand-holder-name-prefix","main-stand-holder-name","main-stand-holder-name href"
"https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.21century%20co%20ltd.org-87602fe8-8cd9-4d94-8328-819e3bfaa21a.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-b32eb253-9ee3-4f33-b496-a09f9a685035/desktop-small/27f363c6-f7d8-4c2a-9aad-0d5a0da2e936.png","21CENTURY Co., Ltd.","https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.21century%20co%20ltd.org-87602fe8-8cd9-4d94-8328-819e3bfaa21a.html","21st Century Co., Ltd.
Celebrating 30 years of excellence in ultra-precision laser processing.
PCD Cutting Tools: World's first PCD chip breaker for automotive & aerospace efficiency.
MLCC Solutions: Precision Vacuum Plates with micro-hole technology for ultra-small components.
Custom Manufacturing: High-precision carbide cutters, molds, and ceramic parts.
Innovation: Advanced R&D focused on extending part lifespan and performance.","Brands","https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.21century%20co%20ltd.org-87602fe8-8cd9-4d94-8328-819e3bfaa21a.html","自社加工品, 自社加工Vacuum Plate","Categories","Cutting, Pressing, Sheet Metal, Laser Processing, Polishing, Surface Finishing, South Korea","https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.21century%20co%20ltd.org-87602fe8-8cd9-4d94-8328-819e3bfaa21a.html","Stand shared with","GBSA (Gyeonggido Business & Science Accelerator)","https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.org-ca797f22-73d1-4f27-9c94-63d430ed363b.html"
"https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.a-safe%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE.org-0871a109-6f95-42a6-9db1-bdf35b913b7f.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-e02bcaaf-f009-4eb2-a80c-f4ba0b88e58a/desktop-small/11cb9b52-74c0-4a13-839f-3485d32b1efa.png","A-SAFE株式会社","https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.a-safe%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE.org-0871a109-6f95-42a6-9db1-bdf35b913b7f.html","Founded in 1984 and headquartered in the UK, A-SAFE invented the world’s first industrial-strength polymer safety barrier. Today, it provides cutting-edge safety systems to major global brands like Amazon, Coca-Cola, BMW, and Unilever. Key Advantages of A-SAFE: Advanced Polymer Barriers, Safety Compliance, Sustainability, Cost Efficiency, Global Reach and Smart Safety Technology.","Brands","https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.a-safe%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE.org-0871a109-6f95-42a6-9db1-bdf35b913b7f.html","A-SAFE","Categories","Factory Facilities & Equipment, Nara, Europe and America","https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.a-safe%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE.org-0871a109-6f95-42a6-9db1-bdf35b913b7f.html","","",""
"https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.adlee%20powertronic%20co%20ltd.org-4a90bb6d-ea62-4c9c-847d-14b43eddf2e5.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-aa6b24d5-bc74-4c41-ab06-494d54910d3c/desktop-small/76ce993a-09e9-43d2-81b8-966615beb8b2.jpg","ADLEE POWERTRONIC CO., LTD.","https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.adlee%20powertronic%20co%20ltd.org-4a90bb6d-ea62-4c9c-847d-14b43eddf2e5.html","ADLEE POWERTRONIC CO., LTD. was established in 1974. Expert in Manufacturing Electrical & Electronic Products.
ADLEE has the ISO-9001 quality system to support our business. We continue to introduce and provide new, innovative and international standard products to meet worldwide client's satisfaction and various applications.
ADLEE's quality policy: Responsibility, Standardization and High effectiveness.","Brands","https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.adlee%20powertronic%20co%20ltd.org-4a90bb6d-ea62-4c9c-847d-14b43eddf2e5.html","ADLEEPOWER","","","","","",""
"https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.al%20forge%20tech%20co%20ltd.org-91c82aee-4be8-4460-b00d-89df97e41b9e.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-864eb49b-3e26-4c66-9944-cd257fee987a/desktop-small/e729eaf6-15ec-43a1-99a1-72b6a55cb09c.jpg","AL FORGE TECH. CO., LTD.","https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.al%20forge%20tech%20co%20ltd.org-91c82aee-4be8-4460-b00d-89df97e41b9e.html","ALフォージテック株式会社：従業員数は300名で、IATF 16949を取得しており、弊社は、アルミニウム合金鍛造の豊富な専門知識、設計およびエンジニアリングの専門知識、製造能力を備えており、台湾有数の鍛造メーカーの一つとなっています。 弊社は、アルミニウム合金の材料特性、金型設計、工程設計、アルミニウム合金熱処理などのキーテクノロジーを中心に、さまざまな高性能、重要、安全部品の製造において30年以上の経験を持ち、コンセプトから製品設計、エンジニアリング、製造、テスト、検証までの全方位のサービスを提供しております。","Brands","https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.al%20forge%20tech%20co%20ltd.org-91c82aee-4be8-4460-b00d-89df97e41b9e.html","YAMAHA, FORD, RIVIAN, TESLA, DUCATI, KTM, HARLEY DAVIDSON","","","","Stand shared with","TAIWAN MOLD & DIE INDUSTRY ASSOCIATION","https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.org-3f0a2c92-6ba4-4e84-9530-22590b8d1925.html"
"https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.american%20precision%20assemblers%20inc.org-a7ce52dc-80f0-42ee-8df2-f52e2d148d67.html","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHYAAAB2CAYAAAAdp2cRAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAAHYYAAB2GAV2iE4EAAAQNSURBVHhe7d07S+xAAMXxubdSSytFsPYLWFjZCVa2tn4yW1sRFMQHVooPsPJd+UDxBVqoqLhyZkeueneTzXvm5PwgmGTT5P5JMjvXdf+8vr42jND5634KGYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpKq7NN2T09PZmtry1xeXprn52e3l1N3d7fp7+83w8PDpqenx+0tViVhEXV2dta8vLy4PfXQ1dVlJiYmSolbya0YV2rdogLOGedehkrC4vZbV2WdeyW34unpabfWNDU15dY4VXG+GhWTUlhSCktKYWMcHByYxcVFMzMzYxesY5/vFLYNvNdeWFgw6+vr5uLiwk6iYME69uE1HOMrhW1jbW3NXF1dua3/4TUc4yuFbQG32qioX3CMr7dlhW3h9PTUrcVLcmyZFLaF+/t7txYvybFlUlhSCttCb2+vW4uX5Ngy0YQ9OzszR0dHbiubwcFBtxYvybFlogj78fFhNjc37fvLm5sbtze9oaEh09fX57bawzE41kcUYff29szj46MNvLy8nMvEwejoaGRcvIZjfBV8WMwG7e7uuq3m9srKio2cBX7LYXx83IyMjJiBgQH76y1YsI59eK2sX3NJI/iw29vb5u3tzW014Xa8sbHhtrLBrXZsbMxMTk7aBeu+3n6/CzosAp6cnLitnw4PD3MbTIUo6LBxV2Veg6kQBRv2+PjY3N7euq3W8hxMhSbIsHim7uzsuK1oeQ2mOtFoNHJ7tmcVZFiMghGsU3kOptp5f3+3d4f9/X23p1rBhX14eLDvW5MqcjCFW/38/Lyd/fJFcGExw5T2tlrEYOru7s7Mzc3Znz4JKuz5+bld0sp7MIUrFFeqj4OzYMIiCq7WrPBsXl1dzTyYwrN0aWnJPlt9FExYPFfxfM3D9fV16sHU18jXl9FvO0GE/T0fnIc0gynfRr5RggiL96y/54PzkGQw5ePIN4r3YfEPj1mmInQ6mPJ15BvF+7BFP8viBlM+j3yjeB22k/ngPLQbTOFZiiva15FvFG/DJpkPzgMGU/gc6/cFsTEKDpG3YZPOB8tPXoZNOx8s/3gZNst8sDR5GTbLfLA0efuMlWwUlpTCklJYUgpLSmFJKSwp/S3FElRxvrpiSSksKYUlVckzFn+TsK7/JYcPT+NztkWr5IrFFx/UVVnnXklYfJsFvvigbnDOOPcy6OtZSlCbr2eR4mlUTEphSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwpJSWFIKS0phSSksKYUlpbCkFJaUwlIy5hOOnhfbV4xb3wAAAABJRU5ErkJggg==","American Precision Assemblers, Inc.","","","","","","","","","Stand shared with","米国イリノイ州政府駐日事務所","https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.org-2c4c6c01-6487-495b-bb6a-72c6f207474a.html"
"https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.analog%20devices%20inc.org-182e4561-5c2c-4d88-b4d2-b2d8fac0a094.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-7c7d4805-8a9e-4d19-8fb0-ba2da9e94222/desktop-small/8a83ab89-fc57-4ca4-bcc8-d23a86a907e3.png","Analog Devices, Inc.","https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.analog%20devices%20inc.org-182e4561-5c2c-4d88-b4d2-b2d8fac0a094.html","アナログ・デバイセズ株式会社は、米Analog Devices, Inc.の日本法人で、アナログICやミックスド・シグナルIC、DSP、MEMSセンサーなどの半導体製品を開発・製造・販売しています。産業機器、自動車、通信、医療など多様な分野に向けて高性能な信号処理技術を提供し、デジタル化や環境課題の解決にも貢献しています。","","","","Categories","Predictive Maintenance/Maintenance DX","https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.analog%20devices%20inc.org-182e4561-5c2c-4d88-b4d2-b2d8fac0a094.html","Stand shared with","MACNICA Inc.","https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.org-27ca7800-bbca-42b8-b876-956993b88ff0.html"
"https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.aomi%20precision%20coltd.org-2707fa1f-2c07-4803-8c77-cb82669ef790.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-7a7eb04e-2103-4ee5-a406-7fe6de23dd29/desktop-small/3dd0b3b7-fe7d-4429-9c0d-c8100b6a969b.jpg","Aomi Precision Co.,Ltd.","https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.aomi%20precision%20coltd.org-2707fa1f-2c07-4803-8c77-cb82669ef790.html","We have actively challenged ourselves to solve difficult issues and actually solved a lot of cases such as achieving a strict geometric tolerance by using high-performance materials that are said to be difficult to process.Based on the processing technology that realizes a thin-walled product with the wall thickness of 0.1 mm and roundness of 0.01 or less.","","","","","","","Stand shared with","Niigata Industrial Creation Organization","https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.org-5ec830ec-1837-4ed1-8d4c-2e8fb9ecb408.html"
"https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.asahi%20keiki%20co%20ltd.org-877a15d8-37f5-4e56-ba49-9719b0d63dbc.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-847307f4-fdfb-48da-a1de-9638f2b9fad5/desktop-small/e03bb3d0-74de-4f34-9de1-c04476196836.png","Asahi Keiki Co., Ltd.","https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.asahi%20keiki%20co%20ltd.org-877a15d8-37f5-4e56-ba49-9719b0d63dbc.html","Since our founding in 1950, Asahi Keiki Co., Ltd. has been a specialized manufacturer of bimetal thermostats, fueled by a passion for ""controlling temperature and ensuring safety.""

Our mission extends beyond simple manufacturing; we are dedicated to solving the ""thermal challenges"" our customers' equipment faces. Our core strength lies in our unparalleled quality, backed by IATF 16949—the global standard for automotive quality management systems. By implementing these rigorous standards across our entire organization, our products have become the trusted choice for applications demanding extr","Brands","https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.asahi%20keiki%20co%20ltd.org-877a15d8-37f5-4e56-ba49-9719b0d63dbc.html","バイメタルサーモスタット（スナッパー）","Categories","Mechanical Parts, Sensors, Fukushima, Tokyo, Aichi, Osaka, North China, Others","https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.asahi%20keiki%20co%20ltd.org-877a15d8-37f5-4e56-ba49-9719b0d63dbc.html","Stand shared with","公益財団法人福島県産業振興センター","https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.org-ef941acf-fdc1-4e44-a261-ee919001580e.html"
"https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.%E6%9C%9D%E6%97%A5%E7%B2%BE%E5%AF%86%E3%82%B4%E3%83%A0%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE.org-1606ada2-8341-4bec-b73e-41402a6ca0ce.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-a3351fdc-3a2e-432a-be64-384e2c8148d6/desktop-small/fcb24857-c8f6-4ca0-8ad6-1dde6c71ce06.jpg","朝日精密ゴム株式会社","https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.%E6%9C%9D%E6%97%A5%E7%B2%BE%E5%AF%86%E3%82%B4%E3%83%A0%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE.org-1606ada2-8341-4bec-b73e-41402a6ca0ce.html","当社は、ダイアフラムをはじめとするゴムと金属・樹脂の加硫接着製品の開発・製造を主軸としています。耐圧・耐薬品・耐熱・耐寒などの使用環境に応じた材料選定と構造設計により、幅広い分野向けに複合部品を提供しています。設計提案から試作、量産まで一貫対応が可能です。流体・圧力制御分野を中心に、精密機器や産業機械など多様な用途に対応しています。また、高性能樹脂シール「FORTIS SEAL®」の販売もしており、UHMW-PE、PEEK、PTFEなど多様な材質に対応可能です。切削加工品で、金型不要のため少量試作にも柔軟に対応可能です。試作から量産までスムーズに移行できる体制により、お客様の開発効率向上とコスト最適化に貢献します。","","","","Categories","Hydraulic Equipment, Pumps, Mechanical Parts","https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.%E6%9C%9D%E6%97%A5%E7%B2%BE%E5%AF%86%E3%82%B4%E3%83%A0%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE.org-1606ada2-8341-4bec-b73e-41402a6ca0ce.html","","",""
"https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.ashin%20unitech%20inc.org-c8a00cf0-fd2b-4d24-b902-d80dc89836e9.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-ecfaeeb5-6770-403a-9c3a-ee62b6989840/desktop-small/cb21b453-2de3-4002-8efe-4730a86ecb6d.jpg","ASHIN UNITECH INC.","https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.ashin%20unitech%20inc.org-c8a00cf0-fd2b-4d24-b902-d80dc89836e9.html","亜信ユニテック株式会社は、自動車変속기、電気自動車(EV)、水素車、ドローンおよび航空宇宙分野の精密部品を専門に生産しています。

【当社の強み】

高度な品質管理: IATF 16949、ISO 14001、KS Q 9100(航空宇宙)認証を保有しています。

革新적인 製造システム: 2025年にレベル3段階のスマート工場を構築し、生産性の向上と完璧なトレーサビリティを実現しました。

R&D競争力: の特許を保有する自社R&Dセンターを運営し、高度な技術対応が可能です。

年間売上高約1,500万ドルの安定した生産能力を基に、日本市場のパートナー様へ最適な精密加工ソリューションを提供いたします","Brands","https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.ashin%20unitech%20inc.org-c8a00cf0-fd2b-4d24-b902-d80dc89836e9.html","Precision Machining Parts, EV & Hydrogen Vehicle Components, Aerospace Parts, Semiconductor Equipment Parts","Categories","Gears, Transmissions, South Korea","https://www.manufacturing-world.jp/tokyo/en-gb/search/2026mto0701/directory/directory-details.ashin%20unitech%20inc.org-c8a00cf0-fd2b-4d24-b902-d80dc89836e9.html","","",""
