"image-container href","img-responsive src","exhibitor-name","exhibitor-info href","wrap-word","directory-stand 2","title-in-exhibitor-summary","brands href","wrap-word 2","text-left","pps-tags","pps-tags href"
"https://www.assemblytechexpo.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.alian%20technology%20co%20ltd.org-1f89fbbf-bbad-4c76-aa55-c8f8d468a52c.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-69895c65-0004-4fca-9937-e138ac6d9a21/desktop-small/16453089-bdf0-441a-a99a-49b146f6ae2f.jpg","ALIAN TECHNOLOGY CO., LTD.","https://www.assemblytechexpo.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.alian%20technology%20co%20ltd.org-1f89fbbf-bbad-4c76-aa55-c8f8d468a52c.html","Alien Technology Co., Ltd. is a full-service digital marketing and technology provider specializing in helping Thai factories and manufacturers effectively expand their business into international markets. We are your trusted partner in transforming your business into the digital age.","8Z15A","","","","","",""
"https://www.assemblytechexpo.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.alpha%20contromatic%20co%20ltd.org-06c58c64-1dcb-4048-a7e9-e5000e4ac848.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-cda1b896-4bee-4be6-b2e9-58c9675534dd/desktop-small/4ef2fb08-e0c0-4102-923e-13283bdb5bb8.png","ALPHA CONTROMATIC CO., LTD.","https://www.assemblytechexpo.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.alpha%20contromatic%20co%20ltd.org-06c58c64-1dcb-4048-a7e9-e5000e4ac848.html","With over 40 years of experience in both Process Automation (PA) and Factory Automation (FA), Alpha Controlmatic Co., Ltd. is a trusted specialist in Fluid Control and Motion Technology. We provide high-quality products, system design, troubleshooting, and professional consultation tailored to each industry and application. Guided by expertise, flexibility, and responsive customer service, we are committed to delivering reliable solutions that help customers improve productivity, increase operational efficiency, and achieve sustainable business success.","9A32","Brands","https://www.assemblytechexpo.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.alpha%20contromatic%20co%20ltd.org-06c58c64-1dcb-4048-a7e9-e5000e4ac848.html","Burkert, Origa, Parker, Schaeffler, Goyen, Valbia, Aventics&Numatics","Categories","Control System , Energy Efficiency Technologies, FA Equipment & Solutions, Sensors & Safety Components, Actuators, Pneumatic System, Linear Motion, Collaborative Robots, Distributor/Agent/Importer/Trader/Wholesaler/Retailer, Chemical, Food & Beverage Processing, Machine Building, Plastic & Rubber, System Integrators (Robotics & Automation), Cosmetics","https://www.assemblytechexpo.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.alpha%20contromatic%20co%20ltd.org-06c58c64-1dcb-4048-a7e9-e5000e4ac848.html"
"https://www.assemblytechexpo.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.ats%20applied%20tech%20systems%20thailand%20limited.org-535734d2-ee8b-42cf-9c93-d02c93567029.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-247e89bd-5872-4e0c-b40a-aeeb10d1c945/desktop-small/9cea867d-7f17-41c7-b659-f35f81d9a3cb.png","ATS APPLIED TECH SYSTEMS (THAILAND) LIMITED","https://www.assemblytechexpo.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.ats%20applied%20tech%20systems%20thailand%20limited.org-535734d2-ee8b-42cf-9c93-d02c93567029.html","ATS Global is a leading provider of smart manufacturing solutions, specializing in automation, digitalization, and quality management. We empower industries worldwide to optimize production processes, enhance efficiency, and achieve operational excellence through our innovative technologies and services.","8H18","Brands","https://www.assemblytechexpo.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.ats%20applied%20tech%20systems%20thailand%20limited.org-535734d2-ee8b-42cf-9c93-d02c93567029.html","Smart Digital Transformation","","",""
"https://www.assemblytechexpo.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.auer%20signal%20gmbh.org-6c75d647-75ef-4690-a343-e0108ee07f82.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-255f44be-4cc6-4663-bb51-c5b03696bcc4/desktop-small/824af1af-18a1-4bb2-a518-e37c96ce3228.png","AUER SIGNAL GMBH","https://www.assemblytechexpo.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.auer%20signal%20gmbh.org-6c75d647-75ef-4690-a343-e0108ee07f82.html","Auer Signal is a global manufacturer of high-quality signaling devices for industrial applications. We combine decades of engineering expertise with a forward-thinking approach to develop reliable and durable solutions. Our portfolio ranges from visual and audible signaling devices to smart signaling solutions tailored for modern manufacturing. Designed for demanding environments, our products support efficient processes and clear status communication across industries.","8J17","Brands","https://www.assemblytechexpo.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.auer%20signal%20gmbh.org-6c75d647-75ef-4690-a343-e0108ee07f82.html","Auer Signal","Categories","OTHERS, Manufacturer (Brand Owner), Building & Construction, Chemical, Electrical & Electronics, Logistics, Machine Building, Packaging","https://www.assemblytechexpo.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.auer%20signal%20gmbh.org-6c75d647-75ef-4690-a343-e0108ee07f82.html"
"https://www.assemblytechexpo.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.bangkok%20system%20technology%20co%20ltd.org-3e2e1a2a-06d9-4d11-aaea-4044a3bf0e6f.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-5fa585e1-4cd5-49a5-915e-f90cb3864ab6/desktop-small/80073c50-dccc-4e28-a6c7-1b5d79164a7a.jpg","BANGKOK SYSTEM TECHNOLOGY CO., LTD.","https://www.assemblytechexpo.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.bangkok%20system%20technology%20co%20ltd.org-3e2e1a2a-06d9-4d11-aaea-4044a3bf0e6f.html","Our company for the Machine Vision System and Automation Smart Delivery robot.","8M02","Brands","https://www.assemblytechexpo.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.bangkok%20system%20technology%20co%20ltd.org-3e2e1a2a-06d9-4d11-aaea-4044a3bf0e6f.html","NuvoBot","Categories","OTHERS, Distributor/Agent/Importer/Trader/Wholesaler/Retailer","https://www.assemblytechexpo.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.bangkok%20system%20technology%20co%20ltd.org-3e2e1a2a-06d9-4d11-aaea-4044a3bf0e6f.html"
"https://www.assemblytechexpo.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.brother%20commercial%20thailand%20limited.org-24906c0c-97e8-45bd-ac53-e03a8c665779.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-014ed822-29e4-4a32-8c5e-ffd3159f300a/desktop-small/229047ff-93f4-46ec-b178-aa6aff3cebc4.png","BROTHER COMMERCIAL (THAILAND) LIMITED","https://www.assemblytechexpo.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.brother%20commercial%20thailand%20limited.org-24906c0c-97e8-45bd-ac53-e03a8c665779.html","Brother offers industrial labeling solutions designed for durability, efficiency, and automation. From laminated labels for harsh environments to the industry’s first twin-engine tube printer, our products support asset management, electrical work, and factory automation. Explore integrations with PLCs and VBA systems, and experience seamless scan-to-print workflows. Visit us to see how we can streamline your factory operations.","8J18","Brands","https://www.assemblytechexpo.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.brother%20commercial%20thailand%20limited.org-24906c0c-97e8-45bd-ac53-e03a8c665779.html","Brother","Categories","IT Solutions, Tracking System, Distributor/Agent/Importer/Trader/Wholesaler/Retailer, Automotive & Auto Parts, Electrical & Electronics, Food & Beverage Processing, Machine Building","https://www.assemblytechexpo.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.brother%20commercial%20thailand%20limited.org-24906c0c-97e8-45bd-ac53-e03a8c665779.html"
"https://www.assemblytechexpo.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.cardiff%20cable%20thailand%20co%20ltd.org-794d5e85-1485-4f9b-b2c7-39a1c81d9ae4.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-a2441f50-d301-45aa-8ee1-661f12470a4b/desktop-small/b77e8166-3ba3-404f-9588-aedac5f1da96.jpg","CARDIFF CABLE (THAILAND) CO., LTD.","https://www.assemblytechexpo.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.cardiff%20cable%20thailand%20co%20ltd.org-794d5e85-1485-4f9b-b2c7-39a1c81d9ae4.html","Cardiff Cable, Founded in 2009, Cardiff Cable is a specialized manufacturer focusing on renewable energy, energy storage, and industrial automation cable solutions.
We are certified with ISO 9001 and IATF 16949, and our products comply with international standards including CE, TÜV, UL/cUL, and RoHS.
Our main product range includes:
Photovoltaic (PV) cables
Energy storage cables
Control cables
Communication cables
Customized wiring harnesses
With manufacturing facilities in China and Thailand, we provide customers with reliable quality, fast delivery, and competitive pricing.","8K27","Brands","https://www.assemblytechexpo.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.cardiff%20cable%20thailand%20co%20ltd.org-794d5e85-1485-4f9b-b2c7-39a1c81d9ae4.html","Cardiff Cable","Categories","OTHERS, Manufacturer (Brand Owner), Automotive & Auto Parts, Electrical & Electronics, Machine Building, Medical Device, System Integrators (Robotics & Automation)","https://www.assemblytechexpo.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.cardiff%20cable%20thailand%20co%20ltd.org-794d5e85-1485-4f9b-b2c7-39a1c81d9ae4.html"
"https://www.assemblytechexpo.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.chaifu%20robot%20co%20ltd.org-94ab1268-a92a-44cf-a666-0caf77922be2.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-6f12b88c-c8c3-4571-b5c8-aa349e63e8bf/desktop-small/d67a5eac-8774-4731-99fd-9549636208fe.png","CHAIFU ROBOT CO., LTD.","https://www.assemblytechexpo.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.chaifu%20robot%20co%20ltd.org-94ab1268-a92a-44cf-a666-0caf77922be2.html","Chaifu Robot is a leading Chinese industrial robotics firm with full industrial chain R&D and manufacturing capacity. We independently develop high-precision core components—RV reducers, servo motors and drives—breaking foreign monopolies. Our reducers feature a failure rate below 0.1% and outperform some imported products.
We offer industrial robots covering 6kg to 6000kg payloads for welding, stamping, handling, palletizing and heavy-duty tasks. We build robot control systems from Linux source code with strong customization.","8D12","Brands","https://www.assemblytechexpo.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.chaifu%20robot%20co%20ltd.org-94ab1268-a92a-44cf-a666-0caf77922be2.html","CHAIFU ROBOT","Categories","Articulated Robots, Manufacturer (Brand Owner), Automotive & Auto Parts, Building & Construction, Logistics, Packaging, System Integrators (Robotics & Automation)","https://www.assemblytechexpo.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.chaifu%20robot%20co%20ltd.org-94ab1268-a92a-44cf-a666-0caf77922be2.html"
"https://www.assemblytechexpo.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.changzhou%20chuanglian%20power%20supply%20technology%20corporation.org-491a8609-454b-41a7-94a3-965e544e4b37.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-1a477d55-cb4f-49bd-813e-f3b1b8f5a6a9/desktop-small/e3f33ada-e926-4e7e-b460-9c89c1783eb3.jpg","CHANGZHOU CHUANGLIAN POWER SUPPLY TECHNOLOGY CORPORATION","https://www.assemblytechexpo.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.changzhou%20chuanglian%20power%20supply%20technology%20corporation.org-491a8609-454b-41a7-94a3-965e544e4b37.html","Changzhou Chuanglian Power Supply technology corporation was established in March of 2000,  We are one of the three major standard switching power supply manufac turers in China.
Our main business: industrial control power supply, LED display power supply and lighting power supply We dedicate to providing comprehensive switching power supply solutions and high-quality services for customers in the fields of industrial automation and control systems, new energy,  3D printing, electronic production equipment, LED display screens,lighting and other areas.","9A17","Brands","https://www.assemblytechexpo.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.changzhou%20chuanglian%20power%20supply%20technology%20corporation.org-491a8609-454b-41a7-94a3-965e544e4b37.html","trelin创联电源","Categories","Inverter/ Converter, Manufacturer (Brand Owner), System Integrators (Robotics & Automation)","https://www.assemblytechexpo.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.changzhou%20chuanglian%20power%20supply%20technology%20corporation.org-491a8609-454b-41a7-94a3-965e544e4b37.html"
"https://www.assemblytechexpo.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.changzhou%20duowei%20electric%20co%20ltd.org-b8780891-effe-41b4-825a-ee00af353a76.html","https://pub-mediabox-storage.rxweb-prd.com/exhibitor/logo/exh-ca72700d-af83-401b-8401-8dd0cd76abe5/desktop-small/e859c5b0-6896-4e68-a37b-abfa4b22a4d1.jpg","CHANGZHOU DUOWEI ELECTRIC CO., LTD.","https://www.assemblytechexpo.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.changzhou%20duowei%20electric%20co%20ltd.org-b8780891-effe-41b4-825a-ee00af353a76.html","Dowei Electric (China & Thailand)
With over 20 years of expertise in micro-motor R&D and manufacturing, we offer a wide range of motors including DC Brushed/Brushless, Gear, Linear, and PMSM motors.
Applications: Automatic doors, lawn mowers, precision instruments, high-end equipment, intelligent robots, new energy vehicles, pool robots, industrial control, electric actuators, medical devices, and robotic vacuum cleaners.
Certifications: UL, 3C, CE | ISO9001, ISO14001, ISO45001, IATF16949.
Global Reach: Over 90% export rate. We provide tailored solutions to customers worldwide.","8F23","","","","Categories","Motors & Drives Technologies, Manufacturer (Brand Owner), Agriculture, Automotive & Auto Parts, Electrical & Electronics, Machine Building, Medical Device, System Integrators (Robotics & Automation)","https://www.assemblytechexpo.com/en-gb/for-visitors/search-for-exhibitors/exhibitor-profile.changzhou%20duowei%20electric%20co%20ltd.org-b8780891-effe-41b4-825a-ee00af353a76.html"
