"Project No.*
(Location)","Services Contracts
Type",Contract Title,"Month of
Award","Awarded
Contract Sum","Successful
Tenderer"
-,Legal Services,"Legal Services for Setting Up of the
Prequalification Mechanism for
Consultants and Contractors, and
Enhanced Smart Tender Services","April
2026",M2,"Wilkinson &
Grist"
-,"Quantity
Surveying
Services","Quantity Surveying Consultancy
Services for Revision of Standard Forms
of Contract","April
2026",M1,"Rider Levett
Bucknall
Limited"
-,"Recruitment
Services",Executive Recruitment Assignment,"April
2026",M2,"KOS
International
Limited"
-,"Recruitment
Services",Executive Recruitment Assignment,"April
2026",M1,"Randstad Hong
Kong Limited"
-,"Recruitment
Services",Executive Recruitment Assignment,"April
2026",M1,"Rise Associates
Asia Limited"
-,Security Services,"Guard Services for the Head Office of
the Urban Renewal Authority and Other
Areas","April
2026",M2,"Securitas
Security
Services (Hong
Kong) Limited"
-,"Traffic
Consultancy
Services","Term Traffic Study and Assessment
Consultancy Services","April
2026",M2,"AtkinsRealis
Asia Limited"
-,"Traffic
Consultancy
Services","Term Traffic Study and Assessment
Consultancy Services","April
2026",M1,"Aurecon Hong
Kong Limited"
-,"Traffic
Consultancy
Services","Term Traffic Study and Assessment
Consultancy Services","April
2026",M2,"MVA Hong
Kong Limited"
TKO 137,"Comprehensive
Consultancy
Services","Comprehensive Consultancy Services for
Site PU 1 & 2 of Project TKO 137 -
Tseung Kwan O Area 137","April
2026",M4,"LWK +
ROCCO JOINT
VENTURE"
-,"Clerical and
Administrative
Services",Supporting Services,"April
2026",M4,"Advance
Resources
Personnel
Consultants
Limited"
-,"Clerical,
Administrative
and Consultancy
Services",Supporting and Consultancy Services,"March
2026",M2,"Beria
Consultants
Limited"
-,"Media Production
Services","Two-Year Term Contract for Video
Shooting and Production Services","March
2026",M2,"Pigture
Creations
Limited"
-,Dental Services,Group Dental Benefits Scheme,"March
2026",M1,"UMP
Professional
Management
Limited"
-,"Building
Surveying
Services","Building Surveying Consultancy
Services for Building Maintenance Grant
Scheme for Needy Owners","March
2026",M4,"KC Surveyors
Limited"
-,"Building
Surveying
Services","Building Surveying Consultancy
Services for Building Maintenance Grant
Scheme for Needy Owners","March
2026",M4,"Prudential
Surveyors
International
Limited"
KC-015,"Landscape
Architectural
Consultancy
Services","Landscape Architectural Consultancy
Services for Project KC-015 - Kai Tak
Road/ Sa Po Road","March
2026",M1,"Stephen Lai
Studio Limited"
-,"General Practice
Surveying
Services","Consultancy Services for Financial
Assessments of Projects and Asset
Valuations","February
2026",M1,"Jones Lang
LaSalle Limited"
