"qR3Oj6 src","wixui-rich-text__text","wixui-rich-text__text 2","wixui-rich-text__text 3","PoVCDy href","wixGuard"
"https://static.wixstatic.com/media/00bc10_98525e27f8e1414a8bb7634d991f250f~mv2.png/v1/fill/w_253,h_140,al_c,lg_1,q_85,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_ADH%20XR%20LIMITED.png","ADH XR LIMITED","極專注有限公司","J35","https://www.questxr.ai/",""
"https://static.wixstatic.com/media/00bc10_7ad46d59d10c45d6829e7890959bc5ee~mv2.png/v1/fill/w_253,h_140,al_c,lg_1,q_85,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_AIX%20SOCIETY.png","AIX SOCIETY","人工智能應用研究學會","H35","https://www.aixsociety.com/",""
"https://static.wixstatic.com/media/00bc10_ba50eae347004ef1802493f6cb600916~mv2.png/v1/fill/w_253,h_140,al_c,lg_1,q_85,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_AKMII%20INFORMATION%20LIMITED.png","AKMII INFORMATION LIMITED","知普信息科技有限公司","J32","https://www.yeeflow.com/",""
"https://static.wixstatic.com/media/00bc10_1e14d87ee94e48b5abdc74d09287fe4e~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_AMEO%20CONNECT%20LIMITED.png","AMEO CONNECT LIMITED","阿美奧雲有限公司","H11","https://ameo.ai/",""
"https://static.wixstatic.com/media/00bc10_37e8e9f5863d433cbb28d514caf92f1d~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_ANIMO%20TECHNOLOGY%20LIMITED.png","ANIMO TECHNOLOGY LIMITED","D06","","https://advoo.ai/","​"
"https://static.wixstatic.com/media/00bc10_2835e5fb04c44ea0a87364115d72f2a0~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_APPLIED%20AI%20HONG%20KONG%20LIMITED.png","APPLIED AI HONG KONG LIMITED","G31","","https://aaico.com/","​"
"https://static.wixstatic.com/media/00bc10_bc4a673578c048a488e8dc03aedfee14~mv2.png/v1/fill/w_253,h_140,al_c,lg_1,q_85,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_ASTA%20SYSTEMS%20LIMITED.png","ASTA SYSTEMS LIMITED","亞軟科技有限公司","E45","https://www.astasys.com/",""
"https://static.wixstatic.com/media/00bc10_911b52d27d49496f886321c2d78c7c09~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_CANGLORY%20LIMITED.png","CANGLORY LIMITED","H21","","https://everonlearning.com/","​"
"https://static.wixstatic.com/media/00bc10_d0b2b21284244fb1ad71a38bd1378ead~mv2.jpg/v1/fill/w_336,h_186,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/Canon_DYA_COL_CMYK_1x1%20JPEG.jpg","Canon Hongkong Company Limited","佳能香港有限公司","F11","https://hk.canon/en/business",""
"https://static.wixstatic.com/media/00bc10_a6cee9c5bc6c435281ebe4d51de8def5~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_CARRYAI%20COMPANY%20LIMITED%20(1).png","CARRYAI COMPANY LIMITED","F13","","https://www.carryai.co/","​"
"https://static.wixstatic.com/media/00bc10_cfff7bf1db204fd9be6126265d0c1448~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2B%20Power%202026_Speaker_%20.png","CHAEWOORA","K58","","","​"
"https://static.wixstatic.com/media/00bc10_5742fc4faca0496c96bb3c4b68d02bbf~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_CITIC%20Telecom%20International%20CPC%20Limited.png","CITIC Telecom International CPC Limited","中信國際電訊(信息技術)有限公司","J31","https://www.citictel-cpc.com/",""
"https://static.wixstatic.com/media/00bc10_a5277551c15a4d6a9d6e989bb8649b1e~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_CODE%20FREE%20SOFT%20LIMITED.png","CODE FREE SOFT LIMITED","E12","","https://www.codefreesoft.com/","​"
"https://static.wixstatic.com/media/00bc10_882c9d951ae840a2a9a6f9299195da3d~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_COINPOST%20INC_.png","COINPOST INC.","D02","","https://coinpost.jp/","​"
"https://static.wixstatic.com/media/00bc10_3e63a60f1b4d42cca70baecf6a18b2e1~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_CONNECTAR%20LIMITED.png","CONNECTAR LIMITED","E28","","https://www.connectar.group/","​"
"https://static.wixstatic.com/media/00bc10_c0f789af511d4cfcb13d410552f72d1c~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_COREMAIL%20HONG%20KONG%20COMPANY%20LIMITED.png","COREMAIL HONG KONG COMPANY LIMITED","廣東盈世電腦科技有限公司","H13","http://www.coremail.ai/",""
"https://static.wixstatic.com/media/00bc10_d2b0d8c619dd4d53b2e324628f3bc3e4~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_DBINSIGHT_AI%20LIMITED.png","DBINSIGHT.AI LIMITED","灼見智能有限公司","G42","https://dbinsight.ai/",""
"https://static.wixstatic.com/media/00bc10_e075cbcb194b418b94ad56c123083cd2~mv2.png/v1/fill/w_253,h_140,al_c,lg_1,q_85,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_DXLAB%20LIMITED.png","DXLAB LIMITED","迪士設計實驗室有限公司","E41","https://dthinkr.ai/",""
"https://static.wixstatic.com/media/00bc10_0ce749a8991642228508b8324920e0ec~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_ENJOYNEER%20EDUCATION%20LIMITED.png","ENJOYNEER EDUCATION LIMITED","工程思教育服務有限公司","H12","https://www.enjoyneer.com.hk/",""
