booth_no,company_name_cn,company_name_en,expo_show_id,expo_enterprises_exhibit_id,expo_enterprises_id,expo_manual_form_exhibit_id
E1-A001,中山迈雷特数控技术有限公司,"Zhongshan Mltor CNC Technology Co., Ltd.",12,17683,156,20250
E1-A002,浙江劳伦斯机床有限公司,"Zhejiang Lawrence Machine Tool Co., Ltd.",12,17998,171,0
E1-A101,重庆机床（集团）有限责任公司,"Chongqing Machine Tool (Group) Co., Ltd.",12,18196,157,19253
E1-A102,浙江陀曼智能科技股份有限公司,"Zhejiang Toman Intelligent Technology Co., Ltd",12,17314,5366,19245
E1-A103,宜昌长机科技有限责任公司,"Yichang Changjiang Machine Technology Co., Ltd.",12,17647,159,18225
E1-A181,哈尔滨智达测控技术有限公司,"Harbin Zhida Measurement & Control Technology Co., Ltd.",12,17978,160,17686
E1-A182,浙江振兴阿祥集团有限公司,"Zhejiang Zhenxing Axiang Group Co., Ltd.",12,17552,180,0
E1-A183,沈阳汉威机械制造有限公司,"Shenyang Hanwei Machinery Manufacturing Co., Ltd",12,16480,3657,19830
E1-A201,无锡泰诺工具有限公司,"Wuxi Tainuo Tool Co., Ltd.",12,17585,495,17748
E1-A202,爱思恩梯（苏州）机床有限公司,"ISNT(Suzhou) Machine Tool Co., Ltd.",12,17806,183,20293
E1-A203,江苏威泽智能科技股份有限公司,"Jiangsu Weize Intelligent Technology Co., Ltd.",12,16705,496,16288
E1-A205,浙江日创机电科技有限公司,"Zhejiang Richuang Electromechanical Technology Co., Ltd",12,17532,169,16673
E1-A211,浙江中智鲸工智能装备有限公司,"Zhejiang Zhongzhijinggong Intelligent Equipment Co., Ltd.",12,17521,203,18380
E1-A281,山东大川重工机床股份有限公司,"Shandong Dachuan heavy industry machine co., LTD",12,16753,3758,17451
E1-A282,哈尔滨精达测量仪器有限公司,"Harbin Jingda Measuring Instruments Co., Ltd.",12,18330,194,17154
E1-A283,哈尔滨金量精密仪器有限公司,"Harbin JL Precision Instrument Co., Ltd.",12,17729,207,19055
E1-A285,里博新仪精密电子（重庆）有限公司,"LEEB PRECISION INSTRUMENT (CHONGQING) Co.,LTD.",12,17343,7723,17726
E1-A286,宝鸡虢西磨棱机制造有限公司,"Baoji Guoxi Grinding Machinery Manufacturing Co., Ltd.",12,17856,206,0
E1-A287,永业科技（唐山）有限公司,"YONGYE TECHNOLOGY (TANGSHAN) CO.,LTD",12,17898,2952,17875
E1-A301,桂林广陆数字测控有限公司,"Guanglu Measuring Instrument Co., Ltd.",12,17050,570,18293
E1-A302,三门峡中原量仪股份有限公司,"Sanmenxia Zhongyuan Measuring Instrument Co.,Ltd.",12,16411,934,18070
E1-A303,西安威而信精密仪器有限公司,"Xi'an Wilson Precision Instruments Co., Ltd.",12,16740,1813,18993
E1-A305,桂林量具刃具有限责任公司,"Guilin Measuring & Cutting Tool Co., Ltd.",12,17862,575,18695
E1-A311,威海新威量量具有限公司,"Weihai Measuring Tools., Ltd.",12,16593,576,0
E1-A312,靖江量具有限公司,"JINGJIANG   MEASURING  TOOIS  CO.,LTD",12,16710,1862,16816
E1-A313,青岛美克精密机械有限公司,"MHC INDUSTRIAL SUPPLY CO., INC",12,17044,936,0
E1-A315,潍坊永利量具有限公司,"WEIFANG YONGLI MEASURING TOOLS CO.,LTD",12,17748,2321,0
E1-A316,威海裕福量具有限公司,"WEIHAI YUFU MEASURING TOOLS CO.,LTD",12,16397,4909,20078
E1-A321,青海量具刃具有限责任公司,"Qinghai Measuring & Cutting Tools Co., Ltd.",12,16601,574,16530
E1-A322,上海量具刃具厂有限公司,"Shanghai Measuring & Cutting Tool Works Co., Ltd.",12,17053,573,18992
E1-A323,深圳市中天超硬工具股份有限公司,"SHENZHEN JUNTEC ULTRA-HARD TOOLS CO.,LTD.",12,16836,937,0
E1-A325,苏州纬正精密工具有限公司,"SUZHOU WEIZHENG PRECISION TOOLS CO.,LTD",12,16797,933,0
