Company Name -Chinese,Company Name -English,Booth Loc,,,,,,,,,
中山迈雷特数控技术有限公司,"Zhongshan Mltor CNC Technology Co., Ltd.",E1-A001,,,,,,,,,
浙江劳伦斯机床有限公司,"Zhejiang Lawrence Machine Tool Co., Ltd.",E1-A002,,,,,,,,,
重庆机床（集团）有限责任公司,"Chongqing Machine Tool (Group) Co., Ltd.",E1-A101,,,,,,,,,
浙江陀曼智能科技股份有限公司,"Zhejiang Toman Intelligent Technology Co., Ltd",E1-A102,,,,,,,,,
宜昌长机科技有限责任公司,"Yichang Changjiang Machine Technology Co., Ltd.",E1-A103,,,,,,,,,
哈尔滨智达测控技术有限公司,"Harbin Zhida Measurement & Control Technology Co., Ltd.",E1-A181,,,,,,,,,
浙江振兴阿祥集团有限公司,"Zhejiang Zhenxing Axiang Group Co., Ltd.",E1-A182,,,,,,,,,
沈阳汉威机械制造有限公司,"Shenyang Hanwei Machinery Manufacturing Co., Ltd",E1-A183,,,,,,,,,
无锡泰诺工具有限公司,"Wuxi Tainuo Tool Co., Ltd.",E1-A201,,,,,,,,,
爱思恩梯（苏州）机床有限公司,"ISNT(Suzhou) Machine Tool Co., Ltd.",E1-A202,,,,,,,,,
江苏威泽智能科技股份有限公司,"Jiangsu Weize Intelligent Technology Co., Ltd.",E1-A203,,,,,,,,,
浙江日创机电科技有限公司,"Zhejiang Richuang Electromechanical Technology Co., Ltd",E1-A205,,,,,,,,,
浙江中智鲸工智能装备有限公司,"Zhejiang Zhongzhijinggong Intelligent Equipment Co., Ltd.",E1-A211,,,,,,,,,
山东大川重工机床股份有限公司,"Shandong Dachuan heavy industry machine co., LTD",E1-A281,,,,,,,,,
哈尔滨精达测量仪器有限公司,"Harbin Jingda Measuring Instruments Co., Ltd.",E1-A282,,,,,,,,,
哈尔滨金量精密仪器有限公司,"Harbin JL Precision Instrument Co., Ltd.",E1-A283,,,,,,,,,
里博新仪精密电子（重庆）有限公司,"LEEB PRECISION INSTRUMENT (CHONGQING) Co.,LTD.",E1-A285,,,,,,,,,
宝鸡虢西磨棱机制造有限公司,"Baoji Guoxi Grinding Machinery Manufacturing Co., Ltd.",E1-A286,,,,,,,,,
永业科技（唐山）有限公司,"YONGYE TECHNOLOGY (TANGSHAN) CO.,LTD",E1-A287,,,,,,,,,
桂林广陆数字测控有限公司,"Guanglu Measuring Instrument Co., Ltd.",E1-A301,,,,,,,,,
三门峡中原量仪股份有限公司,"Sanmenxia Zhongyuan Measuring Instrument Co.,Ltd.",E1-A302,,,,,,,,,
西安威而信精密仪器有限公司,"Xi'an Wilson Precision Instruments Co., Ltd.",E1-A303,,,,,,,,,
桂林量具刃具有限责任公司,"Guilin Measuring & Cutting Tool Co., Ltd.",E1-A305,,,,,,,,,
威海新威量量具有限公司,"Weihai Measuring Tools., Ltd.",E1-A311,,,,,,,,,
靖江量具有限公司,"JINGJIANG MEASURING TOOIS CO.,LTD",E1-A312,,,,,,,,,
青岛美克精密机械有限公司,"MHC INDUSTRIAL SUPPLY CO., INC",E1-A313,,,,,,,,,
潍坊永利量具有限公司,"WEIFANG YONGLI MEASURING TOOLS CO.,LTD",E1-A315,,,,,,,,,
威海裕福量具有限公司,"WEIHAI YUFU MEASURING TOOLS CO.,LTD",E1-A316,,,,,,,,,
青海量具刃具有限责任公司,"Qinghai Measuring & Cutting Tools Co., Ltd.",E1-A321,,,,,,,,,
上海量具刃具厂有限公司,"Shanghai Measuring & Cutting Tool Works Co., Ltd.",E1-A322,,,,,,,,,
深圳市中天超硬工具股份有限公司,"SHENZHEN JUNTEC ULTRA-HARD TOOLS CO.,LTD.",E1-A323,,,,,,,,,
苏州纬正精密工具有限公司,"SUZHOU WEIZHENG PRECISION TOOLS CO.,LTD",E1-A325,,,,,,,,,
上海恒量量具有限公司,"Shanghai Hengliang Measuring Tools Co., Ltd",E1-A326,,,,,,,,,
哈尔滨先锋机电技术开发有限公司,"Harbin Pioneer M&E Technical Development Co., Ltd.",E1-A331,,,,,,,,,
苏州仕科泰新材料科技有限公司,"SuZhou ShiKeTai Advanced MaterialsTechnology Co.,Ltd",E1-A332,,,,,,,,,
