"group src","heading","web","web 2","list-group-item-text","sector_block","sector_block 2","sector_block 3","sector_block 4","btn href","sector_block 5","sector_block 6","sector_block 7","sector_block 8","sector_block 9","sector_block 10","sector_block_outer","sector_block_outer href"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/54412/thumb_2054_54412_53331_7200.png","247connect by NetSupport","Stand No- H2.2-D45, 2.2","United Kingdom","With over 22 million users worldwide, NetSupport is a leading provider of innovative software solutions designed to support education and business environments. For more than three decades, NetSupport has developed trusted technol ...","Software Product","Education Tech","Virtual classroom technology and services","EdTech & Smart Classroom Solution","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/247connect-by-netsupport","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/56610/thumb_tn4NoZj2Im3K-1779094734.png","2501.ai","Stand No- H1.2-D41, 1.2","France","What if your infrastructure repaired itself, with total sovereignty?

The future of SRE is no longer about alerts. It’s about autonomy.

2501.ai is the French AI powerhouse delivering the first Agentic sy ...","Artificial Intelligence","Big Data & Analytics","Business & professional services","Networking & Infrastructure","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/2501-ai","Cloud Services","Robotic Process Automation","Artificial Intelligence","Data Governance, Compliance & Security","Devops","Operational Intelligence","Read More","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/2501-ai"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/media/2054/07__GITEX_EUROPE_2026_NEW_LOGO_COLOR.png","2D SOFT NOVI SAD DOO","Stand No- H1.2-C50, 1.2","Serbia","","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/2d-soft-novi-sad-doo","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/media/2054/07__GITEX_EUROPE_2026_NEW_LOGO_COLOR.png","360tech doo","Stand No- H4.2-G46, 4.2","Serbia","","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/360tech-doo","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/57212/thumb_IidG2CR9VuWx-1779339794.png","3D-Oxides","Stand No- H4.2-C87, H4.2-C88, 4.2","France","3D Oxides builds scalable AI-assisted deep-tech ventures for photonic and microelectronic chips, combining hardware and software IP for 5G/6G, AI and trusted systems.
Founded by Giacomo Benvenuti (PhD EPFL, 40+ patents), its ...","Cyber security","Artificial Intelligence","5G & Telecommunications","Blockchain","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/3d-oxides","Smart Manufacturing","Communication Equipment","Internet of Things (IoT) Security","Mobile Telecommunications & 5G","Space Tech","AI-optimized Hardware","Read More","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/3d-oxides"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/56623/thumb_hjgiFsaxEA6L-1778591295.png","3DFascination & HoloBot.Pro","Stand No- H2.2-A10, 2.2","Armenia","3DFascination.com is a German/Armenian end-to-end solution provider for 3D body and face scanning, lifelike avatars and digital humans, full-color 3D figurines, medical applications and bespoke fashion. 
We invented the worl ...","Gaming","AR/VR/MR & Gaming","Artificial Intelligence","3D Printing & Printing Services","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/3dfascination-holobot-pro","Retail Tech","Digitization / services / tool and die making - Digitization and software","Mixed Reality (MR)","Chatbots / Virtual Assistant","Animation","Digital Signage - Holograms & Mixed Reality","Read More","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/3dfascination-holobot-pro"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/55554/thumb_2054_55554_54458_8211.png","3dverse","Stand No- H4.2-E19, 4.2","Canada","3dverse is a cloud native real time 3D operating system with at its heart a GPU hypervisor. D*esigned for device agnosticism, real-time collaboration and development with a scalable embedded infrastructure, it facilitates seamless ...","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/3dverse","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/media/2054/07__GITEX_EUROPE_2026_NEW_LOGO_COLOR.png","56° North","Stand No- H4.2-C149, H4.2-C150, 4.2","India","","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/56-north","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/57374/thumb_m5tylMFcnIDb-1779261396.png","7Camber - Penetration Testing & Cyber Resilience","Stand No- TBC, 4.2","Malta","7Camber delivers expert penetration testing and cyber resilience services that expose vulnerabilities, strengthen security, and give organisations confidence in their ability to withstand attacks.

We combine deep tech ...","Cyber security","Intrusion Detection & Penetration Testing","Phishing","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/7camber-penetration-testing-cyber-resilience","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/54057/thumb_2054_54057_52978_7509.png","A1 Digital","Stand No- H1.2-D55, 1.2","Germany","Your European Partner for Digital Transformation","Internet of Things (IOT)","Cyber security","5G & Telecommunications","Cloud Services","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/a1-digital","Data Centres","Big Data & Analytics","Wireless","Telecommunication Integration & Equipment Services","Service Providers","Mobile Telecommunications & 5G","Read More","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/a1-digital"
