url,award_date,Tender Reference,Procuring Department,Subject,Description,Contractor,Contractor's Address,Quantity,Awarded Sum (million)
https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2382.html,2026-02-27,Contract No.: ND/2025/01,Civil Engineering and Development Department,San Tin Technopole Phase 1 Stage 1 (East) – Contract 2 – Site Formation and Engineering Infrastructure Works,"The works mainly comprise: 1. site formation of lands (including site clearance) and ground investigation works; 2. construction of at-grade roads (i.e. Roads L18, L19, L20 and L21) connecting to Lok Ma Chau Road, Castle Peak Road – Chau Tau and Kwu Tung Road; 3. construction of a sewage pumping station; 4. construction of associated works including cycle tracks, footpaths, drainage (including construction of box culverts), sewerage, water mains (including section of the DN1000 freshwater trunk main connecting the Sheung Shui Water Treatment Works and the proposed fresh water service reservoir in San Tin), landscaping and slope works; and 5. implementation of environment mitigation measures and environmental monitoring works for the works mentioned above. The works are scheduled to commence in February 2026 and will take about 60 months to complete.",CRBC - MAYLON Joint Venture,"38/F, Dorset House, Taikoo Place, 979 King's Road, Quarry Bay",Not Applicable,"HK$ 2,266.91 Back"
https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2384.html,2026-09-02,Contract No.: CEDD/S/T/4/2025,Civil Engineering and Development Department,Supply of Compression Testing Machine for Pipes to the Civil Engineering and Development Department,"Supply, install, test and commission the compression testing machine for pipes to the Civil Engineering and Development Department. The goods to be ready for use within 15 months from the date of acceptance of offer.",Medii Technology Limited,"Office 502, 5/F, Tower 1, South Seas Centre, 75 Mody Road, Tsim Sha Tsui, Kowloon",1,HK$2.86 Back
https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2385.html,2026-01-26,Contract No.: CEDD/S/T/9/2025,Civil Engineering and Development Department,Provision of Computer Software Licence Renewal to the Civil Engineering and Development Department,,Spatial Technology Limited,"Unit 909, 83 King Lam Street, Cheung Sha Wan, Kowloon, Hong Kong",109,1.530352 Back
https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2388.html,2026-01-21,Contract No.: GE/2026/02,Civil Engineering and Development Department,"Landslip Prevention and Mitigation Programme, New Territories East, Phase 1, Contract A",The works mainly comprise upgrading of some 32 government slopes and retaining walls in New Territories East. The works are scheduled to commence in January 2026 and will take about 42 months to complete.,U-Win Const & Eng Co Limited,"Unit 3, 10/F, New Trend Centre 104 King Fuk Street San Po Kong, Kowloon",Not Applicable,$ 107.88M Back
https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-1350.html,2026-06-01,Contract No.: ND/2024/05,Civil Engineering and Development Department,"Kwu Tung North New Development Area, Remaining Phase: Improvement Works of Fanling Highway (Pak Shek Au Portion) and Associated Works","The works mainly include:- site clearance and formation (including land decontamination works); widening of Fanling Highway (Chau Tau to Pak Shek Au Portion); modification of Castle Peak Road (Chau Tau Portion); construction of Pak Shek Au Interchange; modification of Pak Shek Au Bridge across Fanling Highway; construction of footbridge across Fanling Highway (Pak Shek Au Portion); extension of existing subways no. NS161 and NS161A; construction of associated works including water mains, drainage, retention tanks, sewerage works, roadworks, cycle tracks, footpaths, junction improvement, box culverts, slope works, retaining walls, street furniture, landscaping works, electrical and mechanical works and other ancillary works; and implementation of environmental mitigation measures (including noise barriers and low-noise road surfacing) and environmental monitoring works for the works mentioned above. The works commenced in January 2026 and will take about 58 months to complete.",Lanon – Sinohydro – Excel JV,"157 Waterloo Road, Kowloon Tong, Kowloon, Hong Kong",Not Applicable,"HK$1,818.00 Back"
https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2383.html,2025-12-24,Contract No.: CEDD/S/T/6/2025,Civil Engineering and Development Department,Supply of Multibeam Echo Sounder and Inertial Navigation System to the Civil Engineering and Development Department,"Supply, install, test and commission the Multibeam Echo Sounder and Inertial Navigation System to the Civil Engineering and Development Department. The goods to be ready for use within 3 months from the date of acceptance of offer. The estimated quantity is 1 set.",MASU Survey Company Limited,"Room 13, 13th Floor Wing Sum Factory Building No. 2 Nos. 12-14 Sam Chuk Street San Po Kong, Kowloon",1,HK$2.7 Back
https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-1381.html,2025-12-15,Contract No.: GE/2024/01,Civil Engineering and Development Department,"Landslip Prevention and Mitigation Programme, Hong Kong Island, Kowloon, New Territories East and New Territories West, Phase 1, Contract 1","The works mainly comprise upgrading of some 28 government slopes and retaining walls and natural terrain hazard mitigation works to some 4 natural hillside catchments in Hong Kong Island, Kowloon and New Territories. The works are scheduled to commence in October 2025 and will take about 42 months to complete.",Adrian Construction Limited,"Flat 1106, 11/F., Kwai Cheong Centre, 50 Kwai Cheong Road, Kwai Chung, New Territories",Not Applicable,HK$170.35M Back
https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-1378.html,2025-05-12,Contract No.: GE/2025/13,Civil Engineering and Development Department,"Landslip Prevention and Mitigation Programme, Ground Investigation Term Contract (2025-2028), Contract 2","The works mainly comprise ground investigation and laboratory testing on soil and rock samples obtained from the ground investigation works for some 45 government slopes and retaining walls and some 2 natural hillside study areas in Hong Kong Island, Kowloon, the New Territories and Outlying Islands. The works are scheduled to commence in August 2025 and will take about 36 months to complete.",Bachy Soletanche Group Limited,"Flat/Room 03-06, 15/F, Wing On Kowloon Centre, 345 Nathan Road, Kowloon.",Not Applicable,HK$32.07 Back
https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-1341.html,2025-03-12,Contract No.: ND/2024/02,Civil Engineering and Development Department,"Kwu Tung North New Development Area, Remaining Phase: Site Formation and Infrastructure Works (North)","The works mainly include: site formation of lands (including site clearance and land decontamination works) and ground investigation within Kwu Tung North New Development Area (KTN NDA); construction of at-grade roads within KTN NDA; construction of noise barriers and low noise road surfacing; and ancillary works including footpaths, cycle tracks, lighting, traffic aids, drainage, sewerage, water mains, district cooling mains, landscaping works, slope works, flood prevention works and electrical and mechanical works. The works commenced in December 2025 and will take about 63 months to complete.",Build King – Richwell Civil Joint Venture,"Units 601-605A, 6/F, Tower B, Manulife Financial Centre, 223 Wai Yip Street, Kwun Tong, Kowloon, Hong Kong",Not Applicable,"HK$1,277.118 Back"
https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2387.html,2025-03-12,Contract No.: CV/2025/01,Civil Engineering and Development Department,Management of Sediment Disposal Facility to the East of Sha Chau (2026-2030),The works include management of the existing Contaminated Mud Pits (CMPs) to the East of Sha Chau on a 24-hour basis for the disposal of contaminated sediment and associated capping works upon the exhaustion of any CMPs. The works are scheduled to commence in December 2025 and will take about 60 months to complete.,Law Chi Yip Construction Company Limited,"Workshop C, 30/F, TML Tower, 3 Hoi Shing Road, Tsuen Wan, New Territories",Not Applicable,"79,245,500.00 Back"
