ref,start,end,department,url,batch_time,description,award_date,awardee,sum
CE 17/2025 (GE),2026-01-30,2032-01-30,Civil Engineering and Development Department,https://www.cedd.gov.hk/eng/tender-notices/consultancy-agreements/consultancies-awarded/index.html,2026-03-08 17:10:50.090831,"Landslip Prevention and Mitigation Programme, Hong Kong Island and New Territories East, Phase 1, Package A - Investigation, Design and Construction",2026-01-16,Ove Arup & Partners Hong Kong Limited,"HK$27,802,500.00"
CE 16/2025 (GE),2026-01-30,2032-01-30,Civil Engineering and Development Department,https://www.cedd.gov.hk/eng/tender-notices/consultancy-agreements/consultancies-awarded/index.html,2026-03-08 17:10:50.090831,"Landslip Prevention and Mitigation Programme, New Territories East and New Territories West, Phase 1, Package B - Investigation, Design and Construction",2026-01-16,Halcrow China Limited,"HK$30,030,000.00"
CE 22/2025 (GE),2025-11-20,2031-11-20,Civil Engineering and Development Department,https://www.cedd.gov.hk/eng/tender-notices/consultancy-agreements/consultancies-awarded/index.html,2026-03-08 17:10:50.090831,"Landslip Prevention and Mitigation Programme, 2025, Safety Screening Studies of Private Slopes in Kowloon and Eastern New Territories - Investigation",2025-11-11,Meinhardt Infrastructure and Environment Limited,"HK$8,682,500.00"
CE 21/2025 (GE),2025-11-20,2031-11-20,Civil Engineering and Development Department,https://www.cedd.gov.hk/eng/tender-notices/consultancy-agreements/consultancies-awarded/index.html,2026-03-08 17:10:50.090831,"Landslip Prevention and Mitigation Programme, 2025, Safety Screening Studies of Private Slopes in Hong Kong Island, Western New Territories and Outlying Islands - Investigation",2025-11-11,C M Wong & Associates Limited,"HK$21,200,000.00"
CE 27/2025 (CE),2025-11-03,2029-05-02,Civil Engineering and Development Department,https://www.cedd.gov.hk/eng/tender-notices/consultancy-agreements/consultancies-awarded/index.html,2026-03-08 17:10:50.090831,Eco-Tourism Developments and Local Improvement Works in the Islands District (Package A) – Investigation,2025-10-30,Ove Arup & Partners Hong Kong Limited,"HK$58,193,000.00"
CE 28/2025 (CE),2025-11-03,2029-05-02,Civil Engineering and Development Department,https://www.cedd.gov.hk/eng/tender-notices/consultancy-agreements/consultancies-awarded/index.html,2026-03-08 17:10:50.090831,Eco-Tourism Developments and Local Improvement Works in the Islands District (Package B) – Investigation,2025-10-30,AECOM Asia Company Limited,"HK$53,288,188.00"
CE 26/2025 (CE),2025-11-04,2027-02-03,Civil Engineering and Development Department,https://www.cedd.gov.hk/eng/tender-notices/consultancy-agreements/consultancies-awarded/index.html,2026-03-08 17:10:50.090831,Study on Marina Development at the Expansion Area of Aberdeen Typhoon Shelter – Feasibility Study,2025-10-30,Ove Arup & Partners HongKong Limited,"HK$12,400,000.00"
CE 24/2025 (CE),2025-09-26,2035-01-26,Civil Engineering and Development Department,https://www.cedd.gov.hk/eng/tender-notices/consultancy-agreements/consultancies-awarded/index.html,2026-03-08 17:10:50.090831,Establishment of Sam Po Shue Wetland Conservation Park – Phase 1 – Design and Construction,2025-09-23,AECOM Asia Company Limited,"HK$42,880,000.00"
CE 10/2025 (GE),2025-10-03,2031-10-03,Civil Engineering and Development Department,https://www.cedd.gov.hk/eng/tender-notices/consultancy-agreements/consultancies-awarded/index.html,2026-03-08 17:10:50.090831,"Landslip Prevention and Mitigation Programme, Hong Kong Island and Kowloon, Phase 1, Package A - Investigation, Design and Construction",2025-09-22,C M Wong & Associates Limited,"HK$26,800,000.00"
CE 9/2025 (GE),2025-10-03,2031-10-03,Civil Engineering and Development Department,https://www.cedd.gov.hk/eng/tender-notices/consultancy-agreements/consultancies-awarded/index.html,2026-03-08 17:10:50.090831,"Landslip Prevention and Mitigation Programme, New Territories East and New Territories West, Phase 1, Package A - Investigation, Design and Construction",2025-09-22,AECOM Asia Company Limited,"HK$25,800,000.00"
