ref,department,url,batch_time,description,award_date,awardee,sum
Contract No.: ND/2025/01,Civil Engineering and Development Department,https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2382.html,2026-03-08 15:30:28.059636,"The works mainly comprise: 1. site formation of lands (including site clearance) and ground investigation works; 2. construction of at-grade roads (i.e. Roads L18, L19, L20 and L21) connecting to Lok Ma Chau Road, Castle Peak Road – Chau Tau and Kwu Tung Road; 3. construction of a sewage pumping station; 4. construction of associated works including cycle tracks, footpaths, drainage (including construction of box culverts), sewerage, water mains (including section of the DN1000 freshwater trunk main connecting the Sheung Shui Water Treatment Works and the proposed fresh water service reservoir in San Tin), landscaping and slope works; and 5. implementation of environment mitigation measures and environmental monitoring works for the works mentioned above. The works are scheduled to commence in February 2026 and will take about 60 months to complete.",2026-02-27,CRBC - MAYLON Joint Venture,"HK$ 2,266.91 Back"
Contract No.: CEDD/S/T/4/2025,Civil Engineering and Development Department,https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2384.html,2026-03-08 15:30:28.059636,"Supply, install, test and commission the compression testing machine for pipes to the Civil Engineering and Development Department. The goods to be ready for use within 15 months from the date of acceptance of offer.",2026-09-02,Medii Technology Limited,HK$2.86 Back
Contract No.: CEDD/S/T/9/2025,Civil Engineering and Development Department,https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2385.html,2026-03-08 15:30:28.059636,,2026-01-26,Spatial Technology Limited,1.530352 Back
Contract No.: GE/2026/02,Civil Engineering and Development Department,https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2388.html,2026-03-08 15:30:28.059636,The works mainly comprise upgrading of some 32 government slopes and retaining walls in New Territories East. The works are scheduled to commence in January 2026 and will take about 42 months to complete.,2026-01-21,U-Win Const & Eng Co Limited,$ 107.88M Back
Contract No.: ND/2024/05,Civil Engineering and Development Department,https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-1350.html,2026-03-08 15:30:28.059636,"The works mainly include:- site clearance and formation (including land decontamination works); widening of Fanling Highway (Chau Tau to Pak Shek Au Portion); modification of Castle Peak Road (Chau Tau Portion); construction of Pak Shek Au Interchange; modification of Pak Shek Au Bridge across Fanling Highway; construction of footbridge across Fanling Highway (Pak Shek Au Portion); extension of existing subways no. NS161 and NS161A; construction of associated works including water mains, drainage, retention tanks, sewerage works, roadworks, cycle tracks, footpaths, junction improvement, box culverts, slope works, retaining walls, street furniture, landscaping works, electrical and mechanical works and other ancillary works; and implementation of environmental mitigation measures (including noise barriers and low-noise road surfacing) and environmental monitoring works for the works mentioned above. The works commenced in January 2026 and will take about 58 months to complete.",2026-06-01,Lanon – Sinohydro – Excel JV,"HK$1,818.00 Back"
Contract No.: CEDD/S/T/6/2025,Civil Engineering and Development Department,https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2383.html,2026-03-08 15:30:28.059636,"Supply, install, test and commission the Multibeam Echo Sounder and Inertial Navigation System to the Civil Engineering and Development Department. The goods to be ready for use within 3 months from the date of acceptance of offer. The estimated quantity is 1 set.",2025-12-24,MASU Survey Company Limited,HK$2.7 Back
Contract No.: GE/2024/01,Civil Engineering and Development Department,https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-1381.html,2026-03-08 15:30:28.059636,"The works mainly comprise upgrading of some 28 government slopes and retaining walls and natural terrain hazard mitigation works to some 4 natural hillside catchments in Hong Kong Island, Kowloon and New Territories. The works are scheduled to commence in October 2025 and will take about 42 months to complete.",2025-12-15,Adrian Construction Limited,HK$170.35M Back
Contract No.: GE/2025/13,Civil Engineering and Development Department,https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-1378.html,2026-03-08 15:30:28.059636,"The works mainly comprise ground investigation and laboratory testing on soil and rock samples obtained from the ground investigation works for some 45 government slopes and retaining walls and some 2 natural hillside study areas in Hong Kong Island, Kowloon, the New Territories and Outlying Islands. The works are scheduled to commence in August 2025 and will take about 36 months to complete.",2025-05-12,Bachy Soletanche Group Limited,HK$32.07 Back
Contract No.: ND/2024/02,Civil Engineering and Development Department,https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-1341.html,2026-03-08 15:30:28.059636,"The works mainly include: site formation of lands (including site clearance and land decontamination works) and ground investigation within Kwu Tung North New Development Area (KTN NDA); construction of at-grade roads within KTN NDA; construction of noise barriers and low noise road surfacing; and ancillary works including footpaths, cycle tracks, lighting, traffic aids, drainage, sewerage, water mains, district cooling mains, landscaping works, slope works, flood prevention works and electrical and mechanical works. The works commenced in December 2025 and will take about 63 months to complete.",2025-03-12,Build King – Richwell Civil Joint Venture,"HK$1,277.118 Back"
Contract No.: CV/2025/01,Civil Engineering and Development Department,https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2387.html,2026-03-08 15:30:28.059636,The works include management of the existing Contaminated Mud Pits (CMPs) to the East of Sha Chau on a 24-hour basis for the disposal of contaminated sediment and associated capping works upon the exhaustion of any CMPs. The works are scheduled to commence in December 2025 and will take about 60 months to complete.,2025-03-12,Law Chi Yip Construction Company Limited,"79,245,500.00 Back"
Contract No.: ND/2024/08,Civil Engineering and Development Department,https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-1345.html,2026-03-08 15:30:28.059636,"The works mainly include: site formation of lands and ground investigation within Fanling North New Development Area (FLN NDA); construction of at-grade roads connecting FLN NDA to Fanling Highway; construction of Fanling Bypass Western Section; construction of noise barriers and low noise road surfacing; and ancillary works including vehicular bridge, footbridges, footpaths, cycle tracks, lighting, traffic aids, sewage pumping stations, drainage, sewerage, water mains, landscaping works, slope works and electrical and mechanical works. The works commenced in December 2025 and will take about 66 months to complete.",2025-03-12,Gammon - STEC Joint Venture,"2,720.018 Back"
Contract No.: GE/2025/03,Civil Engineering and Development Department,https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-1376.html,2026-03-08 15:30:28.059636,The works mainly comprise upgrading of some 28 government slopes and retaining walls in New Territories East. The works are scheduled to commence in October 2025 and will take about 48 months to complete.,2025-11-27,Ming Hing Waterworks Engineering Company Limited,HK$111.58 Back
Contract No.: GE/2025/11,Civil Engineering and Development Department,https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-1374.html,2026-03-08 15:30:28.059636,The works mainly comprise upgrading of some 30 government slopes and retaining walls in Kowloon and New Territories East. The works are scheduled to commence in September 2025 and will take about 42 months to complete.,2025-11-14,Adrian Construction Limited,HK$162.18M Back
Contract No.: GE/2025/22,Civil Engineering and Development Department,https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-1377.html,2026-03-08 15:30:28.059636,The works mainly comprise upgrading of some 17 government slopes and retaining walls and natural terrain hazard mitigation works to some 13 natural hillside catchments in New Territories West and Lantau. The works are scheduled to commence in November 2025 and will take about 51 months to complete.,2025-12-11,Tai Kam Construction Engineering Company Limited,HK$146.95M Back
Contract No.: YL/2023/06,Civil Engineering and Development Department,https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-1356.html,2026-03-08 15:30:28.059636,"The works mainly include: site clearance and formation (including land decontamination works) for about 62 hectares of lands, together with provision of associated engineering infrastructure; construction of district distributor and local roads connecting Hung Shui Kiu/Ha Tsuen New Development Area to Ping Ha Road and Ha Tsuen Road; construction of a sewage pumping station; construction of associated works including water mains, drainage and sewerage works, cycle tracks, footpaths, box culverts, slope works, retaining structures, street furniture, landscaping works, electrical and mechanical works and other ancillary works; and implementation of environmental mitigation measures (including noise barriers) and environmental monitoring works for the works mentioned above. The works commenced in November 2025 and would take about 55 months to complete.",2025-12-11,Gammon – Build King – Tung Lee Joint Venture,"HK$2,122.56 Back"
Contract No.: GE/2025/06,Civil Engineering and Development Department,https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-1373.html,2026-03-08 15:30:28.059636,"The works mainly comprise ground investigation and laboratory testing on soil and rock samples obtained from the ground investigation works for some 60 government slopes and retaining walls and some 3 natural hillside study areas in Hong Kong Island, Kowloon, the New Territories and Outlying Islands. The works are scheduled to commence in August 2025 and will take about 30 months to complete.",2025-10-11,Gold Ram Engineering & Development Limited,HK$42.68M Back
Contract No.: NL/2023/10,Civil Engineering and Development Department,https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-1313.html,2026-03-08 15:30:28.059636,"The works mainly include: Construction of Road L22 and Road L24; Construction of 2 nos. sewage pumping stations (Ma Wan Chung and Tung Chung Valley (North)); Construction of village sewerage at Ma Wan Chung, Wong Nai Uk and Ngau Au; Construction of Sustainable Urban Drainage System, stormwater attenuation & treatment ponds at Tung Chung Area 45E; Ancillary works including associated civil, geotechnical, drainage, sewerage, water supply, electrical and mechanical engineering and landscaping works; and Implementation of environmental mitigation measures for the works mentioned above. The works commenced in October 2025 and would take about 43 months to complete.",2025-10-10,CREC Joint Venture,HK$633 million Back
Contract No.: GE/2024/21,Civil Engineering and Development Department,https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-1360.html,2026-03-08 15:30:28.059636,The works mainly comprise upgrading of some 28 government slopes and retaining walls and natural terrain hazard mitigation works to some 7 natural hillside catchments in Hong Kong Island and Kowloon. The works are scheduled to commence in June 2025 and will take about 55 months to complete.,2025-09-30,A-City Workshop Limited,HK$204.05M Back
