Tender Reference,Subject,url,Date of Award,Contractor,Date of Commencement,Anticipated Date of Completion,Contract Sum,Project Office
Contract No DE/2025/04,Upgrading of Screw Pump No. 6 for To Kwa Wan Preliminary Treatment Works and Step Screen No. 4 for Kwun Tong Preliminary Treatment Works,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject412.html,6 January 2026,"Partner A's works: The Jardine Engineering Corporation, Limited; Partner B's works: Associated Engineers, Limited",19 January 2026,12 July 2027,"HK$14,560,357.00",Electrical and Mechanical Projects Division
Contract No DC/2025/07,Relocation of Sha Tin Sewage Treatment Works to Caverns – Civil Works for Sewage Treatment Facilities and Associated Works,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject412.html,18 December 2025,Alchmex – STEC Joint Venture (Alchmex International Construction Limited – Shanghai Tunnel Engineering Co. Ltd. Joint Venture),30 December 2025,29 October 2030,"HK$3,872,000,000.74",Cavern Projects Division
Contract No DE/2024/13,Relocation of Sha Tin Sewage Treatment Works to Caverns – Provision of Sludge Dewatering System,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject412.html,3 December 2025,SUEZ Infrastructure (China) Company Limited,10 December 2025,9 April 2030,"HK$302,256,040.00",Cavern Projects Division
Contract No DE/2024/12,Relocation of Sha Tin Sewage Treatment Works to Caverns – Provision of Biological Treatment System,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject412.html,22 September 2025,"Qingdao Spring Water-treatment Co., Ltd.",30 September 2025,28 January 2030,"HK$423,308,395.00",Cavern Projects Division
Contract No DE/2024/11,Relocation of Sha Tin Sewage Treatment Works to Caverns – Provision of Primary Sedimentation System,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject412.html,22 September 2025,ATAL Engineering Limited,30 September 2025,28 January 2030,"HK$132,869,976.00",Cavern Projects Division
Contract No DE/2024/10,Relocation of Sha Tin Sewage Treatment Works to Caverns – Electrical and Mechanical Works for Sewage Treatment Facilities and Associated Works,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject412.html,22 September 2025,ATAL Engineering Limited,30 September 2025,30 August 2030,"HK$4,633,479,872.00",Cavern Projects Division
Contract No DC/2024/12/F1-F4,Framework Contract for Structural Improvement of Sewers and Stormwater Drains in Mainland South Districts (Contract F1-F4),https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject412.html,15 August 2025,WCCL – PMPS JV (Welcome Construction Company Limited – PMPS Liner Technology (Hong Kong) Limited Joint Venture); Hing & Cheong Company Limited; BUDA Surveying Limited; Shun Yuen Construction Company Limited,15 August 2025,14 August 2028,"HK$709,529,909.00",Planning and Rehabilitation Division
Contract No DC/2023/17,West Kowloon and Tsuen Wan Village Sewerage – Phase 2 (Package 1),https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject412.html,16 July 2025,Darwin Engineering Limited,25 July 2025,26 December 2028,"HK$141,978,960.00",Harbour Area Treatment Scheme Division
Contract No DE/2024/09,Hung Shui Kiu Effluent Polishing Plant Phase 1 – E&M Works and Biological Treatment Building,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject412.html,16 June 2025,REC-CEL JV (REC Engineering Company Limited-Chevalier (Envirotech) Limited Joint Venture),25 June 2025,26 April 2031,"HK$3,494,721,442.80",Harbour Area Treatment Scheme Division
Contract No DC/2024/11,Hung Shui Kiu Effluent Polishing Plant Phase 1 – Civil Works,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject412.html,12 June 2025,China State – Best Build Joint Venture (China State Construction Engineering (Hong Kong) Limited – Best Build Construction Company Limited Joint Venture),25 June 2025,23 December 2030,"HK$2,052,999,999.83",Harbour Area Treatment Scheme Division
