ref,department,url,batch_time,description,award_date,awardee,sum
2BDTD25003,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6446.html,2026-03-08 16:28:30.070572,Provision of SAP Enterprise Support Service for the period from January 2026 to December 2026 to the Electrical and Mechanical Services Trading Fund / Support service for Information System,Dec 2025,DynaSys Solutions Limited,"HK$5,619,348.00"
EMS/T/01/2025(A),Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6485.html,2026-03-08 16:28:30.070572,Provision of Light Goods Vehicles for Hiring by Electrical and Mechanical Services Department / Hiring of Light Goods Vehicles,Dec 2025,"GoGo Tech Limited (Item 1) Lison Transportation Co. Ltd. (Items 2, 3, 4, 5 & 6)","HK$3,234,322.50 (Item 1) HK$154,182,612.60 (Items 2, 3, 4, 5 & 6)"
1724EM24T,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6426.html,2026-03-08 16:28:30.070572,"Triennial Term Contract for the Supply and Installation of Uninterruptible Power Supply (UPS) Systems at the New Huanggang Port Boundary Control Point for the Government of Hong Kong Special Administrative Region / The works include design, supply, delivery, installation of Uninterruptible Power Supply (UPS) Systems and associated equipment at the new Huanggang Port Boundary Control Point serving user departments including AFCD, C&ED, DH, FEHD, FSD, GPA, HKPF, IMMD and TD. The works are scheduled to commence in October 2025 and will take about 36 months to complete.",Oct 2025,Astrid Electronics HK Limited,"HK$ 35,443,400 (Tendered total of the Prices); HK$ 42,058,400 (Forecast total of the Prices)"
2BDTD24017,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6440.html,2026-03-08 16:28:30.070572,Provision of Hyperconverged Infrastructure Software and Related Services to the Electrical and Mechanical Services Department / Support service for Information System,Oct 2025,ICO Limited,"HK$50,881,460.00"
2380EM24T,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5404.html,2026-03-08 16:28:30.070572,Quadrennial Term Contract for Operation and Maintenance of Air-conditioning Installations for Correctional Services Department in New Territories Region. / Air-conditioning Installation,Aug 2025,Young's Engineering Company Limited,"HK$44,596,310.00"
1079EM25T,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6452.html,2026-03-08 16:28:30.070572,Triennial Term Contract for the Comprehensive Maintenance and Repair of Live Fire Training Facilities at Fire and Ambulance Services Academy for the Fire Services Department of the Government of the Hong Kong Special Administrative Region / Mechanical Plant and Equipment Installation,Aug 2025,Southa Technical Limited,"HK$62,305,000.00"
2099EM24T,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5413.html,2026-03-08 16:28:30.070572,"Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Hospital Authority (TO25) / Lift, Escalator and Passenger Conveyor Installation",Jul 2025,Chevalier (HK) Limited,"HK$9,813,095.00"
1160EM24T,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6425.html,2026-03-08 16:28:30.070572,Triennial Term Contract for Provision of Maintenance Services for Mobile X-Ray Vehicle Scanning Systems (MXRVSS) and Palletized Cargo X-Ray Inspection System (PCIS) of Customs & Excise Department (C&ED) / Provision of maintenance services for Mobile X-ray Vehicle Scanning Systems (MXRVSS) and Palletized Cargo X-Ray Inspection System (PCIS) for eight (8) Numbers of MXRVSS and one (1) Number of PCIS for Customs & Excise Department.,Jul 2025,Nuctech Hong Kong Company Limited,"HK$62,020,988.00"
1591EM24T,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5415.html,2026-03-08 16:28:30.070572,Triennial Term Contract for Maintenance of Air-conditioning Installations for Hong Kong Port (HKP) and Hong Kong Link Road (HKLR) at Hong Kong Zhuhai Macao Bridge and Other Lantau Engineering Services Venues / Air-conditioning Installation,Jul 2025,Meco Engineering Limited,"HK$55,079,200.00"
1941EM24T,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5405.html,2026-03-08 16:28:30.070572,"Triennial Term Contract for Maintenance of Heating, Ventilation and Air-conditioning Installations for The Venues of Boundary Crossing Facilities and Transport Services Division / Air-conditioning Installation",Jul 2025,REC Engineering Company Limited,"HK$129,835,000.00"
