ref,department,url,batch_time,description,award_date,awardee,sum
PRO/T693/25/CS,Hong Kong Airport Authority,https://www.hongkongairport.com/en/airport-authority/tender-notices/PRO_T693_25_CS_Award#nca,2026-03-08 18:35:05.826260,Provision and Comprehensive Maintenance Works of Autonomous Bonded Shuttle for Park and Fly Carpark,04 March 2026,KC Smart Mobility Company Limited,"HK$7,410,000.00."
PRO/T709/25/MP,Hong Kong Airport Authority,https://www.hongkongairport.com/en/airport-authority/tender-notices/PRO_T709_25_MP_award#nca,2026-03-08 18:35:05.826260,Contract T25S036 Replacement of PIDS Microwave Transceiver Pairs at Perimeter Road,27 February 2026,Here are the extracted company names:  1. Airport Authority 2. PCCW Technical Services Limited,"HK$6,252,052."
Contract C25W10,Hong Kong Airport Authority,https://www.hongkongairport.com/en/airport-authority/tender-notices/C25W10_NOA#nca,2026-03-08 18:35:05.826260,Design and Build for Ground Services Equipment and Vehicles Maintenance Workshop at West Support Area,24 February 2026,China Harbour Engineering Company Limited,"HK$274,171,728."
PRO/T195/25/CS,Hong Kong Airport Authority,https://www.hongkongairport.com/en/airport-authority/tender-notices/PRO_T195_25_CS_Award#nca,2026-03-08 18:35:05.826260,Provision and Comprehensive Maintenance Services of Human Intrusion Detection and Alarm System at Terminal 1,23 February 2026,Here are the extracted company names:  * Nuctech Operation Company Limited,"HK$11,297,000."
PRO/T614/25/SW,Hong Kong Airport Authority,https://www.hongkongairport.com/en/airport-authority/tender-notices/PRO_T614_25_SW_award#nca,2026-03-08 18:35:05.826260,Contract T25W024 South Runway Resurfacing Works and Relocation of Asphalt Mixing Plant,23 February 2026,Asphalt Surfaces (International) Limited,"HK$100,959,498.23."
PRO/T712/25/TC,Hong Kong Airport Authority,https://www.hongkongairport.com/en/airport-authority/tender-notices/PRO_T712_25_TC_Award#nca,2026-03-08 18:35:05.826260,Framework Agreement for Provision of Market Research Services at the Hong Kong International Airport,13 February 2026,Cimigo Limited,"HK$11,683,500."
Contract C25C05,Hong Kong Airport Authority,https://www.hongkongairport.com/en/airport-authority/tender-notices/C25C05_NOA#nca,2026-03-08 18:35:05.826260,"Professional Services for Capital Works (Mechanical, Electrical and Plumbing)",27 November 2025,Here are the company names extracted:  1. WSP (Asia) Limited,
PRO/T615/25/DL,Hong Kong Airport Authority,https://www.hongkongairport.com/en/airport-authority/tender-notices/PRO_T615_25_DL_Award#nca,2026-03-08 18:35:05.826260,Framework Agreement for the Supply of Spare Parts for Fixed Ground Power System (Dynell Equipment) at Hong Kong International Airport,28 October 2025,Complete Solutions International Limited,HK$7.4 million
PRO/T626/25/DL,Hong Kong Airport Authority,,2026-03-08 18:35:05.826260,Framework Agreement for the Supply of Spare Parts for Fixed Ground Power System (ITW Equipment) at Hong Kong International Airport,28 October 2025,,
PRO/T271/25/DL,Hong Kong Airport Authority,,2026-03-08 18:35:05.826260,"Contract T25S004 Upgrade of Train-Track Communication for APM On-board CCTV, PIS, PA, Intercom and ODR with 5G Connectivity",27 August 2025,,
